"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1160819.99087376,3901.8868143037,1154482.64969944,1157710.39100633,1160116.81906935,1163037.04650799,1172536.69820818
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",76895.79719914,369.512126145705,76294.7440923863,76603.2007112105,76829.2316181566,77106.0498917209,78010.3023382545
"Num Offtake","Juvenile Male",344415.676658243,2976.97128041232,339560.762924457,342109.957715744,343918.696398804,346150.260460412,353513.489788116
"Num Offtake","Juvenile Combined",421311.473857383,3346.38486692119,415855.507016843,418713.158426955,420749.561640846,423276.06248215,431523.792126371
"Num Offtake","Adult Female",171578.809728557,41.2511714082406,171510.699442317,171547.414984985,171572.964595609,171604.56802378,171697.400004593
"Num Offtake","Adult Male",567929.707287817,524.552194065814,567058.054355966,567531.443819247,567859.051629052,568255.319152132,569423.84931616
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1169759.75883994,79539.0519205787,1011447.79736331,1108339.43608404,1173486.06111032,1212115.83138156,1368280.36606195
"Cml Pop Growth","Neonatal Female",76459.9337236232,27375.7171007855,19289.6157234435,55893.8152776175,78182.6544019735,93957.0995917007,144744.991674292
"Cml Pop Growth","Neonatal Male",380009.157723565,27375.7171007855,322838.839723385,359443.039277559,381731.878401915,397506.323591642,448294.215674233
"Cml Pop Growth","Neonatal Combined",456469.091447188,54751.434201571,342128.455446829,415336.854555177,459914.532803889,491463.423183343,593039.207348525
"Cml Pop Growth","Juvenile Female",577228.844940379,13604.2175870198,552283.866981698,567653.291466837,575396.305234427,586418.10951969,620692.759253721
"Cml Pop Growth","Juvenile Male",275804.195356097,11419.0150833715,254665.457341931,267578.602260506,273775.240064865,283289.895868951,312041.450096238
"Cml Pop Growth","Juvenile Combined",853033.040296476,25010.3194151428,806949.324323629,835546.254616012,848877.18650829,869814.603494442,932734.209349959
"Cml Pop Growth","Adult Female",163833.19659816,2479.28239778033,159797.900423142,161884.15451218,163392.887317393,165284.459061273,171343.096722252
"Cml Pop Growth","Adult Male",-303575.569501885,1774.76585553405,-306499.066172492,-304863.692271092,-303875.554871802,-302562.698587863,-297990.508817615
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",2330579.7497137,82533.1301492075,2167551.18195661,2266592.92745496,2335168.2997414,2374288.89118698,2540817.06427013
"Total Number Increase","Neonatal Female",76459.9337236232,27375.7171007855,19289.6157234435,55893.8152776175,78182.6544019735,93957.0995917007,144744.991674292
"Total Number Increase","Neonatal Male",380009.157723565,27375.7171007855,322838.839723385,359443.039277559,381731.878401915,397506.323591642,448294.215674233
"Total Number Increase","Neonatal Combined",456469.091447188,54751.434201571,342128.455446829,415336.854555177,459914.532803889,491463.423183343,593039.207348525
"Total Number Increase","Juvenile Female",654124.642139519,13949.669652179,628578.611074085,644359.260563523,652332.030447866,663570.844147459,698703.061591975
"Total Number Increase","Juvenile Male",620219.87201434,14197.5966381803,594226.220266388,610249.520529403,618386.722502006,629839.577089248,665554.939884355
"Total Number Increase","Juvenile Combined",1274344.51415386,28146.8920959416,1222804.83134047,1254696.73589805,1270803.31928854,1293441.34621491,1364258.00147633
"Total Number Increase","Adult Female",335412.006326717,2519.4845684871,331312.427563015,333424.548701417,334957.26482958,336862.629575178,343028.385596448
"Total Number Increase","Adult Male",264354.137785932,2284.95602663229,260627.778560438,262584.39736954,263972.683639433,265685.506932334,271337.108390002
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1577101860.34986,133747956.773677,1070929481.33755,1505012796.26429,1585684003.44485,1678506145.38379,1829370302.52578
"Population Liveweight (kg)","Neonatal Female",133103867.404723,34556445.9708184,53730438.9933372,110436200.704098,139603538.316139,159866009.729824,186813392.270518
"Population Liveweight (kg)","Neonatal Male",131014027.639025,29532976.8633886,57586228.0681231,110165274.744942,133027479.229442,156461559.848347,179915624.554326
"Population Liveweight (kg)","Juvenile Female",292951666.796711,55374189.0561509,164512533.809589,249982100.04914,295843769.073091,334756854.799892,407897730.19978
"Population Liveweight (kg)","Juvenile Male",156959326.777339,26466264.6337106,95211635.5003565,137101810.215982,158459770.923075,177136265.332482,211800530.575962
"Population Liveweight (kg)","Juvenile Combined",449910993.574051,59931529.1253689,330165414.809823,405513499.500857,453486277.212911,487012299.514164,579608870.954592
"Population Liveweight (kg)","Adult Female",723937019.441199,92807302.7714583,437126251.887225,671767473.930352,743445621.601033,792069032.526972,868209904.026894
"Population Liveweight (kg)","Adult Male",139135952.290863,25072523.5967988,74966238.2741691,125080797.98983,140159339.078227,157710435.820109,182995881.367927
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",362259644.330757,34983087.5412043,259294755.786954,337982698.27925,365249708.925765,385304754.860987,429823249.547989
"Offtake Liveweight (kg)","Juvenile Female",16565142.5558621,2832898.33826432,10861632.3531973,14320283.7976385,16732458.1978284,18872701.6194183,22103928.2110983
"Offtake Liveweight (kg)","Juvenile Male",80355019.7499472,12426929.8629774,48475952.4653325,72099177.8732409,81430745.9722302,88703939.8916316,105993335.905459
"Offtake Liveweight (kg)","Adult Female",49467761.0670423,5568120.83746864,32393478.2379974,45190543.1643852,50319072.4927016,53990273.2074572,58840419.0523571
"Offtake Liveweight (kg)","Adult Male",215871720.957906,32613862.3633144,137068940.345133,191872162.15048,219746951.634309,242189453.175026,279140066.419404
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",1141752685.21219,40153438.191115,1037227204.43102,1111771861.76273,1139906156.37494,1165815202.05836,1255859326.09174
"Manure","Overall",3135017133.36658,76378068.4046582,2962804884.40345,3082039805.90104,3137518765.7057,3186672255.4813,3313865469.67682
"Manure","Neonatal Female",279503905.027125,8117940.25538535,260705376.112038,274534726.299263,278976881.126092,284276834.891659,307098149.570361
"Manure","Neonatal Male",213363922.502569,7072651.58442912,196075353.881626,208913309.970589,213539672.90159,218682045.121221,234013707.765359
"Manure","Neonatal Combined",492867827.529694,12229328.9880482,463839731.387873,483848925.803728,492311109.498592,500325636.117108,526701658.258493
"Manure","Juvenile Female",461673848.269637,16752073.6424279,418748665.735567,450958635.379921,461252724.006239,470867393.355552,514152670.043944
"Manure","Juvenile Male",228777251.64377,8067897.23060512,210954500.716406,223973546.634331,228414596.451875,234806149.95862,248428301.78725
"Manure","Juvenile Combined",690451099.913408,18818228.6415399,639688554.582116,678463112.396882,689753465.12988,701904332.021537,744510280.500278
"Manure","Adult Female",1629740937.86481,70912335.4615027,1466482083.84218,1581419605.51852,1639616264.02373,1694266633.67329,1810721168.17463
"Manure","Adult Male",321957268.05866,19750359.8678792,272693368.799134,308912930.603182,323913108.791119,333264988.182457,365540136.708981
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",2094863336.1223,286439961.101726,1423971773.50121,1882928642.03989,2078178176.13728,2249757143.35297,2799655786.15977
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",13805517132.2639,299279209.317791,13094026560.7003,13584067228.6189,13811094460.0961,14025828059.028,14415729518.0879
"Cml Dry Matter","Neonatal Female",1236991318.69188,90716712.8278813,1026363982.29305,1182195168.63348,1242668607.89729,1283528568.66516,1468946789.02099
"Cml Dry Matter","Neonatal Male",1017177156.29987,71847711.3345041,847412271.442367,972526195.561126,1011447936.46146,1067600429.79832,1239832147.87474
"Cml Dry Matter","Neonatal Combined",2254168474.99176,118108348.827423,2005545298.00355,2173126139.32424,2265035229.71237,2335685539.6278,2530121414.94241
"Cml Dry Matter","Juvenile Female",2231589842.00668,108787545.424868,1897190662.34174,2162855804.7809,2223777409.21607,2300497349.09793,2512897162.74879
"Cml Dry Matter","Juvenile Male",1193407065.96622,60932306.7557872,1061311235.20512,1152264406.4672,1190990465.94826,1230389535.88448,1338710575.51385
"Cml Dry Matter","Juvenile Combined",3424996907.97289,135740338.85105,3082461961.0192,3348385935.37502,3415367838.98861,3512557762.29993,3758318142.04115
"Cml Dry Matter","Adult Female",6472793920.40507,207022399.45253,5842716539.66522,6341114700.61434,6477314019.80409,6643962230.70691,6912043739.37889
"Cml Dry Matter","Adult Male",1653557828.89423,74755586.9267903,1489313015.74872,1608715201.19993,1660306609.50292,1702264814.63871,1849260561.97051
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",30690637354.8684,3364877483.99503,22861305956.2599,28829582230.1898,30907635923.1789,33384342606.4935,38150636667.2579
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1147070003.96127,191864884.80208,689527095.238187,1009177618.14264,1178602799.60313,1301601102.17962,1482844717.64375
"Value of Offtake","Juvenile Male",6238678651.91624,1427042396.2716,2949514729.09155,5264893970.08255,6371374235.66957,7378052845.70669,8888447627.44732
"Value of Offtake","Juvenile Combined",7385748655.87751,1458412431.93425,3873455368.59001,6350967339.32391,7620390872.97473,8416076067.7221,10104667265.6365
"Value of Offtake","Adult Female",3064574216.08746,424730303.988528,2138401984.34967,2742922012.73658,3062643733.92232,3380405528.1453,4104653277.76786
"Value of Offtake","Adult Male",20240314482.9034,2979714564.59303,13054318303.3308,18135327008.4461,20388528291.8966,22201602609.9582,26296906290.8409
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
