"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",817436.215153187,2756.28875249604,811061.156168136,815319.894352908,817086.798820309,819240.238011289,828579.49338088
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",43203.7272105513,238.522724359771,42626.9112760535,43023.44563938,43175.4720401892,43360.2155948373,44193.5859714644
"Num Offtake","Juvenile Male",209348.335414735,2011.13534466221,204667.138040909,207848.871513448,209122.19322139,210671.358942221,217402.260398737
"Num Offtake","Juvenile Combined",252552.062625287,2248.96359159449,247298.413218547,250869.277872281,252296.647876804,254031.01716635,261595.846370201
"Num Offtake","Adult Female",101196.349723489,28.069887910658,101134.092746054,101174.772403703,101193.751072448,101213.531832395,101314.662318027
"Num Offtake","Adult Male",463687.802804411,489.061084297657,462628.650203535,463315.581831988,463634.436068377,463994.268692116,465668.984692651
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1088812.27965764,86623.3050229142,862829.192395912,1030255.03345458,1086281.13586822,1143113.46408607,1442479.96881572
"Cml Pop Growth","Neonatal Female",1253.32332731881,30508.1346044517,-75135.0106544364,-20401.0187272242,16.0078190086642,19802.014867116,121355.738949659
"Cml Pop Growth","Neonatal Male",326684.311044424,30514.9946369992,248003.511571618,305538.366576429,325263.716335965,346028.253368436,443066.367944385
"Cml Pop Growth","Neonatal Combined",327937.634371743,60985.4701099188,172868.500917182,285501.131663753,324587.108008176,365299.807599524,564422.106894044
"Cml Pop Growth","Juvenile Female",479935.75748279,14497.5630750946,443474.693697101,469839.769918288,478444.362798188,489555.672693885,539332.249938132
"Cml Pop Growth","Juvenile Male",314782.001951164,13066.1348320297,282252.354875442,305476.217906271,313737.117502347,323057.555116835,365636.582620824
"Cml Pop Growth","Juvenile Combined",794717.759433955,27537.2558309737,725727.048572543,775077.992440329,792316.956009684,812690.401159986,904968.832558956
"Cml Pop Growth","Adult Female",212347.327934881,2758.05533413862,205666.254298128,210273.565772447,212043.760992662,214159.183578534,223778.300996969
