"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1955408.87295049,300341.405459194,1209074.32031065,1729567.97406955,1952149.19532587,2147605.46464421,2670729.77081764
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",140695.198886969,25710.2146463079,76332.3820668276,121068.941092109,139852.209291832,156475.430782489,201477.872613647
"Num Offtake","Juvenile Male",1046940.34235038,217414.508424659,502010.40398015,878567.753333951,1042132.50149362,1177765.45757486,1555769.1668073
"Num Offtake","Juvenile Combined",1187635.54123735,243122.218827098,578342.786046977,999636.69442606,1181868.86575672,1334240.88835734,1757247.03942095
"Num Offtake","Adult Female",103413.466669037,2999.83063263359,96426.6083763091,101427.861753117,103477.227499758,105518.153479028,110967.81529352
"Num Offtake","Adult Male",664359.865044105,55293.1683468829,534304.925887368,625804.906989715,664899.070806363,702596.826523079,802514.916103178
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",53450476.0049637,11193977.7857062,28230371.0822885,44607907.1957659,53736023.3988541,62134856.0666007,79797466.479961
"Cml Pop Growth","Neonatal Female",17868161.3885322,4097852.85388787,8908663.18655847,15098642.7993195,17454001.725681,21085376.1017684,27237896.1358241
"Cml Pop Growth","Neonatal Male",18192138.7856631,4095599.53450229,9237089.83649723,15398229.2075011,17813021.9311392,21435081.2188319,27566588.2250827
"Cml Pop Growth","Neonatal Combined",36060300.1741953,8193392.94283545,18145753.0230557,30496872.0068206,35267023.6568202,42520457.3206003,54804484.3609068
"Cml Pop Growth","Juvenile Female",8120982.60389291,1684945.76193041,4142174.69113774,6626543.84061615,8340068.52229899,9392453.02279076,12144241.9953392
"Cml Pop Growth","Juvenile Male",7301851.77684595,1527845.02384357,3751970.53735251,5922860.82013857,7448678.87117066,8438276.89749902,11027433.6540422
"Cml Pop Growth","Juvenile Combined",15422834.3807389,3212355.4720542,7894145.22849024,12543845.7131749,15792718.3117651,17840957.4220366,23171675.6493814
"Cml Pop Growth","Adult Female",1196750.18794864,303347.184223979,435623.133228855,963481.038493592,1187525.05940225,1379583.58893555,1910473.52868664
"Cml Pop Growth","Adult Male",770591.262080865,244244.007286188,153757.579567881,577605.689197375,763191.68513176,920425.464457176,1329844.13927963
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",55405884.8779141,11418314.8858205,29439445.4025991,46344517.371618,56047461.4206607,64522142.7772244,82468196.2507786
"Total Number Increase","Neonatal Female",17868161.3885322,4097852.85388787,8908663.18655847,15098642.7993195,17454001.725681,21085376.1017684,27237896.1358241
"Total Number Increase","Neonatal Male",18192138.7856631,4095599.53450229,9237089.83649723,15398229.2075011,17813021.9311392,21435081.2188319,27566588.2250827
"Total Number Increase","Neonatal Combined",36060300.1741953,8193392.94283545,18145753.0230557,30496872.0068206,35267023.6568202,42520457.3206003,54804484.3609068
"Total Number Increase","Juvenile Female",8261677.80277988,1709121.87951616,4218507.07320456,6753885.8851763,8490859.07503083,9546970.77022457,12325564.3073198
"Total Number Increase","Juvenile Male",8348792.11919632,1732269.71637034,4253980.94133266,6840735.78871106,8582782.37811196,9638347.7308701,12421878.905273
"Total Number Increase","Juvenile Combined",16610469.9219762,3441349.82114401,8472488.01453722,13594621.6738874,17073641.4531428,19185318.5010947,24747443.2125929
"Total Number Increase","Adult Female",1300163.65461768,306265.237219101,532049.741605164,1064986.19516792,1290435.56116423,1485422.82267258,2021441.34398016
"Total Number Increase","Adult Male",1434951.12712497,297991.376678535,688062.505455249,1204177.293495,1428361.43296823,1614261.86619361,2132359.05538281
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",3567217.82197896,675919.735936457,1867922.25896102,3053802.63880153,3639601.28504809,4034870.97815626,5159121.19956716
"Total Mortality","Neonatal Female",1352336.36399439,271355.8554566,693806.193696495,1149278.72838534,1383728.26862135,1555373.49720789,2015631.81344641
"Total Mortality","Neonatal Male",1316390.72800974,274583.122925335,614705.270724358,1085079.53531058,1348570.49535592,1514419.98868055,1962788.48575168
"Total Mortality","Neonatal Combined",2668727.09200413,544494.510067077,1308511.46442085,2234358.26369592,2734345.47740838,3063782.76214626,3971479.14868935
"Total Mortality","Juvenile Female",366511.087325051,67111.497725565,201193.939108226,312430.131551332,364155.096205818,408293.988874012,525200.072013472
"Total Mortality","Juvenile Male",301146.011692103,62314.1908359285,142978.890306246,252433.351637292,300171.356683957,339177.698410189,445958.095006269
"Total Mortality","Juvenile Combined",667657.099017155,129390.479399338,344172.829414473,565284.555107352,662714.657562442,747341.000972085,971158.167019741
"Total Mortality","Adult Female",230833.630957673,6696.05051927141,215237.96512569,226401.477127494,230975.954240531,235531.592587116,247696.016280179
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",37381800261.9695,6845162355.33974,20049259494.9798,32261773640.9381,38071145125.5018,42027249188.1268,53299648619.7051
"Value of Total Mortality","Neonatal Female",9223223940.08773,1850705112.25318,4731906991.38013,7838327330.168,9437323459.99199,10607980719.2741,13747041114.2907
"Value of Total Mortality","Neonatal Male",15215926266.499,3173857475.26021,7105268881.00427,12542241335.5457,15587886473.1414,17504911265.301,22687522967.5044
"Value of Total Mortality","Neonatal Combined",24439150206.5867,5012190996.7304,11837175872.3844,20380568665.7137,24932077401.5188,28050633347.7865,36354332557.7511
"Value of Total Mortality","Juvenile Female",4088801849.3009,748696630.195743,2244521867.80441,3485474092.98822,4062518385.63937,4554932373.12604,5859137963.2593
"Value of Total Mortality","Juvenile Male",4999616348.80543,1034538181.38034,2373730913.7603,4190890341.65897,4983435157.87486,5631017181.97599,7403781873.60844
"Value of Total Mortality","Juvenile Combined",9088418198.10634,1782761513.5283,4618252781.56472,7683869098.95459,9023817339.66924,10184491617.1211,13262919836.8677
"Value of Total Mortality","Adult Female",3854231857.27638,111804034.456488,3593830841.03067,3780228132.52555,3856608230.80803,3932673777.985,4135783303.78805
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",4395664172.75863,1324659463.58613,1976026360.35482,3454606221.37958,4483727853.0164,5174461897.31239,8180867329.22217
"Population Liveweight (kg)","Neonatal Female",979168344.421876,637118162.922968,18573864.0290339,461384925.186772,863662764.73792,1397910642.25988,2725191649.62521
"Population Liveweight (kg)","Neonatal Male",1028889214.05668,607467855.396713,32547174.5813021,565621917.647804,993675591.692873,1451384449.4881,2343527691.01962
"Population Liveweight (kg)","Juvenile Female",741008017.213429,516586458.89331,26675279.3414179,307829908.427528,696346689.305044,1113630455.85837,2147037708.31063
"Population Liveweight (kg)","Juvenile Male",685231909.441314,394596992.485924,49682668.2845261,342280607.283296,688195044.749112,940090917.991538,1843388190.78647
"Population Liveweight (kg)","Juvenile Combined",1426239926.65474,698028007.573228,166140286.032397,996264637.675385,1319103084.9095,1900645765.20759,3250784770.92358
"Population Liveweight (kg)","Adult Female",420805763.842121,209324695.896643,10486384.7629195,302713309.517747,403353219.541999,577033756.125649,891114303.98318
