"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",3134060.31964297,537194.278554444,2426960.60456503,2818622.88425695,2932748.66343705,3441434.16323225,4269424.81719087
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",267251.634192322,51581.6122856316,199587.838750604,236714.027134924,248127.915518169,296909.67292139,376073.065897153
"Num Offtake","Juvenile Male",1850665.83344317,413764.889873671,1317858.41413913,1595663.30814536,1704261.96323039,2094891.24936876,2715378.31195218
"Num Offtake","Juvenile Combined",2117917.46763549,465324.37816308,1517446.25288973,1832377.33528028,1952389.87874856,2391800.92229015,3091451.37784933
"Num Offtake","Adult Female",203224.275099246,5663.77294945988,194896.20369505,200508.681523555,201944.594689299,205583.291779558,215664.504388565
"Num Offtake","Adult Male",812918.57690824,68218.454138565,714618.147980243,779142.773672423,793885.044617475,844049.949162545,962308.934952969
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",51849758.410214,17943830.5003649,28683402.943714,37533463.3697966,48351419.9421027,68636014.1719391,76443945.2678942
"Cml Pop Growth","Neonatal Female",17716318.0888173,6882620.03628876,8687325.85826567,12406416.9607002,15750723.4846912,25129658.0319553,25851210.1022093
"Cml Pop Growth","Neonatal Male",18019867.3128172,6882620.03628876,8990875.08226561,12709966.1847001,16054272.7086911,25433207.2559552,26154759.3262093
"Cml Pop Growth","Neonatal Combined",35736185.4016345,13765240.0725775,17678200.9405313,25116383.1454003,31804996.1933823,50562865.2879105,52005969.4284186
"Cml Pop Growth","Juvenile Female",7894196.97666956,2244079.75056607,5301026.78290481,6030725.00919094,7705053.53842955,9394386.48023568,12015832.4100104
"Cml Pop Growth","Juvenile Male",6411577.13091734,1933419.37836406,4089374.75695917,4757396.20943218,6330741.07751516,7714382.36378525,9862749.74865174
"Cml Pop Growth","Juvenile Combined",14305774.1075869,4176418.39328833,9390401.53986399,10788121.2186231,14035794.6159447,17108768.8440209,21878582.1586622
"Cml Pop Growth","Adult Female",1301712.22380212,321291.214445965,882666.691023155,1109007.45029246,1184166.29266211,1488065.1618195,1977627.54115762
"Cml Pop Growth","Adult Male",506086.677190507,229453.521618265,224644.976132076,352207.50296055,434743.984412839,649019.471988433,972993.590012949
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",54983818.729857,18370652.2109926,31110363.5482791,40381327.7424354,51566901.1133495,71766323.424667,80713370.0850851
"Total Number Increase","Neonatal Female",17716318.0888173,6882620.03628876,8687325.85826567,12406416.9607002,15750723.4846912,25129658.0319553,25851210.1022093
