"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",2446292.83602758,405939.206159724,1420351.77046672,2140193.48808558,2413143.15465673,2738902.57349689,3763227.88169857
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",191499.343686638,36760.2847758015,97981.1117264308,163884.545330039,188628.531784902,217978.12569094,310662.126718561
"Num Offtake","Juvenile Male",1386059.6730727,303121.839875142,610605.559803161,1159302.65999435,1361712.97741976,1602230.12708615,2364737.50207451
"Num Offtake","Juvenile Combined",1577559.01675934,339875.200925859,708586.671529591,1322937.64792763,1549855.3104218,1820437.00675289,2675399.62879307
"Num Offtake","Adult Female",142223.453993142,4234.72430335231,132356.6825612,139050.720846173,141836.428119559,145211.997637824,155888.229170968
"Num Offtake","Adult Male",726510.3652751,63145.6165766046,579240.295598033,679306.898087134,720454.604539809,771056.621578801,931940.02373453
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",53344197.8028514,11558087.4995114,17962404.7458776,45547803.6245306,52206514.7616902,60714887.3918029,100023499.545771
"Cml Pop Growth","Neonatal Female",18125488.4245941,4262590.3336657,5318644.9194339,15192642.1807458,17641920.3557653,20908860.241817,34571212.38033
"Cml Pop Growth","Neonatal Male",18453118.2378352,4263093.56418582,5642596.89998514,15503609.9810941,17966543.2281216,21221919.8333529,34981082.030171
"Cml Pop Growth","Neonatal Combined",36578606.6624293,8525631.69953746,10961241.819419,30690014.2777292,35596260.3742102,42140625.0708256,69552294.4105009
"Cml Pop Growth","Juvenile Female",8032690.87225398,1738991.12195421,3158383.60277719,6837468.49153483,7891690.25293066,9286849.17575147,14425960.9433416
"Cml Pop Growth","Juvenile Male",6964211.9258462,1523028.15606213,2619272.25888136,5914969.56675606,6853579.16760384,8024087.44586082,12719689.1357331
"Cml Pop Growth","Juvenile Combined",14996902.7981002,3260966.79670673,5777655.86165854,12753044.7544931,14760405.5055284,17306437.1255634,27145650.0790747
"Cml Pop Growth","Adult Female",1127376.66180164,311338.055890203,332110.731502072,892443.588407094,1103890.75628067,1350768.05052354,2135369.57385842
"Cml Pop Growth","Adult Male",641311.680520331,237855.070447874,23330.9805235065,465084.690739568,622074.607482924,810239.714941051,1401682.51120742
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",55790490.638879,11851065.130004,19621816.745166,47801022.8386224,54628205.0491566,63594432.845692,103594227.519598
"Total Number Increase","Neonatal Female",18125488.4245941,4262590.3336657,5318644.9194339,15192642.1807458,17641920.3557653,20908860.241817,34571212.38033
"Total Number Increase","Neonatal Male",18453118.2378352,4263093.56418582,5642596.89998514,15503609.9810941,17966543.2281216,21221919.8333529,34981082.030171
"Total Number Increase","Neonatal Combined",36578606.6624293,8525631.69953746,10961241.819419,30690014.2777292,35596260.3742102,42140625.0708256,69552294.4105009
"Total Number Increase","Juvenile Female",8224190.21594062,1773090.21253683,3268360.65275334,7006716.35439596,8090842.6634192,9509949.38828666,14719927.5727511
"Total Number Increase","Juvenile Male",8350271.5989189,1803982.29560744,3323000.88519137,7112138.96520496,8207965.58936796,9649060.48490427,14959481.1159785
"Total Number Increase","Juvenile Combined",16574461.8148595,3577011.17553608,6591361.53794471,14129637.7139167,16293964.9867197,19167816.1044143,29679408.6887296
"Total Number Increase","Adult Female",1269600.11579478,315454.977404859,464635.534841168,1031631.6220214,1245249.95418187,1496334.50116275,2291257.80302939
"Total Number Increase","Adult Male",1367822.04579543,299133.394613627,602571.27612154,1144048.677626,1343795.70140108,1581148.15172975,2333622.53494195
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",3513738.18232385,693868.347578926,1681206.2902648,3020599.49720112,3462467.8152085,4020267.23436747,5962070.17985067
"Total Mortality","Neonatal Female",1339414.50650318,281304.240842051,576103.144214473,1138143.18436816,1317218.13867211,1539836.68498363,2425754.4972367
"Total Mortality","Neonatal Male",1299417.48447526,280990.036824934,538277.129594194,1104935.71144498,1275819.38376852,1500346.20448855,2280541.83908286
"Total Mortality","Neonatal Combined",2638831.99097844,561109.65276992,1114380.27380867,2243572.87823772,2589570.6393479,3039444.24529199,4706296.33631956
"Total Mortality","Juvenile Female",359026.71724918,69073.564321087,182915.806137737,306335.590008184,353755.959756014,408892.298490846,589051.412193683
"Total Mortality","Juvenile Male",287306.065892957,62776.1417360375,126417.91524189,239870.85054786,282273.402056521,332491.734514332,487452.838196303
"Total Mortality","Juvenile Combined",646332.783142136,131805.325584059,309333.721379627,546026.221584319,636605.364444908,742432.194076725,1076504.25038999
"Total Mortality","Adult Female",228573.408203265,6805.80691610193,212716.096973358,223474.372788493,227951.402335006,233376.424775074,250534.654024769
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",34918810878.7207,6666872278.31664,17550880958.216,30122863954.2271,34390151375.0603,39729867847.9131,57843590631.0544
"Value of Total Mortality","Neonatal Female",9975827698.76986,2095126358.53096,4290759638.25951,8476778658.63028,9810511331.09857,11468552400.3657,18066781258.8693
"Value of Total Mortality","Neonatal Male",12765762152.6737,2760507704.59401,5288152491.95933,10855130591.0725,12533929239.4827,14739729934.3728,22404542839.2164
"Value of Total Mortality","Neonatal Combined",22741589851.4435,4845596646.62172,9578912130.21885,19330549987.0204,22333581444.6903,26214839175.0067,40471324098.0857
"Value of Total Mortality","Juvenile Female",3323223746.39791,639358850.39125,1693105613.99406,2835504039.59342,3274436551.40307,3784789629.23784,5452378741.75433
"Value of Total Mortality","Juvenile Male",5251118431.45748,1147365106.62017,2310551441.8218,4384140796.21466,5159135988.45302,6076980901.84415,8909218728.68686
"Value of Total Mortality","Juvenile Combined",8574342177.85539,1786169908.60776,4003657055.81586,7222719190.23295,8441659205.28113,9878181015.40636,14361597470.4412
