"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",2820804.09302424,475741.339607568,1609765.03677285,2451460.86416908,2767650.68857848,3140702.91051017,4295334.51771928
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",233999.406239616,44535.7076343301,120019.965450938,199503.56821727,228923.924601123,263934.324071287,372181.914036803
"Num Offtake","Juvenile Male",1666370.76671516,361180.275020771,731453.502031253,1386404.52511406,1630556.65708106,1908069.33443692,2790535.81730364
"Num Offtake","Juvenile Combined",1900370.17295478,405704.33205307,851473.467482192,1585225.31429038,1860004.1475455,2172267.14215392,3162717.73134044
"Num Offtake","Adult Female",170275.617342344,5060.20424051414,158549.417640836,166672.653633823,169792.005084008,173591.048538245,185681.158601045
"Num Offtake","Adult Male",750158.302727119,66405.246590483,593866.615747605,701798.610282396,743766.085458883,793272.582333158,952396.228375996
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",55582188.061613,11888577.1929939,22211349.2537643,47381693.437054,54829524.3724668,63437560.1942974,91634977.3855471
"Cml Pop Growth","Neonatal Female",19185615.82403,4404841.81683919,6499062.56655266,16091730.9555901,18946753.1330788,22128729.7271889,33351403.3684449
"Cml Pop Growth","Neonatal Male",19489165.04803,4404841.81683919,6802611.7905526,16395280.1795901,19250302.3570788,22432278.9511889,33654952.5924448
"Cml Pop Growth","Neonatal Combined",38674780.87206,8809683.63367837,13301674.3571053,32487011.1351802,38197055.4901576,44561008.6783778,67006355.9608897
"Cml Pop Growth","Juvenile Female",8258768.09253522,1778982.55803067,3376921.85740691,6947773.76573493,8083265.13375726,9435409.57956572,14202768.9777115
"Cml Pop Growth","Juvenile Male",6971312.49103343,1522010.65862722,2815257.71014159,5840180.6764898,6848883.88429365,7985777.40734324,12211810.0178862
"Cml Pop Growth","Juvenile Combined",15230080.5835686,3299511.33342246,6192179.5675485,12788780.0984051,14933767.8337056,17391230.894481,26414578.9955976
"Cml Pop Growth","Adult Female",1131588.41212891,313757.204069287,323401.6192831,886811.32225217,1098364.61724446,1343094.67559872,2106688.37366069
"Cml Pop Growth","Adult Male",545738.193855467,226281.626447294,-57114.8035120363,375391.606407807,527574.173086556,695882.02082836,1253258.61325664
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",58402992.1546373,12232461.0127675,24117356.7095822,50046257.950081,57698664.2428336,66466275.2154524,95930311.9032664
"Total Number Increase","Neonatal Female",19185615.82403,4404841.81683919,6499062.56655266,16091730.9555901,18946753.1330788,22128729.7271889,33351403.3684449
"Total Number Increase","Neonatal Male",19489165.04803,4404841.81683919,6802611.7905526,16395280.1795901,19250302.3570788,22432278.9511889,33654952.5924448
"Total Number Increase","Neonatal Combined",38674780.87206,8809683.63367837,13301674.3571053,32487011.1351802,38197055.4901576,44561008.6783778,67006355.9608897
"Total Number Increase","Juvenile Female",8492767.49877483,1820255.62773559,3496941.82285785,7156143.46549186,8303735.32406804,9700102.47021928,14545048.3072433
"Total Number Increase","Juvenile Male",8637683.2577486,1856476.86811624,3546711.21217284,7275818.18832455,8436828.64992008,9864760.20039538,14775718.402475
"Total Number Increase","Juvenile Combined",17130450.7565234,3676662.43285128,7043653.03503069,14435800.3969461,16740563.9739881,19553839.1267256,29320766.7097184
"Total Number Increase","Adult Female",1301864.02947126,318671.306477523,482537.126113663,1053034.00302285,1267231.64445916,1518040.99292929,2291783.29456592
"Total Number Increase","Adult Male",1295896.49658259,290588.595274773,542041.258948056,1071585.321405,1267449.34503454,1490251.93848975,2200780.47873026
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",955817.881683964,145108.861786668,585028.634242935,843384.264690141,941378.5300526,1053701.57035561,1421964.61889496
