"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1439464.08827903,1563.04258652749,1435979.95592167,1438374.74718549,1439315.23208474,1440512.79085874,1445045.22188808
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",103884.329700679,655.75476141991,102415.518583393,103420.747854097,103819.070030233,104317.368299529,106258.518636377
"Num Offtake","Juvenile Male",101283.812795776,655.75476141991,99815.0016784912,100820.230949195,101218.553125331,101716.851394626,103658.001731475
"Num Offtake","Juvenile Combined",205168.142496455,1311.50952283982,202230.520261885,204240.978803292,205037.623155565,206034.219694155,209916.520367852
"Num Offtake","Adult Female",342357.113145576,75.8767053054999,342195.847863441,342301.823010275,342348.62192254,342405.428653373,342636.291547053
"Num Offtake","Adult Male",88400.6386096552,175.048269060058,88027.8683538174,88273.2686168005,88380.6550668192,88512.8382142293,89042.8087170804
"Num Offtake","Oxen",803538.194027348,6.3051824899107,803525.050120016,803533.366796734,803537.218169413,803542.060117207,803562.95010123
"Cml Pop Growth","Overall",2681480.46491272,168673.580151377,2229816.32240641,2562515.39844536,2671711.49023525,2790782.54051836,3380551.53087556
"Cml Pop Growth","Neonatal Female",702601.411287823,56938.3066496294,553088.857519733,660318.944109849,699268.984830957,736413.164587746,928673.456760977
"Cml Pop Growth","Neonatal Male",749243.469974621,56938.3066496294,599730.916206531,706961.002796648,745911.043517755,783055.223274544,975315.515447776
"Cml Pop Growth","Neonatal Combined",1451844.88126244,113876.613299259,1152819.77372626,1367279.9469065,1445180.02834871,1519468.38786229,1903988.97220875
"Cml Pop Growth","Juvenile Female",626031.783341701,28643.0377950919,554929.101382752,605964.509073414,623460.427494447,642821.669878045,733355.85990338
"Cml Pop Growth","Juvenile Male",603661.215767324,28643.0377950919,532558.533808376,583593.941499037,601089.859920071,620451.102303668,710985.292329002
"Cml Pop Growth","Juvenile Combined",1229692.99910902,57286.0755901838,1087487.63519113,1189558.45057245,1224550.28741452,1263272.77218171,1444341.15223238
"Cml Pop Growth","Adult Female",47849.6438801138,5288.23856554908,35994.7960767252,44127.9476172721,47298.6609938852,51341.3877581882,67047.5271412265
"Cml Pop Growth","Adult Male",616862.690359372,5026.91441668656,605580.530582074,613307.390779072,616317.075866371,620189.838743817,635183.606687485
"Cml Pop Growth","Oxen",-664769.749698238,268.577859884974,-665342.437724327,-664965.559325823,-664800.057562449,-664596.385502382,-663786.448045349
"Total Number Increase","Overall",4120944.55319175,169819.612969278,3666073.65496258,4000688.99787469,4111418.03739015,4231298.27200076,4824736.98382882
"Total Number Increase","Neonatal Female",702601.411287823,56938.3066496294,553088.857519733,660318.944109849,699268.984830957,736413.164587746,928673.456760977
"Total Number Increase","Neonatal Male",749243.469974621,56938.3066496294,599730.916206531,706961.002796648,745911.043517755,783055.223274544,975315.515447776
"Total Number Increase","Neonatal Combined",1451844.88126244,113876.613299259,1152819.77372626,1367279.9469065,1445180.02834871,1519468.38786229,1903988.97220875
"Total Number Increase","Juvenile Female",729916.113042379,29254.8933899852,657434.803439727,709407.126926502,727215.61515508,747049.503203877,839238.264896375
"Total Number Increase","Juvenile Male",704945.0285631,29254.8933899852,632463.718960448,684436.042447223,702244.530675801,722078.418724597,814267.180417095
"Total Number Increase","Juvenile Combined",1434861.14160548,58509.7867799704,1289898.52240017,1393843.16937373,1429460.14583088,1469127.92192847,1653505.44531347
"Total Number Increase","Adult Female",390206.75702569,5362.034334611,378190.643940166,386422.291461067,389657.493267275,393746.446164254,409650.371488075
"Total Number Increase","Adult Male",705263.328969027,5196.9983555251,693608.398935891,701599.932499022,704710.895943762,708699.47638163,724153.943334996
"Total Number Increase","Oxen",138768.44432911,274.785073524542,138183.281718203,138568.503061257,138737.074814193,138944.571615361,139776.502055881
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",4510003585.06911,392187032.076474,3452864968.6842,4230705904.62568,4512137140.07741,4794725879.03251,5889833861.04741
"Population Liveweight (kg)","Neonatal Female",196268560.8199,45992290.2689707,67773080.5040003,166176501.635802,199579142.87166,231829950.306734,289927044.787798
"Population Liveweight (kg)","Neonatal Male",215036724.351279,54155268.010835,72695881.0991215,178009780.96971,216626674.447286,257788489.174375,333139368.047843
"Population Liveweight (kg)","Juvenile Female",386446729.392591,84537273.1364719,194515976.389133,323880008.740186,381402487.691765,447597713.964183,598602196.105986
"Population Liveweight (kg)","Juvenile Male",412847786.817877,94998805.0597762,205384708.641724,337531844.393854,405177444.736352,481822636.550525,673973015.243433
"Population Liveweight (kg)","Juvenile Combined",799294516.210468,126745752.674113,510236912.966387,704056854.908863,791978900.353979,885731756.781825,1227632083.75596
"Population Liveweight (kg)","Adult Female",1405464314.7104,213937865.25572,909255627.665525,1247379397.69839,1394501712.82148,1560406200.72158,1978973673.58272
"Population Liveweight (kg)","Adult Male",290212904.562275,51569551.4089113,173905920.739045,250494521.754417,287110812.47443,329119478.476096,422559531.62161
"Population Liveweight (kg)","Oxen",1603726564.41479,279280063.582759,937808722.721162,1392268349.98352,1623956186.15804,1807540527.51476,2312987821.48009
"Offtake Liveweight (kg)","Overall",395519521.670115,44477275.3678231,279617910.365255,364402274.836515,396619166.405364,429308033.892727,505471910.229048
"Offtake Liveweight (kg)","Juvenile Female",19549216.6046012,4103731.73228145,9570455.0788932,16548630.9999526,19466408.2913596,22505281.0424261,29697282.7836432
"Offtake Liveweight (kg)","Juvenile Male",20507500.0617272,4745797.40771908,10593312.1896531,16865867.8675554,20110994.5676756,23811878.0773154,33469780.3164884
"Offtake Liveweight (kg)","Adult Female",83666967.6767053,12617526.2480784,52352295.0275729,74631102.3236404,83612495.8451948,92988042.054969,116428749.697624
"Offtake Liveweight (kg)","Adult Male",26817038.1988807,4757343.56869613,15494723.198417,23173351.9288023,26774166.5493753,30267469.6734142,38675192.6475543
"Offtake Liveweight (kg)","Oxen",244978799.128201,42253475.9811126,146360379.459374,212692492.777762,245943254.816485,276676113.819029,348276643.862506
"Meat (kg)","Overall",1275730306.12229,48467129.7013098,1120991574.99386,1241870194.95125,1275842817.07843,1309334811.11716,1423089560.00417
"Manure","Overall",10410847109.8918,333103075.861988,9358596293.39817,10195757551.8799,10417465042.5265,10644922593.0737,11483553769.6648
"Manure","Neonatal Female",387587533.159867,13150276.4512076,349957838.51017,378360230.538457,386975045.841268,396092932.237432,439534228.473755
"Manure","Neonatal Male",376863028.409839,12502535.6035237,342462773.139195,368272377.48023,376400635.231865,384875841.528387,421521003.257287
"Manure","Neonatal Combined",764450561.569706,21750132.2444941,711141369.24238,748552477.690199,763739045.397305,778070002.832483,844194106.913576
"Manure","Juvenile Female",739210114.289671,25134637.7685759,658909409.88473,722590321.675386,739321368.413662,756381252.48286,816199267.558133
"Manure","Juvenile Male",720183983.239609,24943114.4272345,645568472.961945,702852240.98864,720224344.395011,738046462.138445,791339745.884003
"Manure","Juvenile Combined",1459394097.52928,35975643.229707,1323624825.05822,1434294600.7871,1460590328.11768,1481889427.10894,1588410492.558
"Manure","Adult Female",3921651775.30021,239928832.955217,3219532149.66013,3767941496.25407,3906032205.12231,4044533757.4752,4728678968.07041
"Manure","Adult Male",459421004.698132,29344142.6963562,377047297.874207,439476644.389806,460020701.32444,479737289.457649,538819547.623211
"Manure","Oxen",3805929670.79451,221536080.331214,3128419401.62804,3662309106.13466,3799035328.47619,3935653995.98862,4337238523.50058
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",3783411868.64029,551698904.232994,2202092567.64587,3406092066.29497,3768662080.75959,4124176280.02821,5673893524.45596
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",38811703054.2164,979009176.295819,35656411017.5862,38145836235.5943,38836321706.0472,39466145463.2002,41894439915.9481
"Cml Dry Matter","Neonatal Female",1519481265.51049,106376565.468757,1180812562.56147,1448218610.45139,1520166364.89577,1590822615.82199,1844919313.64451
"Cml Dry Matter","Neonatal Male",1655622959.87756,130031390.112373,1213669331.88148,1571536598.85501,1656218495.24214,1743354378.9384,2084804757.86002
"Cml Dry Matter","Neonatal Combined",3175104225.38805,175659269.83046,2586409186.55167,3056619372.01691,3174947656.97851,3298538165.05794,3718921908.4305
"Cml Dry Matter","Juvenile Female",2977001877.69672,176639450.378976,2421082295.89551,2860977580.63287,2969722071.16445,3098374175.54245,3560066074.27709
"Cml Dry Matter","Juvenile Male",3161801596.11959,208488019.561526,2554102837.03973,3016893597.96128,3167428294.47872,3304510979.83408,3816474530.03964
"Cml Dry Matter","Juvenile Combined",6138803473.81631,275976162.63472,5345570849.33556,5946969900.99998,6142342711.72412,6325654483.6791,7067605363.93655
"Cml Dry Matter","Adult Female",12520251742.2721,564685369.961307,10812654109.2244,12121314322.5187,12521699648.1525,12929426835.2864,14215281283.2677
"Cml Dry Matter","Adult Male",1826612875.58251,92260611.9844638,1510939771.255,1765326891.32099,1828548138.44793,1892388028.30872,2113425908.94279
"Cml Dry Matter","Oxen",15150930737.1574,746191034.224244,13211599177.6489,14619168636.7603,15161174512.2702,15674399493.829,17557607567.1596
"Value of Offtake","Overall",48212801958.9207,6196238691.50491,32691072634.9924,43502405538.984,48227610513.7699,52935185961.4868,63242072200.4192
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",2221022108.5364,105785363.313728,1894311918.11539,2150292384.8326,2237377226.88999,2303397202.05672,2430684737.29515
"Value of Offtake","Juvenile Male",2029728918.42724,56513244.6832195,1787824230.22286,1998030038.22248,2042039698.81729,2071946317.4971,2144871701.78549
"Value of Offtake","Juvenile Combined",4250751026.96364,123729324.065466,3862806845.77992,4171670581.28737,4261671636.38319,4343181601.83643,4524424057.50919
"Value of Offtake","Adult Female",8803933586.7058,668137808.727645,7152860163.42755,8302530883.22801,8812639851.78738,9286303115.57442,10360639984.3443
"Value of Offtake","Adult Male",3529979139.70109,681475089.902838,1851004291.96198,3045673185.91688,3575509454.15314,4019891547.36279,5119230406.682
"Value of Offtake","Oxen",31628138205.5502,6087514476.76932,16432959592.6772,27305929350.516,31672919128.4634,36162488376.1457,46414482087.5862
"Value of draught","Overall",82119692874.6507,978433.46952971,82117641051.4062,82118973605.9162,82119543922.17,82120298685.2917,82123460426.5253
"Value of Herd Increase","Overall",42884975318.1402,7244036692.44809,22006191884.7447,37649122122.7873,42770753711.4535,47949058721.2242,64160022087.961
"Value of Herd Increase","Neonatal Female",9398091173.36108,775009700.451975,7239940542.86903,8847014526.42814,9336685558.66311,9865987322.44088,12467880444.4205
"Value of Herd Increase","Neonatal Male",8955810202.18049,1186043965.88725,6579183436.41592,8114582332.11251,8750419840.20869,9571230876.21567,14013827623.9838
"Value of Herd Increase","Neonatal Combined",18353901375.5416,1741209703.48228,14314913482.7973,17130337424.2956,18165185038.8033,19369022724.2848,26464272480.3793
"Value of Herd Increase","Juvenile Female",13383919761.4033,883760695.921482,10964707320.9746,12767896520.5927,13441368253.5243,13961858164.5846,16645311515.2366
"Value of Herd Increase","Juvenile Male",12112096307.1839,663972748.875596,10392648932.5435,11649916699.4887,12096895499.4795,12555370388.7283,14700703197.058
"Value of Herd Increase","Juvenile Combined",25496016068.5872,1374444507.13685,21878702007.3672,24515437339.4938,25465668020.4295,26369546810.3901,30827882532.1091
"Value of Herd Increase","Adult Female",1227723030.31378,166933292.594732,826423867.936314,1107438964.79577,1215487258.69674,1329038704.2908,1829753729.80926
"Value of Herd Increase","Adult Male",24308368169.4174,4644118755.27447,12739553644.9193,20785464877.0883,24539300977.2553,27685950599.5051,35663109972.9471
"Value of Herd Increase","Oxen",-26501033325.7197,4788015965.2545,-37940322684.5036,-30220281768.9722,-26709474924.6162,-23050246956.7736,-14035225492.801
"Value of Herd Increase plus Offtake","Overall",91097777277.0609,9581040532.7759,61937159889.4766,84846404457.8924,90821072414.1492,97809840841.4005,120159528905.712
"Value of Herd Increase plus Offtake","Neonatal Female",9398091173.36108,775009700.451975,7239940542.86903,8847014526.42814,9336685558.66311,9865987322.44088,12467880444.4205
"Value of Herd Increase plus Offtake","Neonatal Male",8955810202.18049,1186043965.88725,6579183436.41592,8114582332.11251,8750419840.20869,9571230876.21567,14013827623.9838
"Value of Herd Increase plus Offtake","Neonatal Combined",18353901375.5416,1741209703.48228,14314913482.7973,17130337424.2956,18165185038.8033,19369022724.2848,26464272480.3793
"Value of Herd Increase plus Offtake","Juvenile Female",15604941869.9397,894208266.524584,13030361002.8705,14988599482.7206,15639333798.7939,16224466049.3029,18961863003.3352
"Value of Herd Increase plus Offtake","Juvenile Male",14141825225.6111,676278498.070196,12419019884.8279,13693983516.1843,14125073705.857,14582479356.3341,16837182582.7651
"Value of Herd Increase plus Offtake","Juvenile Combined",29746767095.5508,1398327085.23551,26125828645.9042,28737088517.2155,29725161005.6802,30628358443.1362,35289305721.9932
"Value of Herd Increase plus Offtake","Adult Female",10031656617.0196,687031225.074965,8243503349.32851,9541909497.74313,10035321676.7782,10542196668.8782,11781110318.2018
"Value of Herd Increase plus Offtake","Adult Male",27838347309.1185,4694974185.21988,16821381770.6673,24306270112.388,28014734282.9421,31259346662.3654,38577230780.6557
"Value of Herd Increase plus Offtake","Oxen",5127104879.83046,7856330630.54096,-17880133218.7867,-338485822.592138,5508057616.52907,10600831255.7494,26586214676.8994
"Value of Manure","Overall",5205423554.94592,166551537.930994,4679298146.69909,5097878775.93995,5208732521.26327,5322461296.53683,5741776884.83241
"Value of Manure","Neonatal Female",193793766.579934,6575138.22560379,174978919.255085,189180115.269229,193487522.920634,198046466.118716,219767114.236878
"Value of Manure","Neonatal Male",188431514.204919,6251267.80176186,171231386.569598,184136188.740115,188200317.615933,192437920.764193,210760501.628643
"Value of Manure","Neonatal Combined",382225280.784853,10875066.1222471,355570684.62119,374276238.8451,381869522.698653,389035001.416242,422097053.456788
"Value of Manure","Juvenile Female",369605057.144835,12567318.8842879,329454704.942365,361295160.837693,369660684.206831,378190626.24143,408099633.779066
"Value of Manure","Juvenile Male",360091991.619804,12471557.2136172,322784236.480972,351426120.49432,360112172.197505,369023231.069223,395669872.942001
"Value of Manure","Juvenile Combined",729697048.764639,17987821.6148535,661812412.529111,717147300.393552,730295164.058838,740944713.554471,794205246.278998
"Value of Manure","Adult Female",1960825887.65011,119964416.477609,1609766074.83007,1883970748.12704,1953016102.56116,2022266878.7376,2364339484.0352
"Value of Manure","Adult Male",229710502.349066,14672071.3481781,188523648.937103,219738322.194903,230010350.66222,239868644.728824,269409773.811606
"Value of Manure","Oxen",1902964835.39726,110768040.165607,1564209700.81402,1831154553.06733,1899517664.2381,1967826997.99431,2168619261.75029
"Value of Hides","Overall",0,0,0,0,0,0,0
"Value of Hides","Juvenile Female",0,0,0,0,0,0,0
"Value of Hides","Juvenile Male",0,0,0,0,0,0,0
"Value of Hides","Juvenile Combined",0,0,0,0,0,0,0
"Value of Hides","Adult Female",0,0,0,0,0,0,0
"Value of Hides","Adult Male",0,0,0,0,0,0,0
"Value of Hides","Oxen",0,0,0,0,0,0,0
"Value of Milk","Overall",117285767927.849,17102666031.2228,68264869597.0219,105588854055.144,116828524503.547,127849464680.875,175890699258.135
"Total Production Value","Overall",295708661634.507,19518755509.2366,242741208066.82,282434832012.09,295763390545.765,308975919889.602,364780011504.163
"Total Production Value","Neonatal Female",9591884939.94101,778643450.260992,7420825301.16019,9041514203.70001,9532228899.72828,10063787383.3054,12684172915.3356
"Total Production Value","Neonatal Male",9144241716.38541,1187692971.44326,6761130436.37665,8299170570.4653,8940595156.27538,9761108753.14884,14210045495.5405
"Total Production Value","Neonatal Combined",18736126656.3264,1746697910.56585,14686148685.5407,17505904359.589,18545075896.1543,19757825383.1213,26880257466.173
"Total Production Value","Juvenile Female",15974546927.0846,895758964.638605,13414854765.7877,15351921637.0074,16009813765.8149,16591178440.9829,19339156147.8368
"Total Production Value","Juvenile Male",14501917217.2309,678349693.032592,12767013001.864,14052045619.8687,14477158099.2941,14935937725.4618,17195577327.9768
"Total Production Value","Juvenile Combined",30476464144.3155,1402057622.83214,26860944726.6173,29469589514.3625,30469147005.7897,31361328338.3484,36027787350.7343
"Total Production Value","Adult Female",129278250432.519,17113084095.1073,80874736474.151,117622214785.318,128539884302.011,140278084689.31,188877286996.995
"Total Production Value","Adult Male",28068057811.4675,4694631903.27933,17075286624.3293,24530741913.2189,28244670241.3797,31490704220.4554,38817570193.6326
"Total Production Value","Oxen",89149762589.8784,7861143916.02555,66063563302.9485,83721250618.181,89578800089.2779,94662451379.6926,110413291121.01
"Feed Cost","Overall",24581639942.1055,906769266.155877,21723468227.864,23969107539.4636,24559869228.0229,25215674908.6274,27544886475.6333
"Feed Cost","Neonatal Female",962548298.814714,85917764.8535973,716552803.763554,901388968.156294,960320550.933946,1017506614.64499,1250617915.89294
"Feed Cost","Neonatal Male",1048210374.93399,100582340.539422,717115194.050181,980532635.35798,1045481948.01568,1116474165.28096,1448438650.64812
"Feed Cost","Neonatal Combined",2010758673.7487,133980753.688117,1621576268.85111,1920654747.11241,2005925769.89784,2096362862.60916,2433416691.02403
"Feed Cost","Juvenile Female",1884700885.86602,153934023.407881,1462258163.90372,1778687718.3535,1878483454.76265,1991983147.48209,2401221011.69563
"Feed Cost","Juvenile Male",2005481630.68436,168484860.934971,1513640814.81117,1896315386.89834,2005550000.72124,2112609540.10962,2565602087.76195
"Feed Cost","Juvenile Combined",3890182516.55039,224674972.400065,3271461430.57238,3735048865.17143,3895065832.85117,4031298940.00474,4604082267.39978
"Feed Cost","Adult Female",7933205161.04608,537787135.318822,6528245031.03304,7567426991.91582,7940679085.53631,8283271278.18475,9658966477.23188
"Feed Cost","Adult Male",1160210478.73493,88200634.0366693,899691365.437143,1101159258.19629,1157145823.71857,1217372100.3405,1461492532.21387
"Feed Cost","Oxen",9587283112.02545,691958131.238842,7519284829.14356,9096952941.8733,9542564254.07675,10071653097.0508,11675882558.0123
"Labour Cost","Overall",21727663304.7893,297090613.559152,20738768271.3037,21521490526.5399,21720431402.1267,21933560027.9139,22645936250.379
"Labour Cost","Neonatal Female",1294263162.7332,29685059.8792512,1219202774.37412,1273237994.59288,1291940786.20369,1311866289.19559,1407567782.91743
"Labour Cost","Neonatal Male",1260810409.36252,29685059.8792512,1185750021.00343,1239785241.2222,1258488032.83301,1278413535.82491,1374115029.54675
"Labour Cost","Neonatal Combined",2555073572.09572,59370119.7585025,2404952795.37755,2513023235.81508,2550428819.03669,2590279825.0205,2781682812.46418
"Labour Cost","Juvenile Female",1395513520.94099,10313483.1950315,1372590222.95118,1388198151.84987,1394563565.12055,1402247655.08806,1433034147.02989
"Labour Cost","Juvenile Male",1360143089.34115,10313483.1950315,1337219791.35134,1352827720.25003,1359193133.52072,1366877223.48822,1397663715.43005
"Labour Cost","Juvenile Combined",2755656610.28214,20626966.3900629,2709810014.30252,2741025872.0999,2753756698.64127,2769124878.57628,2830697862.45994
"Labour Cost","Adult Female",8059961461.06933,207677466.144614,7430724273.23903,7917155067.75843,8054922244.70556,8202065444.16252,8675876915.81449
"Labour Cost","Adult Male",522780288.338497,1276136.17325606,520009797.546119,521870389.113736,522649383.925817,523610512.111605,527321912.905622
"Labour Cost","Oxen",7834191373.00364,201786389.10791,7231468214.10771,7697359086.41311,7833647764.85529,7966206602.43232,8481923252.82497
"Health Cost","Overall",0,0,0,0,0,0,0
"Health Cost","Neonatal Female",0,0,0,0,0,0,0
"Health Cost","Neonatal Male",0,0,0,0,0,0,0
"Health Cost","Neonatal Combined",0,0,0,0,0,0,0
"Health Cost","Juvenile Female",0,0,0,0,0,0,0
"Health Cost","Juvenile Male",0,0,0,0,0,0,0
"Health Cost","Juvenile Combined",0,0,0,0,0,0,0
"Health Cost","Adult Female",0,0,0,0,0,0,0
"Health Cost","Adult Male",0,0,0,0,0,0,0
"Health Cost","Oxen",0,0,0,0,0,0,0
"Capital Cost","Overall",0,0,0,0,0,0,0
"Capital Cost","Neonatal Female",0,0,0,0,0,0,0
"Capital Cost","Neonatal Male",0,0,0,0,0,0,0
"Capital Cost","Neonatal Combined",0,0,0,0,0,0,0
"Capital Cost","Juvenile Female",0,0,0,0,0,0,0
