"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1408332.34854568,48.8009351508744,1408189.46767372,1408299.37488695,1408331.8333596,1408365.55749818,1408485.56698693
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",97480.5390687425,28.5680722814738,97394.0971726431,97461.6210430007,97481.1958694877,97500.8780422871,97565.3482673551
"Num Offtake","Juvenile Male",94898.7048648583,29.8595615584145,94812.535903892,94876.8624640743,94898.9081336321,94919.2620147475,94989.6760165277
"Num Offtake","Juvenile Combined",192379.243933601,40.6771116852452,192259.740124478,192350.682164223,192379.310413692,192407.660781826,192504.366261229
"Num Offtake","Adult Female",337239.153495547,3.34048395007708,337229.566183865,337236.810094345,337239.309679464,337241.463038494,337248.298423012
"Num Offtake","Adult Male",90662.3307257251,8.15943849466129,90641.030231729,90656.4694603032,90662.211213301,90667.9794878186,90686.2459925247
"Num Offtake","Oxen",788051.620390808,0.0971580608739008,788051.368028748,788051.552065921,788051.617697902,788051.686808975,788051.890184539
"Cml Pop Growth","Overall",102180.651963119,5199.66367123547,85677.3515515774,98735.0093470216,102339.665367536,105550.000101698,120079.41838108
"Cml Pop Growth","Neonatal Female",-35732.2096135144,2554.08099005977,-43353.8723419737,-37561.6053122477,-35663.837265379,-33997.9316198703,-27970.3922851435
"Cml Pop Growth","Neonatal Male",12611.1881879611,2433.88758399195,5711.72038620804,10978.6846573226,12663.2149899815,14134.5382239307,19752.5188114522
"Cml Pop Growth","Neonatal Combined",-23121.0214255532,3559.66987405165,-34543.3472969686,-25483.7776486494,-23104.7024497035,-20817.5416279035,-9551.97219317453
"Cml Pop Growth","Juvenile Female",290226.991619676,1224.70282876917,286777.457020668,289374.984813867,290271.018823032,291093.962638781,293790.320589843
"Cml Pop Growth","Juvenile Male",268791.583693276,1271.33722153358,264909.856976222,267872.685788634,268768.202894203,269675.599329984,272483.828698595
"Cml Pop Growth","Juvenile Combined",559018.575312953,1741.13335822647,553865.590229062,557890.650008085,559028.032596141,560222.437172967,563536.869370803
"Cml Pop Growth","Adult Female",-161908.617858726,228.693151377946,-162601.270314694,-162060.32498136,-161904.321070223,-161746.390444463,-161228.293216296
"Cml Pop Growth","Adult Male",633744.781492428,235.043986437029,633063.611161957,633571.673480895,633748.769967663,633905.240169016,634461.439832853
"Cml Pop Growth","Oxen",-905553.065557982,4.15368446420248,-905563.93425603,-905556.042621813,-905553.108837411,-905550.198299911,-905540.874179291
"Total Number Increase","Overall",1510513.0005088,5234.35763689622,1493888.18053024,1507033.60933649,1510665.25419959,1513930.8474153,1528456.84430186
"Total Number Increase","Neonatal Female",-35732.2096135144,2554.08099005977,-43353.8723419737,-37561.6053122477,-35663.837265379,-33997.9316198703,-27970.3922851435
"Total Number Increase","Neonatal Male",12611.1881879611,2433.88758399195,5711.72038620804,10978.6846573226,12663.2149899815,14134.5382239307,19752.5188114522
"Total Number Increase","Neonatal Combined",-23121.0214255532,3559.66987405165,-34543.3472969686,-25483.7776486494,-23104.7024497035,-20817.5416279035,-9551.97219317453
"Total Number Increase","Juvenile Female",387707.530688419,1251.07792376994,384171.554193311,386834.384535815,387750.163458938,388580.222455405,391355.668857199
"Total Number Increase","Juvenile Male",363690.288558135,1299.30862781062,359722.392880114,362751.518386663,363669.953007875,364594.005580502,367448.992222446
"Total Number Increase","Juvenile Combined",751397.819246553,1778.82911218512,746125.330353541,750250.073530268,751406.946076025,752639.141758099,756017.294487644
"Total Number Increase","Adult Female",175330.535636821,231.935474761061,174628.29586917,175176.603672145,175335.330388751,175495.239468071,176020.005206716
"Total Number Increase","Adult Male",724407.112218153,242.995907936428,723704.641393686,724228.383517049,724409.792328167,724573.08307187,725147.685825378
"Total Number Increase","Oxen",-117501.445167174,4.24942650293775,-117512.542847892,-117504.496552684,-117501.505038899,-117498.501632986,-117488.987168881
