"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1406342.25308444,275.078542408081,1405496.85362883,1406160.9018965,1406357.82006061,1406533.50645161,1407175.17540811
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94794.4556794657,150.803316473583,94364.3151969229,94689.3802055857,94793.5626231498,94894.6625510345,95205.4184778874
"Num Offtake","Juvenile Male",92297.4133114949,152.941722324726,91772.0201159707,92197.0352685576,92303.4473226412,92402.3902891696,92709.3172385563
"Num Offtake","Juvenile Combined",187091.868990961,217.870549226109,186424.078963213,186945.29868964,187099.524920313,187243.129087236,187757.775485632
"Num Offtake","Adult Female",341361.994424988,23.4736540023876,341290.750130961,341345.568284001,341361.843728065,341377.968112848,341436.549576843
"Num Offtake","Adult Male",89847.967321814,57.3901193451198,89648.3602638496,89810.2224833383,89850.4235197825,89887.1386601214,90015.0831812825
"Num Offtake","Oxen",788040.422346674,0.929072079399989,788037.317307528,788039.830509004,788040.439253239,788041.073192739,788043.150964369
"Cml Pop Growth","Overall",-66349.1841782364,15322.1245308997,-110533.261810273,-76672.415698885,-66165.923919132,-55752.0356420046,-15349.6534282789
"Cml Pop Growth","Neonatal Female",-82296.383502425,6500.59964502896,-106301.335023382,-86564.1749445035,-82212.696092312,-77917.6401828236,-63798.0748839644
"Cml Pop Growth","Neonatal Male",-31713.5989814245,6291.6956545634,-56626.4543427662,-35602.4333891316,-31328.3165158342,-27380.6562224488,-14674.6777149818
"Cml Pop Growth","Neonatal Combined",-114009.982483849,9183.45442945824,-144773.443635933,-120122.553242852,-113573.598256896,-107620.65472954,-85660.3349562278
"Cml Pop Growth","Juvenile Female",191880.724356746,5209.67115393635,176431.133928432,188306.047866779,191830.749332671,195397.15291096,208848.378208948
"Cml Pop Growth","Juvenile Male",173789.512488676,5008.66328646764,155786.973986891,170402.956507691,173838.183744838,177168.504971732,189423.830504678
"Cml Pop Growth","Juvenile Combined",365670.236845421,7224.19881598506,345525.396443732,360703.751002814,365559.009887504,370574.512436945,389648.270204755
"Cml Pop Growth","Adult Female",-25522.0782419237,1204.21648835083,-28954.6319103278,-26357.4456540649,-25519.2615410089,-24725.1511906784,-22229.4051137576
"Cml Pop Growth","Adult Male",613478.283825051,1180.40950375052,609428.858009377,612711.085441231,613528.823790425,614306.231800883,616655.784603331
"Cml Pop Growth","Oxen",-905965.644122935,28.9340171794143,-906066.33474546,-905984.777914406,-905964.410099992,-905946.027174696,-905881.484148551
"Total Number Increase","Overall",1339993.0689062,15498.9110985873,1295428.90081698,1329547.24062206,1340073.06788339,1350707.32232227,1391735.49683797
