"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1403306.59182426,273.46279863965,1402409.46754745,1403125.55835962,1403306.84983541,1403481.26539963,1404075.46962601
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",94769.1602710879,155.491347108206,94301.6559727544,94666.9778898639,94766.9883285972,94874.6077695888,95229.9075234343
"Num Offtake","Juvenile Male",92282.5402049986,152.142359327153,91751.7749567279,92176.4231267871,92284.323443769,92383.1771577621,92835.1631298511
"Num Offtake","Juvenile Combined",187051.700476086,217.567706513906,186341.385254794,186907.797171575,187048.19926592,187188.541099324,187688.159574814
"Num Offtake","Adult Female",338366.539082934,24.0475857839495,338296.157715133,338350.103280564,338366.364239543,338383.335482276,338438.826227069
"Num Offtake","Adult Male",89847.8995419146,56.410903944944,89659.3508263556,89806.9643260949,89850.2871465941,89884.6675965903,90039.1090484281
"Num Offtake","Oxen",788040.452723329,0.906730754227473,788037.672192613,788039.817633554,788040.461141376,788041.069421078,788043.185726166
"Cml Pop Growth","Overall",-192108.480511131,14367.1570004165,-240290.964717664,-201918.264305172,-191748.424595244,-182348.551159215,-141882.084279925
"Cml Pop Growth","Neonatal Female",-90227.4100790227,6300.10229390726,-110510.711368293,-94291.9297553165,-90116.4537863921,-85683.7430426817,-72358.8460077448
"Cml Pop Growth","Neonatal Male",-39596.7464998768,6061.48229648846,-58822.0712447204,-43430.6303350586,-39481.5092342431,-35565.0208385739,-23267.0174495799
"Cml Pop Growth","Neonatal Combined",-129824.156578899,8666.29642311871,-157991.506654454,-135516.636353747,-129813.207553291,-124302.328068357,-105467.633608595
"Cml Pop Growth","Juvenile Female",189754.721628772,5155.25847859947,173597.081615217,186218.412668534,189832.545564596,193395.443549908,204440.423461107
"Cml Pop Growth","Juvenile Male",171938.121748107,4825.26604034936,155957.935053728,168748.508262793,171950.900334511,175272.33964907,189466.477253956
"Cml Pop Growth","Juvenile Combined",361692.843376879,6973.6667471867,337886.485386368,357352.057962905,361884.294940765,366277.800125683,383723.452286789
"Cml Pop Growth","Adult Female",-131365.909688921,1234.11189434885,-135073.99767682,-132182.1035026,-131375.755639779,-130525.040399012,-127705.341114253
"Cml Pop Growth","Adult Male",613354.458703531,1175.38695686242,609258.086579783,612535.422012808,613372.721445646,614126.333595963,617628.368157103
"Cml Pop Growth","Oxen",-905965.716323721,28.4502415727444,-906061.013033089,-905986.40450719,-905964.377923281,-905947.196339844,-905868.731173853
"Total Number Increase","Overall",1211198.11131313,14542.4262209816,1162726.72558595,1201305.95295847,1211578.46416052,1221079.79899644,1261968.43081619
"Total Number Increase","Neonatal Female",-90227.4100790227,6300.10229390726,-110510.711368293,-94291.9297553165,-90116.4537863921,-85683.7430426817,-72358.8460077448
"Total Number Increase","Neonatal Male",-39596.7464998768,6061.48229648846,-58822.0712447204,-43430.6303350586,-39481.5092342431,-35565.0208385739,-23267.0174495799
"Total Number Increase","Neonatal Combined",-129824.156578899,8666.29642311871,-157991.506654454,-135516.636353747,-129813.207553291,-124302.328068357,-105467.633608595
"Total Number Increase","Juvenile Female",284523.88189986,5280.81132128598,267994.902634551,280874.219455222,284615.032815059,288269.93166003,299614.83124224
"Total Number Increase","Juvenile Male",264220.661953106,4947.241449136,247709.710010455,260883.046825609,264257.816595328,267626.785922856,282284.360798913
"Total Number Increase","Juvenile Combined",548744.543852966,7150.1989115101,524323.056402334,544302.801830136,548936.585999805,553433.480501425,571252.714016475
"Total Number Increase","Adult Female",207000.629394013,1256.7137663621,203223.560570035,206168.870692901,206991.321861705,207862.075649006,210726.950081087
"Total Number Increase","Adult Male",703202.358245446,1228.65708917054,698917.437406139,702343.805894754,703217.311872881,704015.49227661,707667.477205531
"Total Number Increase","Oxen",-117925.263600393,29.3324891902566,-118023.340840476,-117946.596057578,-117923.981870342,-117906.129733627,-117825.742826444
"Total Mortality","Overall",800266.614040178,14490.2272819654,751170.722560889,790570.544998607,799731.831870442,810259.881915095,848804.894421379
"Total Mortality","Neonatal Female",162063.539592133,9448.26493822354,135270.834677938,155287.163654222,161956.80781381,168308.383759448,189175.034557687
"Total Mortality","Neonatal Male",155217.149175214,8978.35199627648,129698.077466167,149201.271419376,154941.329310678,161029.130047279,188134.132700762
"Total Mortality","Neonatal Combined",317280.688767347,12991.4778391861,279989.117611027,308530.475814552,316932.264819874,326058.928159579,359497.353180071
"Total Mortality","Juvenile Female",94606.1122566574,5085.64921472169,77859.9407133286,91206.3718583415,94649.6811966335,98201.2521592261,109828.171200167
"Total Mortality","Juvenile Male",91846.8929252621,4927.5356745681,74152.3554819666,88499.6908669197,92069.979624094,95462.5793933599,107546.34345225
"Total Mortality","Juvenile Combined",186453.005181919,6995.59722367829,162806.252191332,181617.864353241,186473.518119562,191666.458094418,207129.887239797
"Total Mortality","Adult Female",112788.846360978,8.01586192798296,112765.385905044,112783.367760188,112788.788079848,112794.445160759,112812.94207569
"Total Mortality","Adult Male",18805.3743227263,11.8069333838257,18765.9106380744,18796.8064868571,18805.8740539383,18813.069962077,18845.3949171129
"Total Mortality","Oxen",164938.699407208,0.189780855536806,164938.117435663,164938.566481441,164938.701169125,164938.828483481,164939.271431058
"Value of Total Mortality","Overall",7281787963.65654,129348814.138375,6883359517.25482,7189560197.5623,7281032855.97094,7371349839.22626,7727971717.83825
"Value of Total Mortality","Neonatal Female",1038773144.87583,60560221.6772449,867040857.567459,995338839.037516,1038089029.83487,1078800509.64441,1212548769.90865
"Value of Total Mortality","Neonatal Male",684565268.439463,39597866.4544142,572016685.582107,658033013.513334,683348800.409929,710198262.390144,829741389.654958
"Value of Total Mortality","Neonatal Combined",1723338413.3153,72141378.6235318,1519344480.72581,1676026345.45225,1720296115.65759,1770967676.5171,1956379845.79215
"Value of Total Mortality","Juvenile Female",1287565868.04487,69214432.2341502,1059654601.15844,1241296239.23685,1288158830.57849,1336494835.9411,1494734338.13123
"Value of Total Mortality","Juvenile Male",1615650828.93115,86678785.1351918,1304391588.93621,1556771212.99725,1619575079.37024,1679253272.66423,1891815100.25093
"Value of Total Mortality","Juvenile Combined",2903216696.97601,109613474.136064,2510949270.5634,2826824998.50609,2906483344.53659,2984088155.15277,3247122584.52793
"Value of Total Mortality","Adult Female",1768840628.25873,125710.854452308,1768472703.51305,1768754708.66671,1768839714.24964,1768928432.90291,1769218515.6166
"Value of Total Mortality","Adult Male",526344042.303599,330464.522418034,525239492.351686,526104236.953925,526358029.291663,526559435.725419,527464179.614525
"Value of Total Mortality","Oxen",4005705710.31017,4609.02298528232,4005691576.53351,4005702482.07141,4005705753.10014,4005708845.06003,4005719602.49684
"Population Liveweight (kg)","Overall",3976371718.73899,285267488.854254,3238357325.77667,3773354567.99519,3968177662.29477,4160062970.70044,5059164398.61397
"Population Liveweight (kg)","Neonatal Female",94517471.3579599,19477363.4489876,34103915.7213462,80859484.9443506,95383225.6639556,109332353.234987,135332197.916231
"Population Liveweight (kg)","Neonatal Male",97013448.2017751,26587475.0033781,30636009.7708155,77769723.1079797,96120877.646012,117653511.741513,161237659.93654
"Population Liveweight (kg)","Juvenile Female",281654819.915916,58638533.9245297,160096788.278009,238690005.193102,277992136.325076,322699922.240721,447373653.387868
"Population Liveweight (kg)","Juvenile Male",298417342.049651,66854654.8718229,171996868.512843,246893667.317072,292492990.474866,345555501.394764,476934390.015958
"Population Liveweight (kg)","Juvenile Combined",580072161.965567,90669632.4263171,365373431.226324,513285316.329619,576059614.518923,640135433.697047,868393065.395631
"Population Liveweight (kg)","Adult Female",1412208020.6798,222840255.266419,940673217.968474,1248683655.06712,1389790369.36744,1570549323.86565,2053362360.5226
"Population Liveweight (kg)","Adult Male",285663213.966915,31144127.4262614,213619339.378891,262090827.070461,285463975.114293,308906202.498793,364893660.443494
"Population Liveweight (kg)","Oxen",1506897402.56697,167393765.255416,1105384184.98328,1385063011.96911,1508461431.13974,1630957139.02984,1894001385.2801
"Offtake Liveweight (kg)","Overall",382304015.722202,28424001.4290568,296978336.458459,362463484.838947,382193270.93592,402055420.751314,470198155.900381
"Offtake Liveweight (kg)","Juvenile Female",16055297.2077288,3356466.97677395,8703906.44789832,13443897.900128,15815275.7239885,18567074.9872234,24656290.0560087
"Offtake Liveweight (kg)","Juvenile Male",17062662.3355375,3813818.63164328,9647722.19606113,14234169.1481798,16594203.3557151,19527244.4660997,28532196.8919204
"Offtake Liveweight (kg)","Adult Female",85476295.6658814,13381016.8948147,57522397.6143421,75772424.1744428,84528976.5974549,94300720.7047638,122260232.032186
"Offtake Liveweight (kg)","Adult Male",26957096.4392334,3025201.03960141,20461762.7391477,24745230.9037632,26884694.1697656,29247533.4323253,33909638.3210045
"Offtake Liveweight (kg)","Oxen",236752664.073821,24933898.900705,176571326.747314,218895567.356959,236809265.868273,254362760.682634,302400306.473169
"Meat (kg)","Overall",1248817924.5663,31792122.8891394,1151229969.02688,1226900566.07308,1248285328.38367,1270625948.82266,1334405252.0314
"Manure","Overall",9846222796.37976,320715011.31743,8823224486.84533,9639516684.66855,9836797815.59803,10055448292.6617,10886827034.3716
"Manure","Neonatal Female",271912356.083796,7005045.39978501,242098452.59732,267181735.843311,271948960.883406,276688942.983241,293725152.783717
"Manure","Neonatal Male",262295278.16114,6808869.79645958,239878303.287365,257809673.420343,262302908.384602,267059648.398682,280208576.614072
"Manure","Neonatal Combined",534207634.244937,9755015.74360206,500545396.2744,527958855.965155,534091702.714041,540661312.431267,569595203.059075
"Manure","Juvenile Female",658759906.345107,21789829.0680314,595989277.309384,644445373.516526,658673030.254227,673593494.691676,724860348.145604
"Manure","Juvenile Male",641243085.811924,21118926.3795471,578541000.383035,627359321.366188,641022683.995289,654885815.657426,716396417.886224
"Manure","Juvenile Combined",1300002992.15703,30710148.7610349,1194199203.79483,1280397629.32724,1298606218.60259,1321287369.61939,1400628133.51468
"Manure","Adult Female",3847266582.01644,225342928.735451,3173831998.63159,3713932167.89809,3849963773.38777,3985452085.37352,4392481471.76919
"Manure","Adult Male",463339348.949704,30122742.8825697,365829464.407805,442588801.776564,464642401.392952,484284212.166318,539099395.440635
"Manure","Oxen",3701406239.01165,227702936.380863,3048712654.42329,3569121860.15487,3709432371.46729,3845544278.78024,4369213052.93467
"Hides","Overall",241492.962636416,3493.21523371762,229690.000484518,239079.444720478,241501.037585281,244094.00433943,251814.670860837
"Hides","Juvenile Female",47303.0561283287,2542.82460736084,38929.9703566643,45603.1859291707,47324.8405983167,49100.626079613,54914.0856000837
"Hides","Juvenile Male",45923.446462631,2463.76783728405,37076.1777409833,44249.8454334599,46034.989812047,47731.2896966799,53773.1717261249
"Hides","Juvenile Combined",93226.5025909597,3497.79861183914,81403.1260956661,90808.9321766203,93236.7590597809,95833.2290472092,103564.943619899
"Hides","Adult Female",56394.4231804889,4.00793096399148,56382.6929525222,56391.683880094,56394.3940399238,56397.2225803793,56406.4710378448
"Hides","Adult Male",9402.68716136316,5.90346669191283,9382.95531903721,9398.40324342854,9402.93702696915,9406.53498103852,9422.69745855643
"Hides","Oxen",82469.3497036042,0.0948904277684032,82469.0587178316,82469.2832407207,82469.3505845626,82469.4142417407,82469.635715529
"Milk","Overall",385338326.06743,66905845.3259849,168939733.774467,338346927.177053,385257551.157872,429556557.52541,593219842.990868
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",36081018923.0811,769717583.66535,33923514601.9986,35549178338.9671,36084955004.6827,36609765121.4755,38934869519.6074
"Cml Dry Matter","Neonatal Female",882026016.87823,54024560.2867311,679238883.573914,844659687.234205,882934910.563014,917900724.222693,1042709014.76156
"Cml Dry Matter","Neonatal Male",893118674.097014,72280725.728385,613388129.71843,845596584.776137,894318521.051679,945258593.808657,1076661810.59687
"Cml Dry Matter","Neonatal Combined",1775144690.97524,89255223.4763955,1413509115.07635,1717869742.74665,1777334512.77793,1834174093.21222,2074932973.55122
"Cml Dry Matter","Juvenile Female",2420233588.07176,152113341.030557,1954078641.196,2320072093.4829,2421000571.84394,2523852412.79841,2884412363.29972
"Cml Dry Matter","Juvenile Male",2555788655.61648,166646661.99821,2076825231.85616,2439025848.53612,2556693993.09511,2668084353.86144,3034536290.44817
"Cml Dry Matter","Juvenile Combined",4976022243.68824,223525771.009246,4346906814.00942,4826778415.43721,4987483325.21478,5126342983.17149,5708844349.87707
"Cml Dry Matter","Adult Female",12845238895.7549,574102589.922147,11040316494.9262,12473377455.5957,12835071689.5999,13224104734.0688,14727958387.108
"Cml Dry Matter","Adult Male",1829834996.06164,61776362.4517668,1598694731.12097,1791745494.87311,1831151308.68522,1870061471.50799,2008208341.61541
"Cml Dry Matter","Oxen",14654778096.6011,469296647.410465,12929215093.7076,14340832285.6729,14636558957.036,14973321058.1037,16319346019.2255
"Value of Offtake","Overall",30251632808.2153,1951976935.70423,24938391413.1851,28816867955.2176,30297907808.9697,31743770411.27,35654163529.7778
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",1012318138.80276,127625588.587119,661692367.25006,918932087.160562,1019924690.07343,1107562652.30622,1310017883.97975
"Value of Offtake","Juvenile Male",1506179728.06261,165056752.337118,1192420407.23817,1370644767.13687,1500058159.28901,1622768933.26915,2025735022.57332
"Value of Offtake","Juvenile Combined",2518497866.86538,210307708.466228,1968789711.21722,2373304761.14386,2518598828.90019,2654309985.5075,3280411508.73664
"Value of Offtake","Adult Female",4913579777.93629,517135893.685824,4095829800.2174,4507482908.02511,4808844846.5524,5239147971.59743,6615264617.06838
"Value of Offtake","Adult Male",2325193677.04981,209545664.483014,1779898648.7621,2173514225.44398,2336582824.76821,2468914845.67925,2806170860.01632
"Value of Offtake","Oxen",20494361486.3638,1886715680.52741,15305767849.274,19051838481.9751,20593923575.6204,21953854875.6398,24480409941.9611
"Value of draught","Overall",59771251149.3986,95334.0050950232,59770949778.3067,59771183504.7743,59771252536.4933,59771315891.563,59771545937.5858
"Value of Herd Increase","Overall",-5499875071.85247,2713972965.22397,-12734986917.0347,-7333288166.78041,-5572467276.97338,-3658106053.74543,2652817083.65594
"Value of Herd Increase","Neonatal Female",-532195385.402483,86151036.2706099,-819848791.596,-585686690.284201,-519610160.021162,-466714045.971492,-368917159.522671
"Value of Herd Increase","Neonatal Male",-196359051.107661,35832732.7470877,-331098543.854216,-220260878.822536,-194446920.95484,-170514641.360489,-97045548.6419243
"Value of Herd Increase","Neonatal Combined",-728554436.510144,92764036.0497411,-1033191709.98359,-789900502.240781,-721088619.537065,-658447719.918309,-539861374.767759
"Value of Herd Increase","Juvenile Female",2017153168.52911,264388500.090611,1323612340.65709,1816289498.46811,2017380031.37885,2207404264.98716,2641370114.28947
"Value of Herd Increase","Juvenile Male",2803567014.52352,308175056.817271,2077730035.05472,2582923091.4531,2772498923.72705,3007063568.16731,3777293789.34456
"Value of Herd Increase","Juvenile Combined",4820720183.05263,410650845.014099,3691773547.25113,4532969708.21964,4810520258.24762,5079805711.08764,6114020464.32114
"Value of Herd Increase","Adult Female",-1909869077.95405,194268050.450594,-2549101725.75883,-2051547772.71414,-1882793375.85841,-1753824191.3198,-1590323837.49446
"Value of Herd Increase","Adult Male",15871625008.7867,1468898848.71589,12169814703.131,14715575101.7621,15967585804.9924,16937474850.0409,19391195534.3892
"Value of Herd Increase","Oxen",-23553796749.2276,2196433189.86131,-28348013790.1709,-25169065790.0867,-23654300264.7072,-22008620108.4497,-17732109063.4911
"Value of Herd Increase plus Offtake","Overall",24751757736.3628,3321282295.46653,16022453981.1621,22460953506.6472,24677431685.1965,27149992231.8858,34398983856.4396
"Value of Herd Increase plus Offtake","Neonatal Female",-532195385.402483,86151036.2706099,-819848791.596,-585686690.284201,-519610160.021162,-466714045.971492,-368917159.522671
"Value of Herd Increase plus Offtake","Neonatal Male",-196359051.107661,35832732.7470877,-331098543.854216,-220260878.822536,-194446920.95484,-170514641.360489,-97045548.6419243
"Value of Herd Increase plus Offtake","Neonatal Combined",-728554436.510144,92764036.0497411,-1033191709.98359,-789900502.240781,-721088619.537065,-658447719.918309,-539861374.767759
"Value of Herd Increase plus Offtake","Juvenile Female",3029471307.33187,293599246.270317,2080402361.50537,2823301756.91007,3028025164.86017,3246996286.62371,3854951133.61512
"Value of Herd Increase plus Offtake","Juvenile Male",4309746742.58613,353232589.529853,3462356002.11756,4048378444.4117,4291875782.57563,4554469784.37325,5389837167.30785
"Value of Herd Increase plus Offtake","Juvenile Combined",7339218049.91801,469946937.777197,5926642136.02938,7018576841.06673,7320803189.64018,7628954729.95066,8945628869.66663
"Value of Herd Increase plus Offtake","Adult Female",3003710699.98223,543719985.524791,1882388990.70571,2588593017.84349,2926054269.72862,3361169810.80733,4950438469.42312
"Value of Herd Increase plus Offtake","Adult Male",18196818685.8365,1486436760.00809,14465064281.8531,17077276969.0627,18252544716.1439,19303771382.4813,21819895071.7537
"Value of Herd Increase plus Offtake","Oxen",-3059435262.86377,2877773342.01982,-10339717669.8809,-5185716152.57757,-3002013412.99159,-1177839408.12521,5003576242.56035
"Value of Manure","Overall",4923111398.18988,160357505.658715,4411612243.42267,4819758342.33428,4918398907.79901,5027724146.33086,5443413517.18581
