"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1407181.37929415,110.601704130691,1406971.12564079,1407094.34610014,1407230.86804406,1407271.00686514,1407291.08167474
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",96973.6665150511,65.0403472669212,96870.8037500353,96940.3169646872,96968.8335705633,97023.7919566378,97066.263984377
"Num Offtake","Juvenile Male",94418.1871542181,66.4198417712274,94318.7150563685,94368.8116527866,94419.2325988782,94466.1567922805,94511.6960797087
"Num Offtake","Juvenile Combined",191391.853669269,92.8973447446055,191214.041364539,191317.626904288,191430.891118182,191466.913120214,191486.11263506
"Num Offtake","Adult Female",337189.169438797,7.53918854280005,337177.24387631,337185.873797664,337186.951516686,337194.444267214,337201.231424542
"Num Offtake","Adult Male",90549.9022101812,17.6535870664753,90522.4214870071,90538.004627232,90548.4514341672,90562.7284872953,90577.0077579064
"Num Offtake","Oxen",788050.4539759,0.198489404919447,788050.14444779,788050.339694067,788050.425137735,788050.605896078,788050.791337974
"Cml Pop Growth","Overall",-69456.9885670483,11685.0587652067,-89295.4255719855,-76809.6415039822,-70169.6078343969,-59316.775500387,-53499.56116556
"Cml Pop Growth","Neonatal Female",-92816.0580469233,5316.91352841273,-105415.797119749,-94834.9996120164,-91388.9778971641,-89798.6121559593,-86956.3764017446
"Cml Pop Growth","Neonatal Male",-42385.7806527119,5219.23731014563,-52196.580525283,-44873.8499595865,-42690.7829526415,-39034.7419330898,-35049.4015626174
"Cml Pop Growth","Neonatal Combined",-135201.838699635,7519.29453263136,-148392.664164757,-139008.770970656,-138265.18446605,-127891.440299691,-125106.022379518
"Cml Pop Growth","Juvenile Female",263750.196428769,2723.38827374181,259818.322046367,261318.806199892,264280.913700588,265842.364575498,267295.145572365
"Cml Pop Growth","Juvenile Male",243658.038831123,2914.52468413299,239953.165398602,240967.068994073,244444.440276248,245359.049241495,248166.088466274
"Cml Pop Growth","Juvenile Combined",507408.235259893,4136.32880855878,501147.771936971,504422.231641223,508302.770687655,510610.072145212,512599.821145069
"Cml Pop Growth","Adult Female",-165988.157419986,520.673220181015,-166810.895503489,-166257.718193164,-166022.02462684,-165585.683799967,-165251.35757887
"Cml Pop Growth","Adult Male",629935.256176813,523.446614994685,629153.933978682,629544.406919064,629946.481769439,630312.780889853,630680.558852524
"Cml Pop Growth","Oxen",-905610.483884135,8.99973078105512,-905624.489019243,-905616.577894702,-905611.194672248,-905603.961490146,-905596.708721439
"Total Number Increase","Overall",1337724.3907271,11766.0103699349,1317776.27939251,1330313.31085784,1337091.47042312,1347887.91459264,1353781.38076284
"Total Number Increase","Neonatal Female",-92816.0580469233,5316.91352841273,-105415.797119749,-94834.9996120164,-91388.9778971641,-89798.6121559593,-86956.3764017446
"Total Number Increase","Neonatal Male",-42385.7806527119,5219.23731014563,-52196.580525283,-44873.8499595865,-42690.7829526415,-39034.7419330898,-35049.4015626174
"Total Number Increase","Neonatal Combined",-135201.838699635,7519.29453263136,-148392.664164757,-139008.770970656,-138265.18446605,-127891.440299691,-125106.022379518
"Total Number Increase","Juvenile Female",360723.862943821,2782.58831286019,356751.899810091,358216.045484628,361249.747271152,362874.054852573,364334.68621827
"Total Number Increase","Juvenile Male",338076.225985341,2976.50351837827,334271.88045497,335315.876695907,338898.743546245,339799.984502966,342677.784545982
"Total Number Increase","Juvenile Combined",698800.088929162,4220.92908301568,692361.81330151,695761.533795957,699697.541025893,702051.93919824,704074.053070669
"Total Number Increase","Adult Female",171201.012018811,528.052409483453,170366.348372821,170928.560117991,171164.926889846,171608.760467247,171949.873845672
"Total Number Increase","Adult Male",720485.158386995,540.78479949245,719676.355465689,720082.411546296,720494.933203606,720875.509377148,721250.049652127
"Total Number Increase","Oxen",-117560.029908234,9.19620803465743,-117574.344571453,-117566.232633455,-117560.780668874,-117553.351200908,-117545.917383465
"Total Mortality","Overall",666781.144043086,10551.7255815494,652582.985762063,657221.839885113,667364.930063595,673498.600249528,684389.057806232
"Total Mortality","Neonatal Female",160390.220306378,7469.78407243171,150716.667155934,155502.46230672,158298.11588516,164216.240562177,176124.029383483
"Total Mortality","Neonatal Male",153903.241210921,7539.88246319281,142601.191832786,147757.30845618,155407.747419328,158163.487496445,167485.677506689
"Total Mortality","Neonatal Combined",314293.461517299,10554.9162306117,300092.454342832,304733.855954131,314873.659317899,321012.794015563,331905.697568293
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",168594.584719398,3.76959427140003,168588.621938155,168592.936898832,168593.475758343,168597.222133607,168600.615712271
"Total Mortality","Adult Male",18952.3051137589,3.6949368278672,18946.5533344899,18949.8149219788,18952.0014629652,18954.9896833874,18957.9783679339
"Total Mortality","Oxen",164940.79269263,0.0415442940577567,164940.727907677,164940.768773177,164940.786656735,164940.824489877,164940.863303297
"Value of Total Mortality","Overall",4622919976.35051,55957637.6363997,4546831766.53727,4572322699.24689,4625952458.18192,4658708007.27046,4714927362.73444
