"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1403926.5129633,233.743690699728,1403187.88563579,1403777.92562708,1403918.44220041,1404077.16835606,1404641.10400446
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",95695.7462544627,131.935603977619,95239.6767020557,95613.6551186203,95696.2632856272,95784.249158876,96144.9224900199
"Num Offtake","Juvenile Male",93156.1304745232,129.386131803782,92739.1299375622,93067.4234627548,93153.4800907348,93245.6759798801,93532.137297322
"Num Offtake","Juvenile Combined",188851.876728986,183.098213730783,188292.030665348,188732.756446601,188845.785939116,188971.195980816,189396.233010163
"Num Offtake","Adult Female",336975.334719957,22.0499904352806,336904.331350335,336961.455792508,336975.117772692,336989.485945147,337045.253191225
"Num Offtake","Adult Male",90056.6243272709,50.5713093390074,89913.930492005,90022.868879029,90054.2896554963,90092.0938386504,90211.1645186547
"Num Offtake","Oxen",788042.677187091,0.840221033433716,788040.470632775,788042.106834755,788042.665994333,788043.275309702,788045.12007731
"Cml Pop Growth","Overall",58659.3002766133,6935.2993296386,34287.2194874771,54085.7747559547,58776.4577777851,63083.2229856057,81249.3130422458
"Cml Pop Growth","Neonatal Female",10173.7966365363,359.686905225002,9194.28749555233,9924.71919939719,10161.9607786216,10400.4399873236,11516.6306689687
"Cml Pop Growth","Neonatal Male",56815.8553233347,359.686905225,55836.3461823505,56566.7778861953,56804.0194654202,57042.498674122,58158.6893557673
"Cml Pop Growth","Neonatal Combined",66989.651959871,719.373810450002,65030.6336779029,66491.4970855925,66965.9802440418,67442.9386614456,69675.320024736
"Cml Pop Growth","Juvenile Female",236888.766996777,4079.50575385441,223722.809456022,234141.44082331,236851.705992083,239532.662954975,250305.45342787
"Cml Pop Growth","Juvenile Male",216387.069626564,4008.62317212593,204630.189743336,213819.325859642,216363.127386772,219128.987145774,228374.394101708
"Cml Pop Growth","Juvenile Combined",453275.836623341,5687.32740589273,433570.22313711,449563.485350788,453331.655311201,457041.828633358,470665.129799101
"Cml Pop Growth","Adult Female",-176019.748181575,1039.43634177176,-179615.206939389,-176672.926472139,-176021.430112734,-175315.064599915,-172478.599580034
"Cml Pop Growth","Adult Male",620272.749790445,995.259578868845,617044.970681522,619594.354482497,620263.677406194,620963.510995176,623138.390113968
"Cml Pop Growth","Oxen",-905859.189915469,25.469699772591,-905931.208583821,-905876.075087467,-905860.534762331,-905841.297973907,-905781.280054661
"Total Number Increase","Overall",1462585.81323992,7124.22897916546,1437618.7234958,1457884.57384074,1462669.68940311,1467186.20572534,1485806.44201279
"Total Number Increase","Neonatal Female",10173.7966365363,359.686905225002,9194.28749555233,9924.71919939719,10161.9607786216,10400.4399873236,11516.6306689687
"Total Number Increase","Neonatal Male",56815.8553233347,359.686905225,55836.3461823505,56566.7778861953,56804.0194654202,57042.498674122,58158.6893557673
"Total Number Increase","Neonatal Combined",66989.651959871,719.373810450002,65030.6336779029,66491.4970855925,66965.9802440418,67442.9386614456,69675.320024736
"Total Number Increase","Juvenile Female",332584.513251239,4177.47498348893,319074.270875321,329733.642166564,332547.222907174,335322.39392236,346337.336613162
"Total Number Increase","Juvenile Male",309543.200101087,4107.99062637452,297436.52720397,306893.824051385,309483.263909792,312343.458409336,321889.206285262
"Total Number Increase","Juvenile Combined",642127.713352327,5825.16311336107,621901.59332067,638285.752343124,642172.777317981,645981.710175793,659802.418061967
"Total Number Increase","Adult Female",160955.586538382,1060.16641962715,157289.124410946,160290.821211045,160952.487960233,161674.496208326,164566.653611191
"Total Number Increase","Adult Male",710329.374117716,1043.0485082891,706958.901173527,709617.578871342,710310.713910765,711055.438253475,713349.554632622
"Total Number Increase","Oxen",-117816.512728378,26.2899023543798,-117890.720022775,-117834.005078728,-117817.751231416,-117798.082371569,-117736.159977351
"Total Mortality","Overall",540539.100287111,7029.53795424668,518970.160036525,535932.301246123,540596.482267315,545152.802752152,565048.226767626
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",95350.2438662978,5045.50805963802,78849.1918353449,92009.1723423424,95438.9087060365,98644.6734989281,111939.031082291
"Total Mortality","Juvenile Male",92912.9631624803,4988.75591001182,77200.0385888107,89604.6393782385,92972.7135028143,96136.2586461777,108028.856368116
"Total Mortality","Juvenile Combined",188263.207028778,7040.125401103,166656.116782313,183643.582744071,188329.250895904,192879.090465012,212801.5518609
"Total Mortality","Adult Female",168487.667359978,11.0249952176403,168452.165675168,168480.727896254,168487.558886346,168494.742972573,168522.626595612
"Total Mortality","Adult Male",18849.0609057079,10.5846926523505,18819.1947541406,18841.9958118898,18848.572253476,18856.4847569268,18881.4065271603
"Total Mortality","Oxen",164939.164992647,0.175860216302082,164938.703155697,164939.045616577,164939.162649977,164939.290181101,164939.676295251
"Value of Total Mortality","Overall",5721357435.9967,86670950.7786727,5460899320.57412,5663749833.5463,5722215053.29336,5778791280.02354,6019253030.0622
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",1095798499.18636,57984751.1154427,906162612.40385,1057401731.50994,1096817466.67272,1133659241.86232,1286442669.53685
"Value of Total Mortality","Juvenile Male",1221941376.92477,65609437.6751411,1015293434.20995,1178432079.80807,1222727181.30184,1264332427.51151,1420737483.82367
"Value of Total Mortality","Juvenile Combined",2317739876.11114,86883353.5151898,2056601335.83873,2259887532.11257,2318480435.66562,2375305084.10316,2616134310.58104
"Value of Total Mortality","Adult Female",2560235855.57016,167529.104687438,2559696393.6154,2560130407.71083,2560234207.27098,2560343372.2647,2560767074.79798
"Value of Total Mortality","Adult Male",466139720.810512,261760.822065021,465401127.008789,465965000.12409,466127636.377442,466323313.613988,466939632.224068
"Value of Total Mortality","Oxen",4197006693.07311,4474.90142743515,4196994941.26892,4197003655.45517,4197006633.46202,4197009878.59171,4197019703.56974
"Population Liveweight (kg)","Overall",3992634326.5595,289973189.116573,3132945548.88157,3795614026.05209,3984692475.59209,4186945607.34757,4833168814.36948
