"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",180024.209980645,5187.46970561069,165421.782921692,176486.94125982,180188.594839077,183665.779812128,194105.090762973
"Num Offtake","Neonatal Female",11367.943868829,708.449483120161,9372.47689396509,10885.990187987,11387.5485189302,11866.728935379,13290.7353067233
"Num Offtake","Neonatal Male",61346.3207274424,3885.67107961649,50323.2174209044,58687.7284737326,61525.6505674947,64037.1167343315,71967.1309087898
"Num Offtake","Neonatal Combined",72714.2645962714,4593.36366889467,59695.6943148695,69570.6475370585,72906.1108157654,75910.7750379626,85257.866215513
"Num Offtake","Juvenile Female",34618.4879498874,532.932920457107,33234.5241610775,34256.9874565219,34625.8170434773,34997.976345374,35926.2684091542
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",34618.4879498874,532.932920457107,33234.5241610775,34256.9874565219,34625.8170434773,34997.976345374,35926.2684091542
"Num Offtake","Adult Female",64873.023918627,66.5870994893464,64724.4049803456,64824.7080693013,64875.4659694853,64919.9640366675,65019.1221037569
"Num Offtake","Adult Male",7818.43351585918,38.0041415441206,7733.58428769646,7790.85056727796,7819.8185164714,7845.22727125062,7901.83403454898
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",141969.039873612,28414.5099628749,58427.6862933222,124416.885133803,142068.110386524,159380.567076423,226510.04315767
"Cml Pop Growth","Neonatal Female",59155.3685261041,10707.5622216804,29762.3437909338,51954.1202543318,59487.2723722006,66591.5992408248,91435.8172190744
"Cml Pop Growth","Neonatal Male",26118.6672993719,9085.06137668105,2801.56495813341,19967.526384796,25957.7441722671,32620.0616348862,52582.9347749039
"Cml Pop Growth","Neonatal Combined",85274.035825476,19731.4305326121,32703.1071146351,71788.2081991737,85673.1218772431,99288.2841102403,144018.751993978
"Cml Pop Growth","Juvenile Female",2152.4410239493,4980.65778633086,-12037.2250039482,-1209.91194670799,2381.58557666012,5623.37197922367,15809.6203056908
"Cml Pop Growth","Juvenile Male",54261.1991051315,4579.22498482162,41194.8743013315,51164.2050483156,54517.6126899538,57468.320375879,66843.1183508166
"Cml Pop Growth","Juvenile Combined",56413.6401290808,9558.99672860268,29157.6492973833,49951.8451252993,56822.8593361242,63147.7466220283,82652.7386565074
"Cml Pop Growth","Adult Female",-24042.2720901546,934.439976495647,-26496.1462073482,-24671.7294749615,-24041.2926839774,-23382.6175041659,-21731.3833239071
"Cml Pop Growth","Adult Male",24323.6360092099,927.783197828275,21888.1149214552,23698.5612582166,24325.7036533553,24979.3592610109,26617.2038241975
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",321993.249854257,32867.9859112623,224299.736343831,301977.416426819,322102.642320581,342114.256282656,419448.01431279
"Total Number Increase","Neonatal Female",70523.3123949331,11203.5237118412,39200.6912295145,62967.1662716287,70849.2206133954,78453.3281980879,104355.422423119
"Total Number Increase","Neonatal Male",87464.9880268143,11800.6034208797,53621.9278682858,79618.5476575662,87743.5704448799,95526.2901530624,122845.30043252
"Total Number Increase","Neonatal Combined",157988.300421747,22989.5832479527,92822.6190978003,142623.275844267,158783.281380348,174030.435400385,227200.722855639
"Total Number Increase","Juvenile Female",36770.9289738367,5473.98344255891,21229.6246078202,32988.3042960366,37000.6835452545,40568.4809769181,51735.888714845
"Total Number Increase","Juvenile Male",54261.1991051315,4579.22498482162,41194.8743013315,51164.2050483156,54517.6126899538,57468.320375879,66843.1183508166
"Total Number Increase","Juvenile Combined",91032.1280789682,10047.8540034159,62424.4989091517,84210.5174294277,91489.7914936356,98013.8956802334,118579.007065662
"Total Number Increase","Adult Female",40830.7518284724,999.132208595696,38228.2587729974,40149.8470522002,40846.5404036872,41545.4435828217,43287.7387798498
"Total Number Increase","Adult Male",32142.069525069,964.688956430874,29621.6992091517,31488.471247544,32154.9452675044,32827.7586488464,34519.0378587464
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",250751775.408504,17863472.2131048,183530430.744647,238958565.364883,251974651.818112,263353050.728735,310088431.723037
"Population Liveweight (kg)","Neonatal Female",18708742.4452054,4070689.441852,6732603.1270858,15805608.9658997,18907100.5157451,21761329.9345741,29601258.7708694
"Population Liveweight (kg)","Neonatal Male",14180086.9709424,3479890.74711117,4902820.513391,11613231.1145769,14263059.5442904,16681192.5896332,24712597.5146073
"Population Liveweight (kg)","Juvenile Female",37643721.6903649,6413252.04393005,24977926.3000715,32681028.3993174,36970668.1763402,41855562.4308673,60330561.698346
"Population Liveweight (kg)","Juvenile Male",35814953.2904624,5506217.84014308,21436907.8414449,31845759.5005018,36058242.0924795,39969381.1259367,50478095.2662344
"Population Liveweight (kg)","Juvenile Combined",73458674.9808273,8649953.71829233,50023402.8472508,67271164.6657246,73002937.4390993,79264970.9782106,101141592.119901
"Population Liveweight (kg)","Adult Female",111467463.902101,13049330.9114089,69068551.5516511,103537672.975946,113500027.87747,121848539.53965,132058758.118239
"Population Liveweight (kg)","Adult Male",32936807.1094279,4490733.65578319,18008689.6076704,30083298.9426652,33360238.6944904,36255810.2028131,41755765.4191678
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",46739204.4323084,3891544.40325922,33295108.6014419,44217669.6945476,47032444.6184928,49520283.4049513,56296981.1086188
"Offtake Liveweight (kg)","Juvenile Female",9475602.17680947,1604111.05799957,6444200.89948202,8211320.32791715,9261510.28043118,10622500.3220283,14374261.6940685
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",33210712.6781148,3530802.76161553,20488261.9211186,31102021.8723995,33653894.0363276,35987994.3232758,38832068.4432928
"Offtake Liveweight (kg)","Adult Male",4052889.57738414,568535.428374857,2224838.95846713,3692572.51243693,4137796.91277052,4486574.94512141,5081204.89752997
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",151910306.630856,4384488.612523,136550336.202941,148929782.019121,152046755.120621,155022952.394723,164941340.667761
"Manure","Overall",321644115.863862,11262723.8958644,287571261.257087,313939545.418329,322104721.460437,329512010.543011,357295392.854103
"Manure","Neonatal Female",25365606.5539819,1808969.93418426,19995287.1826756,24124024.3166833,25380852.5959414,26660233.1554798,30443757.6387696
"Manure","Neonatal Male",20755596.8954832,1493967.57529685,16192043.920049,19667667.8067371,20831131.0753849,21730853.6425596,25323450.7538383
"Manure","Neonatal Combined",46121203.4494651,3198587.36680864,37101484.0471035,43778597.2633559,46252291.0098467,48288098.0020632,55511244.0796535
"Manure","Juvenile Female",55098223.7197289,2130646.08831734,48137544.2761725,53586555.1264439,55102015.4092601,56537785.6504495,62736504.682181
"Manure","Juvenile Male",28482923.5418877,1389596.46832019,24719336.4273259,27527532.9580337,28552715.6817764,29393820.2428789,32682461.1490274
"Manure","Juvenile Combined",83581147.2616165,2919454.94381948,73825235.6829982,81551146.6852062,83561301.0812201,85583995.9134271,93503684.1009178
"Manure","Adult Female",157271988.908512,9732461.47714109,129567620.162891,151474647.93496,157235596.060723,162859374.239709,185090125.89679
"Manure","Adult Male",34669776.2442679,2156362.43369071,28192180.1563058,33154254.6445336,34623504.1077537,36114879.4404467,41215531.7514403
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
