"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",351817.452106616,39191.1937765621,235291.887028634,326201.547859324,350679.337817513,379812.816142929,468425.604851811
"Num Offtake","Neonatal Female",34911.825164146,5344.03458347064,19043.0767950418,31403.4335868574,34755.1553066669,38732.2178011879,50856.641788733
"Num Offtake","Neonatal Male",193203.618063824,29516.7548596085,105560.471631325,173921.387690489,192557.193780484,213863.312312965,284150.875453933
"Num Offtake","Neonatal Combined",228115.44322797,34855.5130461839,124603.548426367,205350.932268418,227275.357439151,252324.981118231,335007.517242666
"Num Offtake","Juvenile Female",49348.7181941024,3901.41858556346,37514.0004565639,46622.0523042974,49372.3552172972,52159.4072232482,59895.7460167132
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",49348.7181941024,3901.41858556346,37514.0004565639,46622.0523042974,49372.3552172972,52159.4072232482,59895.7460167132
"Num Offtake","Adult Female",65629.4053177577,484.738216599733,64149.9541992847,65276.4442993735,65637.901296841,65970.0687436172,66854.4889897414
"Num Offtake","Adult Male",8723.88536678605,278.15080400989,7875.1979784437,8521.49774587451,8728.55197934282,8919.52455199897,9426.81270375744
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",1195406.64348033,221288.499953315,523596.650031287,1048022.81733441,1191924.00580614,1350164.13759479,1916096.87677117
"Cml Pop Growth","Neonatal Female",437813.867757227,83598.4464166214,171877.464037735,382094.267734042,437944.904850689,493105.792930088,695486.875637841
"Cml Pop Growth","Neonatal Male",327952.90368072,71006.5109389038,103256.574068257,279436.228667335,329921.156102046,374267.722625691,540688.283865126
"Cml Pop Growth","Neonatal Combined",765766.771437947,154186.164633038,275134.038105992,662370.627023384,767680.963229525,869815.466901275,1224148.56659861
"Cml Pop Growth","Juvenile Female",171232.101805506,37777.2768332925,59527.0503618319,146207.854962558,169803.032060138,196906.627566989,290944.898902927
"Cml Pop Growth","Juvenile Male",211787.049835823,34900.3985536122,108715.604520163,188342.495601083,210556.763095009,235408.757685002,323917.502298428
"Cml Pop Growth","Juvenile Combined",383019.151641329,72671.9299080431,168242.654881995,334647.582486283,379949.073026708,432768.200641267,614862.401201355
"Cml Pop Growth","Adult Female",-3803.16098221831,6795.90799513427,-24337.1860389263,-8502.01789382909,-3749.75948258008,1125.66322537597,14703.4170530934
"Cml Pop Growth","Adult Male",50423.881383269,6802.70442068793,29864.6354231595,45712.4987320254,50475.0356714465,55323.7888204304,68934.3351783622
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1547224.09558694,255298.593306616,788400.568790311,1376372.79739692,1544463.90258256,1725285.68988828,2384522.48162298
"Total Number Increase","Neonatal Female",472725.692921373,87470.190226344,196070.81938253,414641.565994996,472394.781557165,529981.889014383,746343.517426574
"Total Number Increase","Neonatal Male",521156.521744544,92347.9521461629,234147.711016601,463175.016584105,520741.679674373,582304.233637612,812812.566414699
"Total Number Increase","Neonatal Combined",993882.214665917,179712.871364032,430218.530399131,876898.56214474,992174.329085865,1110687.72731592,1559156.08384127
