"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",301400.612056159,26179.0463798989,229824.903563522,281594.895667299,300977.718011429,322996.434993138,366609.779308401
"Num Offtake","Neonatal Female",28024.700860601,3566.81722163733,18274.2035793084,25336.5746660754,27966.0016158458,30945.2821298546,36893.483868793
"Num Offtake","Neonatal Male",154883.461586713,19588.2106669579,100596.773268418,141383.067710926,154760.297522548,170092.056697395,202822.704577261
"Num Offtake","Neonatal Combined",182908.162447314,23150.889255196,118870.976847726,166930.577269905,182703.851075522,201140.212571944,239716.188446054
"Num Offtake","Juvenile Female",44985.1612438221,2726.17104941768,38449.2914132205,43118.4911193225,44960.470939745,46889.4209091554,52018.9215872886
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",44985.1612438221,2726.17104941768,38449.2914132205,43118.4911193225,44960.470939745,46889.4209091554,52018.9215872886
"Num Offtake","Adult Female",65156.8724333986,348.242870288827,64375.503646787,64929.495227074,65179.6276147637,65382.6530911486,66027.2518741811
"Num Offtake","Adult Male",8350.41593162491,198.855195515679,7904.16746816638,8220.66181456441,8363.46685345682,8479.33415249059,8847.41740087675
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",907654.786217391,152100.21267231,517109.665552369,807264.072212464,913157.94528216,1002040.03513194,1247792.76309679
"Cml Pop Growth","Neonatal Female",337647.090532682,59847.2383731339,205184.112404623,302555.611080541,337143.404646741,375438.112490602,492748.104957834
"Cml Pop Growth","Neonatal Male",249976.317195079,52345.787759087,134008.337910118,221692.765889754,252603.044645231,286057.778626988,392247.190684134
"Cml Pop Growth","Neonatal Combined",587623.407727761,111896.164900667,342686.651932892,526937.860142918,591204.880237811,660529.630127767,884995.295641968
"Cml Pop Growth","Juvenile Female",123274.921110935,25017.265656214,53354.6644959722,106062.167201153,123569.580321988,142080.501677104,183339.998642967
"Cml Pop Growth","Juvenile Male",167067.699789049,23060.1520768031,102260.572801525,151619.616777535,167225.898975518,184562.413434642,221858.298496746
"Cml Pop Growth","Juvenile Combined",290342.620899984,48072.9045018837,155615.237297497,257774.473873258,290993.435914207,326672.102893533,405198.297139713
"Cml Pop Growth","Adult Female",-11483.9421988021,4733.67331087216,-22877.7687925611,-14739.6433036715,-11565.3554044296,-8272.37170166497,733.496952328511
"Cml Pop Growth","Adult Male",41172.6997884478,4705.60450991803,29848.9201419613,37943.79633679,41092.2056210475,44375.8429403446,53312.6150603965
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",1209055.39827355,173282.968932844,746934.569115891,1094362.5040044,1217893.96042876,1318001.41490485,1579646.57527239
"Total Number Increase","Neonatal Female",365671.791393284,62079.8070763858,223458.315983931,328028.183242297,366665.14940781,402353.420513164,522848.29281396
"Total Number Increase","Neonatal Male",404859.778781791,64744.0976918123,249612.890190178,360338.661694069,407992.505471509,440594.63731218,561129.002689436
"Total Number Increase","Neonatal Combined",770531.570175075,126735.195530387,473071.206174108,687343.488435306,774016.690516984,842748.25893174,1083977.2955034
"Total Number Increase","Juvenile Female",168260.082354757,27516.4756987067,91935.4004533333,149126.428201617,168212.771269718,189185.717272697,235358.920230256
"Total Number Increase","Juvenile Male",167067.699789049,23060.1520768031,102260.572801525,151619.616777535,167225.898975518,184562.413434642,221858.298496746
"Total Number Increase","Juvenile Combined",335327.782143806,50547.1550778111,194195.973254858,300479.040780103,335711.565367704,373382.632814195,457217.218727002
"Total Number Increase","Adult Female",53672.9302345965,5071.75159709312,41497.7348542258,50163.4006905057,53614.0785767567,57184.0199001888,66760.7488265096
"Total Number Increase","Adult Male",49523.1157200727,4898.57321989626,37753.0876101277,46148.5014804061,49455.4267900427,52897.2834319001,62160.0324612732
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",41640.0994963327,4262.78640577095,29928.9221694498,38569.546892668,41597.0449581067,45106.237139897,52196.0747813055
"Total Mortality","Neonatal Female",17833.9005476552,2269.79277740557,11629.0386413781,16123.2747875026,17796.5464828109,19692.4522644529,23477.6715528683
"Total Mortality","Neonatal Male",15270.2004381266,1931.2320375874,9917.99173068907,13939.1756898096,15258.057502223,16769.6393927009,19996.6046766314
"Total Mortality","Neonatal Combined",33104.1009857818,4199.59352629959,21547.0303720672,30140.9266926337,33089.3979154445,36488.2999208151,43474.2762294997
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
