"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",163698.503867908,11.1801142309349,163679.25690517,163691.552456862,163701.20682811,163705.697374119,163716.577961774
"Num Offtake","Neonatal Female",9137.61501632646,1.5298455845691,9134.98083279659,9136.68541418406,9137.99628370143,9138.58623323536,9140.0955744235
"Num Offtake","Neonatal Male",48882.8696088165,8.43025196768358,48868.5015983171,48878.1975030883,48885.5013506496,48887.7039399608,48896.5925647985
"Num Offtake","Neonatal Combined",58020.4846251429,9.95730275072108,58003.4824311137,58014.8829172724,58023.5263405345,58026.2758201044,58036.688139222
"Num Offtake","Juvenile Female",33219.6601041023,1.16834467101555,33217.741095614,33219.0531930605,33219.4382621679,33220.6062972419,33221.2906181396
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",33219.6601041023,1.16834467101555,33217.741095614,33219.0531930605,33219.4382621679,33220.6062972419,33221.2906181396
"Num Offtake","Adult Female",64724.6404511885,0.158615418935119,64724.4330516373,64724.5399058795,64724.6223208589,64724.7714366342,64724.8954233581
"Num Offtake","Adult Male",7733.7186874739,0.0904885966123361,7733.60032680463,7733.66133115377,7733.70833718797,7733.79340134251,7733.86413527213
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",41782.3656197273,83.2798086631273,41665.6095026735,41718.3282415271,41783.9786523345,41843.0788772271,41905.4005718575
"Cml Pop Growth","Neonatal Female",23375.7828720534,33.7913506724225,23334.3214879814,23354.2599785329,23370.8089452903,23400.521406024,23434.1762247475
"Cml Pop Growth","Neonatal Male",-2149.35642438062,29.8825595972686,-2188.8946690845,-2167.59668996724,-2155.57289542341,-2127.74469989875,-2094.44249315375
"Cml Pop Growth","Neonatal Combined",21226.4264476728,63.5972612035417,21145.4888440186,21186.6673158689,21215.2360498668,21272.7767061253,21339.7337315937
"Cml Pop Growth","Juvenile Female",-14034.394421611,10.8993370187561,-14052.7321351823,-14039.7345453545,-14031.4158062598,-14028.3034697695,-14016.6100114112
"Cml Pop Growth","Juvenile Male",39256.2152777784,10.0483922423623,39239.4681173565,39251.5229320757,39258.7320752974,39261.7825942682,39272.5603396223
"Cml Pop Growth","Juvenile Combined",25221.8208561674,20.9451323283077,25186.7359821742,25211.7883867212,25227.3162690376,25233.4791244988,25255.9503282111
"Cml Pop Growth","Adult Female",-26525.0598439542,2.04140127132889,-26528.4605439329,-26526.2194677342,-26525.3824378756,-26523.4232055598,-26522.1377274944
"Cml Pop Growth","Adult Male",21859.1781598413,2.02534045806094,21855.8070464264,21858.0345954068,21858.8553246231,21860.8023217802,21862.0739768764
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",205480.869487635,92.8782112863628,205344.866407843,205405.068844901,205489.288421074,205547.998672219,205607.753412651
