"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",209122.282113012,10567.2613944463,186007.822678849,202275.074626195,209214.66270454,215706.198428031,235059.632430532
"Num Offtake","Neonatal Female",15435.3960024131,1439.78774425399,12272.7610350892,14515.4061921147,15456.7317692599,16329.5335993077,18966.4361194635
"Num Offtake","Neonatal Male",84238.793877292,7919.51262617163,66744.7554175938,79409.8099932316,84505.6621969457,89337.0022267355,103848.308690761
"Num Offtake","Neonatal Combined",99674.1898797051,9357.18383715257,79017.516452683,93916.584185754,99979.6578331671,105668.483393705,122814.744810225
"Num Offtake","Juvenile Female",37219.8271098295,1108.13463442428,34568.0635653482,36443.1240268492,37263.6215850264,37957.2448057453,39589.0360472041
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",37219.8271098295,1108.13463442428,34568.0635653482,36443.1240268492,37263.6215850264,37957.2448057453,39589.0360472041
"Num Offtake","Adult Female",64342.8055573614,144.091069052332,64000.0647593522,64261.8102225548,64351.9731807834,64460.7398654782,64614.9906165337
"Num Offtake","Adult Male",7885.45956611579,82.2768057414367,7689.75141177354,7839.19136713981,7890.70904504021,7952.84675814012,8040.86095657008
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",312737.519383075,63099.4147204456,166283.626788828,270789.266021135,311760.599245903,347796.835826246,480043.257504577
"Cml Pop Growth","Neonatal Female",121361.606303618,24818.4592299612,64366.611924779,106051.16011373,120103.808162688,136493.601186899,186270.608839514
"Cml Pop Growth","Neonatal Male",75751.0932389309,21676.8822915858,25694.7927395695,60864.965700803,74471.8549441487,88648.7020075381,130636.47006815
"Cml Pop Growth","Neonatal Combined",197112.699542549,46380.7797087915,90061.4046643486,168713.517143301,194469.273567812,225059.184042705,316907.078907663
"Cml Pop Growth","Juvenile Female",31525.3641344634,10135.3407486698,8977.05292262341,25791.0820655046,31765.7812701825,38080.7687453738,56700.3488641343
"Cml Pop Growth","Juvenile Male",81738.0580416583,9356.50520561008,60976.9750865954,76450.367606866,82105.0865541504,87478.8721851805,105053.347904326
"Cml Pop Growth","Juvenile Combined",113263.422176122,19489.5275148918,69954.0280092188,102083.324781216,113951.422266755,125616.107994974,161753.696768461
"Cml Pop Growth","Adult Female",-25192.9463336976,1921.74220397418,-29777.0203320009,-26538.5787743995,-25117.8315283157,-23963.5846178528,-21046.1329884845
"Cml Pop Growth","Adult Male",27554.3439981016,1910.41547710218,22997.794969394,26211.9873474145,27628.2150915147,28778.8358696375,31673.7508828909
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",521859.801496087,71791.0589650059,353010.817350918,467602.199294235,522260.388216281,561981.200078374,710493.188479094
"Total Number Increase","Neonatal Female",136797.002306032,25760.016042376,78232.0786628919,121007.698802002,136236.81759043,152029.172906974,204614.234785314
"Total Number Increase","Neonatal Male",159989.887116223,26901.3352613303,99350.4649293748,144441.731245268,159821.381106192,175734.978050868,231317.348798664
"Total Number Increase","Neonatal Combined",296786.889422254,52627.5043749518,178680.48279958,265163.219198787,296303.838404285,327464.464040932,435931.583583977
"Total Number Increase","Juvenile Female",68745.1912442929,11127.9290467524,44074.8299027209,62132.775741996,69096.6676688272,75880.1886998268,96289.3849113384
"Total Number Increase","Juvenile Male",81738.0580416583,9356.50520561008,60976.9750865954,76450.367606866,82105.0865541504,87478.8721851805,105053.347904326
"Total Number Increase","Juvenile Combined",150483.249285951,20469.4620669091,105051.804989316,138761.5695138,150800.117102555,163814.840709174,201342.732815665
"Total Number Increase","Adult Female",39149.8592236638,2060.72710008187,34223.0444273513,37696.8884256704,39231.0282387695,40504.7217520034,43568.8576280492
"Total Number Increase","Adult Male",35439.8035642174,1989.7350774963,30687.5463811676,34033.7413313918,35517.1182774538,36735.9334082638,39714.611839461
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",26489.9569056715,1721.44972485061,22706.9839501711,25388.0914615145,26541.3394161048,27574.2021455342,30728.4143766496
"Total Mortality","Neonatal Female",9822.52472880833,916.228564525267,7809.93884051128,9237.07666770935,9836.10203498357,10391.5213813777,12069.5502578404
"Total Mortality","Neonatal Male",8305.23319916964,780.79701948171,6580.46884398812,7829.13619651579,8331.54416026225,8807.87345897392,10238.565645568
"Total Mortality","Neonatal Combined",18127.757927978,1696.29314786902,14390.4076844994,17060.7197735755,18183.4167443256,19199.5868540647,22308.1159034084
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",6893.87202400301,15.4383288270356,6857.14979564488,6885.19395241658,6894.85426936965,6906.50784272981,6923.03470891432
"Total Mortality","Adult Male",1468.32695369053,15.320508655302,1431.88474564059,1459.71149595017,1469.30444286956,1480.87491358471,1497.26376432684
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",406320816.213488,18440174.6930909,366017249.491337,394315917.028358,406494491.283617,417846251.847549,451613274.670162
"Value of Total Mortality","Neonatal Female",109187184.885433,10184796.7232629,86815280.1511234,102679344.238257,109338110.220877,115512151.675394,134165120.666154
"Value of Total Mortality","Neonatal Male",79572439.2812443,7480816.24365426,63047471.9942502,75010953.8988178,79824524.5994726,84388235.6104291,98095697.450187
"Value of Total Mortality","Neonatal Combined",188759624.166678,17658119.4237948,149862752.145374,177629236.941414,189326314.018448,199902226.969208,232260818.116341
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",161289029.873574,361195.141237325,160429876.618908,161085997.710738,161312010.486172,161584657.488507,161971320.049759
"Value of Total Mortality","Adult Male",56272162.1732358,587143.173705794,54875550.99193,55941983.3707944,56309623.4685328,56753050.1882205,57381136.5040619
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",151762110.387484,41029153.9500521,26134391.6762395,127836995.623968,155665188.816378,181021659.478844,226692740.119105
"Population Liveweight (kg)","Neonatal Female",13212047.0296136,8008886.39203668,225343.601241398,6666000.260442,12571995.334009,18444352.1849363,32154407.3503176
"Population Liveweight (kg)","Neonatal Male",11120721.4357101,6498004.37573328,395188.284136403,6257443.05065976,9877295.57389325,16170303.1066583,26870638.1558508
"Population Liveweight (kg)","Juvenile Female",30942331.004971,17474071.9170384,174541.356472707,16829221.0984931,30850967.0326594,44799908.8926637,63608509.5459859
"Population Liveweight (kg)","Juvenile Male",21737818.5604634,13132565.0196397,134961.799152993,11063469.0936964,21277752.4064298,32663169.5466059,48154136.1724013
"Population Liveweight (kg)","Juvenile Combined",52680149.5654344,19677300.7157241,5097093.94187987,41309108.9338284,51853817.2991242,65494623.5111741,95635825.1265972
"Population Liveweight (kg)","Adult Female",57492660.7542871,32910786.9915281,857475.549221641,30451054.633228,55584137.2283973,84182997.2122744,119834826.197432
"Population Liveweight (kg)","Adult Male",17256531.6024389,10694171.7770493,191342.715335125,8207772.34517038,16516629.4210514,27162132.5728042,35234848.2820368
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",27039951.3317709,11851362.3874243,4945901.75530806,17244284.3333016,26373050.1269013,35573504.9214884,50049617.4441746
"Offtake Liveweight (kg)","Juvenile Female",6894581.6650178,4104977.27118524,108383.685471809,3091139.74246767,7086792.6068752,10347709.1493339,13912335.0419863
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",17968977.4811819,11345703.8971713,128733.253024137,7741023.51265087,17904168.5647844,28225897.3517416,35392947.3310471
"Offtake Liveweight (kg)","Adult Male",2176392.18557116,1365816.20097924,15696.9506827469,913457.528140736,2243844.8978437,3433954.71329485,4403202.960459
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",86050281.5309879,12035677.5447761,52683856.7089352,78029970.0368056,86562632.9631404,93930048.58898,112289703.475902
"Manure","Overall",347430789.023257,15196288.8865376,312307234.432924,337080426.514064,348001730.576091,356794049.989406,389298981.43805
"Manure","Neonatal Female",34973393.0898376,3498714.80617602,28169024.813858,32803424.571104,35172299.3023137,37380772.4343624,46624668.22953
"Manure","Neonatal Male",29240792.2974834,3074236.60475151,22393410.3915864,27221627.2899233,29541010.0654605,31327879.1876874,38110321.3020988
"Manure","Neonatal Combined",64214185.387321,6483094.89072601,50562435.2054445,59593667.7757034,64664493.8516874,68179961.4891855,84734989.5316288
"Manure","Juvenile Female",60110912.8050426,2838279.98007838,54316910.8474159,57807153.9910139,60069851.6299853,62030257.0129853,69131254.7739269
"Manure","Juvenile Male",33262705.6734285,2102110.33569932,27971189.4953563,31952598.613879,33060964.6697694,34669435.6596939,38017961.7563631
