"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",194527.370498642,8773.95865220798,168370.785021125,187987.834375176,194767.238409061,200562.121917871,220758.762967011
"Num Offtake","Neonatal Female",13494.2316083883,1198.68487189822,9920.42378139179,12600.5206389691,13530.8944511317,14318.3930973468,17075.9854445956
"Num Offtake","Neonatal Male",73229.1747406277,6585.72519164772,53590.7215401206,68384.8429972334,73435.618542107,77912.5614987927,93025.0123838494
"Num Offtake","Neonatal Combined",86723.406349016,7783.29110786972,63511.1453215124,80966.6250208237,86953.1698879108,92217.0027206796,110091.735844653
"Num Offtake","Juvenile Female",35819.452548149,884.936463621587,33315.8327855085,35197.1266499062,35793.353233405,36472.4300202383,38252.3389850405
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",35819.452548149,884.936463621587,33315.8327855085,35197.1266499062,35793.353233405,36472.4300202383,38252.3389850405
"Num Offtake","Adult Female",64183.9786416818,108.633043625163,63903.4123174576,64102.1717017446,64182.9863891827,64260.0092635578,64464.7858426904
"Num Offtake","Adult Male",7800.53295979545,61.9929815661715,7640.39459664691,7753.84409201542,7799.97253102199,7843.9246367626,7960.79162569048
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",228303.068172823,46270.4129368117,94862.8957626884,195214.881372309,227895.444579813,261153.39845942,361382.275936756
"Cml Pop Growth","Neonatal Female",93179.1478489531,17040.5353878591,42879.9561812129,81325.3317707243,92957.070369941,104796.129358443,141138.34213058
"Cml Pop Growth","Neonatal Male",52979.3547869654,14210.0942154805,11779.2322126915,42592.7035980677,52833.8815347284,62810.0537537816,91547.4699292054
"Cml Pop Growth","Neonatal Combined",146158.502635919,31144.9890275214,54659.1883939043,123382.423936492,145733.241409772,167186.635082761,232685.812059785
"Cml Pop Growth","Juvenile Female",16594.146410935,8424.69010772075,-8480.44943254223,10529.6706489455,16893.09528843,22570.2089741172,42107.6528358398
"Cml Pop Growth","Juvenile Male",67994.8730300917,7749.0039675852,44974.2417972606,62391.1071545884,68297.2120491978,73421.4164490296,91614.6125462276
"Cml Pop Growth","Juvenile Combined",84589.0194410267,16172.3741611901,36493.7923647184,72967.807560778,85151.7030662175,95933.7827419252,133722.265382067
"Cml Pop Growth","Adult Female",-27647.1036978717,1542.69550100702,-32039.7942427991,-28751.3161702825,-27711.2947990791,-26496.7302242919,-23380.3615072316
"Cml Pop Growth","Adult Male",25202.6497937496,1531.17421122752,20844.408978127,24105.5191014537,25140.4342934655,26344.2927691407,29437.4756695955
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",422830.438671465,53971.588655939,266903.678082286,384207.645555625,423012.752278713,460872.722312306,579132.250623123
"Total Number Increase","Neonatal Female",106673.379457341,17915.5175137504,53805.7140589107,94180.6571639089,106454.320498687,119083.813866289,157546.21807425
"Total Number Increase","Neonatal Male",126208.529527593,18985.3260750338,70469.0585037876,112864.287784418,125872.48138236,139404.489383655,180883.430323324
"Total Number Increase","Neonatal Combined",232881.908984935,36877.6972487362,124274.772562698,207266.993981373,231952.40123034,258333.474557413,338429.648397574
"Total Number Increase","Juvenile Female",52413.598959084,9250.41375293125,24835.3833529663,45647.9989186268,52718.7743405744,59016.7001337585,80225.8165926298
"Total Number Increase","Juvenile Male",67994.8730300917,7749.0039675852,44974.2417972606,62391.1071545884,68297.2120491978,73421.4164490296,91614.6125462276
"Total Number Increase","Juvenile Combined",120408.471989176,16991.4898511027,69809.6251502269,108266.583767375,121020.544438225,132522.079549461,171840.429138857
"Total Number Increase","Adult Female",36536.8749438101,1648.39271832146,31863.6180746585,35364.5622277854,36490.419161815,37742.5828846916,41077.4830033115
"Total Number Increase","Adult Male",33003.182753545,1591.46476412063,28484.8035747739,31868.3941911779,32948.4979429518,34173.2514300896,37394.3192963699
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",10396.1530559595,88.8450838311729,10149.0164820216,10331.8983095483,10395.0157742193,10460.900377341,10636.5793604248
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",1377.67125185188,34.0360178315995,1281.37818405802,1353.73564038101,1376.66743205404,1402.78577000917,1471.24380711694
"Total Mortality","Juvenile Male",689.113915748759,32.0541125244256,598.149954820922,666.210401041878,688.033357953218,712.624274907907,777.518769089178
"Total Mortality","Juvenile Combined",2066.78516760064,66.0891404864158,1879.52813887894,2020.02329202737,2064.88062970187,2115.12756156933,2248.76257620612
"Total Mortality","Adult Female",6876.85485446591,11.6392546741245,6846.79417687045,6868.08982518693,6876.74854169815,6885.00099252404,6906.94134028826
"Total Mortality","Adult Male",1452.51303389295,11.543520705425,1422.69416627218,1443.81924472011,1452.4086781903,1460.59286339717,1482.35430271478
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",254118069.026582,1941588.74622249,248763119.139174,252735205.35829,254106098.758488,255544611.30939,259329997.349556
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",23334995.6638672,576502.070031632,21703983.6815747,22929574.2767735,23317992.9641313,23760385.3724153,24919927.6049468
