"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",31882.8149285785,3302.90077732975,22319.6781643346,29332.148281257,32152.2520582388,33760.8374288456,40468.2596533611
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-8749.94677674825,1579.35026692829,-12760.0944003043,-9647.48055530055,-8904.37387738849,-7531.9070992883,-4219.57163690368
"Num Offtake","Juvenile Male",21421.0969407326,4114.73519132352,9633.07956851037,18249.6645839116,21789.7332225966,23758.9628878204,31839.0606537795
"Num Offtake","Juvenile Combined",12671.1501639843,2535.42967416146,5413.50793160669,10717.7574846233,12890.7880279952,14111.4375109705,19078.9662534752
"Num Offtake","Adult Female",-7557.96721978777,184.873679183653,-8069.55371345286,-7664.49747857516,-7575.92329587273,-7421.37640293447,-7018.2928899502
"Num Offtake","Adult Male",8217.8437839171,961.516636860618,5404.28524713895,7507.83099430467,8312.7070268601,8769.7544143796,10874.4280322569
"Num Offtake","Oxen",18551.7882004649,11.5945083853044,18520.1778755392,18543.3579554367,18551.9773983004,18560.0440851237,18584.4190810819
"Cml Pop Growth","Overall",4829049.80708039,1037299.17666975,2315701.46946459,4034041.62001473,4723518.76665854,5570676.54930089,7635496.03556063
"Cml Pop Growth","Neonatal Female",1597789.37961415,379521.97106271,763577.830987393,1336163.97371119,1540338.96232047,1866981.89574409,2586361.66832601
"Cml Pop Growth","Neonatal Male",1609116.49603646,379521.97106271,774904.947409706,1347491.09013351,1551666.07874278,1878309.01216641,2597688.78474832
"Cml Pop Growth","Neonatal Combined",3206905.87565061,759043.94212542,1538482.7783971,2683655.0638447,3092005.04106324,3745290.9079105,5184050.45307433
"Cml Pop Growth","Juvenile Female",706091.608582094,150102.474950319,331837.986157049,602967.801998037,701390.03086368,792591.713445343,1091333.03737715
"Cml Pop Growth","Juvenile Male",676544.038841859,145450.93407238,313177.998387958,577943.892291253,670167.150938204,760883.514947417,1054839.32207825
"Cml Pop Growth","Juvenile Combined",1382635.64742395,295546.162249528,645015.984545007,1180911.69428929,1371376.3185717,1553720.57439673,2146172.3594554
"Cml Pop Growth","Adult Female",132396.060110626,26004.9634133529,57849.2288107053,112347.713257169,134787.61944473,147174.065867262,198322.366736711
"Cml Pop Growth","Adult Male",121890.512398965,24363.0075643961,52320.9025037932,103145.766246317,123824.375080888,135668.224858733,183126.341243135
"Cml Pop Growth","Oxen",-14778.2885037682,430.113878779161,-16038.6183232815,-15095.3800667244,-14735.4655086973,-14532.8860944712,-13591.0592703517
"Total Number Increase","Overall",4860932.62200897,1039541.5390003,2340826.17465088,4061252.51923639,4759710.2181051,5605477.78093031,7671089.43624089
"Total Number Increase","Neonatal Female",1597789.37961415,379521.97106271,763577.830987393,1336163.97371119,1540338.96232047,1866981.89574409,2586361.66832601
"Total Number Increase","Neonatal Male",1609116.49603646,379521.97106271,774904.947409706,1347491.09013351,1551666.07874278,1878309.01216641,2597688.78474832
"Total Number Increase","Neonatal Combined",3206905.87565061,759043.94212542,1538482.7783971,2683655.0638447,3092005.04106324,3745290.9079105,5184050.45307433
"Total Number Increase","Juvenile Female",697341.661805346,148676.150042492,326409.885989957,595601.881577697,692005.64704205,783350.459161284,1080578.87515213
"Total Number Increase","Juvenile Male",697965.135782592,149166.021911159,325919.116635942,595750.266526168,693034.375975452,783969.743523451,1081549.45638656
"Total Number Increase","Juvenile Combined",1395306.79758794,297841.919834301,652329.002625899,1191352.14810386,1385040.0230175,1567333.13338664,2162128.33153869
"Total Number Increase","Adult Female",124838.092890838,25826.4688881316,50830.9359207551,104931.672908499,127170.640555749,139514.347711654,190252.813023258
"Total Number Increase","Adult Male",130108.356182882,25290.4082079305,57725.1877509321,110625.727543567,132284.288335142,144452.120239882,194000.769275392
"Total Number Increase","Oxen",3773.49969669661,441.51274141559,2481.55955225767,3447.47341575213,3817.05934906841,4026.92804741916,4993.3598107302
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
