"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",31238.5396241078,3512.85186528804,22386.152239769,28764.1372676132,31118.9740223281,33575.2673087069,42225.64983661
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-8428.36794148988,1678.29961064279,-13729.6840883909,-9542.67356480184,-8366.89186062145,-7270.47735229196,-4170.96255113415
"Num Offtake","Juvenile Male",20643.9991931802,4374.72681325003,9541.98376277652,17642.0949262582,20469.9925892064,23562.780504328,34440.4226376043
"Num Offtake","Juvenile Combined",12215.6312516903,2696.62512824092,5371.02121164237,10363.6292083344,12102.5331001973,14013.862678142,20710.7385492133
"Num Offtake","Adult Female",-7457.8313166037,194.496085509118,-8041.12365898412,-7587.1890535076,-7449.11661816301,-7316.43993899999,-6953.41022488158
"Num Offtake","Adult Male",8014.60065684746,1014.29078789254,5378.19749584718,7279.99442614583,7970.61491150319,8695.57882341804,11056.5699860079
"Num Offtake","Oxen",18466.1390321737,12.0165775147544,18436.2352985415,18457.0900611139,18465.5789520607,18474.522469538,18500.5654944374
"Cml Pop Growth","Overall",4623649.13139994,975414.934463855,1903844.70106724,3911768.54313816,4580847.69877408,5296246.75276641,7910530.83808285
"Cml Pop Growth","Neonatal Female",1533879.64170724,346923.360320491,630362.820113768,1272118.89817341,1525707.36671113,1769627.5621252,2724621.03638183
"Cml Pop Growth","Neonatal Male",1545593.87112347,346836.870894342,634531.304959974,1283397.47621337,1536870.19563213,1779870.93356392,2713039.66396529
"Cml Pop Growth","Neonatal Combined",3079473.51283071,693705.390754604,1264894.12507374,2554809.1017772,3064336.31134788,3549777.07305293,5437660.70034712
"Cml Pop Growth","Juvenile Female",673808.912919691,149475.120218622,269652.471117155,574205.288370336,665418.05727495,775293.732179036,1151619.67230401
"Cml Pop Growth","Juvenile Male",647201.175462709,144501.811521225,257324.704585245,551733.431344657,639088.529348969,744564.326365054,1106818.27629776
"Cml Pop Growth","Juvenile Combined",1321010.0883824,293960.576256074,526977.175702399,1125978.54282326,1303271.58111793,1520766.23719671,2258437.94860177
"Cml Pop Growth","Adult Female",122242.544695356,27507.6778818113,52430.3333307047,103306.909361342,121202.292583606,140591.322964701,209171.988084554
"Cml Pop Growth","Adult Male",116839.530693394,25838.0782273434,51175.0630436728,99268.0732636171,115831.900828432,134042.985862374,198442.142220586
"Cml Pop Growth","Oxen",-15916.5452019177,453.17011568854,-17095.4039156653,-16243.1563561332,-15936.7869672321,-15613.2730303904,-14555.0888419227
"Total Number Increase","Overall",4654887.67102405,978027.775195956,1926926.05480523,3942597.96955932,4613761.13034607,5330812.41917042,7950120.82492119
"Total Number Increase","Neonatal Female",1533879.64170724,346923.360320491,630362.820113768,1272118.89817341,1525707.36671113,1769627.5621252,2724621.03638183
"Total Number Increase","Neonatal Male",1545593.87112347,346836.870894342,634531.304959974,1283397.47621337,1536870.19563213,1779870.93356392,2713039.66396529
"Total Number Increase","Neonatal Combined",3079473.51283071,693705.390754604,1264894.12507374,2554809.1017772,3064336.31134788,3549777.07305293,5437660.70034712
"Total Number Increase","Juvenile Female",665380.544978201,147910.10176305,265403.964856672,566900.616796848,656864.313994014,766098.646774369,1138565.97204995
"Total Number Increase","Juvenile Male",667845.17465589,148579.660770929,267083.272735666,569468.971240093,658254.979159665,768173.133288302,1139568.61414453
"Total Number Increase","Juvenile Combined",1333225.71963409,296479.256795588,532487.237592338,1135244.57234854,1314847.4817613,1534725.10464922,2278134.58619448
"Total Number Increase","Adult Female",114784.713378752,27317.9804550327,45440.725026442,96056.9852973224,113769.086509732,133058.175088816,201130.86442557
"Total Number Increase","Adult Male",124854.131350241,26826.774964512,56740.8944290465,106551.433373113,123851.187576855,142750.335863625,209498.712206594
"Total Number Increase","Oxen",2549.59383025606,465.019989931512,1340.83138287624,2212.89241384385,2529.38379087072,2861.89783110861,3944.3761184502
"Total Mortality","Overall",258275.62242895,55157.1439300328,115577.293691551,219688.355146952,255282.353769429,293933.146498668,447915.848523955
"Total Mortality","Neonatal Female",106125.73097668,24233.0942176962,42521.8107872878,89472.9675672873,103798.092226984,121904.835249868,194781.402501904
"Total Mortality","Neonatal Male",105092.674239272,24089.3471197996,40535.8883533542,88556.3585095865,103791.513113385,120507.692622941,197206.878927103
"Total Mortality","Neonatal Combined",211218.405215953,47139.7636713869,89683.0069499444,177797.840696872,209067.172376143,242327.65069212,379501.342373266
"Total Mortality","Juvenile Female",21081.0290903879,4232.64587101463,10026.5417205348,18120.3875220996,20948.9159410905,23779.1567136535,34631.5535730557
"Total Mortality","Juvenile Male",19383.0308013277,4172.89248709023,8596.07497647404,16435.1580784462,19156.2573778402,22160.831063703,32663.0462774399
"Total Mortality","Juvenile Combined",40464.0598917155,8368.0753007658,19333.4300207803,34657.462373294,39993.536555054,45763.1523910772,67294.5998504957
