"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18729.0415808159,6.4513424798016,18704.4349249705,18724.7942463422,18729.2222227242,18733.141603601,18750.3817348684
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2289.7120605588,2.39443905341626,-2295.89246880579,-2291.3236672346,-2289.85454134828,-2288.15665166968,-2281.74041436427
"Num Offtake","Juvenile Male",4604.36947826843,4.65087170187483,4588.77867572707,4601.33361462693,4604.52158376153,4607.36066383239,4620.56472440678
"Num Offtake","Juvenile Combined",2314.65741770963,5.15278484273123,2294.07445021267,2311.38713115374,2314.83623058506,2318.05778578317,2331.46647630462
"Num Offtake","Adult Female",-6845.73679937491,0.344395325480616,-6846.71101994462,-6845.97281347796,-6845.75239218747,-6845.49930366705,-6844.6177448473
"Num Offtake","Adult Male",4825.29602784447,1.3465218351126,4820.88892903087,4824.43953194655,4825.2896398969,4826.23488370672,4829.67686347302
"Num Offtake","Oxen",18434.8249346367,0.0205279091614768,18434.764267127,18434.8115392626,18434.8253065897,18434.839324586,18434.8818983876
"Cml Pop Growth","Overall",45073.6135953595,558.228714060176,43083.6549057944,44709.145644694,45094.9117409518,45454.4319082873,46764.31495752
"Cml Pop Growth","Neonatal Female",-8208.94964928546,276.003160854485,-9311.1095752215,-8383.22896315532,-8194.01774978181,-8016.58359392545,-7390.78918051919
"Cml Pop Growth","Neonatal Male",3927.85144192131,237.492040377691,3086.95197488842,3774.66040126067,3938.03802946311,4090.70149447433,4588.80812368271
"Cml Pop Growth","Neonatal Combined",-4281.09820736416,368.298323880885,-5482.74568132459,-4511.46536101089,-4272.53787325471,-4031.95805459956,-3293.18774525455
"Cml Pop Growth","Juvenile Female",15197.2508439099,177.20576965072,14577.1316288196,15082.9609630278,15208.0496472684,15316.9172631231,15713.9227964684
"Cml Pop Growth","Juvenile Male",8341.09104459831,130.251325238021,7888.57997217699,8252.9702405482,8345.73838995426,8430.35179150175,8732.1350595924
"Cml Pop Growth","Juvenile Combined",23538.3418885082,221.86871629959,22694.6608864893,23390.7699212672,23538.3218435766,23693.9182715821,24150.6431521406
"Cml Pop Growth","Adult Female",21427.8443886191,39.1096084454552,21297.6098412143,21402.5035753504,21430.0577485392,21454.186979511,21528.8788058416
"Cml Pop Growth","Adult Male",21736.3160556904,27.2291310233179,21645.304306443,21718.4451231352,21737.0456072872,21753.9041788285,21831.1439002297
"Cml Pop Growth","Oxen",-17347.790530094,0.597279018958189,-17349.7508373021,-17348.1691451821,-17347.7970921238,-17347.3795505207,-17345.8393732247
"Total Number Increase","Overall",63802.6551761754,559.106857959677,61807.9865162518,63445.8148566018,63821.0707937864,64182.1864145707,65500.1510101019
"Total Number Increase","Neonatal Female",-8208.94964928546,276.003160854485,-9311.1095752215,-8383.22896315532,-8194.01774978181,-8016.58359392545,-7390.78918051919
"Total Number Increase","Neonatal Male",3927.85144192131,237.492040377691,3086.95197488842,3774.66040126067,3938.03802946311,4090.70149447433,4588.80812368271
"Total Number Increase","Neonatal Combined",-4281.09820736416,368.298323880885,-5482.74568132459,-4511.46536101089,-4272.53787325471,-4031.95805459956,-3293.18774525455
"Total Number Increase","Juvenile Female",12907.5387833511,175.162383925646,12292.8733344049,12794.9594611562,12917.6900954916,13025.4739871496,13418.0303276627
"Total Number Increase","Juvenile Male",12945.4605228667,134.131929674091,12479.4650357546,12856.2812341257,12948.1230201176,13036.4949288691,13344.8951911072
"Total Number Increase","Juvenile Combined",25852.9993062178,222.589582589693,25006.1521786881,25704.9449134677,25853.2577843336,26006.6174281079,26462.8643185602
"Total Number Increase","Adult Female",14582.1075892442,38.7838108009945,14452.9474055912,14557.088841968,14584.3052746138,14608.2721408404,14682.3351209192
"Total Number Increase","Adult Male",26561.6120835348,28.4874853095277,26466.1932354739,26542.8350665815,26562.4523195737,26579.9369187895,26660.8207637027
"Total Number Increase","Oxen",1087.03440454267,0.617086606633924,1085.01439214022,1086.64243987691,1087.03124556457,1087.46441033235,1089.04252516287
"Total Mortality","Overall",28991.2513741231,555.195378401282,27309.3753721099,28607.2437701224,28977.6045197493,29347.316862285,31029.5021556594
"Total Mortality","Neonatal Female",7314.13517314985,413.18641208957,6116.33252560481,7028.00444521473,7295.37217010512,7580.87542161323,8915.81009071929
"Total Mortality","Neonatal Male",5937.91144904799,347.113780757534,4969.74550848387,5698.94843325029,5937.38209902669,6153.5948509189,7213.66868691244
"Total Mortality","Neonatal Combined",13252.0466221978,540.036646665551,11707.8541912307,12885.2535452597,13234.2375213262,13603.5914733548,15029.3108940388
"Total Mortality","Juvenile Female",5730.32906886335,124.308068669572,5334.73066509958,5644.20683435741,5734.33536987193,5814.03997724619,6142.93756459797
"Total Mortality","Juvenile Male",4316.38839904514,91.1264156108766,4015.40020218097,4253.309761189,4314.83951069778,4377.34744569864,4589.31413477126
"Total Mortality","Juvenile Combined",10046.7174679085,158.249414797027,9534.45177144432,9945.40670270669,10048.9294539146,10155.1141239155,10537.9331684008
"Total Mortality","Adult Female",4563.82453291661,0.229596883653756,4563.07849656487,4563.6662024447,4563.83492812498,4563.98187565198,4564.47401329641
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",1128.66275110021,0.00125681076499342,1128.65903676288,1128.66193097526,1128.66277387284,1128.66363211751,1128.66623867679
"Value of Total Mortality","Overall",258267470.722863,3932297.59565229,246680606.382833,255454738.991218,258157403.142119,260773067.904623,272945530.85083
"Value of Total Mortality","Neonatal Female",54053778.2471868,3053578.6070552,45201636.8577339,51939181.4354833,53915113.7049242,56025073.2668589,65890663.780312
"Value of Total Mortality","Neonatal Male",35262587.808036,2061352.76323535,29513085.3466334,33843493.8387599,35259444.2361307,36543434.6112379,42838736.763431
