"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",31447.8932490981,3354.63046275092,21600.1527245859,29061.5482215231,31347.3425775304,33736.8414325056,43876.7006111209
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-8558.50614536892,1605.88804401354,-14571.4058347318,-9656.26689951373,-8511.21701601149,-7427.20734253405,-3846.45247246923
"Num Offtake","Juvenile Male",20936.3391235733,4183.48394065444,8651.72243206335,18027.2577658508,20817.486637067,23805.9510309749,36623.0152827453
"Num Offtake","Juvenile Combined",12377.8329782044,2577.79035664507,4805.26995959412,10587.0467478983,12298.3944038244,14124.3347254265,22051.6094480135
"Num Offtake","Adult Female",-7471.77613617639,185.84274964569,-8114.88057780271,-7600.28460520532,-7461.22954493668,-7337.06897591001,-6940.81741006759
"Num Offtake","Adult Male",8073.34512530577,968.356453621867,5297.87186462164,7371.47815275712,8017.95325004427,8730.14473855022,11435.1601147625
"Num Offtake","Oxen",18468.4912817644,11.5516608727493,18437.8283104377,18460.0555651194,18467.4941189912,18476.6598892738,18505.2072322887
"Cml Pop Growth","Overall",4648975.36421398,945331.269493443,2189787.87630414,3992114.99212364,4648173.14823656,5288007.96024873,9078299.40546389
"Cml Pop Growth","Neonatal Female",1530199.34868994,339454.173285314,673544.494487766,1288016.3010559,1520375.33929645,1756269.41569234,3114559.80369217
"Cml Pop Growth","Neonatal Male",1542399.0199238,339246.945981336,684992.446929294,1299011.22466581,1532424.27420502,1770886.1498237,3116059.84687597
"Cml Pop Growth","Neonatal Combined",3072598.36861374,678648.318260954,1358536.94141706,2588834.01558763,3051339.22051818,3526460.6408832,6230619.65056814
"Cml Pop Growth","Juvenile Female",688879.292829176,145001.771334631,252392.788921478,585242.758933553,682572.966389761,783488.947435556,1252296.79455767
"Cml Pop Growth","Juvenile Male",660435.002624803,140165.108733185,236587.405580104,560982.723969761,655598.330106444,749855.252089281,1206319.07290722
"Cml Pop Growth","Juvenile Combined",1349314.29545398,285151.704493688,488980.194501582,1145449.85090961,1337280.25004642,1531999.5931676,2458615.86746489
"Cml Pop Growth","Adult Female",124377.427423273,26323.190238476,47141.0986498774,105817.106962121,123654.778852926,142410.509481987,223020.389166457
"Cml Pop Growth","Adult Male",118577.33968896,24716.6045337105,46018.3375694916,101450.407348821,117877.519004645,135276.295215196,211507.734730427
"Cml Pop Growth","Oxen",-15892.0669659667,432.597805055287,-17133.978677322,-16206.7832533656,-15918.2832070403,-15599.2749400245,-14386.9204485208
"Total Number Increase","Overall",4680423.25746308,947749.152331852,2213663.6852892,4023796.10964275,4679395.23902493,5319577.96063578,9120128.20396028
"Total Number Increase","Neonatal Female",1530199.34868994,339454.173285314,673544.494487766,1288016.3010559,1520375.33929645,1756269.41569234,3114559.80369217
"Total Number Increase","Neonatal Male",1542399.0199238,339246.945981336,684992.446929294,1299011.22466581,1532424.27420502,1770886.1498237,3116059.84687597
"Total Number Increase","Neonatal Combined",3072598.36861374,678648.318260954,1358536.94141706,2588834.01558763,3051339.22051818,3526460.6408832,6230619.65056814
"Total Number Increase","Juvenile Female",680320.786683807,143509.396724637,248124.432639072,577965.765863682,673705.39435687,773649.912885936,1238705.11105155
"Total Number Increase","Juvenile Male",681371.341748376,144051.771809228,246294.054459411,578416.652426657,676076.794899146,773944.27407131,1240426.69326584
"Total Number Increase","Juvenile Combined",1361692.12843218,287551.642756502,494418.487098482,1156567.44101966,1349835.9284745,1546344.23990414,2479131.8043174
"Total Number Increase","Adult Female",116905.651287097,26142.6565619801,40200.2812398098,98481.5934559905,116177.002569354,134818.408454847,214905.508588654
"Total Number Increase","Adult Male",126650.684814266,25656.7168881998,51316.2094341132,108875.694942665,126019.116883291,144038.440995407,222942.89484519
"Total Number Increase","Oxen",2576.42431579768,443.957651705014,1303.84963311579,2254.49586290391,2551.09599577642,2877.51670195683,4117.89117762679
"Total Mortality","Overall",215759.518467802,44815.7553679363,87853.1545627298,183383.158766057,215549.513268525,244880.884351644,403634.213776154
"Total Mortality","Neonatal Female",105306.950358015,22924.8314566513,39001.4296198756,88779.0840991128,104430.727219403,120391.473643082,193188.933526907
"Total Mortality","Neonatal Male",103846.373626734,22899.5699528754,42673.4692731189,87659.3926107753,104054.089015871,118777.642325469,203322.739322661
"Total Mortality","Neonatal Combined",209153.323984749,44661.4981450737,81674.8988929944,176902.532031455,208869.167163285,238198.437302546,396511.672849568
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",4981.18409078426,123.89516643046,4627.21160671173,4891.37931727334,4974.15302995779,5066.85640347022,5409.9203852018
"Total Mortality","Adult Male",494.28643624321,59.2871298135837,324.359501915611,451.314988944313,490.895096941486,534.498657462258,700.111843760971
"Total Mortality","Oxen",1130.72395602639,0.707244543229538,1128.84663125129,1130.20748357874,1130.66290524436,1131.2240748535,1132.97187136461
"Value of Total Mortality","Overall",1532150517.40514,303878254.862554,667068082.360521,1313161326.22206,1531772003.78834,1732924824.27103,2807675397.08165
"Value of Total Mortality","Neonatal Female",667842904.895618,145386282.502741,247341965.215664,563025338.946313,662286012.361574,763506978.495846,1225178947.08435
"Value of Total Mortality","Neonatal Male",735422317.1025,162170851.106725,302206235.57297,620788876.66635,736893322.082663,841163016.947959,1439896982.91982
"Value of Total Mortality","Neonatal Combined",1403265221.99812,299775684.194705,549548200.788634,1186645550.17125,1403006953.98702,1600049339.44562,2665075930.00417
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",108173169.800447,2690551.61011459,100486177.124327,106222937.318202,108020480.776553,110033660.289951,117483760.039713
"Value of Total Mortality","Adult Male",18236938.6924591,2187427.51648193,11967401.7270443,16651486.2251156,18111813.5779588,19720588.1703471,25830967.3022283
"Value of Total Mortality","Oxen",27709969.8628926,17332.0153642596,27663963.3971557,27697312.9841883,27708473.7282073,27722225.9732838,27765058.1679953
"Population Liveweight (kg)","Overall",691534539.792896,128640181.028431,385350021.88477,602844987.540698,684326351.239219,777205604.334363,1258725339.11798
"Population Liveweight (kg)","Neonatal Female",132368391.32864,40042252.7568013,43645867.5560814,105164955.28326,129299681.929397,157337199.266056,297570046.344846
"Population Liveweight (kg)","Neonatal Male",139071848.54124,47920172.8002438,38941939.4093607,103653465.344248,134166669.232774,170942984.355155,341670673.46316
"Population Liveweight (kg)","Juvenile Female",127150846.423415,37420505.5933773,48405078.7545455,100531839.672928,122786846.956371,151153489.359628,338927702.389352
"Population Liveweight (kg)","Juvenile Male",145285701.04723,43757885.5636864,53660331.6341138,113935503.672775,140160992.688238,169827471.27062,353952484.87642
"Population Liveweight (kg)","Juvenile Combined",272436547.470645,68946147.5951501,114688363.3858,226591504.120618,266775082.968282,315279302.3489,692880187.265772
"Population Liveweight (kg)","Adult Female",82680625.5103925,13878351.5299671,43719063.9055664,72751168.5629162,81924217.4490238,91848184.0231985,134098778.864773
"Population Liveweight (kg)","Adult Male",36834428.8915049,8826257.84459261,15194632.6857,30602101.4949621,36142441.9825539,42158578.5392439,67622997.0799726
"Population Liveweight (kg)","Oxen",28142698.0504735,4603885.37984567,18664050.3057529,24607987.5229621,27976740.4489799,31657951.238774,39914282.650402
"Offtake Liveweight (kg)","Overall",8031922.04610562,1618742.95420324,3809538.47840587,6886826.76130625,7943421.53377231,8999013.84552402,13812068.4283761
"Offtake Liveweight (kg)","Juvenile Female",-1424813.18532743,396151.970030362,-3146488.98926553,-1683502.23758735,-1376814.44294566,-1136579.07886336,-484368.822387571
"Offtake Liveweight (kg)","Juvenile Male",4241325.89851691,1343909.97970555,1541004.53953464,3225170.24146783,4048580.56533641,5101277.28802804,9604150.76870175
"Offtake Liveweight (kg)","Adult Female",-1814388.04768516,274662.049272629,-2597681.13230055,-2024853.69888983,-1822495.39774772,-1613079.98647276,-1164306.21539172
"Offtake Liveweight (kg)","Adult Male",2121522.12446314,428308.390559724,1176119.75814335,1812023.51774956,2102690.89059719,2387976.91041292,3782217.64002702
"Offtake Liveweight (kg)","Oxen",4908275.25613816,785581.302720102,3257654.10351807,4300049.49577457,4864639.84186385,5494599.14311739,6914967.13654629
"Meat (kg)","Overall",21230214.3160435,1884388.55606106,16433123.8616458,19918461.508637,21173353.1343932,22443496.3195663,28998205.2059047
