"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",31345.4888102194,3301.0625482179,25736.3130804743,28706.5296236566,31399.3957502648,33498.7025390398,40392.6166227331
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-8506.22760572026,1583.32515864169,-12730.8995299188,-9490.2488994626,-8542.97078036384,-7223.71010474613,-5731.90203338984
"Num Offtake","Juvenile Male",20835.6121043685,4125.99563211163,13584.8969793002,17469.8916246402,20919.4144394924,23356.5363022873,31852.2272701488
"Num Offtake","Juvenile Combined",12329.3844986482,2542.71405174441,7852.99494591032,10246.181519894,12376.4436591286,13866.2874028247,19121.32774023
"Num Offtake","Adult Female",-7456.8438118686,181.621809155755,-7983.15438119198,-7569.7357785022,-7452.86491987979,-7313.57962763377,-7162.90352082131
"Num Offtake","Adult Male",8006.14490159744,946.480649959527,6483.63362866985,7267.412653772,7987.29955190227,8592.5479947009,10755.5203561398
"Num Offtake","Oxen",18466.8032218423,11.2507911249501,18446.4409978081,18457.9518750909,18465.9167656101,18474.1189723224,18498.9229075552
"Cml Pop Growth","Overall",4806536.91971143,999193.384799979,2547211.41241274,4143489.00425125,4697663.52946474,5468257.39751519,7205952.83815162
"Cml Pop Growth","Neonatal Female",1604777.6589247,367976.767350749,747495.0279354,1352694.10671394,1579397.4511164,1845089.9700464,2504090.27674704
"Cml Pop Growth","Neonatal Male",1616104.77534701,367976.767350749,758822.144357713,1364021.22313625,1590724.56753872,1856417.08646872,2515417.39316935
"Cml Pop Growth","Neonatal Combined",3220882.43427172,735953.534701497,1506317.17229311,2716715.32985019,3170122.01865512,3701507.05651512,5019507.66991639
"Cml Pop Growth","Juvenile Female",693677.870771881,146642.382147993,383533.78710865,603628.425726674,684380.864105837,797098.685295014,1042460.47116535
"Cml Pop Growth","Juvenile Male",666305.160214899,141917.318661132,365576.978962618,579401.443262317,655952.456044408,767593.697710988,1006947.42888642
"Cml Pop Growth","Juvenile Combined",1359983.03098678,288552.971021652,749110.766071269,1183916.77987316,1340333.32015024,1564692.383006,2049407.90005177
"Cml Pop Growth","Adult Female",123542.619666325,25957.8463256948,77948.8463492,102483.70563601,124162.852679867,139565.830954804,192667.281455733
"Cml Pop Growth","Adult Male",118049.967587629,24391.9519980795,74835.4565316245,98049.1232664778,118439.654203026,132555.052382402,182723.639488789
"Cml Pop Growth","Oxen",-15921.1328010175,422.855003638304,-16598.6362294071,-16248.7050881103,-15929.9580785228,-15660.0278235651,-14692.7506771373
"Total Number Increase","Overall",4837882.40852165,1001457.43325285,2575093.99637071,4172442.14186763,4727407.42478504,5500619.85615663,7240882.80607099
"Total Number Increase","Neonatal Female",1604777.6589247,367976.767350749,747495.0279354,1352694.10671394,1579397.4511164,1845089.9700464,2504090.27674704
"Total Number Increase","Neonatal Male",1616104.77534701,367976.767350749,758822.144357713,1364021.22313625,1590724.56753872,1856417.08646872,2515417.39316935
"Total Number Increase","Neonatal Combined",3220882.43427172,735953.534701497,1506317.17229311,2716715.32985019,3170122.01865512,3701507.05651512,5019507.66991639
"Total Number Increase","Juvenile Female",685171.643166161,145186.55580715,377801.88507526,596482.351323519,675535.28527279,787993.710821124,1031391.37507193
"Total Number Increase","Juvenile Male",687140.772319268,145709.90915039,379161.875941918,597572.068961141,677645.532491077,790031.374894495,1034488.10783028
"Total Number Increase","Juvenile Combined",1372312.41548543,290895.097252771,756963.761017179,1194054.42028466,1353180.81776387,1578025.08571562,2065879.48290221
"Total Number Increase","Adult Female",116085.775854457,25781.6941833649,70755.8605371239,95156.2890456534,116709.21891006,131954.701121797,184684.127074541
"Total Number Increase","Adult Male",126056.112489227,25309.2626647725,81458.7763955315,105374.589977735,126588.622677018,141398.325808481,193479.159844929
"Total Number Increase","Oxen",2545.67042082481,433.930101308575,1847.80476840101,2207.12825856805,2537.00703235063,2814.46627711681,3806.17223041791
"Total Mortality","Overall",47341.6788387946,7927.44990604542,33744.7080242083,41580.9625634455,47014.3608018109,52483.2978918965,70162.8646208876
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",21249.0090105078,3927.15126765344,14737.556543745,17669.5567469315,21291.4931552024,24290.8860110791,33105.8743635563
"Total Mortality","Juvenile Male",19500.647878123,3870.47740537422,12676.5436906455,16813.8901208707,19692.6143367199,21641.3016604554,29943.7989734533
"Total Mortality","Juvenile Combined",40749.6568886308,7752.72182463946,27414.1002343905,35106.6337830377,40387.4736880701,45751.7845408706,63049.6733370096
"Total Mortality","Adult Female",4971.2292079124,121.081206103836,4775.26901388087,4875.71975175585,4968.57661325319,5046.49051900146,5322.10292079465
"Total Mortality","Adult Male",490.172136832496,57.9477948954813,396.957160938971,444.943631863592,489.018339912384,526.074367022504,658.501246294271
"Total Mortality","Oxen",1130.62060541892,0.688823946425523,1129.37393864131,1130.07868623006,1130.56633258837,1131.06850850953,1132.5871167891
"Population Liveweight (kg)","Overall",723609549.420917,139585343.50792,426032413.154019,619953840.19662,701335294.797956,820074369.952036,1120263132.77672
"Population Liveweight (kg)","Neonatal Female",166322489.901389,52801646.3391299,67889669.6374442,123083758.986538,165128259.804074,194731394.494798,360837054.873971
"Population Liveweight (kg)","Neonatal Male",148732611.685509,47493982.1923962,57925288.4914865,116691664.865261,141601523.173521,176343387.004372,258929368.166421
"Population Liveweight (kg)","Juvenile Female",128586640.07276,33767191.5062283,63548632.9355624,103693591.00635,123268950.429696,151711644.171247,212198360.588862
"Population Liveweight (kg)","Juvenile Male",134797449.373595,40302203.8918852,59423231.7190056,101454383.052366,129577727.302056,161363996.084652,252756956.862829
"Population Liveweight (kg)","Juvenile Combined",263384089.446355,64688579.1602717,133550207.085301,213277800.138647,253136465.815041,311219117.928661,443820523.900171
"Population Liveweight (kg)","Adult Female",82094938.6239789,14246871.7683477,50840706.3091797,70219355.2865901,83801133.828402,91747656.3401376,114654367.018968
"Population Liveweight (kg)","Adult Male",36006282.7314014,8206593.93262518,20012569.2518301,30109632.3008755,35094264.9878586,41662492.024181,55859299.2707827
"Population Liveweight (kg)","Oxen",27069137.032283,4735325.33924014,19007385.3718254,23354336.511573,26654073.0808874,30044536.9211871,38504912.4874695
"Offtake Liveweight (kg)","Overall",7617832.40901102,1411001.6428071,4720708.82303564,6689793.8142035,7526781.4297666,8476795.85435447,10969199.5173072
"Offtake Liveweight (kg)","Juvenile Female",-1423276.7255628,406039.099989521,-2557269.08126139,-1718168.71433726,-1348714.91564358,-1138371.02012777,-743747.30794885
"Offtake Liveweight (kg)","Juvenile Male",3823335.71606446,981447.082176424,1863104.24081974,3034706.31143909,3627010.33483569,4723593.09151633,5751338.69225522
"Offtake Liveweight (kg)","Adult Female",-1792120.50478233,259141.379860894,-2282924.4489219,-2018004.61408422,-1767316.5198884,-1594313.82331,-1154780.48832624
"Offtake Liveweight (kg)","Adult Male",2124421.6385318,428531.973304448,1250964.14781816,1774001.7331302,2107900.20542404,2418192.82043812,3145942.32447455
"Offtake Liveweight (kg)","Oxen",4885472.28475989,797593.889623665,3421730.72631922,4249680.79662705,4788900.66108901,5424417.46797412,6671117.97385568
"Meat (kg)","Overall",20633523.2140441,1444868.15974933,16119476.2077799,19603096.8846757,20509977.3556382,21585910.5463768,24624603.1509292
"Manure","Overall",1023078679.14902,154030630.759409,722931524.040129,907152230.50736,1022293903.10116,1122235001.72887,1338744297.67586
"Manure","Neonatal Female",228968919.523171,45730201.5120889,130993056.744553,196214027.114199,228300252.875123,251368657.782155,330370354.405305
"Manure","Neonatal Male",227841002.850047,47314927.5495403,134306157.576005,190848182.406875,223091330.38742,253239923.639679,339814682.89171
"Manure","Neonatal Combined",456809922.373217,92572513.8849972,265299214.320558,391854981.158414,454858563.244045,508452241.698488,670185037.297015
"Manure","Juvenile Female",141918379.513238,26869773.5449587,96972372.7217905,121476340.975967,143567340.47043,160799003.214531,213023000.289021
"Manure","Juvenile Male",130049794.091604,25895095.2986688,84090819.8912384,110166592.337758,129196511.540381,148814410.448328,182971718.692854
"Manure","Juvenile Combined",271968173.604842,52231846.9266202,182917961.569845,230901786.984106,271818545.119018,310164102.083508,395994718.981875
"Manure","Adult Female",177271966.352478,11530311.1364042,141833944.336131,170494940.115744,178643157.242939,184896658.090941,205532471.486239
"Manure","Adult Male",40228226.6715128,6240921.25314165,28719312.2063691,35682264.7865806,39495408.4508959,44218337.8695245,56140575.6277035
"Manure","Oxen",76800390.1469669,4468180.03624887,65512694.9138972,73863096.1510138,76508781.3555442,79537949.4967039,84724156.2902774
"Hides","Overall",23670.8394193973,3963.72495302271,16872.3540121042,20790.4812817228,23507.1804009054,26241.6489459482,35081.4323104438
"Hides","Juvenile Female",10624.5045052539,1963.57563382672,7368.77827187252,8834.77837346575,10645.7465776012,12145.4430055395,16552.9371817781
"Hides","Juvenile Male",9750.32393906149,1935.23870268711,6338.27184532273,8406.94506043533,9846.30716835994,10820.6508302277,14971.8994867267
"Hides","Juvenile Combined",20374.8284443154,3876.36091231973,13707.0501171953,17553.3168915189,20193.736844035,22875.8922704353,31524.8366685048
"Hides","Adult Female",2485.6146039562,60.5406030519182,2387.63450694044,2437.85987587792,2484.2883066266,2523.24525950073,2661.05146039733
"Hides","Adult Male",245.086068416248,28.9738974477406,198.478580469485,222.471815931796,244.509169956192,263.037183511252,329.250623147136
"Hides","Oxen",565.310302709459,0.344411973212761,564.686969320657,565.039343115029,565.283166294187,565.534254254767,566.293558394548
"Milk","Overall",742414957.213634,204110339.01033,361153908.166221,600935114.352751,759949366.734897,871349878.423432,1308378717.34919
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",3838685502.17182,605750430.20347,2683575176.74247,3393057926.33501,3854969633.77726,4209256097.94339,5256561737.80193
"Cml Dry Matter","Neonatal Female",949006727.574297,212732845.612715,549792286.45323,785906042.154456,927596401.401705,1082319350.35624,1459681007.65814
"Cml Dry Matter","Neonatal Male",798240584.137943,172274228.969636,451753005.712905,679492008.889172,770075086.45981,914346056.481605,1266435917.01419
"Cml Dry Matter","Neonatal Combined",1747247311.71224,370254285.563705,1044680830.28414,1471397309.6367,1735935849.29188,1995845805.45438,2726116924.67233
"Cml Dry Matter","Juvenile Female",542536918.27377,101927274.119879,334856504.596094,455000569.066858,541685019.006043,620050043.191126,778567565.136977
"Cml Dry Matter","Juvenile Male",544256117.10632,117798356.948986,338071257.111499,439627947.228574,538813293.167995,611437093.060381,911485346.247866
"Cml Dry Matter","Juvenile Combined",1086793035.38009,211897764.580094,689113167.761534,927979569.338842,1091709872.11537,1221962065.64611,1668243939.30529
"Cml Dry Matter","Adult Female",582816020.479103,32887055.9631029,502159223.878057,557731446.820854,582305782.602268,604639977.844591,666493208.094485
"Cml Dry Matter","Adult Male",145780645.292997,20199074.5730997,114536007.057152,128903565.921095,144026853.636891,159695116.245673,204923382.865071
"Cml Dry Matter","Oxen",276048489.307389,12832369.3148999,248952825.008053,266757380.565892,275223927.661314,284413459.789969,306926767.542074
"Value of Offtake","Overall",971621366.694909,163190214.840246,601184408.459718,880888735.007652,971514784.434947,1072690171.48608,1348100411.07477
