"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",18728.812643201,6.54936550500736,18707.306242186,18724.7785064513,18728.8215669445,18733.3517479629,18748.2314803939
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-2289.69863549141,2.33617372387236,-2295.95871151799,-2291.31299380604,-2289.8648230181,-2288.17484881993,-2281.02295935127
"Num Offtake","Juvenile Male",4604.18750660252,4.73800352273502,4588.80288408285,4601.22848502609,4604.23157275896,4607.39734287873,4618.71528717653
"Num Offtake","Juvenile Combined",2314.48887111111,5.25151188968208,2296.70831968704,2311.13793871809,2314.51763652172,2318.12083497581,2329.78730835711
"Num Offtake","Adult Female",-6845.73251003375,0.337475452042087,-6846.7026828954,-6845.98280994792,-6845.73586818768,-6845.50100936402,-6844.45874055174
"Num Offtake","Adult Male",4826.25419447795,1.330390525418,4822.37975167208,4825.40360953025,4826.23202132052,4827.17557250948,4830.27155357236
"Num Offtake","Oxen",18433.8020876457,0.0197821931803074,18433.7481132754,18433.7884641892,18433.8023539573,18433.8156214373,18433.8601488642
"Cml Pop Growth","Overall",45091.029623826,564.348123721381,42985.7546046943,44735.1968342941,45110.2689522912,45470.6465237567,46671.4181992867
"Cml Pop Growth","Neonatal Female",-8196.33932527733,273.402873580515,-9263.88335440041,-8373.70979130891,-8176.84857128189,-8011.00565095697,-7337.64245017597
"Cml Pop Growth","Neonatal Male",3935.87168833979,240.550171739209,3087.63656321171,3785.12370859284,3947.63186647362,4102.51153913466,4554.52909411774
"Cml Pop Growth","Neonatal Combined",-4260.46763693755,369.650386745306,-5597.2017881304,-4498.54340531787,-4254.10098522983,-4013.75981285079,-3251.28208248017
"Cml Pop Growth","Juvenile Female",15195.5395877763,174.160530655512,14578.4857748514,15086.221687144,15199.4574463504,15317.9376846987,15705.2277935701
"Cml Pop Growth","Juvenile Male",8340.81104410804,136.839616693575,7843.82459802372,8254.64200681724,8349.2100987929,8436.48139221934,8757.02384851845
"Cml Pop Growth","Juvenile Combined",23536.3506318843,221.421355928896,22734.0349458971,23393.8012957972,23541.0458395625,23685.766902937,24160.991541496
"Cml Pop Growth","Adult Female",21427.6311225521,38.1570000201973,21286.1501789501,21402.545148254,21430.3133458337,21453.9345314382,21529.5941893332
"Cml Pop Growth","Adult Male",21733.7805916704,27.7874630177472,21642.7271593736,21716.6578374686,21734.0696748412,21752.5864647405,21818.7171554569
"Cml Pop Growth","Oxen",-17346.2650853432,0.590612817353071,-17347.9868873,-17346.6424043839,-17346.2744102345,-17345.8556939059,-17344.4819956237
"Total Number Increase","Overall",63819.842267027,565.68611061102,61707.9354903527,63461.1794752488,63837.1338950689,64196.4292753314,65402.783110145
"Total Number Increase","Neonatal Female",-8196.33932527733,273.402873580515,-9263.88335440041,-8373.70979130891,-8176.84857128189,-8011.00565095697,-7337.64245017597
"Total Number Increase","Neonatal Male",3935.87168833979,240.550171739209,3087.63656321171,3785.12370859284,3947.63186647362,4102.51153913466,4554.52909411774
"Total Number Increase","Neonatal Combined",-4260.46763693755,369.650386745306,-5597.2017881304,-4498.54340531787,-4254.10098522983,-4013.75981285079,-3251.28208248017
"Total Number Increase","Juvenile Female",12905.8409522849,172.175124223615,12295.335610057,12798.1503365052,12910.1868291609,13026.9306380792,13411.262796634
"Total Number Increase","Juvenile Male",12944.9985507106,140.923432675532,12439.9381589839,12856.8152217744,12953.140872765,13042.5680717098,13373.4861510748
