"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",52333.1145675648,6193.55898242987,37477.8605460612,47710.1747708433,52224.3481577869,56866.1047318556,68745.0047526657
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",7190.44059091615,1197.07668560617,4309.64191908418,6305.86082439459,7168.46411726666,8067.79304617477,10382.7127755118
"Num Offtake","Juvenile Male",16851.7365136035,3289.85274274533,8931.18924456692,14427.8450564421,16792.5630281542,19267.1853517988,25632.0524773664
"Num Offtake","Juvenile Combined",24042.1771045197,4486.91645381322,13240.8311636511,20731.3872492025,23961.0271454209,27353.6557450406,36014.7652528782
"Num Offtake","Adult Female",5490.31775423517,137.339954337426,5171.98759144344,5386.67694233833,5483.72239827292,5589.59571281125,5878.97510756058
"Num Offtake","Adult Male",22800.6197088099,1599.65910120203,19065.0417909667,21585.0801158481,22735.165832946,23943.1162511158,27295.3456625935
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",2008236.17388467,425445.543575018,810838.304502214,1698800.15031067,2011655.51099252,2300295.10968661,3381304.714644
"Cml Pop Growth","Neonatal Female",663706.587683034,154104.124883512,223441.615132241,556321.471000108,659534.227303531,764204.287166992,1197916.57705824
"Cml Pop Growth","Neonatal Male",679316.68918755,154147.67675596,238358.771174222,571019.55654881,675535.886373055,779413.094046704,1214224.58547305
"Cml Pop Growth","Neonatal Combined",1343023.27687058,308250.024354958,461800.386306463,1126859.26538359,1334350.09946606,1543287.53292452,2412141.16253128
"Cml Pop Growth","Juvenile Female",296816.010686861,63877.5122956644,142384.528257182,250148.705452672,296066.214835114,343129.086900214,482523.349456358
"Cml Pop Growth","Juvenile Male",287550.602678702,62188.9119952756,137320.456303218,242195.931044968,286669.023396254,332542.734801341,469135.973667164
