"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",31615.2105603706,66.2558426009982,31459.5661119285,31566.0291632087,31610.2491685946,31657.978339844,31892.8279083852
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2907.9991058991,12.7512506198577,2877.38970747358,2898.83300849322,2906.86919426931,2916.14476238855,2960.59581018
"Num Offtake","Juvenile Male",4904.85414937285,35.0288705322385,4820.64821267681,4879.66313038059,4901.72509198127,4927.39106075512,5049.15706093827
"Num Offtake","Juvenile Combined",7812.85325527195,47.7800350845434,7698.03792015039,7778.52698255257,7808.64886562374,7843.52755817068,8009.75287111828
"Num Offtake","Adult Female",5268.95743902847,1.48345105964332,5265.76258627538,5267.86638647821,5268.76942355254,5269.89231840286,5275.31848093151
"Num Offtake","Adult Male",18533.3998660702,17.3222355972955,18495.7656055027,18520.6557568612,18531.2523181027,18544.5932329848,18607.7565563354
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",72855.514617814,4075.83072323872,62931.6784407828,69879.801453035,72474.7681016133,75462.3118660556,86575.4182536236
"Cml Pop Growth","Neonatal Female",-194.666431714749,1420.78602448345,-3391.08845967508,-1242.90531176492,-338.560241446798,669.701707594804,4582.17735270055
"Cml Pop Growth","Neonatal Male",14339.4236275562,1420.78602448345,11143.0015995958,13291.184747506,14195.5298178241,15203.7917668657,19116.2674119715
"Cml Pop Growth","Neonatal Combined",14144.7571958414,2841.5720489669,7751.91313992075,12048.2794357411,13856.9695763773,15873.4934744605,23698.444764672
"Cml Pop Growth","Juvenile Female",24832.836721774,669.474848792126,23150.3768818844,24343.5854416421,24779.8851497823,25261.3433965419,27143.3249812022
"Cml Pop Growth","Juvenile Male",19864.5464302601,650.920584057627,18225.4669707676,19388.5756790689,19815.9238956327,20279.3162192968,22096.639328247
"Cml Pop Growth","Juvenile Combined",44697.3831520341,1320.37615851448,41375.843852652,43729.2039195684,44598.733279808,45542.8208023661,49239.9643094492
"Cml Pop Growth","Adult Female",15029.4378882484,123.665479507666,14731.8635113348,14940.2191272755,15018.4165728017,15109.1210351243,15538.4421526494
"Cml Pop Growth","Adult Male",-1016.06361830998,108.269828536576,-1279.16484594268,-1094.23185979404,-1024.88521483865,-946.411066981414,-575.052767270146
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",104470.725178185,4121.90018102949,94410.2221483171,101449.479815421,104098.108322006,107100.913306987,118328.298177473
"Total Number Increase","Neonatal Female",-194.666431714749,1420.78602448345,-3391.08845967508,-1242.90531176492,-338.560241446798,669.701707594804,4582.17735270055
"Total Number Increase","Neonatal Male",14339.4236275562,1420.78602448345,11143.0015995958,13291.184747506,14195.5298178241,15203.7917668657,19116.2674119715
"Total Number Increase","Neonatal Combined",14144.7571958414,2841.5720489669,7751.91313992075,12048.2794357411,13856.9695763773,15873.4934744605,23698.444764672
"Total Number Increase","Juvenile Female",27740.8358276731,681.279364521807,26031.0832116069,27241.4529506351,27685.9133498485,28173.8563822617,30101.7590450064
"Total Number Increase","Juvenile Male",24769.400579633,683.340776856608,23055.1584192536,24268.67358118,24714.3235561602,25204.0896768158,27140.0015803943
"Total Number Increase","Juvenile Combined",52510.236407306,1364.61946371326,49086.2416308606,51509.8234260513,52400.6983244885,53377.9940898329,57241.7606254007
