"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",22641.3667809181,38.0099999808542,22559.1055275368,22611.6880252285,22635.3391572787,22664.0111524013,22763.6521210071
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",1395.28955754218,6.00363554920108,1381.78214000258,1390.98459967528,1394.15844522777,1398.83055406941,1413.78073503292
"Num Offtake","Juvenile Male",2391.22996292678,16.6147974183838,2353.52463816996,2378.52612830496,2388.76185950657,2400.60573319643,2445.10501875972
"Num Offtake","Juvenile Combined",3786.51952046896,22.5972803905126,3735.30677817254,3769.34586398547,3783.13322068371,3799.37975836426,3858.88575379264
"Num Offtake","Adult Female",2655.60187527644,0.720198404403888,2654.16896499142,2655.07904805589,2655.50204771126,2655.99250322191,2657.76978043507
"Num Offtake","Adult Male",16199.2453851727,14.9015656880056,16169.6297843729,16188.5636675306,16196.9267521523,16208.0897397902,16246.9965867794
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",57395.3261803674,3552.48854733968,48516.7527464445,54934.6468397546,56784.7838428292,59325.2674532695,67869.0190818408
"Cml Pop Growth","Neonatal Female",-4500.01142476246,1282.05167579581,-7193.0513898572,-5356.46073165325,-4613.355128542,-3786.29923855719,-99.739049589698
"Cml Pop Growth","Neonatal Male",11064.8613040112,1273.5326156005,8386.89281917023,10213.4195340853,10880.8308431627,11724.2695327787,15482.4985384027
"Cml Pop Growth","Neonatal Combined",6564.84987924876,2553.77032242606,1193.84142931303,4846.36437921258,6267.47571462065,7878.89373758872,15382.759488813
"Cml Pop Growth","Juvenile Female",19181.3039712382,587.328300239217,17665.7114005659,18778.9702404958,19103.5263839832,19581.6592881528,20957.1596344304
"Cml Pop Growth","Juvenile Male",17496.1908315527,574.886147586691,16002.150347209,17104.2232414976,17365.7868976345,17858.1740816243,19290.1563044933
"Cml Pop Growth","Juvenile Combined",36677.4948027909,1161.07868156487,33667.8617477749,35869.4820988564,36475.1734613457,37436.6109007677,40247.3159389237
"Cml Pop Growth","Adult Female",16398.1830246456,117.030997208312,16134.2439517553,16314.7563706405,16375.7269903028,16467.191203148,16758.6123187731
"Cml Pop Growth","Adult Male",-2245.20152631794,101.357651638845,-2479.19438239871,-2320.15941457809,-2261.02420487815,-2190.75427907202,-1917.34604471626
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",80036.6929612854,3576.81144895245,71075.8582739814,77558.0992347905,79401.9091868806,81953.9359375362,90530.4907262207
"Total Number Increase","Neonatal Female",-4500.01142476246,1282.05167579581,-7193.0513898572,-5356.46073165325,-4613.355128542,-3786.29923855719,-99.739049589698
