"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",29835.0618873656,2.08808916357224,29829.174415679,29833.6035524513,29835.1100185061,29836.4846389831,29841.7551761932
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2737.14742586149,0.724749797512314,2734.9534958499,2736.6619463788,2737.13470154246,2737.63095942146,2739.32052290565
"Num Offtake","Juvenile Male",4465.29885063155,1.28498167738189,4461.37440085981,4464.40815913817,4465.27875562064,4466.17375123892,4469.77780583238
"Num Offtake","Juvenile Combined",7202.44627649304,1.48816693252451,7198.23080399905,7201.36198931521,7202.51388560648,7203.45972700888,7207.40231629785
"Num Offtake","Adult Female",5052.77246223848,0.0872070453101155,5052.52270238017,5052.71226416394,5052.77157747448,5052.83000346074,5053.02417940637
"Num Offtake","Adult Male",17579.843148634,0.636055936244969,17578.0764726069,17579.4078421083,17579.8429730457,17580.2858091512,17582.0609459014
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-8515.18721295157,113.545768251259,-8841.74355527596,-8596.5825386701,-8519.00077714978,-8435.997491385,-8160.27196490666
"Cml Pop Growth","Neonatal Female",-24112.636794624,55.796160232814,-24284.7533923429,-24151.7494003429,-24113.4125772066,-24076.5586918932,-23937.6963830373
"Cml Pop Growth","Neonatal Male",-8527.3945562523,42.0743093336374,-8680.96077542838,-8556.768396127,-8527.8935007258,-8498.84206437726,-8406.6398107898
"Cml Pop Growth","Neonatal Combined",-32640.0313508763,71.7369816756876,-32881.5826630117,-32687.8342011911,-32641.7150741699,-32595.3094719324,-32425.269201564
"Cml Pop Growth","Juvenile Female",14034.8644630494,34.0298822045216,13934.3777442506,14011.911354363,14032.7319140628,14058.7801301341,14130.1872180192
"Cml Pop Growth","Juvenile Male",9941.43854228508,22.4943461784388,9869.54764606654,9924.97614711306,9942.12344428215,9956.53274168659,10005.9841008382
"Cml Pop Growth","Juvenile Combined",23976.3030053345,41.9082813313812,23860.196962536,23947.0377363561,23976.6532110105,24004.9560769919,24118.7655075623
"Cml Pop Growth","Adult Female",4802.42392728304,6.8654309151662,4781.60022120092,4797.80103515748,4802.29008298783,4806.99114610353,4823.03056104129
"Cml Pop Growth","Adult Male",-4653.88279469286,3.86070485088784,-4665.8497037821,-4656.56321016224,-4653.97608781796,-4651.24179314283,-4640.48550729112
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",21319.874674414,114.906218584094,20990.4515879049,21237.2749091081,21316.4297951373,21398.891017339,21681.4832112865
"Total Number Increase","Neonatal Female",-24112.636794624,55.796160232814,-24284.7533923429,-24151.7494003429,-24113.4125772066,-24076.5586918932,-23937.6963830373
"Total Number Increase","Neonatal Male",-8527.3945562523,42.0743093336374,-8680.96077542838,-8556.768396127,-8527.8935007258,-8498.84206437726,-8406.6398107898
"Total Number Increase","Neonatal Combined",-32640.0313508763,71.7369816756876,-32881.5826630117,-32687.8342011911,-32641.7150741699,-32595.3094719324,-32425.269201564
"Total Number Increase","Juvenile Female",16772.0118889109,34.7161017997938,16669.3312401005,16748.6253140331,16769.813064902,16796.5327132887,16869.5077409248
"Total Number Increase","Juvenile Male",14406.7373929166,23.7057358507868,14330.9220469264,14389.3016993865,14407.5963447181,14422.7115271766,14475.7619066706
"Total Number Increase","Juvenile Combined",31178.7492818276,43.1686877079703,31060.6188766114,31148.5782330443,31179.084486373,31208.0989265905,31326.1678238601
"Total Number Increase","Adult Female",9855.19638952151,6.9508963937876,9834.12292358109,9850.5184036257,9855.0726053654,9859.80602860166,9876.05474044766
"Total Number Increase","Adult Male",12925.9603539412,4.48202435455493,12912.244979399,12922.8406855234,12925.8849873798,12928.9959194874,12941.5754386103
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",21795.7865356506,112.198388598526,21462.3816088423,21718.995616194,21798.751201877,21874.4537437707,22102.9616801988
"Total Mortality","Neonatal Female",5737.62497066251,90.0364264168885,5465.37620812245,5678.16988599028,5743.98140478919,5802.51282288671,6016.58999088851
"Total Mortality","Neonatal Male",3941.63559178738,63.9586795274064,3759.62871559451,3897.1626300473,3942.60553364516,3985.18811628243,4160.43375693526
"Total Mortality","Neonatal Combined",9679.26056244989,112.335380394096,9345.27187868804,9602.39249632974,9682.24789479743,9757.89583177831,9986.870566855
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",9094.99043202926,0.156972681558183,9094.5408642843,9094.88207549509,9094.98883945406,9095.09400622933,9095.44352293147
"Total Mortality","Adult Male",3021.53554117148,0.109322114042092,3021.23189372931,3021.46072286236,3021.53551099223,3021.61162344787,3021.9167250768
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",322265524.046639,1009508.93101379,319244292.619623,321581590.302423,322254709.775566,323018964.727273,324938926.903947
"Value of Total Mortality","Neonatal Female",45020876.4635512,706480.26869318,42884647.9773147,44554355.9021961,45070752.8909979,45530025.8056409,47209804.7705535
"Value of Total Mortality","Neonatal Male",43121044.759251,699700.674610879,41129910.248705,42634515.6194782,43131655.8127817,43597504.4203223,45514671.7835862
"Value of Total Mortality","Neonatal Combined",88141921.2228022,1012382.06803749,85107543.2636199,87455435.6518419,88132771.3384805,88898745.0842749,90821236.9391842
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",141292439.71427,2438.60104214492,141285455.592189,141290756.374503,141292414.973305,141294048.759549,141299478.569282
"Value of Total Mortality","Adult Male",92831163.1095666,3358.72236544647,92821834.0962727,92828864.4536141,92831162.1823644,92833500.5986059,92842874.2891333
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",34862322.332547,8046579.10274675,14304624.7151127,28507048.4417209,34988439.4405354,41364048.0015274,53196302.7845921
"Population Liveweight (kg)","Neonatal Female",1690001.9404038,968013.223385287,33429.7225431786,840205.520751614,1711630.6370082,2479466.47672247,3358844.53486107
"Population Liveweight (kg)","Neonatal Male",1311982.67472305,758285.877045663,26592.4312943017,667499.625802319,1279003.98339111,1941978.21268934,2673085.51408729
"Population Liveweight (kg)","Juvenile Female",12752055.6618009,2258595.1419085,6689662.20965732,11181922.6279752,12867593.9527034,14441657.5772477,17480483.7647801
"Population Liveweight (kg)","Juvenile Male",3255906.1414958,1892196.73363508,35953.7438941082,1549223.45057786,3276912.64832973,4867793.31544585,6488851.39257953
"Population Liveweight (kg)","Juvenile Combined",16007961.8032967,2916308.52029932,6977331.51195168,14042479.0661295,16032368.3434897,18181161.6508327,23149773.1847605
"Population Liveweight (kg)","Adult Female",12799536.1933302,7224250.67145623,104162.01193591,6250069.27173155,12812584.8253156,19065511.6307925,25000822.6832258
"Population Liveweight (kg)","Adult Male",3052839.72079329,1770008.86852415,25663.3560736138,1462840.057518,3105043.46669425,4492071.97792633,6160914.17226336
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",3693794.68110989,1271864.11957283,901726.131174799,2612232.83595438,3678681.0138498,4741747.69317282,6437811.57195475
"Offtake Liveweight (kg)","Juvenile Female",572623.42888433,106508.919159942,307065.083996537,499546.737872716,572306.182801368,653007.635387228,802288.775581503
"Offtake Liveweight (kg)","Juvenile Male",413457.830549718,228920.807103973,4464.15577093721,223262.549366405,410855.373652684,611751.324135064,804123.476726113
"Offtake Liveweight (kg)","Adult Female",595777.365611929,352455.454668397,5052.63192287352,267804.490660558,603797.991962079,895605.727115151,1212685.91567751
"Offtake Liveweight (kg)","Adult Male",2111936.05606391,1199668.48157137,17579.7973429379,1107495.46112811,2109679.93348329,3098519.69346883,4219381.81681742
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",11500008.2174719,1304139.03953837,7493035.22862348,10576232.9337858,11524877.2460006,12386041.7204283,15664973.0139854
