"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",29565.5504412518,1.86939877367578,29562.8047929628,29564.7837276545,29565.3960355857,29565.8792731799,29569.7039353966
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2662.27774129526,0.564743732036665,2661.37339637044,2662.01882175489,2662.24343006501,2662.68345271257,2663.10531047667
"Num Offtake","Juvenile Male",4352.7981653926,1.10403469632213,4351.25486215882,4352.30446814618,4352.53516551149,4352.82501387927,4355.15718399724
"Num Offtake","Juvenile Combined",7015.07590668786,1.2455255550003,7013.27088904453,7014.65534580853,7015.10279337143,7015.48061765804,7017.8461661154
"Num Offtake","Adult Female",5041.57214860392,0.0833371858688377,5041.44371852478,5041.5470316276,5041.57511591667,5041.61551025994,5041.68771394835
"Num Offtake","Adult Male",17508.90238596,0.700518028932144,17507.9885191998,17508.5020692469,17508.7496350586,17508.9718734126,17510.2685458723
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-7473.94112183187,46.10275495382,-7533.99476206367,-7506.90233059718,-7485.15113795613,-7442.69850742827,-7387.61138448911
"Cml Pop Growth","Neonatal Female",-20612.9880617522,5.35680740678318,-20617.8147343721,-20616.2371565438,-20615.0893834649,-20611.7756803464,-20600.4634974976
"Cml Pop Growth","Neonatal Male",-6078.89800248126,5.35680740678174,-6083.72467510118,-6082.14709727285,-6080.99932419398,-6077.68562107545,-6066.3734382267
"Cml Pop Growth","Neonatal Combined",-26691.8860642334,10.7136148135649,-26701.5394094733,-26698.3842538166,-26696.0887076589,-26689.4613014218,-26666.8369357243
"Cml Pop Growth","Juvenile Female",11456.7763791863,23.6871617268882,11424.6293989181,11434.292580531,11460.3215120844,11475.0565255176,11494.8911585372
"Cml Pop Growth","Juvenile Male",8629.95066402861,14.02739058217,8607.55237470479,8620.93467025475,8629.42573020475,8634.25013356597,8656.43094121054
"Cml Pop Growth","Juvenile Combined",20086.7270432149,33.7693181365261,20043.1651578433,20062.6517886011,20081.0941056748,20107.8786376892,20151.3220997477
"Cml Pop Growth","Adult Female",4103.75514918848,5.30061229193976,4095.28535429382,4101.26651746126,4103.34068704359,4107.73753110571,4111.53595871944
"Cml Pop Growth","Adult Male",-4972.53725000186,3.15886853119731,-4976.97810965573,-4973.95879996294,-4973.04211445482,-4972.49548030438,-4965.71315220391
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",22091.6093194199,47.5000419429801,22029.652845476,22058.2662721557,22080.5158651554,22122.9712837718,22182.0925509075
"Total Number Increase","Neonatal Female",-20612.9880617522,5.35680740678318,-20617.8147343721,-20616.2371565438,-20615.0893834649,-20611.7756803464,-20600.4634974976
"Total Number Increase","Neonatal Male",-6078.89800248126,5.35680740678174,-6083.72467510118,-6082.14709727285,-6080.99932419398,-6077.68562107545,-6066.3734382267
"Total Number Increase","Neonatal Combined",-26691.8860642334,10.7136148135649,-26701.5394094733,-26698.3842538166,-26696.0887076589,-26689.4613014218,-26666.8369357243
"Total Number Increase","Juvenile Female",14119.0541204816,24.1472497082527,14086.1669642771,14096.528733739,14122.4237810063,14137.775474078,14157.5801406553
"Total Number Increase","Juvenile Male",12982.7488294212,14.7895266444781,12959.9542976987,12973.1645829897,12982.7101950918,12986.7605541688,13011.5881252078
"Total Number Increase","Juvenile Combined",27101.8029499028,34.8170564560251,27056.7588963445,27077.9535322648,27096.1710913974,27123.2698770674,27169.1682658631
"Total Number Increase","Adult Female",9145.3272977924,5.37796447513741,9136.7290728186,9142.81615180924,9144.92880949281,9149.32641081168,9153.21890186434
"Total Number Increase","Adult Male",12536.3651359581,3.82701201448588,12531.010409544,12534.6669298542,12535.4924441968,12536.4516469037,12544.5553936683
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",20936.9626472068,34.2324579218535,20869.9367419682,20914.8213413065,20946.3051868474,20957.5182295644,20981.8213745821
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",5586.75263546789,25.8976847257852,5550.4198780711,5566.93004009371,5589.60103734,5607.67473013577,5622.06184508324
"Total Mortality","Juvenile Male",3266.037546665,15.0761903243828,3235.07885543919,3257.37851026434,3269.54265301934,3274.42928679916,3290.47757567003
"Total Mortality","Juvenile Combined",8852.79018213289,34.3560244769367,8785.49873351029,8830.69049296866,8862.02674536917,8873.43852913717,8897.9265554732
"Total Mortality","Adult Female",9074.82986748705,0.150006934564842,9074.59869334459,9074.78465692968,9074.83520865,9074.90791846789,9075.03788510704
"Total Mortality","Adult Male",3009.34259758687,0.120401536222645,3009.18552673746,3009.27379315181,3009.3163435257,3009.35454074279,3009.57740632179
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",377172326.975185,564527.090410681,376030862.85403,376809104.573108,377375263.607437,377493504.908005,377892459.515804
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",84746100.4061502,392844.991225283,84194964.5840928,84445409.1517664,84789308.1453866,85063470.09318,85281709.9128836
"Value of Total Mortality","Juvenile Male",63008766.2494829,290851.571211035,62411507.6720887,62841715.1385512,63076387.1582461,63170660.6505682,63480266.0570343
"Value of Total Mortality","Juvenile Combined",147754866.655633,567054.986364333,146606472.256181,147392920.004307,147955966.418706,148079588.283274,148480062.917936
"Value of Total Mortality","Adult Female",146977689.775406,2429.5411610563,146973945.634536,146976957.536524,146977776.281908,146978953.904102,146981058.868785
"Value of Total Mortality","Adult Male",82439770.5441461,3298.35327733112,82435467.6492895,82437885.6733961,82439051.3243469,82440097.7222596,82446203.0381547
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",31866208.0105422,7624861.1530055,21920474.4935783,26736189.0468888,32183494.6572508,35889147.0978292,45646492.254017
"Population Liveweight (kg)","Neonatal Female",4166145.42922987,682726.5115337,2681239.82477097,4068390.69410638,4113108.13109735,4580129.06626232,5139606.04076693
"Population Liveweight (kg)","Neonatal Male",1600924.57927458,921494.434661233,145554.813247933,888152.911389032,1455294.76874035,2474148.8991049,2794362.77350141
"Population Liveweight (kg)","Juvenile Female",6008093.64195711,3232651.58396331,171077.814682576,3922646.95715573,6303225.92287558,8945400.26825046,9584315.43960235
"Population Liveweight (kg)","Juvenile Male",2921890.09278027,2102660.56028775,277404.418997638,1448670.62722329,2602493.38714369,4528503.11248824,6213779.38053032
"Population Liveweight (kg)","Juvenile Combined",8929983.73473738,3949764.18053197,1385551.03901573,6176167.52428746,10365446.8050305,12248885.8360124,12705962.0098497
"Population Liveweight (kg)","Adult Female",14537894.3932039,6265366.23480427,6312084.26868724,8924770.64078343,14693066.5685937,19995858.8762216,23177345.7257444
"Population Liveweight (kg)","Adult Male",2631259.87409646,1562297.15949261,304128.262684131,1451106.77381156,2826711.35222468,4049813.52649386,4359915.66107321
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",3822889.24570664,1450208.82843714,1451287.79914915,2647649.5293625,4201968.54962937,4919877.55862127,5723349.38184891
"Offtake Liveweight (kg)","Juvenile Female",154416.995158333,88477.1424310042,5324.03205377142,127762.41474438,158422.124429347,207029.786222561,295558.477015116
"Offtake Liveweight (kg)","Juvenile Male",466210.836830385,264768.530226499,73971.3326566999,215446.596251565,587751.973938891,659608.051037996,757257.774126745
"Offtake Liveweight (kg)","Adult Female",563648.465260395,338138.399401262,191574.861303941,299974.012248688,428536.46843058,913805.196845031,1038558.34925201
