"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",38953.310215341,4402.10037570196,30867.7580062327,36051.5256607855,38693.4184574172,41986.0779409063,49912.3687915932
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",4276.20554997058,740.957902465555,2911.83940271478,3773.05168886387,4221.12490039994,4863.07396626577,6226.66143039813
"Num Offtake","Juvenile Male",10148.6640476068,2052.91693081991,6368.44298410658,8752.34642666069,9999.09356768745,11782.7826100338,15561.1934474708
"Num Offtake","Juvenile Combined",14424.8695975774,2793.87318219151,9280.28238682137,12525.3981155246,14220.2184680874,16646.558414928,21787.8548778689
"Num Offtake","Adult Female",3177.39023567458,82.737428490253,3024.43081649738,3124.83556709757,3175.27807570395,3237.59314736946,3363.55885265318
"Num Offtake","Adult Male",21351.050382089,1548.20363312901,18504.6993188802,20368.1021905484,21310.5488705717,22472.57268437,24801.842773562
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",2214748.52436511,470068.2674808,1010539.10766195,1855889.7442591,2212590.77069115,2549718.989114,3451658.08212096
"Cml Pop Growth","Neonatal Female",735528.70767622,167208.371296069,314443.809787107,619909.885299929,716050.844113452,861628.047184187,1168363.77826157
"Cml Pop Growth","Neonatal Male",750062.797735491,167208.371296069,328977.899846378,634443.9753592,730584.934172723,876162.137243458,1182897.86832084
"Cml Pop Growth","Neonatal Combined",1485591.50541171,334416.742592137,643421.709633485,1254353.86065913,1446635.77828617,1737790.18442764,2351261.6465824
"Cml Pop Growth","Juvenile Female",322679.303181101,72832.7717942579,149387.318422325,276071.068021778,323853.610948027,372876.212300916,533620.924518049
"Cml Pop Growth","Juvenile Male",316068.913539224,71735.8983799773,144771.405928038,270373.639958373,317537.580607818,365619.464852118,524101.570226226
"Cml Pop Growth","Juvenile Combined",638748.216720325,144568.181483776,294158.724350364,546444.707980151,641314.882094094,738495.677153033,1057722.49474428
"Cml Pop Growth","Adult Female",52380.0394590514,12396.9065910538,29554.6083122606,43911.7833759345,51531.2695557416,62352.4847164659,85244.6119056252
"Cml Pop Growth","Adult Male",38028.7627740228,11036.0756955878,17285.6832969705,30421.7631939176,37747.2949602372,46641.9095755601,67792.5171258703
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",2253701.83458045,473301.21907526,1041997.54359031,1893977.91990518,2252445.44462781,2591523.88509036,3499410.14452019
"Total Number Increase","Neonatal Female",735528.70767622,167208.371296069,314443.809787107,619909.885299929,716050.844113452,861628.047184187,1168363.77826157
"Total Number Increase","Neonatal Male",750062.797735491,167208.371296069,328977.899846378,634443.9753592,730584.934172723,876162.137243458,1182897.86832084
"Total Number Increase","Neonatal Combined",1485591.50541171,334416.742592137,643421.709633485,1254353.86065913,1446635.77828617,1737790.18442764,2351261.6465824
"Total Number Increase","Juvenile Female",326955.508731072,73532.7489687385,152319.049650846,279757.372733542,328027.072298722,377618.108594244,539847.585948447
"Total Number Increase","Juvenile Male",326217.577586831,73675.192368658,151183.876132976,278886.918265903,327315.075280855,377056.618088082,539662.763673697
"Total Number Increase","Juvenile Combined",653173.086317903,147207.88313813,303502.925783822,558644.290999445,655342.147579578,754674.726682326,1079510.34962214
"Total Number Increase","Adult Female",55557.4296947259,12477.4633891997,32583.275468192,47041.4939201586,54692.366187995,65575.2506209725,88601.4934801076
"Total Number Increase","Adult Male",59379.8131561118,12543.7100964777,36282.9946317303,50823.9549800783,58500.3445544004,69427.110411203,92560.1494651122
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",43094.6789932207,5928.03281740203,32207.1239490767,38972.375112634,42706.4377484725,47499.9996548991,58600.107342423
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",15714.137348751,2704.58555118398,10686.8167867043,13879.6819657814,15554.9607453597,17812.4305017583,22984.3863002348
"Total Mortality","Juvenile Male",13322.4252606641,2682.69701700757,8437.58038689366,11348.3398964315,13195.3222701007,15435.2446211214,20344.2345009884
"Total Mortality","Juvenile Combined",29036.5626094151,5385.98978590808,19147.0483889571,25270.9740504317,28728.3947945927,33247.6751228797,43328.6208012233
"Total Mortality","Adult Female",10008.7792423749,260.622899744297,9526.95707196675,9843.23203635735,10002.1259384675,10198.4184142138,10595.2103858575
"Total Mortality","Adult Male",4049.33714143067,293.624826972742,3509.51193978763,3862.9159326902,4041.65582028084,4262.03964703569,4703.79776739968
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",214052880.060357,58751120.2045274,91099972.1252505,169386428.511903,210163159.193333,250202548.900199,377229086.069241
"Population Liveweight (kg)","Neonatal Female",38252360.7521969,23656988.9582512,563403.618507527,19966384.6379727,34784050.0144551,56582632.2797149,97386405.5692959
"Population Liveweight (kg)","Neonatal Male",91392316.1004828,26545352.742837,32211324.6383851,71749295.1525244,93150911.1710449,106405403.551187,161941047.226514
"Population Liveweight (kg)","Juvenile Female",32254446.6680562,19159879.7290912,805135.593160363,15058154.7458345,31880362.5827713,44973440.8336292,87272880.1791485
"Population Liveweight (kg)","Juvenile Male",25880616.8415162,19911173.8870092,298218.561575225,6808665.68709667,21881954.618419,42863118.2463539,74486928.9413748
"Population Liveweight (kg)","Juvenile Combined",58135063.5095724,26254385.4664235,8629535.02909694,41416503.1759986,57649709.9237983,77584527.3663374,133470562.859867
"Population Liveweight (kg)","Adult Female",18406809.5863894,10673073.6445423,516142.151020389,9588977.3556687,17786089.8620581,27648121.5115683,37853781.6433565
"Population Liveweight (kg)","Adult Male",7866330.11171591,4945613.95835742,72636.5544025073,3590930.35408961,8094794.15083433,11157755.5222045,22173654.8704467
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",4042639.60160106,1659039.94316598,787421.942643377,2673324.08336713,3990050.17261274,5317573.64561265,7370286.97492153
"Offtake Liveweight (kg)","Juvenile Female",373640.178027731,227019.891472532,21415.0751549077,196552.827635207,372720.682858942,514526.121136001,922076.893727024
"Offtake Liveweight (kg)","Juvenile Male",902815.429503348,562261.206098731,9826.60831216383,483249.922362161,898297.033080407,1286427.66295949,2220311.3951157
"Offtake Liveweight (kg)","Adult Female",331412.918543992,218712.074052287,6392.24288886162,135682.583906812,300521.758381772,512687.731833098,759587.195328608
"Offtake Liveweight (kg)","Adult Male",2434771.07552599,1515513.30439457,47026.3097608062,1127792.3780689,2405371.10577057,3756309.85793799,5641097.47905917
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",10592675.1361238,1650066.03123703,6798031.22832375,9606461.37775688,10618390.8918428,11417516.4066265,16088061.8840588
"Manure","Overall",462698667.67931,75765485.2323466,297663451.178983,414296635.817329,460866896.542559,515313854.866915,681556683.37453
"Manure","Neonatal Female",111882783.201322,23618719.1400036,58190255.0379911,96046240.9383085,111257226.774243,128982152.918242,184682808.929982
"Manure","Neonatal Male",108745812.83871,22853122.5627779,53451658.4117427,93450940.3184552,108232735.437283,123462454.432653,174349990.827969
"Manure","Neonatal Combined",220628596.040031,46279552.0548151,111968115.622111,190164048.183881,218345232.271639,251994612.062961,359032799.757951
"Manure","Juvenile Female",72569577.6341923,13135956.0318118,45334725.974712,62638878.0691125,71797628.8370593,82055224.1597376,102477937.642511
"Manure","Juvenile Male",63273868.0870235,12586116.0581183,39047498.4355259,54437501.4805801,63058715.2177409,72609796.6563949,95917690.0426726
"Manure","Juvenile Combined",135843445.721216,25489683.3922254,84382224.4102379,117878759.594134,135194088.281385,155803567.829842,198395627.685183
"Manure","Adult Female",78643470.8287534,5664607.88188411,65272121.7744969,74575356.6856997,77930757.7962323,81865272.3571597,93052553.500792
"Manure","Adult Male",27583155.0893093,3032550.71577813,20885153.9154761,25720900.6376681,27406091.7683932,29747832.6510431,35941665.3607373
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",21547.3394966104,2964.01640870102,16103.5619745383,19486.187556317,21353.2188742363,23749.9998274495,29300.0536712115
"Hides","Juvenile Female",7857.06867437549,1352.29277559199,5343.40839335217,6939.8409828907,7777.48037267986,8906.21525087916,11492.1931501174
"Hides","Juvenile Male",6661.21263033205,1341.34850850379,4218.79019344683,5674.16994821575,6597.66113505036,7717.62231056069,10172.1172504942
"Hides","Juvenile Combined",14518.2813047075,2692.99489295404,9573.52419447856,12635.4870252158,14364.1973972963,16623.8375614398,21664.3104006116
"Hides","Adult Female",5004.38962118747,130.311449872149,4763.47853598337,4921.61601817868,5001.06296923373,5099.2092071069,5297.60519292876
"Hides","Adult Male",2024.66857071534,146.812413486371,1754.75596989382,1931.4579663451,2020.82791014042,2131.01982351785,2351.89888369984
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",390010909.7756,103622606.20853,95669637.2462964,311787573.109002,392687147.02477,455859943.538021,643181246.990358
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",1268252074.74354,236911597.939225,721546023.05374,1121164246.87605,1269882505.94415,1428872393.22719,2054446873.41736
"Cml Dry Matter","Neonatal Female",254743018.395219,61406843.8616726,137271757.484658,207411525.360877,247934363.570084,300671081.198163,418705271.154859
"Cml Dry Matter","Neonatal Male",523553472.953383,114936948.821721,243742884.407694,439595625.425816,526984961.996666,603311828.324993,859309006.186888
"Cml Dry Matter","Neonatal Combined",778296491.348602,169878919.397168,390812558.121333,661056635.23628,782248851.520025,888981505.576241,1278014277.34175
"Cml Dry Matter","Juvenile Female",159384979.06244,38061295.5523915,83274184.8904341,135917727.873471,155379528.094121,184397035.590657,318881070.065897
"Cml Dry Matter","Juvenile Male",133592950.419924,32613056.0829004,72302790.4512329,112528268.623064,132633172.276975,153038983.054724,212658868.210285
"Cml Dry Matter","Juvenile Combined",292977929.482364,62891865.5963349,155576975.341667,248390777.025639,287022688.200291,332644831.449367,495257383.416524
"Cml Dry Matter","Adult Female",144794966.056857,23347473.5873645,85514966.6061794,129074953.861075,142885941.095321,159668888.802776,219657937.040822
"Cml Dry Matter","Adult Male",52182687.8557187,8035436.63196665,31967882.395965,47616853.6801381,53107098.6128255,57615956.9714713,69271068.8048252
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",900178615.506104,128630498.174388,612728735.118792,818363775.804999,906801137.288801,987219398.547699,1252698561.92299
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",48557242.2497365,11670577.64521,25816159.5351868,41447753.2200694,47619941.5067178,54363268.7000795,81858282.6991146
"Value of Offtake","Juvenile Male",177707135.14236,53303216.1967139,82500146.7962736,143313122.741699,171914775.931362,204344557.7883,345655837.663149
"Value of Offtake","Juvenile Combined",226264377.392097,58885108.78885,118671649.725432,183756198.502615,218066281.704668,259436033.017316,416979591.388895
"Value of Offtake","Adult Female",51292441.1473991,7978038.85813623,33069946.2184998,45491385.8940204,51417400.7078525,57024300.9620161,68196278.9302368
"Value of Offtake","Adult Male",622621796.966608,102574676.066773,402022256.651574,536268566.564691,619792512.817165,699127352.174093,816490352.503209
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",25900371257.3705,5434712317.25079,12518605375.9042,22165707838.3773,26039791694.4937,29026595324.6805,39577448857.1725
"Value of Herd Increase","Neonatal Female",6151379473.38673,1683788683.98518,2305361387.44117,4875335676.73016,6208519770.80592,6879759146.24319,11531785284.0356
"Value of Herd Increase","Neonatal Male",8364021061.49208,1974861932.78811,3459741788.82929,7030877026.586,8465236537.04543,9616483501.36641,14371226725.7575
"Value of Herd Increase","Neonatal Combined",14515400534.8788,3381682184.31664,5765103176.27046,12103997258.0115,14718177927.3302,16353887100.9369,25101466298.0912
"Value of Herd Increase","Juvenile Female",3630651880.17087,1086538720.56065,1690276230.86888,2806030479.54538,3603424010.13246,4250415286.13652,8205884503.32493
"Value of Herd Increase","Juvenile Male",5799879776.80776,1804262554.90545,1735613622.42906,4631757483.81411,5686673193.04807,7029758800.96806,11118876663.6557
"Value of Herd Increase","Juvenile Combined",9430531656.97863,2604261021.63334,3425889853.29795,7837372824.94569,9185429537.90028,10943892947.7427,18709008640.2692
"Value of Herd Increase","Adult Female",801851208.008569,238531763.64125,362486127.373968,637836412.287195,767566015.637619,928198790.843534,1451612212.27851
"Value of Herd Increase","Adult Male",1152587857.5045,353228411.895753,430902409.280405,930816554.011826,1118432678.4098,1441666000.82944,1860994981.16871
"Value of Herd Increase","Oxen",0,0,0,0,0,0,0
"Value of Herd Increase plus Offtake","Overall",26800549872.8766,5490633314.49046,13173896883.1033,22982786980.301,26873768359.874,29983555342.3073,40605537780.6213
"Value of Herd Increase plus Offtake","Neonatal Female",6151379473.38673,1683788683.98518,2305361387.44117,4875335676.73016,6208519770.80592,6879759146.24319,11531785284.0356
"Value of Herd Increase plus Offtake","Neonatal Male",8364021061.49208,1974861932.78811,3459741788.82929,7030877026.586,8465236537.04543,9616483501.36641,14371226725.7575
"Value of Herd Increase plus Offtake","Neonatal Combined",14515400534.8788,3381682184.31664,5765103176.27046,12103997258.0115,14718177927.3302,16353887100.9369,25101466298.0912
"Value of Herd Increase plus Offtake","Juvenile Female",3679209122.4206,1092855808.21574,1723049948.4044,2843842602.24088,3651055943.69941,4299538762.16114,8258342161.95345
"Value of Herd Increase plus Offtake","Juvenile Male",5977586911.95012,1824334943.22887,1866345348.32871,4826456581.1199,5862197585.79655,7214573395.96294,11331662814.1065
"Value of Herd Increase plus Offtake","Juvenile Combined",9656796034.37072,2636144035.97856,3589395296.73311,8030632672.49229,9357170409.57814,11211350470.2272,19022248720.8587
"Value of Herd Increase plus Offtake","Adult Female",853143649.155968,239811762.179338,415793414.323486,695077112.826883,820756860.874593,981719127.393254,1508947100.69864
"Value of Herd Increase plus Offtake","Adult Male",1775209654.47111,387141609.648699,934138567.031538,1500676690.14499,1794604966.25669,2040570519.14292,2559239921.88374
"Value of Herd Increase plus Offtake","Oxen",0,0,0,0,0,0,0
"Value of Manure","Overall",231349333.839655,37882742.6161733,148831725.589491,207148317.908664,230433448.27128,257656927.433457,340778341.687265
"Value of Manure","Neonatal Female",55941391.6006609,11809359.5700018,29095127.5189956,48023120.4691543,55628613.3871214,64491076.459121,92341404.4649911
"Value of Manure","Neonatal Male",54372906.4193549,11426561.2813889,26725829.2058714,46725470.1592276,54116367.7186413,61731227.2163266,87174995.4139844
"Value of Manure","Neonatal Combined",110314298.020016,23139776.0274075,55984057.8110554,95082024.0919404,109172616.135819,125997306.031481,179516399.878975
"Value of Manure","Juvenile Female",36284788.8170962,6567978.01590591,22667362.987356,31319439.0345563,35898814.4185297,41027612.0798688,51238968.8212554
"Value of Manure","Juvenile Male",31636934.0435118,6293058.02905917,19523749.217763,27218750.7402901,31529357.6088705,36304898.3281974,47958845.0213363
"Value of Manure","Juvenile Combined",67921722.8606079,12744841.6961127,42191112.205119,58939379.7970668,67597044.1406926,77901783.914921,99197813.8425917
"Value of Manure","Adult Female",39321735.4143767,2832303.94094206,32636060.8872484,37287678.3428499,38965378.8981161,40932636.1785798,46526276.750396
"Value of Manure","Adult Male",13791577.5446546,1516275.35788907,10442576.9577381,12860450.318834,13703045.8841966,14873916.3255215,17970832.6803686
"Value of Manure","Oxen",0,0,0,0,0,0,0
"Value of Hides","Overall",1297210.78205752,166663.599509957,990443.863911466,1183446.96173463,1286777.31386778,1418943.16660844,1731914.91146765
"Value of Hides","Juvenile Female",553579.343384636,95277.4346006976,376476.34663992,488954.949195194,547971.852649897,627498.243295651,809696.46591476
"Value of Hides","Juvenile Male",244614.674873966,49257.3270827982,154923.442442345,208368.252762595,242280.921364087,283408.408808557,373542.970641588
"Value of Hides","Juvenile Combined",798194.018258601,144503.593886983,532197.74856595,698956.42880249,789481.693383408,910906.652104207,1183239.43655635
"Value of Hides","Adult Female",291643.733776368,7594.23639470892,277604.017903813,286819.888219379,291449.864539517,297169.590107697,308731.628728023
"Value of Hides","Adult Male",136925.056782111,9928.68578279838,118671.30467263,130621.374549527,136665.319126818,144117.419788806,159055.112947501
"Value of Hides","Oxen",70447.9732404432,5108.311121261,61056.4135773154,67204.7272803996,70314.3381569927,74148.44566338,81833.892232829
"Value of Milk","Overall",12090338203.0436,3212300792.46442,2965758754.63519,9665414766.37906,12173301557.7679,14131658249.6787,19938618656.7011
"Total Production Value","Overall",39123534620.5419,6129207096.88299,24271955596.9706,34952687818.0861,38907528557.9429,43937987981.2048,53633844147.2724
"Total Production Value","Neonatal Female",6207320864.98739,1691653524.8786,2335788921.22709,4926204322.78303,6268292928.65131,6933366465.52069,11609362006.6486
"Total Production Value","Neonatal Male",8418393967.91144,1981821460.59001,3486467618.03516,7090775635.49791,8518619996.11272,9678974659.91883,14451404644.3978
"Total Production Value","Neonatal Combined",14625714832.8988,3397609837.98148,5822256539.26225,12192009594.3692,14834090514.3172,16457000597.7542,25264899709.1854
"Total Production Value","Juvenile Female",3716047490.58108,1097801598.04299,1746093787.73839,2874626337.16672,3686277671.94604,4335894713.32638,8310390827.24062
"Total Production Value","Juvenile Male",6009468460.66851,1828882826.83104,1886025447.23638,4856692018.07899,5896102614.12292,7244749557.23086,11373127174.1533
"Total Production Value","Juvenile Combined",9725515951.24959,2646426554.72755,3632119234.97477,8097397728.84762,9415908416.06932,11284844396.8514,19122629774.1379
"Total Production Value","Adult Female",12983095231.3477,3223715865.6028,4228839293.91523,10547177258.9327,13007698781.4773,14973717831.5521,21098679646.2525
"Total Production Value","Adult Male",1789138157.07255,388271325.739287,946098080.647948,1514394802.50384,1808789171.15008,2054465837.21081,2574583679.88485
"Total Production Value","Oxen",70447.9732404432,5108.311121261,61056.4135773154,67204.7272803996,70314.3381569927,74148.44566338,81833.892232829
"Feed Cost","Overall",0,0,0,0,0,0,0
"Feed Cost","Neonatal Female",0,0,0,0,0,0,0
"Feed Cost","Neonatal Male",0,0,0,0,0,0,0
"Feed Cost","Neonatal Combined",0,0,0,0,0,0,0
"Feed Cost","Juvenile Female",0,0,0,0,0,0,0
"Feed Cost","Juvenile Male",0,0,0,0,0,0,0
"Feed Cost","Juvenile Combined",0,0,0,0,0,0,0
"Feed Cost","Adult Female",0,0,0,0,0,0,0
"Feed Cost","Adult Male",0,0,0,0,0,0,0
"Feed Cost","Oxen",0,0,0,0,0,0,0
"Labour Cost","Overall",2008561420.63659,373964042.947179,1171564936.96119,1766602052.38664,2001268086.61545,2270560104.56441,3055037286.78294
"Labour Cost","Neonatal Female",672710209.559144,139104487.358075,348284908.367334,582572735.566305,669521565.456381,767056644.790993,1063717284.80037
"Labour Cost","Neonatal Male",653991512.736974,139104487.358075,329566211.545164,563854038.744135,650802868.634212,748337947.968823,1044998587.9782
"Labour Cost","Neonatal Combined",1326701722.29612,278208974.716149,677851119.912498,1146426774.31044,1320324434.09059,1515394592.75982,2108715872.77856
"Labour Cost","Juvenile Female",248062776.333924,44576466.3626437,161658648.361136,216115033.4074,245598481.786632,282901549.032538,368674192.418816
"Labour Cost","Juvenile Male",215242314.296312,44064204.0594461,129569326.751622,183687056.902687,212858008.737277,249783624.467943,334657018.768527
"Labour Cost","Juvenile Combined",463305090.630236,88640594.4409075,291227975.112757,399791123.475243,458456490.523908,532685173.500481,703331211.187343
"Labour Cost","Adult Female",162380994.459295,5491629.04443831,152395059.449484,158845128.799106,162150782.746789,166285481.704241,175055374.735787
"Labour Cost","Adult Male",56173613.2509442,5013778.94367398,47032320.4026984,52941887.1940732,55925382.4735342,59807427.4814406,67934828.0812486
"Labour Cost","Oxen",0,0,0,0,0,0,0
"Health Cost","Overall",19287086.1450532,3581537.75037498,11144148.8368651,16910868.2596063,19090703.8844529,21831802.2231404,29312063.635304
"Health Cost","Neonatal Female",6468093.84507944,1344946.64266225,3366579.97044815,5585006.49373806,6391903.7235015,7425177.44856042,10089960.6660662
"Health Cost","Neonatal Male",6269465.7098295,1320177.20459382,3128371.47631287,5361603.77089178,6279630.17201911,7212921.93758497,10123587.6688992
"Health Cost","Neonatal Combined",12737559.5549089,2660021.42455228,6494951.44676102,10921805.9310282,12653895.7577279,14582313.6150979,20213548.3349654
"Health Cost","Juvenile Female",2386539.21636571,427530.56866994,1490877.74326131,2088570.7337713,2361467.73685839,2720763.13503069,3554489.19287171
"Health Cost","Juvenile Male",2064321.90918029,428900.02340756,1196728.79448134,1773814.16140431,2042482.10337821,2430333.0348775,3219998.78778443
"Health Cost","Juvenile Combined",4450861.125546,853790.51824295,2687606.53774265,3855547.00456945,4408167.66083977,5118330.19259455,6774487.98065614
"Health Cost","Adult Female",1559674.04035394,59074.1851302266,1430592.59062236,1518953.5510497,1552686.14880098,1600456.44454401,1700888.60050347
"Health Cost","Adult Male",538991.424244317,50790.6889623405,437477.587671713,507134.478499086,534222.197077718,570771.717200558,657577.086435328
"Health Cost","Oxen",0,0,0,0,0,0,0
"Capital Cost","Overall",0,0,0,0,0,0,0
"Capital Cost","Neonatal Female",0,0,0,0,0,0,0
"Capital Cost","Neonatal Male",0,0,0,0,0,0,0
"Capital Cost","Neonatal Combined",0,0,0,0,0,0,0
"Capital Cost","Juvenile Female",0,0,0,0,0,0,0
"Capital Cost","Juvenile Male",0,0,0,0,0,0,0
"Capital Cost","Juvenile Combined",0,0,0,0,0,0,0
"Capital Cost","Adult Female",0,0,0,0,0,0,0
"Capital Cost","Adult Male",0,0,0,0,0,0,0
"Capital Cost","Oxen",0,0,0,0,0,0,0
"Infrastructure Cost","Overall",0,0,0,0,0,0,0
"Infrastructure Cost","Neonatal Female",0,0,0,0,0,0,0
"Infrastructure Cost","Neonatal Male",0,0,0,0,0,0,0
"Infrastructure Cost","Neonatal Combined",0,0,0,0,0,0,0
"Infrastructure Cost","Juvenile Female",0,0,0,0,0,0,0
"Infrastructure Cost","Juvenile Male",0,0,0,0,0,0,0
"Infrastructure Cost","Juvenile Combined",0,0,0,0,0,0,0
"Infrastructure Cost","Adult Female",0,0,0,0,0,0,0
"Infrastructure Cost","Adult Male",0,0,0,0,0,0,0
"Infrastructure Cost","Oxen",0,0,0,0,0,0,0
"Total Expenditure","Overall",2027848506.78165,377541614.58905,1182709085.79806,1783539841.21674,2020307874.07711,2292108738.02796,3084349350.41825
"Total Expenditure","Neonatal Female",679178303.404223,140444507.890776,351651488.337782,588144662.107553,675948275.616645,774364640.865788,1073807245.46643
"Total Expenditure","Neonatal Male",660260978.446804,140420087.053713,332694583.021477,569371973.086758,657025756.180672,755590358.202954,1055122175.6471
"Total Expenditure","Neonatal Combined",1339439281.85103,280864546.543422,684346071.359259,1157516635.19431,1332974031.79732,1529954999.06874,2128929421.11353
"Total Expenditure","Juvenile Female",250449315.550289,45001174.3581753,163149526.104397,218197768.810487,248010259.368737,285541558.802518,372228681.611688
"Total Expenditure","Juvenile Male",217306636.205492,44491654.7464016,130766055.546103,185486312.013901,214889813.121889,252228256.220702,337877017.556311
"Total Expenditure","Juvenile Combined",467755951.755782,89492732.8764781,293915581.6505,403663435.562838,462900072.490626,537769815.02322,710105699.167999
"Total Expenditure","Adult Female",163940668.499649,5545117.71248373,153842800.207758,160366468.815979,163726298.724393,167874411.071672,176721824.969034
