"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",34780.5767254325,3762.84121054114,24462.4614367221,32078.8029187153,34554.8102938551,37276.0700609435,46808.836346547
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",3381.69966903042,583.851268879593,1729.56971048085,2969.12219286952,3349.99286074101,3782.19573520675,5228.05146756471
"Num Offtake","Juvenile Male",8026.19927372635,1620.63389385036,3439.65881762131,6884.50509364757,7940.70138833542,9133.97780638773,13157.1664514199
"Num Offtake","Juvenile Combined",11407.8989427568,2204.48224682819,5169.22852810216,9855.7639006888,11290.8345582917,12913.8509131448,18385.2179189846
"Num Offtake","Adult Female",2567.47240307916,66.8996615266563,2395.20691744492,2517.49855274772,2563.93303878026,2611.78624708942,2781.00381323631
"Num Offtake","Adult Male",20805.2053795966,1511.62609413799,16898.025991175,19672.2220907529,20724.4260428626,21807.4306303324,25642.6146143261
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",2090943.56276926,452455.4946902,547737.5647851,1761291.26412475,2072679.39850746,2388451.86402862,3726928.62041686
"Cml Pop Growth","Neonatal Female",687704.800451702,162735.222597379,167755.614074329,570931.668367139,683324.151751989,787143.269761275,1320616.86855346
"Cml Pop Growth","Neonatal Male",703282.603649243,162722.49764422,183917.44040972,585986.321593741,698761.016763621,801334.755529115,1336688.00520218
"Cml Pop Growth","Neonatal Combined",1390987.40410094,325455.795791159,351673.054484049,1156824.07418004,1382085.16851561,1588081.3548221,2657304.87375564
"Cml Pop Growth","Juvenile Female",308102.76025263,67846.6270499624,87387.3794232006,258231.073843028,305157.169775429,355547.461981032,502909.451115555
"Cml Pop Growth","Juvenile Male",303186.323020298,67002.7438322978,85162.7333963298,254373.376706179,300247.942749214,350043.494570165,495470.464883703
"Cml Pop Growth","Juvenile Combined",611289.083272928,134848.610481052,172550.11281953,512604.450549207,605332.085778034,705587.451780789,998379.915999258
"Cml Pop Growth","Adult Female",51418.116598341,12095.0239411256,17088.1381852761,42908.8481449768,50809.7519617714,59736.7234256861,89605.0160090241
"Cml Pop Growth","Adult Male",37248.9587970468,10780.5045430485,6426.25929624447,29688.8269556415,36625.1500419542,44698.7990909807,71173.0242079319
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",2125724.13949469,455107.215154026,572200.026221822,1798233.20152585,2107176.72972572,2425510.99151164,3767165.28234748
"Total Number Increase","Neonatal Female",687704.800451702,162735.222597379,167755.614074329,570931.668367139,683324.151751989,787143.269761275,1320616.86855346
"Total Number Increase","Neonatal Male",703282.603649243,162722.49764422,183917.44040972,585986.321593741,698761.016763621,801334.755529115,1336688.00520218
"Total Number Increase","Neonatal Combined",1390987.40410094,325455.795791159,351673.054484049,1156824.07418004,1382085.16851561,1588081.3548221,2657304.87375564
"Total Number Increase","Juvenile Female",311484.45992166,68389.0596409185,89116.9491336815,261282.020117994,308558.673975572,359183.128421587,507957.767084236
"Total Number Increase","Juvenile Male",311212.522294024,68508.2578170832,88602.3922139512,261370.733765256,308336.49769139,359314.948542089,508120.060014043
"Total Number Increase","Juvenile Combined",622696.982215684,136896.908086373,177719.341347633,522744.324847973,616950.670237879,718461.205216691,1016077.82709828
"Total Number Increase","Adult Female",53985.5890014201,12160.1744533759,19483.345102721,45441.3006830378,53350.9761633074,62353.5893665788,92386.0198222604
"Total Number Increase","Adult Male",58054.1641766434,12252.7086099806,23324.2852874195,49444.0360617314,57396.7309656506,66474.2964645796,96815.638822258
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",144717.323274511,27154.6581379766,59404.1743492411,125520.772099881,142667.593246345,162697.545394412,225191.193297896
"Total Mortality","Neonatal Female",52007.543057709,10800.136512047,17893.3666390583,44413.4667614951,51249.1201150315,59460.1415541619,85414.0884970217
"Total Mortality","Neonatal Male",50207.1442754331,10807.3690819843,15400.3448750028,42500.5393153787,49709.7421448274,57574.8363103135,83099.3013351514
"Total Mortality","Neonatal Combined",102214.687333142,21564.0693848765,33293.711514061,86882.4170102346,101042.145936657,117149.737990349,166821.083572506
"Total Mortality","Juvenile Female",15389.4825189865,2662.77968619415,7886.83920120856,13485.719798863,15214.9455274795,17176.8043510765,23933.0791457098
"Total Mortality","Juvenile Male",13046.6808469917,2636.16659681122,5590.19442604803,11212.3563450611,12898.0088401358,14848.7237631404,21454.9718995761
"Total Mortality","Juvenile Combined",28436.1633659782,5297.55709210183,13477.0336272566,24705.1123377981,28126.9099454907,32034.2544902055,45388.0510452859
"Total Mortality","Adult Female",10013.1423720087,260.908679953959,9341.30697803519,9818.24435571609,9999.33885124303,10185.9663636487,10845.9148716216
"Total Mortality","Adult Male",4053.3302033819,294.499361664485,3292.12222988831,3832.59912667257,4037.59253968577,4248.58662144077,4995.76824230059
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1587507553.62875,273853133.331095,736226420.914785,1397596397.47894,1567816039.20287,1779926145.11469,2411760124.54395
"Value of Total Mortality","Neonatal Female",419965009.29223,87211953.5738552,144490345.919687,358642244.654676,413840684.253158,480145329.545798,689725496.73296
"Value of Total Mortality","Neonatal Male",470983647.244509,101381868.672446,144467698.82511,398689455.5644,466317612.699014,540098561.395487,779538700.938444
"Value of Total Mortality","Neonatal Combined",890948656.53674,188216846.250785,288958044.744797,756039293.202807,880443469.717863,1020557142.39832,1455598691.24135
"Value of Total Mortality","Juvenile Female",207599592.974973,35920114.8156824,106391141.223233,181918393.796835,205245140.292681,231710038.82001,322850198.709241
"Value of Total Mortality","Juvenile Male",202876721.824876,40992559.2277072,86927880.954628,174352858.469965,200564862.607057,230898604.455682,333626185.608309
"Value of Total Mortality","Juvenile Combined",410476314.799849,76892597.5457591,193319022.177861,356482511.310863,406020297.097868,462778002.811612,656476384.317551
"Value of Total Mortality","Adult Female",178890256.135173,4661276.03611517,166887549.96727,175408296.650377,178643648.699305,181977851.116066,193768191.574754
"Value of Total Mortality","Adult Male",107192326.156991,7788181.58022913,87061804.0248573,101354983.433749,106776135.84058,112355978.906365,132115567.191299
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",160898036.386353,51236297.0115425,47159644.3124557,125108035.290326,157273975.917251,193380578.909227,369053285.093612
"Population Liveweight (kg)","Neonatal Female",37733134.8835936,23848215.800649,493605.885385078,17055178.7864138,36438226.5697921,55146652.1787504,132310451.381132
"Population Liveweight (kg)","Neonatal Male",36086804.5611446,23137952.5103454,471212.714973271,16906199.2794308,33371469.4766831,52533739.7268133,106973118.595412
"Population Liveweight (kg)","Juvenile Female",30913795.4000571,19290760.9116706,349106.044450133,14849433.3791224,29387219.4743758,45150445.8780006,86966108.7222338
"Population Liveweight (kg)","Juvenile Male",29798121.3453292,18782036.9975393,216725.867961822,14192128.7300143,29002402.3649856,43605641.8526467,87036131.9100155
"Population Liveweight (kg)","Juvenile Combined",60711916.7453863,28221142.7213911,5161726.28870979,39671689.513824,58310550.9554572,80327385.8216859,156842978.08875
"Population Liveweight (kg)","Adult Female",18298703.0205229,10540661.249231,136944.514657602,9051477.35047418,18449241.6910775,26993308.0274989,41427648.1909018
"Population Liveweight (kg)","Adult Male",8067477.17570522,4872464.03528207,46808.0618437453,3937657.73921633,7817711.80746461,11671653.5109274,21207325.179837
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",3839116.82687543,1593208.1521553,351396.312982909,2584281.3890677,3822203.49926147,5053423.70139615,8568339.27047776
"Offtake Liveweight (kg)","Juvenile Female",304543.924316764,185624.73744622,3231.85153170946,156525.897854009,301242.836814214,446290.019485501,822260.42466797
"Offtake Liveweight (kg)","Juvenile Male",735874.604465133,445774.21385449,6489.26754690254,362598.305255782,708486.447979485,1055748.81066813,2075834.37193501
"Offtake Liveweight (kg)","Adult Female",319596.619966105,178764.927061323,2502.84938663259,165654.302631059,324088.3736609,472632.950474092,646979.503720267
"Offtake Liveweight (kg)","Adult Male",2479101.67812743,1466622.57649733,18626.8524221427,1206522.06700316,2533504.48849756,3723094.21640534,5742887.26542132
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",9794924.49203454,1498090.57238653,5112163.27806998,8767681.90367857,9774242.6013727,10778253.8620126,15599718.7497447
"Manure","Overall",450787331.779472,73829298.1115952,221250896.010023,396539978.488306,446569077.673891,501807438.263696,683331086.566511
"Manure","Neonatal Female",107060593.573811,22174125.0764364,34559675.8010049,91178140.690537,105662330.973674,122328401.943209,180669609.882203
"Manure","Neonatal Male",104058069.776918,22041615.9609382,33002156.6519209,87862404.2512512,103032973.431855,118761253.736763,170468063.407001
"Manure","Neonatal Combined",211118663.350729,44014823.9605498,67561832.4529259,178921282.882046,209061046.269634,240918297.163531,342228696.73588
"Manure","Juvenile Female",71450731.4624828,12991638.9724427,36613911.6882634,62340547.2837541,70823990.4191159,79898586.288382,110806241.386521
"Manure","Juvenile Male",61832713.6353737,12909566.6264099,24486636.7361144,52528477.4735851,61304549.765965,70397247.0662037,100487045.913217
"Manure","Juvenile Combined",133283445.097856,25610375.9164709,61100548.4243778,115001593.629035,131986891.662078,150215116.021616,211108196.646946
"Manure","Adult Female",78973684.586588,5751623.72660212,62853947.906959,74974313.9271705,78872551.56616,82741464.6633048,98706453.5920294
"Manure","Adult Male",27411538.7442981,3082476.62994376,18535917.5971631,25188287.5502258,27294368.5572496,29249242.7983137,40496272.797716
"Manure","Oxen",0,0,0,0,0,0,0
