"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",52907.4998821596,6287.84094211496,39111.3987931916,48464.0890024059,52391.6261770862,57699.1176112806,67607.0734599144
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",7104.07517210478,1190.4952404471,4518.14252427998,6322.17475779373,7081.93622489975,7966.96575763756,9922.25052416344
"Num Offtake","Juvenile Male",16720.6954088832,3275.49345858087,9611.27599146185,14568.9932361355,16673.6367562855,19086.9949047261,24479.7791559763
"Num Offtake","Juvenile Combined",23824.7705809879,4465.98245023939,14129.4185157418,20891.1679939292,23755.5729811852,27052.9579078118,34402.0296801398
"Num Offtake","Adult Female",5306.3843976057,137.37162975244,5001.93743016246,5216.15162433383,5295.54624219572,5402.29735577351,5610.10846834307
"Num Offtake","Adult Male",23776.344903566,1714.04917195136,19980.0428472873,22657.5838330926,23654.3286155059,24955.6867873285,27594.9353114315
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",2271459.69133446,426362.289828263,1357278.53553083,1997674.96786894,2267119.37590686,2583025.87059745,3231406.62294421
"Cml Pop Growth","Neonatal Female",746387.045178345,154109.315946909,376343.517131441,634021.170188625,744602.273882479,836678.341351342,1126030.92433119
"Cml Pop Growth","Neonatal Male",760921.135237616,154109.315946909,390877.607190712,648555.260247895,759136.36394175,851212.431410613,1140565.01439046
"Cml Pop Growth","Neonatal Combined",1507308.18041596,308218.631893818,767221.124322153,1282576.43043652,1503738.63782423,1687890.77276195,2266595.93872165
"Cml Pop Growth","Juvenile Female",336522.146807895,67822.811234135,191359.04529696,287265.146477423,339236.645976101,386380.344627914,476071.381712004
"Cml Pop Growth","Juvenile Male",324639.084115754,66092.4099257129,182799.101563833,275932.373765877,327426.375735075,372651.229825766,459907.162949113
"Cml Pop Growth","Juvenile Combined",661161.230923649,133913.457820803,374158.146860793,563197.520243299,666785.682534424,759031.57445368,935978.544661117
"Cml Pop Growth","Adult Female",62073.4581378525,12521.4143012057,34913.3306672995,53848.6816636403,61938.3802937079,71090.679318709,91751.5763644748
"Cml Pop Growth","Adult Male",40916.8218569938,11003.5470351615,17206.4416434877,33781.1395613328,40761.477418194,48530.528802273,67118.4959468102
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",2324367.19121662,430451.281985709,1405543.18484553,2052582.47286036,2321107.41940178,2643355.76751531,3286741.643348
"Total Number Increase","Neonatal Female",746387.045178345,154109.315946909,376343.517131441,634021.170188625,744602.273882479,836678.341351342,1126030.92433119
"Total Number Increase","Neonatal Male",760921.135237616,154109.315946909,390877.607190712,648555.260247895,759136.36394175,851212.431410613,1140565.01439046
"Total Number Increase","Neonatal Combined",1507308.18041596,308218.631893818,767221.124322153,1282576.43043652,1503738.63782423,1687890.77276195,2266595.93872165
"Total Number Increase","Juvenile Female",343626.22198,68920.9083052209,196389.250490223,294037.111649128,346228.958774587,394687.183758953,485901.642051562
"Total Number Increase","Juvenile Male",341359.779524637,69112.4748260507,193797.134988544,291732.918322027,343957.971883041,392674.164238123,484132.614266044
"Total Number Increase","Juvenile Combined",684986.001504637,138033.325848258,390186.385478766,585770.029971155,690186.930657628,787361.347997076,970034.256317606
"Total Number Increase","Adult Female",67379.8425354582,12655.2302587608,39915.268097462,59067.4501354076,67207.4242257616,76517.4177711661,97361.6848328178
"Total Number Increase","Adult Male",64693.1667605598,12673.0401671284,37186.484490775,56368.128592191,64511.0945927711,73848.4921909044,94713.4312582418
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",172205274.943807,51449510.9170293,46453182.1427025,131340103.702298,169200550.529154,202992838.972538,323813203.429994
"Population Liveweight (kg)","Neonatal Female",40292015.2753185,25454332.6817526,673065.645263634,15670297.959763,41650354.495271,60475442.8962565,102018884.169662
"Population Liveweight (kg)","Neonatal Male",39340908.2967154,23089433.1160738,1320246.17180756,20985021.7138255,40945731.9950095,55132578.232203,110520783.352703
"Population Liveweight (kg)","Juvenile Female",31908289.2056816,21495058.163659,765001.769319822,14515345.8977595,27399134.567976,44687258.3339956,85212809.36004
"Population Liveweight (kg)","Juvenile Male",31705818.1121441,18796311.8643463,334780.584754771,17429539.6018732,30949583.0292272,43633879.3056898,74221604.9123404
"Population Liveweight (kg)","Juvenile Combined",63614107.3178257,28258512.6168396,13960467.6980175,39363490.1732259,61950619.702715,81977482.9347545,130224971.328163
"Population Liveweight (kg)","Adult Female",19702856.2504281,10756760.1158375,146404.252431958,9393582.85166783,20597137.1753025,28303527.838744,40008802.0887771
"Population Liveweight (kg)","Adult Male",9255387.80351929,5048406.80953968,465148.983087118,5078134.80437622,9638081.0156291,12931417.9685125,22269941.9947515
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",5769270.62270902,2220819.25734632,1135966.49932844,3681219.78027925,5611823.98454759,7577332.15986879,10634938.9813642
"Offtake Liveweight (kg)","Juvenile Female",669992.653476187,399828.324285544,34104.8424518474,291152.022515689,692942.307030234,984751.029153543,1467895.43196262
"Offtake Liveweight (kg)","Juvenile Male",1558950.77384619,918303.006089213,64346.1569379394,862934.260180028,1513319.58682365,2226167.83407232,3907453.5283241
"Offtake Liveweight (kg)","Adult Female",631985.007485271,363769.531880748,35379.0348419709,335436.156749965,618025.040037638,906046.86072065,1258455.85691219
"Offtake Liveweight (kg)","Adult Male",2908342.18790138,1762752.06263252,125982.045052922,1455229.18609905,2719183.2132306,4624247.7398207,5788880.91794003
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",13978986.639518,2046603.50081898,9516520.53727628,12458235.0951503,13873792.588539,15456693.1364603,18406410.7714707
"Manure","Overall",473978386.018624,72984148.0785618,321443991.858428,422863390.731902,477099567.452377,528814910.061426,641978857.023496
"Manure","Neonatal Female",113326523.652157,21589688.7989894,69474917.5303479,96256129.7965091,112534579.18416,128228376.868854,157159193.07331
"Manure","Neonatal Male",110479159.749811,21314213.5995856,66001552.0441621,92760185.9231405,111974565.862842,123894974.904976,162552391.845052
"Manure","Neonatal Combined",223805683.401968,42675775.0053762,135476469.57451,189638501.46734,226151582.807583,249349674.381498,318284308.223009
"Manure","Juvenile Female",75300927.8415946,13167494.5438326,48170323.7463465,66757884.0730845,75844730.0497599,84148205.527449,109452106.702161
"Manure","Juvenile Male",64592765.7438248,13030063.9633689,37989812.7608537,55295749.5200113,64417664.6934165,73789599.7244669,96712304.0331264
"Manure","Juvenile Combined",139893693.585419,25863495.2815138,86160136.5072002,123110981.136153,139819914.746404,157570652.386572,204022476.914325
"Manure","Adult Female",82355964.6864873,6278494.30756003,66074019.3868702,78443730.2883529,82794260.2317905,85942916.9687533,97471628.3689067
"Manure","Adult Male",27923044.344749,2726438.57505853,22950432.9075494,25824340.6886665,27920167.9775881,29786337.2332403,37597842.9759889
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",0,0,0,0,0,0,0
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",423064637.849114,122251456.250409,181117651.813668,348790352.794223,402468119.48051,510387022.875576,798232241.291905
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",1014935633.88408,166485205.150634,719355546.787752,878061892.313275,1011427299.54972,1118700624.39391,1446847938.06034
"Cml Dry Matter","Neonatal Female",260055879.252697,54768362.5521959,139901808.222217,223186739.252609,261981687.706906,291035678.689896,430140853.964632
"Cml Dry Matter","Neonatal Male",251370032.514874,54232466.1811407,147789617.371405,212600885.760338,246975819.43714,293775838.983803,390077071.218328
"Cml Dry Matter","Neonatal Combined",511425911.767571,101160765.441817,287691425.593622,427652643.555658,507369387.974978,575431857.025213,743915578.286367
"Cml Dry Matter","Juvenile Female",165593823.448391,38617291.1093313,90867831.2347699,133830682.560641,168850720.187662,192332208.010687,248516832.40407
"Cml Dry Matter","Juvenile Male",136117084.925828,34837501.3802135,73734549.1088369,113340104.07233,132042898.143538,156972733.311814,259321137.837399
"Cml Dry Matter","Juvenile Combined",301710908.374218,64905264.8714295,188044138.593675,250980835.416669,303804755.279845,346256891.281422,501854898.369018
"Cml Dry Matter","Adult Female",149516810.149063,20208095.6011158,108277429.55669,134558505.651984,151208045.258966,162331897.871025,200039259.660749
"Cml Dry Matter","Adult Male",52282003.5932271,10457148.0307894,31026005.7290056,45112434.7594934,51467172.316003,58436908.4586625,78922717.0882791
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",1178620288.17924,185620218.616745,739119201.414659,1048916980.61576,1156841586.94948,1309506987.76806,1627119847.38407
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",80170457.4328137,17935567.1070509,40783278.2392851,68892140.4201283,80889938.570638,90117355.3824259,136356012.907062
"Value of Offtake","Juvenile Male",302487116.001481,87887149.8299916,126414602.272837,224137730.707949,306142721.314709,369903514.994129,525434317.625798
"Value of Offtake","Juvenile Combined",382657573.434295,97131363.1696762,168070161.261438,294906702.909551,384113544.911722,453780744.758299,661790330.532861
"Value of Offtake","Adult Female",84943574.4207202,13413154.4602581,54925840.4203698,73518795.8923999,86459997.2389148,94549060.1890784,115377035.725887
"Value of Offtake","Adult Male",711019140.324223,132347681.238605,443378618.219817,609254801.854179,705628778.0396,812807789.464143,1008925485.70532
"Value of Offtake","Oxen",0,0,0,0,0,0,0
"Value of draught","Overall",0,0,0,0,0,0,0
"Value of Herd Increase","Overall",25711756898.3377,5292632455.14582,16497307826.0247,21768678095.6685,25288165086.6172,29096097942.6449,37515677371.0499
"Value of Herd Increase","Neonatal Female",6076531932.51091,1509511423.79763,2866733389.24148,5214133181.20145,5919636947.80976,6928108000.68415,9981789271.42539
"Value of Herd Increase","Neonatal Male",7733615508.2077,1966977749.17999,3997974011.99476,6056827854.59423,7609478361.74797,9023043948.83741,13016827496.187
