"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",2041311.5216129,183159.238692005,1534219.5423743,1908115.30396553,2039370.18106626,2173753.55239397,2608033.07732238
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",198232.516955016,37434.6127755859,93958.8839745982,170823.593461391,198180.119688908,225433.906319814,312504.76178517
"Num Offtake","Juvenile Male",565764.776782793,111374.681080825,255445.179089161,484036.901072482,565496.126287699,646800.873748629,905858.568041262
"Num Offtake","Juvenile Combined",763997.293737808,148809.102963594,349404.063063759,654937.968541044,763676.245976607,872267.219305625,1218363.32982643
"Num Offtake","Adult Female",176356.458079133,4334.92660997017,164928.238000918,173111.260496396,176233.750437551,179450.389207834,190248.375063599
"Num Offtake","Adult Male",191214.606143128,30382.3343735823,111041.338767822,168569.085338709,190416.298426672,212848.319902763,288521.848861718
"Num Offtake","Oxen",909743.163652832,363.524059121507,908844.774408081,909469.642759364,909737.839076091,909999.763531391,910899.523570631
"Cml Pop Growth","Overall",167798675.478693,34092127.0331117,80338432.200092,143031635.963018,166847034.067467,190808866.772898,306676192.168509
"Cml Pop Growth","Neonatal Female",56303327.7602714,12266940.3032424,26584232.8797062,47641770.9125581,56060852.3011374,64253432.7395367,105484113.865994
"Cml Pop Growth","Neonatal Male",56399065.2221974,12266940.3032424,26679970.3416321,47737508.374484,56156589.7630633,64349170.2014626,105579851.32792
"Cml Pop Growth","Neonatal Combined",112702392.982469,24533880.6064847,53264203.2213383,95379279.2870421,112217442.064201,128602602.940999,211063965.193915
"Cml Pop Growth","Juvenile Female",23938329.124154,5078741.43816662,9309199.12616765,20427835.2900117,23695422.8405552,27452712.1204467,41622258.8272164
"Cml Pop Growth","Juvenile Male",23752734.2434837,5018279.99057963,9300909.45282053,20260115.9716158,23533074.4323067,27232523.0596318,41319773.2432888
"Cml Pop Growth","Juvenile Combined",47691063.3676377,10096964.5926351,18610108.5789882,40713504.629778,47228497.2728619,54682323.750841,82942032.0705053
"Cml Pop Growth","Adult Female",3868281.4323874,909834.870953621,1331914.63169263,3203068.9939961,3862426.53695458,4532831.40372263,6639420.73173706
"Cml Pop Growth","Adult Male",4410097.15875263,881006.017038427,1951818.39072915,3768763.53514352,4406770.35591905,5050907.18482884,7089199.38529669
"Cml Pop Growth","Oxen",-873159.462553718,15514.6352100853,-914150.730108072,-884691.1203862,-873553.113775139,-862135.89245113,-823479.918252563
