"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1342494.29993661,231.951717071001,1342171.37576061,1342366.69170169,1342456.14308855,1342595.99069344,1342973.02268288
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",51255.1821856599,50.1621400362588,51201.7468270003,51209.6898838008,51251.0568303064,51296.3081901439,51332.0057580844
"Num Offtake","Juvenile Male",128201.311926985,151.612769367082,127983.129797217,128093.770816149,128190.225487188,128248.511587669,128499.384851531
"Num Offtake","Juvenile Combined",179456.494112645,184.996196011095,179185.41286043,179344.537384312,179433.251599828,179537.291197164,179831.390609615
"Num Offtake","Adult Female",161734.773169165,6.97120332439618,161725.553841841,161729.253652127,161733.080144259,161740.561409163,161745.558124042
"Num Offtake","Adult Male",88528.9984057541,44.1999784762584,88472.4936788227,88506.7887380953,88518.712543909,88546.5733437946,88620.8523104549
"Num Offtake","Oxen",912774.034249049,0.580934742646844,912773.11092709,912773.723825356,912774.006444515,912774.31473841,912775.221638768
"Cml Pop Growth","Overall",1216473.84382552,29518.1583632887,1160075.82051402,1211768.6384481,1222045.49237276,1232716.26420705,1254915.11455733
"Cml Pop Growth","Neonatal Female",-47683.8282566462,12944.4790318043,-68797.2181302155,-56799.0823189657,-49019.2048074417,-38927.1992757753,-28505.7297723459
"Cml Pop Growth","Neonatal Male",55900.0195707,12692.3322625661,36741.5244071623,43793.353982969,60402.2754908591,65178.2405142327,74230.4782670995
"Cml Pop Growth","Neonatal Combined",8216.19131405377,20372.80528676,-21839.1476187101,-4281.3359411523,12519.3630320673,20828.5127799042,38989.8558636371
"Cml Pop Growth","Juvenile Female",393333.210058074,6863.58525251889,379632.330129546,390222.48592153,392121.173522322,399369.704852698,401718.870700635
"Cml Pop Growth","Juvenile Male",470044.530700911,5958.45379007504,460232.808764374,468121.978209278,470382.922172535,475098.112469097,477127.041625592
"Cml Pop Growth","Juvenile Combined",863377.740758985,11492.8491263459,840102.910793008,859732.358304892,863957.965813347,870285.611190792,877423.51192666
"Cml Pop Growth","Adult Female",284015.120098316,1213.15077238332,282713.662075253,282919.657043415,283922.426534728,285007.576063765,285869.202187183
"Cml Pop Growth","Adult Male",927315.512783924,1197.04716210326,925573.905799862,926490.60552968,927250.749914664,927689.2866576,929653.128415483
"Cml Pop Growth","Oxen",-866450.72112976,22.5712135643897,-866479.364234683,-866461.909099879,-866456.038126635,-866441.805430613,-866403.845429809
"Total Number Increase","Overall",2558968.14376213,29662.476430422,2502247.19627464,2554364.62914154,2564501.63546132,2575352.81868839,2597888.13724021
"Total Number Increase","Neonatal Female",-47683.8282566462,12944.4790318043,-68797.2181302155,-56799.0823189657,-49019.2048074417,-38927.1992757753,-28505.7297723459
"Total Number Increase","Neonatal Male",55900.0195707,12692.3322625661,36741.5244071623,43793.353982969,60402.2754908591,65178.2405142327,74230.4782670995
"Total Number Increase","Neonatal Combined",8216.19131405377,20372.80528676,-21839.1476187101,-4281.3359411523,12519.3630320673,20828.5127799042,38989.8558636371
"Total Number Increase","Juvenile Female",444588.392243734,6903.52840896889,430834.613192759,441450.485970034,443340.58422999,450697.185578756,452991.02513009
"Total Number Increase","Juvenile Male",598245.842627896,6087.7560252821,588300.825347748,596245.764391272,598593.152984749,603312.186933929,605626.426477123
"Total Number Increase","Juvenile Combined",1042834.23487163,11654.4666931315,1019288.32365344,1039106.21858729,1043319.34210421,1049785.93775289,1057067.65238128
"Total Number Increase","Adult Female",445749.893267481,1219.77389947055,444445.026589589,444647.644619351,445655.506678987,446748.137472928,447614.760311225
"Total Number Increase","Adult Male",1015844.51118968,1238.67239561658,1014054.83370169,1014974.86593859,1015762.40762627,1016230.56148929,1018273.98072594
"Total Number Increase","Oxen",46323.313119289,23.1278957144928,46293.7466924065,46311.6917815616,46317.9309822762,46332.5093077974,46371.376208959
"Total Mortality","Overall",1007471.93871879,16115.6476588112,977610.271052617,1000865.67943694,1011060.46427146,1014217.69331057,1036550.13485284
"Total Mortality","Neonatal Female",248795.099189096,15143.968375673,227713.655225848,241123.86974187,242916.070597048,258897.825284109,272558.207571674
"Total Mortality","Neonatal Male",237196.553552667,9673.27485465331,218819.667740198,233352.678438089,237268.067237031,242395.929421353,253879.850255382
"Total Mortality","Neonatal Combined",485991.652741763,14696.6916535814,455903.12176149,478826.593720251,487727.062107338,494456.713198598,510693.422845977
"Total Mortality","Juvenile Female",193088.267525207,2682.26391081482,188546.674790498,191723.608078518,192572.093150288,194708.188997361,197608.409755554
"Total Mortality","Juvenile Male",160480.80353342,1650.05293080996,158253.527169197,159664.484047969,160389.743090961,161014.320924005,163104.573060655
"Total Mortality","Juvenile Combined",353569.071058627,3631.41583707491,346800.201959694,351232.857668044,353683.851305659,356580.433798691,358006.281761119
"Total Mortality","Adult Female",161734.773169165,6.97120332439618,161725.553841841,161729.253652127,161733.080144259,161740.561409163,161745.558124042
"Total Mortality","Adult Male",6176.44174923866,3.08371942857578,6172.49955898763,6174.89223754153,6175.7241309704,6177.6679077066,6182.85016119453
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",14874263037.7009,190757109.24446,14599214141.99,14708077586.3213,14871463314.5041,15022404657.7744,15138525408.9117
"Value of Total Mortality","Neonatal Female",1428543250.24476,86954340.6421565,1307496836.64069,1384496228.8861,1394786770.95502,1486551551.93214,1564987369.10165
"Value of Total Mortality","Neonatal Male",4202584562.0169,171388474.914269,3876987855.58633,4134479819.46102,4203851622.18865,4294705701.34455,4498174713.37552
"Value of Total Mortality","Neonatal Combined",5631127812.26166,161424603.462033,5350496260.17416,5543187733.25964,5644918428.03645,5720167166.17041,5885422851.33353
"Value of Total Mortality","Juvenile Female",2969965240.79302,41256937.4817847,2900109248.33525,2948974886.61908,2962025763.31288,2994881878.79892,3039491294.75599
"Value of Total Mortality","Juvenile Male",2102716645.15142,21619992.4639114,2073533521.80402,2092020733.04215,2101523516.1051,2109707113.00153,2137094861.96294
"Value of Total Mortality","Juvenile Combined",5072681885.94444,53184356.0530762,4973642770.13928,5040345252.22458,5075020314.96706,5116517490.03773,5140427948.1329
"Value of Total Mortality","Adult Female",3975931296.3901,171373.322680333,3975704657.36054,3975795609.91957,3975889676.70266,3976073588.88607,3976196423.29377
"Value of Total Mortality","Adult Male",194522043.104676,97119.252145799,194397887.007513,194473242.485585,194499442.297062,194560659.975042,194723870.862036
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",5362182934.95059,450651213.10497,4753012167.31275,5000181969.47348,5410525672.61398,5588550309.40415,6256898376.76515
"Population Liveweight (kg)","Neonatal Female",159726496.463178,23518697.538882,123683261.091568,142816643.187394,153867536.931161,177974746.344444,196930158.340437
"Population Liveweight (kg)","Neonatal Male",186908817.101465,51418371.7242523,106164424.74913,148855833.94605,193229026.35092,215634543.583471,266863832.770325
"Population Liveweight (kg)","Juvenile Female",519912063.573878,117832898.534097,252183932.72233,467015550.418162,544569621.731347,596356847.32713,676803144.986441
