"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",1339299.63099691,127.19382236005,1338812.54714167,1339212.5976874,1339301.75314224,1339385.66936153,1339667.0500978
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",51474.5648203808,36.4298588362249,51364.9008047792,51449.6238372027,51475.4764460005,51500.5497302378,51571.3367805015
"Num Offtake","Juvenile Male",128745.770491812,86.9496657652288,128423.187871707,128686.430191708,128748.35150703,128804.527651666,129096.156354532
"Num Offtake","Juvenile Combined",180220.335312193,94.5214056018903,179853.52867067,180155.800195136,180221.448639413,180283.923238496,180489.142007394
"Num Offtake","Adult Female",161757.682683578,6.01014951161086,161738.684754182,161753.582554913,161757.681852307,161762.123047494,161774.786253118
"Num Offtake","Adult Male",88655.3781733409,33.8700011865248,88541.9920356277,88632.9403441762,88656.1149550202,88677.8908311165,88779.6035298871
"Num Offtake","Oxen",908666.234827801,0.559800496801702,908664.526217914,908665.860848095,908666.243628577,908666.615139828,908668.0064259
"Cml Pop Growth","Overall",1364848.54444799,5661.25169035541,1346762.66290179,1361072.08608694,1364830.37543282,1368811.95298049,1380775.91933321
"Cml Pop Growth","Neonatal Female",24807.3395269524,599.029232182762,23118.7072205034,24385.4037965871,24829.3497853163,25217.1495018899,26839.8961401917
"Cml Pop Growth","Neonatal Male",120544.801452888,599.029232182795,118856.169146438,120122.865722522,120566.811711252,120954.611427826,122577.358066127
"Cml Pop Growth","Neonatal Combined",145352.14097984,1198.05846436556,141974.876366942,144508.269519109,145396.161496568,146171.760929716,149417.254206318
"Cml Pop Growth","Juvenile Female",425576.574625578,3446.57929237653,414676.227729169,423480.512764212,425577.207527021,427810.920555796,436100.579396347
"Cml Pop Growth","Juvenile Male",498582.188102392,2718.98157828563,488871.631508878,496647.208760284,498583.726963349,500413.289442971,506704.959064983
"Cml Pop Growth","Juvenile Combined",924158.76272797,4443.53990528402,910385.076539743,921194.716292335,924013.078128329,927215.446559754,937724.957820532
"Cml Pop Growth","Adult Female",289358.410627457,875.654829634383,286733.964135357,288756.37373219,289380.253776983,289991.079972642,291685.863677488
"Cml Pop Growth","Adult Male",931651.341581989,673.996919927645,929143.779835376,931196.019534696,931663.618271833,932102.713906493,934373.329889379
"Cml Pop Growth","Oxen",-925672.111469272,17.140141445922,-925729.666986368,-925683.511965523,-925671.670407123,-925660.71380322,-925609.005027187
"Total Number Increase","Overall",2704148.1754449,5746.22959165474,2685686.87527577,2700300.29936526,2704170.06517806,2708192.41568197,2720241.73919412
"Total Number Increase","Neonatal Female",24807.3395269524,599.029232182762,23118.7072205034,24385.4037965871,24829.3497853163,25217.1495018899,26839.8961401917
"Total Number Increase","Neonatal Male",120544.801452888,599.029232182795,118856.169146438,120122.865722522,120566.811711252,120954.611427826,122577.358066127
"Total Number Increase","Neonatal Combined",145352.14097984,1198.05846436556,141974.876366942,144508.269519109,145396.161496568,146171.760929716,149417.254206318
"Total Number Increase","Juvenile Female",477051.139445959,3474.16477759588,466081.257596522,474925.00996242,477055.927576906,479286.533804773,487645.608389612
"Total Number Increase","Juvenile Male",627327.958594204,2783.09858149674,617437.339021766,625347.297584416,627353.338089769,629204.244113642,635576.399064922
"Total Number Increase","Juvenile Combined",1104379.09804016,4507.00414654084,1090404.67451343,1101343.46922722,1104232.32270104,1107524.68299961,1118088.28986005
"Total Number Increase","Adult Female",451116.093311035,881.334404483192,448472.648889539,450511.612979951,451136.482507549,451752.167947203,453458.440299388
"Total Number Increase","Adult Male",1020306.71975533,705.691782887139,1017685.771871,1019822.72933464,1020321.55597177,1020781.3408251,1023152.93341927
"Total Number Increase","Oxen",-17005.8766414709,17.6846504801628,-17065.0908729903,-17017.589893276,-17005.4884280881,-16994.135169404,-16940.9986012874
"Total Mortality","Overall",585142.761525882,5376.55166490999,569552.672681527,581463.846619217,585234.773654426,588776.997521062,601927.92442869
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",192918.041260411,4167.95718092505,180549.247633242,190160.388823803,192842.052614796,195580.632887333,205561.173190648
"Total Mortality","Juvenile Male",160886.45993065,3351.52573754451,150988.739211211,158512.60928879,160791.649956117,163201.093862686,172273.959374283
"Total Mortality","Juvenile Combined",353804.501191061,5380.67861783428,338208.732430167,350122.064119695,353892.138998003,357439.139622208,370595.628905682
"Total Mortality","Adult Female",161757.682683578,6.01014951161086,161738.684754182,161753.582554913,161757.681852307,161762.123047494,161774.786253118
"Total Mortality","Adult Male",6185.25894232611,2.36302333859473,6177.34828155543,6183.69351238439,6185.31034569909,6186.82959286859,6193.92582766654
"Total Mortality","Oxen",63395.3187089163,0.0390558486141613,63395.1995035754,63395.292617309,63395.319322924,63395.3452423136,63395.4423087837
"Value of Total Mortality","Overall",7283670960.41854,78735203.3699937,7055259991.51633,7229860581.48128,7283589434.29035,7336675914.4177,7530107518.05012
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",2683337442.49763,57972989.4064507,2511297301.29845,2644980677.16764,2682280500.50998,2720371987.11523,2859193412.61422
"Value of Total Mortality","Juvenile Male",2526794053.27348,52637215.7524684,2371345907.63325,2489511663.64419,2525305020.07613,2563146417.90066,2705639842.33634
"Value of Total Mortality","Juvenile Combined",5210131495.77111,78786867.0191993,4981648842.36137,5156238382.12543,5210038213.59364,5263108519.20815,5456652968.37189
"Value of Total Mortality","Adult Female",1845428836.14917,68567.3968264652,1845212096.35572,1845382059.41779,1845428826.66553,1845479494.48872,1845623963.94716
"Value of Total Mortality","Adult Male",103838201.559644,39670.4642458937,103705397.291426,103811921.102944,103839064.520089,103864569.659853,103983701.33504
"Value of Total Mortality","Oxen",1394092773.74152,858.856417697945,1394090152.3602,1394092199.97485,1394092787.24384,1394093357.22337,1394095491.76054
