"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",318341.059144816,327.20870452432,317610.490192549,318101.957778,318301.390458729,318554.807332542,319909.639116272
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",8799.1145398706,51.9938868959519,8681.41290277797,8759.74343127548,8794.4251327098,8834.14486439406,9040.80037188256
"Num Offtake","Juvenile Male",19353.8185262311,143.889825323576,19021.680297927,19245.7823387742,19339.1455178916,19450.6587854951,20039.8944675975
"Num Offtake","Juvenile Combined",28152.9330661016,195.774870922226,27703.093200705,28006.1258902888,28133.091835054,28283.5016461568,29080.6948394801
"Num Offtake","Adult Female",23193.0433148299,6.16026946103056,23179.9508565805,23188.43694096,23192.230082002,23197.0111582721,23221.8834650795
"Num Offtake","Adult Male",266995.082763885,127.26049692026,266724.832607348,266902.412176824,266977.695867702,267076.501744103,267607.060811712
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",393742.166302523,32000.3402185043,313933.573960616,370507.493964924,392083.030326169,414183.251436884,512280.134379486
"Cml Pop Growth","Neonatal Female",80242.8768404811,11202.5202995253,53571.4561323761,72183.6994063882,79109.3003749686,87309.8093765975,121605.290303327
"Cml Pop Growth","Neonatal Male",131890.541681532,11215.1663516564,104523.845277726,123710.672192258,130947.134744714,139041.13772538,171814.385280589
"Cml Pop Growth","Neonatal Combined",212133.418522013,22405.9098672746,158095.301410102,195947.899235401,210218.761842542,226282.668881757,293419.675583916
"Cml Pop Growth","Juvenile Female",148495.168529087,5287.78673395297,136384.842185902,144574.115520487,148363.56677171,152124.188192248,168938.922086246
"Cml Pop Growth","Juvenile Male",137913.364863012,5212.35703425293,126357.84690518,134088.539517325,137737.471159043,141464.731691201,158553.543083633
"Cml Pop Growth","Juvenile Combined",286408.533392099,10493.2503539462,262752.762036041,278582.67859469,286126.583702685,293427.465603077,327492.465169879
"Cml Pop Growth","Adult Female",75479.1030998156,1013.93597245069,73179.3613148631,74706.1351928679,75387.3620999228,76157.0424583767,80187.84575564
"Cml Pop Growth","Adult Male",-180278.888711405,880.303029172955,-182331.346250553,-180939.502441768,-180367.435125461,-179689.548982414,-176108.425347674
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",712083.225447339,32222.5679917633,631646.425259707,688835.00697757,710486.900812892,732660.964766311,831409.262273911
"Total Number Increase","Neonatal Female",80242.8768404811,11202.5202995253,53571.4561323761,72183.6994063882,79109.3003749686,87309.8093765975,121605.290303327
"Total Number Increase","Neonatal Male",131890.541681532,11215.1663516564,104523.845277726,123710.672192258,130947.134744714,139041.13772538,171814.385280589
"Total Number Increase","Neonatal Combined",212133.418522013,22405.9098672746,158095.301410102,195947.899235401,210218.761842542,226282.668881757,293419.675583916
"Total Number Increase","Juvenile Female",157294.283068958,5335.94951460553,145078.369716254,153343.790166797,157152.448835368,160960.645007962,177979.722458129
"Total Number Increase","Juvenile Male",157267.183389243,5345.57551952236,145412.284913212,153382.532318653,157051.214941739,160879.351709078,178593.43755123
"Total Number Increase","Juvenile Combined",314561.466458201,10674.5466159479,290510.345746642,306670.120664999,314229.634930708,321758.253157029,356573.160009359
"Total Number Increase","Adult Female",98672.1464146455,1019.91908572583,96359.8759473314,97895.5871172487,98580.8262669935,99354.8418315102,103409.729220719
"Total Number Increase","Adult Male",86716.1940524797,1003.83948638422,84395.5361088224,85960.7073300061,86618.6594488136,87400.0097694314,91498.6354640381
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",207882.064812392,2389.94063700737,202602.765229291,206150.789307613,207840.801742787,209424.394880947,218433.157218666
"Total Mortality","Neonatal Female",48163.7368345949,1151.66135260197,44998.1212400503,47364.7385465765,48132.0972259846,48904.4253849084,52864.4000215688
"Total Mortality","Neonatal Male",42196.897951557,1097.0287240525,39312.2317909151,41415.6493398407,42213.1521625226,42963.7323277145,45819.7035948201
"Total Mortality","Neonatal Combined",90360.6347861518,1995.46406963156,85503.1923569653,88936.1591493808,90400.0716950088,91679.631985484,98562.9870766505
"Total Mortality","Juvenile Female",36954.5297798032,287.026537827596,36222.3336278739,36754.7693011338,36928.4069255744,37133.7184436568,38173.024463886
"Total Mortality","Juvenile Male",29041.5333972665,261.551633965083,28316.4301388157,28860.4175053741,29034.0148165013,29223.8947422438,30053.6778021846
"Total Mortality","Juvenile Combined",65996.0631770698,497.282412772253,64767.0256860131,65629.4916133109,65939.2403287119,66326.7176825344,68226.7022660706
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",51525.3668491707,24.5590432653133,51473.2133101899,51507.4830516677,51522.0114832407,51541.0792839497,51643.4678759445
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",3295877734.40446,23416454.9620103,3240915326.8801,3277713352.74163,3295953353.16354,3311562988.53915,3396249565.40053
"Value of Total Mortality","Neonatal Female",316713766.162294,7573062.81235518,295897398.848158,311459735.358485,316505711.300661,321584365.408542,347624256.901825
"Value of Total Mortality","Neonatal Male",524940265.557,13647319.5349311,489054276.445927,515221331.853124,525142472.122766,534479882.462502,570008899.716298
"Value of Total Mortality","Neonatal Combined",841654031.719294,19036466.9990578,797819402.876968,827348443.461934,842456784.477077,853830377.464174,916126435.70687
"Value of Total Mortality","Juvenile Female",308611715.618503,2396993.08298126,302497057.633065,306943491.874288,308393560.526057,310108141.666967,318787511.039727
"Value of Total Mortality","Juvenile Male",331874814.623165,2988905.53915166,323588629.930739,329805095.981767,331788895.344608,333958765.795125,343441188.621367
"Value of Total Mortality","Juvenile Combined",640486530.241668,4887543.70231823,627991930.261317,636948932.690369,639951528.584821,643743803.176755,662228699.661094
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
