"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",447111.988766873,32321.0378500054,382506.981644484,421522.20616033,445450.20560095,467503.266095241,523959.572740494
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",28242.4062214627,4982.24165207347,18030.857300146,24609.6993445997,28149.3189950717,31354.5013369872,39721.4165385701
"Num Offtake","Juvenile Male",73572.8165566001,13824.5507500649,45235.2489795097,63473.2585711799,73299.3333713842,82198.201277337,105404.095362062
"Num Offtake","Juvenile Combined",101815.222778063,18806.7674338247,63266.1062796557,88082.9579157796,101448.652366456,113552.702614324,145125.511900632
"Num Offtake","Adult Female",23372.2315991923,592.825580150449,22249.3054674613,22925.295138509,23335.8469621219,23752.3720645644,24818.4818641907
"Num Offtake","Adult Male",321924.534389618,13132.4329750841,296991.569897367,311978.347529427,321232.19782496,330314.981683966,354015.578975672
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",18711033.6553729,3498829.39210333,9258102.85377781,16238052.9959185,18554932.6776786,21005805.8220447,25851685.9294221
"Cml Pop Growth","Neonatal Female",6287469.1493069,1316847.28138573,2972027.75888826,5398333.6984205,6242940.43339768,7299675.66736627,9192752.69736475
"Cml Pop Growth","Neonatal Male",6338732.79674607,1317538.46788151,3025453.79176772,5447698.40530739,6300414.18344816,7360192.0418038,9236103.77516141
"Cml Pop Growth","Neonatal Combined",12626201.946053,2634367.60628737,5997481.55065598,10846032.1037279,12543354.6168458,14662764.4916121,18428856.4725262
"Cml Pop Growth","Juvenile Female",2752413.32516537,520929.109192027,1521433.10467184,2372765.78333411,2792174.12496166,3092438.39860649,3828635.55928565
"Cml Pop Growth","Juvenile Male",2710714.34777916,514117.680521382,1496903.89208624,2335414.66148771,2742435.66353237,3049559.55543233,3775930.62260226
"Cml Pop Growth","Juvenile Combined",5463127.67294453,1035038.77263774,3018336.99675808,4708180.44482182,5535042.43352356,6143525.09366625,7604566.18188791
"Cml Pop Growth","Adult Female",396211.780909336,99067.6383017434,192704.126576137,323411.225273554,394858.418563488,458822.130536367,623466.438114644
"Cml Pop Growth","Adult Male",225492.255466038,90127.2477779384,39580.2231049377,159108.075928742,226356.900522334,280612.264901692,430241.082944431
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",19158145.6441397,3518497.72897896,9643841.54381304,16687778.2869508,19004181.9215064,21447827.6809457,26340129.4077951
"Total Number Increase","Neonatal Female",6287469.1493069,1316847.28138573,2972027.75888826,5398333.6984205,6242940.43339768,7299675.66736627,9192752.69736475
"Total Number Increase","Neonatal Male",6338732.79674607,1317538.46788151,3025453.79176772,5447698.40530739,6300414.18344816,7360192.0418038,9236103.77516141
"Total Number Increase","Neonatal Combined",12626201.946053,2634367.60628737,5997481.55065598,10846032.1037279,12543354.6168458,14662764.4916121,18428856.4725262
"Total Number Increase","Juvenile Female",2780655.73138683,525441.380520338,1539766.8356441,2397040.5105018,2821833.09047811,3122613.68144444,3864236.01799889
"Total Number Increase","Juvenile Male",2784287.16433576,526634.769874038,1543001.06023823,2397962.96456269,2824815.93877907,3130097.04485488,3869980.38111822
"Total Number Increase","Juvenile Combined",5564942.89572259,1052072.66290569,3082767.89588233,4795003.47506449,5646649.02925718,6252710.72629932,7734216.39911711
"Total Number Increase","Adult Female",419584.012508528,99642.0466717324,214953.432043598,346400.834851737,418134.422799158,482680.167722895,648284.919978835
"Total Number Increase","Adult Male",547416.789855655,102861.240699888,336571.793002304,472271.269130802,545381.944727561,611593.759503995,784256.661920103
"Total Number Increase","Oxen",0,0,0,0,0,0,0
