"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",467876.701333139,36401.6869037262,381254.597771133,441038.366671963,462501.62757896,496462.425507971,585394.375031816
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",34253.9496834066,5978.30273048147,19518.8949628976,29752.6564201532,33448.7966333254,39128.4141076306,54028.7870065995
"Num Offtake","Juvenile Male",89255.8195666169,16571.9722772789,48380.6686670011,76791.8628666473,87037.2932138469,102755.680059802,144092.977920131
"Num Offtake","Juvenile Combined",123509.769250023,22550.2409120463,67899.5636298987,106544.5192868,120478.012883501,141884.094167433,198121.76492673
"Num Offtake","Adult Female",26776.9609604583,685.678598806837,25273.0824085388,26329.6211079171,26667.7009433303,27208.8380039524,28861.8871927903
"Num Offtake","Adult Male",317589.971122657,13357.5563660438,288081.951732696,308751.635957594,315212.136581621,326215.408397324,358410.722912295
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",18759984.1198198,3925276.91669072,10137768.6859652,16066142.6042983,18335516.066946,21496406.8152321,28817139.1518642
"Cml Pop Growth","Neonatal Female",6123227.11418173,1423907.26395795,3624725.04251898,5178001.37738377,5885321.47552147,6993698.49178088,9441718.09477228
"Cml Pop Growth","Neonatal Male",6174893.99896431,1423350.55059327,3679033.7856702,5230585.8119458,5937306.71488339,7035499.72779762,9467661.42286928
"Cml Pop Growth","Neonatal Combined",12298121.113146,2847241.95227635,7306617.28219245,10408587.1893296,11829332.0610893,14029198.2195785,18909379.5176416
"Cml Pop Growth","Juvenile Female",2940569.19181543,583683.439066582,1359250.28158801,2558854.45693719,2865016.39358869,3310879.80096515,4824760.10285711
"Cml Pop Growth","Juvenile Male",2884053.62511257,575116.602885184,1326236.98059478,2506471.34139857,2809934.85403579,3248689.14930212,4735662.48424987
"Cml Pop Growth","Juvenile Combined",5824622.816928,1158791.90098429,2685487.26218278,5065325.79833577,5674951.24762448,6560095.41365246,9560422.58710698
"Cml Pop Growth","Adult Female",431029.653575527,104687.208778343,171948.845936981,352107.686405661,418547.490575056,516992.459290302,778232.547102911
"Cml Pop Growth","Adult Male",206210.536170204,93010.7458530223,-26284.7043470083,136083.739470257,196298.922551116,282949.207438736,516651.895629636
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",19227860.8211529,3950357.03195453,10519023.2837363,16518886.5236009,18822914.9105431,21974651.2188829,29402533.526896
"Total Number Increase","Neonatal Female",6123227.11418173,1423907.26395795,3624725.04251898,5178001.37738377,5885321.47552147,6993698.49178088,9441718.09477228
"Total Number Increase","Neonatal Male",6174893.99896431,1423350.55059327,3679033.7856702,5230585.8119458,5937306.71488339,7035499.72779762,9467661.42286928
