"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",477185.661298129,41203.1423867581,382462.979973751,447169.987449123,474601.279658272,505747.545912643,616605.076896746
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",36177.0812027269,6985.28050236753,19674.0686561892,31177.9687894083,35716.3902694617,41124.2976756787,60011.400608162
"Num Offtake","Juvenile Male",94117.2876136759,19340.0384477079,48389.8982696536,80255.0918439258,92870.730800386,107804.939968092,160123.481053224
"Num Offtake","Juvenile Combined",130294.368816403,26325.3024451343,68063.9669258428,111431.612436278,128580.54518196,148929.237643771,220134.881661386
"Num Offtake","Adult Female",29233.849281618,797.817326791713,27447.9139248507,28650.7744270336,29195.3495758242,29789.968997552,31878.0979391355
"Num Offtake","Adult Male",317657.443200108,14289.1228317951,285617.848918795,307302.75098848,316998.86452847,327529.855344441,364990.995209858
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",19599123.3440977,4178736.3238584,8031128.59479994,16656701.7947534,19287781.1938812,22374911.5691708,33639753.6773515
"Cml Pop Growth","Neonatal Female",6644155.14602887,1502776.91846608,2332176.00136475,5549932.89884794,6598003.87476234,7561571.17287529,11527716.3286586
"Cml Pop Growth","Neonatal Male",6692301.87086742,1502776.91846608,2380322.7262033,5598079.62368649,6646150.59960089,7609717.89771384,11575863.0534971
"Cml Pop Growth","Neonatal Combined",13336457.0168963,3005553.83693215,4712498.72756805,11148012.5225344,13244154.4743632,15171289.0705891,23103579.3821557
"Cml Pop Growth","Juvenile Female",2864747.52892007,623361.612718498,1353853.02635146,2416266.41196494,2826391.20371231,3276293.14118232,5124407.53693597
"Cml Pop Growth","Juvenile Male",2810376.20963015,613237.789104879,1325016.14249868,2368640.30927387,2773297.06165896,3215679.12534093,5033243.7416108
"Cml Pop Growth","Juvenile Combined",5675123.73855022,1236593.8988313,2678869.16885014,4784412.49900888,5602891.75267165,6491277.55596989,10157651.2785468
"Cml Pop Growth","Adult Female",404810.819358926,111149.806260375,141328.072186511,324987.280010521,398379.013469086,483751.166093717,784322.468216288
"Cml Pop Growth","Adult Male",182731.769292235,98570.5346036933,-52870.808895723,112066.866274431,176915.095553345,251608.314506179,519816.48138024
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",20076309.0053958,4208632.87479396,8451616.21360976,17113359.3300176,19766187.6109997,22847791.6987508,34224479.0568685
"Total Number Increase","Neonatal Female",6644155.14602887,1502776.91846608,2332176.00136475,5549932.89884794,6598003.87476234,7561571.17287529,11527716.3286586
"Total Number Increase","Neonatal Male",6692301.87086742,1502776.91846608,2380322.7262033,5598079.62368649,6646150.59960089,7609717.89771384,11575863.0534971
"Total Number Increase","Neonatal Combined",13336457.0168963,3005553.83693215,4712498.72756805,11148012.5225344,13244154.4743632,15171289.0705891,23103579.3821557
"Total Number Increase","Juvenile Female",2900924.6101228,629888.613637481,1373527.09500765,2447918.73555108,2861597.09052235,3315860.35835017,5184418.93754414
"Total Number Increase","Juvenile Male",2904493.49724382,631307.633456471,1373406.04076834,2450182.91493446,2866064.06204806,3318519.3866265,5193367.22266402
"Total Number Increase","Juvenile Combined",5805418.10736662,1261195.51293729,2746933.13577599,4897555.71906516,5727438.65469019,6634379.74497667,10377786.1602082
"Total Number Increase","Adult Female",434044.668640544,111926.758429263,168855.24675618,353701.912285244,427460.60993397,513651.047506797,816171.777679857
"Total Number Increase","Adult Male",500389.212492343,112487.693476855,234001.029582516,419647.565554823,493656.270879004,580213.711728692,884437.367152031
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",391809.297158769,53652.0172490255,265549.03339728,352906.852031385,387584.368961698,429303.803641924,576148.030844921
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",126630.610193524,24510.3611079817,68546.5328001041,108774.580071212,124802.719105055,143424.603495915,210971.234714325
"Total Mortality","Juvenile Male",117644.40153133,24176.2954431929,60386.8977227486,100118.637172327,115866.655674766,134529.918322679,200950.276241777
"Total Mortality","Juvenile Combined",244275.011724854,48674.1995517329,128933.430522853,208790.215441811,240589.809846411,277938.178247908,411921.510956103
"Total Mortality","Adult Female",87701.547844854,2393.45198037514,82343.7417745522,85952.3232811007,87586.0487274727,89369.9069926559,95634.2938174066
"Total Mortality","Adult Male",59832.7375890614,2691.4443690025,53797.8825018277,57882.3674807068,59708.690236527,61692.2672737817,68748.3038922679
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",7297080470.97722,868948987.619166,5261532589.41361,6672868930.58057,7225824281.24071,7898437869.70593,10277706029.1323
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",1540546280.20328,298184977.341849,833914532.707772,1323315701.10329,1518308759.49124,1744856469.28172,2566606528.80332
"Value of Total Mortality","Juvenile Male",2135604107.63013,438873377.599805,1096206067.9904,1817458119.65911,2103332607.20867,2442127652.73447,3647859394.79715
"Value of Total Mortality","Juvenile Combined",3676150387.83341,736876633.977087,1930120600.69817,3142680483.08409,3622006840.75396,4188411019.4922,6214465923.60047
"Value of Total Mortality","Adult Female",1593445538.44836,43486523.0242678,1496099797.25692,1561663954.82355,1591347040.10018,1623757881.91233,1737575248.67844
"Value of Total Mortality","Adult Male",2027484544.69544,91201941.962585,1822988211.88717,1961394550.9819,2023281091.86664,2090496331.35423,2329596291.79798
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1941288627.43148,513955376.915911,743007210.052946,1582374575.92563,1876053985.86047,2281863515.60148,3968907091.2861
"Population Liveweight (kg)","Neonatal Female",776041561.961798,243366147.238525,214178479.503951,607807336.752048,754994116.398354,936819857.24527,1646084562.42218
"Population Liveweight (kg)","Neonatal Male",349358771.115709,211959677.045728,7005619.37093651,173301946.538471,338221864.136522,498182716.462488,1070082763.2912
"Population Liveweight (kg)","Juvenile Female",292101784.069745,177252657.644099,3394118.1410317,142184929.610834,276984698.32677,431464425.190797,803553523.260747
"Population Liveweight (kg)","Juvenile Male",275234672.175388,167714996.599356,2039164.09351502,136561752.653094,262732854.174641,393003757.021315,881972740.590615
"Population Liveweight (kg)","Juvenile Combined",567336456.245133,255220661.783325,26493509.7681757,378047949.276521,551321048.529683,729526462.189825,1552462879.17068
