"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",426893.896862469,34841.4560121357,346861.637102977,398014.252650423,428681.135939952,454049.768919438,500509.621559141
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",26950.4774501196,5452.74507568031,14877.6283113658,22555.3907094374,27436.6341707476,31241.1250956862,39077.4165201476
"Num Offtake","Juvenile Male",70198.9864154598,15140.0875209124,36727.7297029066,58032.7999248284,71572.4123403325,82144.4789652587,103869.521448319
"Num Offtake","Juvenile Combined",97149.4638655793,20592.8108555169,51605.3580142724,80588.1906342658,99009.0465110801,113385.604060945,142946.937968466
"Num Offtake","Adult Female",22454.0880822891,611.26217298013,20992.937790242,21967.7437685878,22416.3902202384,22935.242167553,23624.0467562555
"Num Offtake","Adult Male",307290.344914601,13830.3366698907,274263.341298462,296279.478938675,306566.920960711,318113.109817477,333938.63683442
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",18730205.2680954,4471415.23990081,8229698.80632415,15721494.3128537,19033215.5363846,21279297.3269533,31515720.2547843
"Cml Pop Growth","Neonatal Female",6314904.49393185,1593379.22365819,2569391.40543139,5169779.81402945,6283244.04567773,7297416.12859001,11145078.2510608
"Cml Pop Growth","Neonatal Male",6367163.18645562,1593627.46692949,2614994.42980378,5234273.97477769,6336888.20459529,7337903.46383482,11180625.6204323
"Cml Pop Growth","Neonatal Combined",12682067.6803875,3186990.89736126,5184385.83523516,10402814.6225635,12620132.250273,14635319.5924248,22325703.8714931
"Cml Pop Growth","Juvenile Female",2759357.55046432,655588.536250945,1433909.42251098,2347327.03329818,2784565.43676791,3101852.75532983,4407901.01465482
"Cml Pop Growth","Juvenile Male",2719913.35934329,647856.243098129,1410700.24008484,2311312.42860814,2745194.09558514,3057216.87072745,4348910.31906206
"Cml Pop Growth","Juvenile Combined",5479270.90980762,1303439.37385378,2844609.66259581,4658639.46190632,5529759.53235305,6159069.62605728,8756811.33371689
"Cml Pop Growth","Adult Female",392817.772852219,113075.274311855,143675.387331532,302856.818551957,404202.129872712,480587.873144665,645610.471099957
"Cml Pop Growth","Adult Male",176048.905048122,101065.481611226,-43493.4472803678,98531.7234239209,187685.826175178,252016.274626353,404754.722730551
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",19157099.1649579,4496895.74363367,8594011.88993757,16105026.6150238,19488447.1344119,21747041.2049356,31994216.0009172
"Total Number Increase","Neonatal Female",6314904.49393185,1593379.22365819,2569391.40543139,5169779.81402945,6283244.04567773,7297416.12859001,11145078.2510608
"Total Number Increase","Neonatal Male",6367163.18645562,1593627.46692949,2614994.42980378,5234273.97477769,6336888.20459529,7337903.46383482,11180625.6204323
"Total Number Increase","Neonatal Combined",12682067.6803875,3186990.89736126,5184385.83523516,10402814.6225635,12620132.250273,14635319.5924248,22325703.8714931
"Total Number Increase","Juvenile Female",2786308.02791444,660653.772586218,1451525.55581323,2369876.08175124,2811874.01513801,3130371.59324417,4446978.43117497
"Total Number Increase","Juvenile Male",2790112.34575875,661918.5194687,1454955.12217828,2372794.87002402,2816442.02101921,3137421.94435265,4452779.84051038
"Total Number Increase","Juvenile Combined",5576420.3736732,1322569.73705363,2906480.6779915,4743712.91140812,5628316.03615722,6267793.53759682,8899758.27168535
"Total Number Increase","Adult Female",415271.860934509,113670.044391145,164668.325121774,324692.194810086,426556.23554427,503652.214337313,669234.517856212
"Total Number Increase","Adult Male",483339.249962723,114523.427384293,230769.894018094,391907.095426831,494232.763046833,573096.694723697,738693.35956497
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1286117.6161037,257566.153452419,767403.367388436,1118100.67173775,1327329.75180062,1445457.08073977,1928722.32130142
"Total Mortality","Neonatal Female",454454.931569309,103416.03043199,240825.032408271,389222.711934622,462478.330228032,513595.602256032,721923.790910802
"Total Mortality","Neonatal Male",447508.824215356,102280.082667315,243092.084470151,379178.31751442,450811.248918023,508064.997907615,704061.819235976
"Total Mortality","Neonatal Combined",901963.755784665,205354.726615391,483917.116878422,766759.66683181,922348.714579701,1015725.57912484,1425985.61014678
"Total Mortality","Juvenile Female",122556.029177849,24806.9147925617,67744.3263773765,102861.300897593,124651.912387423,140976.082722885,177408.262326316
"Total Mortality","Juvenile Male",114159.695082397,24646.9505354882,59924.2947105305,94142.755565597,117476.992039151,132991.672339114,168135.776741434
"Total Mortality","Juvenile Combined",236715.724260247,49442.6402530803,127668.621087907,197557.514481037,242026.30205526,275021.3297887,345544.03906775
"Total Mortality","Adult Female",87570.9435209275,2383.92247462251,81872.457381944,85674.2006974922,87423.9218589296,89447.4444534569,92133.7823493964
"Total Mortality","Adult Male",59867.1925378582,2694.46613595964,53432.7763020165,57722.0238259271,59726.2529937079,61975.7148554486,65058.8897374959
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",1497963650.33214,467965589.861701,502584320.535673,1128282253.05684,1480235427.32772,1752930815.82869,2794996215.99347
"Population Liveweight (kg)","Neonatal Female",352890079.608113,214338070.713772,14298563.8258482,186578406.322788,336113259.859279,469505800.991483,810136370.076041
"Population Liveweight (kg)","Neonatal Male",351763679.259473,220868564.776967,9661370.29643282,146154717.39223,350415493.137017,511494216.634937,830834175.002084
"Population Liveweight (kg)","Juvenile Female",302514125.738761,173288929.931002,2341082.94612616,158962098.132767,312647180.206744,437991028.293536,816124207.794868
"Population Liveweight (kg)","Juvenile Male",265282986.926251,161267081.53619,5478293.29250791,130148593.526602,262443133.163282,364688536.435323,740714646.059936
"Population Liveweight (kg)","Juvenile Combined",567797112.665012,257698999.06187,44479323.2284484,378816905.31936,534704882.544463,772060454.784467,1448771962.05795
"Population Liveweight (kg)","Adult Female",142375473.91601,86048916.2890182,1420162.61398123,70696951.1150455,139416525.286286,210151836.982495,314396286.322126
"Population Liveweight (kg)","Adult Male",83137304.8835278,49759672.2732705,548694.656335075,48504575.6418399,80071003.418079,124307859.293273,182718400.848351
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",51767151.711285,21552323.6477819,10380133.5958089,32616974.775082,54060168.8003117,68247546.540129,94157053.7580814
"Offtake Liveweight (kg)","Juvenile Female",2317387.02683062,1582007.13133878,23090.5492594603,871046.592505678,2273730.16143092,3399352.11468971,6135154.39366317
"Offtake Liveweight (kg)","Juvenile Male",7152497.73788695,3866430.99899412,305194.492347429,3849208.15359553,7075317.62537714,9957687.99593394,15199519.3967977
"Offtake Liveweight (kg)","Adult Female",2650412.25085492,1616550.15438842,21935.1116098203,1075821.12697652,2674798.3573449,4221829.15681529,5560005.94551343
"Offtake Liveweight (kg)","Adult Male",39646854.6957125,21320692.6456804,1915320.074635,20885200.524261,39544011.82191,56092183.6634646,78281468.3230608
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
