"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",612436.177843742,62868.9853744671,501404.132419451,569555.390680563,617391.468016482,662868.798158347,690899.473861447
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",59149.36235488,11610.7501413071,38277.8351281536,51116.6404419167,60559.7341680165,68428.3982958339,73058.042106444
"Num Offtake","Juvenile Male",153145.06298616,31892.6026673409,95752.8951856273,131061.870447536,157107.774996545,178624.686153919,191242.189336537
"Num Offtake","Juvenile Combined",212294.42534104,43503.3156565901,134030.730313781,182178.510889453,217667.509164561,247053.084449752,264300.231442981
"Num Offtake","Adult Female",46640.9897442124,1456.11149995039,44215.4166928624,45674.8689715299,46600.5086306344,47865.8619308538,48629.3435605163
"Num Offtake","Adult Male",353500.762758489,18066.8738929734,323157.985412807,341566.385323909,353123.450221287,368416.627336653,377969.89885795
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",21602135.3961006,3146935.31248452,16304954.857289,20211254.7315198,21317768.5283929,23638467.6387338,27089978.7058252
"Cml Pop Growth","Neonatal Female",7286245.49884058,1125408.68398818,5757901.29791514,6600460.18092278,7236070.67996344,7761383.46747906,9215128.91772197
"Cml Pop Growth","Neonatal Male",7334392.22367913,1125408.68398818,5806048.02275369,6648606.90576133,7284217.40480199,7809530.19231761,9263275.64256052
"Cml Pop Growth","Neonatal Combined",14620637.7225197,2250817.36797636,11563949.3206688,13249067.0866841,14520288.0847654,15570913.6597967,18478404.5602825
"Cml Pop Growth","Juvenile Female",3163212.61600681,549935.918257667,2126654.47147826,2856975.57945436,3211206.6345258,3579092.70665385,3915392.62601098
"Cml Pop Growth","Juvenile Male",3069329.40806601,533213.500802708,2065236.72266904,2770309.61504502,3118595.53292319,3465477.98539868,3810415.90979448
"Cml Pop Growth","Juvenile Combined",6232542.02407282,1083130.63266797,4191891.1941473,5627285.19449937,6329802.167449,7044570.69205253,7725808.53580546
"Cml Pop Growth","Adult Female",509930.870951049,121752.57886042,290627.7392778,425574.764737547,525323.470939788,607166.791634512,655029.797830584
"Cml Pop Growth","Adult Male",239024.778557009,105573.306851124,47314.5257220601,165398.809712805,251901.438632455,324520.572463535,361955.23845603
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",22214571.5739443,3183484.45126759,16806358.9897084,20801473.6353895,21931490.9157022,24314113.364042,27732714.3704603
"Total Number Increase","Neonatal Female",7286245.49884058,1125408.68398818,5757901.29791514,6600460.18092278,7236070.67996344,7761383.46747906,9215128.91772197
"Total Number Increase","Neonatal Male",7334392.22367913,1125408.68398818,5806048.02275369,6648606.90576133,7284217.40480199,7809530.19231761,9263275.64256052
"Total Number Increase","Neonatal Combined",14620637.7225197,2250817.36797636,11563949.3206688,13249067.0866841,14520288.0847654,15570913.6597967,18478404.5602825
"Total Number Increase","Juvenile Female",3222361.97836169,560756.973344272,2164932.30660642,2911435.55094098,3269809.94506804,3651068.78397089,3981163.09495007
"Total Number Increase","Juvenile Male",3222474.47105217,562903.439539317,2160989.61785467,2910575.69764074,3270152.2525495,3653848.48063617,3981930.73962627
"Total Number Increase","Juvenile Combined",6444836.44941386,1123659.86284883,4325921.92446108,5822011.24858172,6539962.19761754,7304917.26460705,7963093.83457633
"Total Number Increase","Adult Female",556571.860695261,123188.796739863,334843.155970662,471265.836438496,571923.979570422,654979.37417444,703659.1413911
"Total Number Increase","Adult Male",592525.541315499,123393.998415307,370472.511134867,507084.617802967,607857.46278425,691107.416666947,739925.13731398
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",0,0,0,0,0,0,0
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
