"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",523427.861685247,48960.7498752595,380807.310875336,486622.630187658,522017.548176243,556093.514624909,678983.234470679
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",44919.8636226185,8851.3179527725,18464.1186363864,38351.0910620125,44728.544488203,50775.1187781769,73003.4193198254
"Num Offtake","Juvenile Male",116217.302863039,24433.9349361646,43113.3625137351,98147.4383673949,115612.76912114,132321.677394668,193602.623502882
"Num Offtake","Juvenile Combined",161137.166485657,33285.1917345392,61577.4811501215,136497.663536202,160341.313609343,183127.268733233,266606.042822708
"Num Offtake","Adult Female",36410.2337580323,1007.04011939455,33701.7339924001,35672.5898719285,36388.2425108217,37079.8263063851,39580.1040605313
"Num Offtake","Adult Male",325880.461441557,14893.6973504508,285528.095732814,314957.495555255,325617.420284458,335858.842401297,372797.08758744
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",18620979.2345761,4150777.98473146,7147820.2696089,15772182.8268945,18342834.6384049,21310198.5495494,32095343.6577192
"Cml Pop Growth","Neonatal Female",6209476.00831831,1496354.60470788,2321991.5624323,5135945.20825305,6135857.35354792,7192857.75251849,11336313.1746526
"Cml Pop Growth","Neonatal Male",6260873.65773708,1496297.32703022,2378452.49523017,5183893.88084421,6191586.85786084,7241533.47270671,11402707.9013722
"Cml Pop Growth","Neonatal Combined",12470349.6660554,2992636.08874211,4700444.05766246,10320362.68083,12327131.8131609,14434391.2252252,22739021.0760248
"Cml Pop Growth","Juvenile Female",2829729.74559836,629742.043435581,803274.159011984,2373203.17434208,2815583.15153024,3224939.4224773,4939338.63010032
"Cml Pop Growth","Juvenile Male",2758390.45981652,616739.511266112,773533.291127047,2313211.01927961,2744213.89136762,3143269.8242095,4830819.71071974
"Cml Pop Growth","Juvenile Combined",5588120.20541489,1246469.2490891,1576807.45013903,4685610.59887139,5555755.41116645,6368209.2466868,9770158.34082006
"Cml Pop Growth","Adult Female",394225.089617531,112492.513052231,56709.6107056581,311528.643515053,391396.669385341,468641.233911694,750850.783657352
"Cml Pop Growth","Adult Male",168284.273488303,99182.2522817321,-132140.568701081,96560.4798802404,165710.732524316,233082.536504491,481338.878535928
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",19144407.0962614,4185644.24055796,7528627.58048424,16245775.0517309,18879301.3202704,21855310.0890714,32697836.3523131
"Total Number Increase","Neonatal Female",6209476.00831831,1496354.60470788,2321991.5624323,5135945.20825305,6135857.35354792,7192857.75251849,11336313.1746526
"Total Number Increase","Neonatal Male",6260873.65773708,1496297.32703022,2378452.49523017,5183893.88084421,6191586.85786084,7241533.47270671,11402707.9013722
"Total Number Increase","Neonatal Combined",12470349.6660554,2992636.08874211,4700444.05766246,10320362.68083,12327131.8131609,14434391.2252252,22739021.0760248
"Total Number Increase","Juvenile Female",2874649.60922098,638032.911667032,821738.27764837,2409884.07494085,2865860.17091976,3276201.27826296,5006119.74396769
"Total Number Increase","Juvenile Male",2874607.76267956,639621.306306532,816646.653640782,2407615.92412314,2862571.06267923,3277684.51516328,5007565.15222397
"Total Number Increase","Juvenile Combined",5749257.37190055,1277650.96224568,1638384.93128915,4817038.5043109,5730161.22628385,6554903.9389979,10013684.8961917
"Total Number Increase","Adult Female",430635.323375563,113474.245525455,90411.3446980582,347033.544982396,427867.308276007,505778.576506202,790430.887717883
"Total Number Increase","Adult Male",494164.734929859,113701.965436261,153387.527031734,410325.863429032,491345.152092973,568986.867942163,854135.966123369
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",1044346.65475351,200509.020409804,408125.520566736,901614.625102573,1040343.63094748,1169062.18416306,1666684.48168967
"Total Mortality","Neonatal Female",451775.558286602,98252.1034391791,137370.92228537,380417.646846311,448933.686826966,514266.460694201,751614.092376906
"Total Mortality","Neonatal Male",445935.542458262,98083.7171879731,137956.237475458,373911.170093265,444438.421506143,507109.160187994,759018.608422104
"Total Mortality","Neonatal Combined",897711.100744863,195975.797710316,275327.159760828,756223.569340922,894560.563637624,1020473.35625707,1510632.70079901
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",87384.5610192775,2416.89628654693,80884.1615817602,85614.2156926284,87331.7820259721,88991.5831353243,94992.2497452751
