"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",183175.708020118,18.3349989037044,183115.865239993,183163.2648585,183175.438573826,183188.340561506,183230.567102938
"Num Offtake","Neonatal Female",12729.3445967179,2.47860695426718,12721.2516618045,12727.6845414581,12729.3066920894,12731.0468431679,12736.7773010736
"Num Offtake","Neonatal Male",39029.0967355618,13.6143905460705,38984.2164714298,39019.839609337,39028.6964139534,39038.2649144618,39070.0330651416
"Num Offtake","Neonatal Combined",51758.4413322797,16.091002324871,51705.4681332342,51747.5275320748,51758.0076945866,51769.2728965784,51806.8103662152
"Num Offtake","Juvenile Female",43840.8187382059,1.98896953028067,43833.8729999153,43839.4574910559,43840.7884899775,43842.0954196446,43847.5299051517
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",43840.8187382059,1.98896953028067,43833.8729999153,43839.4574910559,43840.7884899775,43842.0954196446,43847.5299051517
"Num Offtake","Adult Female",83899.955726347,0.225963730067301,83899.1266070348,83899.7963491626,83899.9498007727,83900.1013457268,83900.7271528027
"Num Offtake","Adult Male",3676.49222328591,0.157242384114377,3675.9152934094,3676.38122016975,3676.48841942814,3676.59349910267,3677.0284359814
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-28680.6652595791,90.6007175714068,-29016.4116027282,-28746.5826262529,-28684.9306303147,-28618.0509154648,-28396.7230410337
"Cml Pop Growth","Neonatal Female",-14195.5417285285,33.0172336347409,-14312.4677111865,-14218.8162368961,-14196.5837468326,-14173.1457311434,-14077.7583248666
"Cml Pop Growth","Neonatal Male",28699.8169126689,27.5750904405172,28607.8776543381,28680.8836169564,28698.9855740754,28718.9324398121,28802.1705789848
"Cml Pop Growth","Neonatal Combined",14504.2751841403,60.3795501743008,14295.4099431516,14463.2750661518,14501.7202757488,14544.8685704981,14724.4122541183
"Cml Pop Growth","Juvenile Female",-16114.2904042737,16.861386410768,-16170.2863822176,-16125.555674333,-16114.8916211478,-16103.2408662306,-16063.438992064
"Cml Pop Growth","Juvenile Male",36124.8285821797,15.6225836751384,36072.7635419102,36114.5213558247,36124.3646178574,36134.8196173451,36171.8723181057
