"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",179492.155817278,1846.21331993899,175506.443099592,178147.001009666,179366.106179459,180721.464283658,187989.87881424
"Num Offtake","Neonatal Female",13232.1763565778,245.621634350289,12699.6879364977,13052.7725967283,13214.8635763163,13395.0862724361,14361.8064643608
"Num Offtake","Neonatal Male",45620.4914552782,1380.5438818996,42573.344917766,44603.2988191164,45508.4644134766,46520.4634139266,51968.4113000821
"Num Offtake","Neonatal Combined",58852.6678118561,1625.99389116441,55273.0328542637,57652.1454658626,58721.0126816453,59916.9971013826,66330.2177644428
"Num Offtake","Juvenile Female",40581.8590476025,195.126022129995,40180.6459548159,40435.3297817996,40563.3137658874,40703.4035244586,41439.2340503146
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",40581.8590476025,195.126022129995,40180.6459548159,40435.3297817996,40563.3137658874,40703.4035244586,41439.2340503146
"Num Offtake","Adult Female",76390.2414187371,22.243065990628,76348.0630350678,76373.9585211948,76387.8101769926,76403.4150831101,76482.2073720629
"Num Offtake","Adult Male",3667.38753908282,17.1303621773165,3634.90464157216,3654.84617191186,3665.51090165422,3677.53780902508,3738.21962741932
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",145972.268157622,11449.4988003643,118782.202972381,137854.751014124,144804.451231253,153072.106084051,191060.695849416
"Cml Pop Growth","Neonatal Female",31893.9621413594,4190.59773536724,22419.4233164181,28983.8625399545,31529.9140976719,34509.8735950467,47340.2194269069
"Cml Pop Growth","Neonatal Male",64883.6625604301,3591.08917879925,57052.7119148627,62368.0319904743,64510.2445218682,67066.1173297661,78343.2930448718
"Cml Pop Growth","Neonatal Combined",96777.6247017895,7762.70485742473,79472.1352312808,91493.0361114365,96069.1951406645,101589.014431198,125683.512471779
"Cml Pop Growth","Juvenile Female",15213.8656578389,2037.61688903436,10630.1388499286,13712.483241919,15051.152204583,16532.1928230572,24551.2181183865
"Cml Pop Growth","Juvenile Male",55095.5150306102,1906.19320712879,50778.9978986404,53700.0937201598,54947.7060323873,56318.4538061767,63821.2408765357
"Cml Pop Growth","Juvenile Combined",70309.3806884491,3943.61024141185,61409.136748569,67416.2766474288,70000.9831230673,72826.8570598238,88372.4589949222
"Cml Pop Growth","Adult Female",-37315.0835330991,371.988493479563,-38083.6595786464,-37593.1779331616,-37347.2616815315,-37081.1497527907,-35675.5932029925
"Cml Pop Growth","Adult Male",16200.3463004825,370.792216987828,15434.4669838223,15922.8858142802,16168.2220459578,16433.8698682731,17834.6425712972
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",325464.4239749,13063.0329109692,294295.183524231,316360.107574484,324306.406413544,333444.721481012,379050.574663656
"Total Number Increase","Neonatal Female",45126.1384979372,4369.08282327948,35179.959709174,42038.0110813266,44733.382273497,47890.1782361352,61209.9179962688
