"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",96324.0496402115,13.6174501975621,96297.4912798785,96317.9390049831,96321.9549425221,96334.0344011252,96343.4717441823
"Num Offtake","Neonatal Female",6336.37364507324,1.72505469102635,6333.01222002718,6335.58113725468,6336.10722792929,6337.6589853143,6338.84948346821
"Num Offtake","Neonatal Male",21401.4730070601,10.3406273374939,21381.3141304088,21396.6179516405,21399.8918755859,21409.3072666953,21416.3995025998
"Num Offtake","Neonatal Combined",27737.8466521333,12.0655324092932,27714.326350436,27732.1990888952,27735.9991035152,27746.9662520096,27755.248986068
"Num Offtake","Juvenile Female",22360.3951859342,1.28570666436996,22357.9433413201,22359.9812352956,22360.1826491718,22361.1149083456,22362.3043440189
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",22360.3951859342,1.28570666436996,22357.9433413201,22359.9812352956,22360.1826491718,22361.1149083456,22362.3043440189
"Num Offtake","Adult Female",42984.3518651047,0.133393351640951,42984.0920070613,42984.315438866,42984.3364292798,42984.4163731204,42984.5626017604
"Num Offtake","Adult Male",3241.4559370392,0.167374175853996,3241.12958106109,3241.41021558668,3241.43676055522,3241.53686764948,3241.72017879644
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",68510.5520692737,153.911455480019,68216.3399519897,68446.1707334195,68490.1189703033,68639.9190066973,68708.2547573756
"Cml Pop Growth","Neonatal Female",-3930.11945664467,51.6332222530795,-4024.51109458761,-3951.66714176986,-3929.87504003093,-3890.99465415366,-3853.30825932202
"Cml Pop Growth","Neonatal Male",46166.2048363972,46.2507996506662,46083.4718012318,46147.2704288524,46165.9391260362,46201.7205033283,46237.7048880935
"Cml Pop Growth","Neonatal Combined",42236.0853797525,97.8485901368304,42058.9607066442,42195.6032870826,42237.5811051324,42309.967339611,42384.3966287715
"Cml Pop Growth","Juvenile Female",4145.62417459406,26.1664817000927,4094.66517107189,4132.67254615165,4141.67966470773,4166.23846381869,4183.91438079291
"Cml Pop Growth","Juvenile Male",42889.2868479023,25.2353561835826,42840.1279578585,42876.6701301461,42885.5178367396,42909.3309275846,42926.3087321492
"Cml Pop Growth","Juvenile Combined",47034.9110224963,51.4014556278634,46934.7931289304,47009.3426762977,47027.1975014473,47075.5693914033,47110.2231129421
"Cml Pop Growth","Adult Female",-35231.1437215226,4.4169985176161,-35239.549287076,-35232.5833661971,-35231.8918848914,-35228.6438952421,-35224.621755077
"Cml Pop Growth","Adult Male",14470.6993885475,4.49635161426254,14462.1354034913,14469.2380289261,14469.9441352047,14473.2374716027,14477.3458475485
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",164834.601709485,166.976700296886,164513.831231868,164764.999240734,164808.756624638,164977.17707712,165043.183247892
"Total Number Increase","Neonatal Female",2406.25418842856,53.1948171428126,2308.50112543957,2384.03419891318,2405.82480347985,2447.0243621605,2484.46058071528
"Total Number Increase","Neonatal Male",67567.6778434573,55.5677161150429,67464.7859316406,67544.6467168582,67565.90663506,67611.6380851479,67647.6537795578
"Total Number Increase","Neonatal Combined",69973.9320318859,108.754863563917,69773.2870570802,69928.6809157714,69971.7314385399,70058.6624473084,70132.114360273
"Total Number Increase","Juvenile Female",26506.0193605283,27.4160308450765,26452.608512392,26492.6705555115,26501.8623138796,26527.3533721643,26545.9694322975
"Total Number Increase","Juvenile Male",42889.2868479023,25.2353561835826,42840.1279578585,42876.6701301461,42885.5178367396,42909.3309275846,42926.3087321492
"Total Number Increase","Juvenile Combined",69395.3062084306,52.6490152656016,69292.7364702505,69369.3406856576,69387.3801506191,69436.6842997489,69472.2781644467
"Total Number Increase","Adult Female",7753.20814358212,4.54987760286717,7744.54271998526,7751.73207266888,7752.44454438844,7755.77247787833,7759.94084668341
"Total Number Increase","Adult Male",17712.1553255867,4.66310604363968,17703.2649845524,17710.6482445128,17711.3808957599,17714.7743392522,17719.066026345
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",67664.8776712861,9.99879927232881,67645.3931141159,67660.4279046899,67663.3266660307,67672.1581478802,67679.1072817458
"Total Mortality","Neonatal Female",16680.9836489617,4.54133716008821,16672.1344428746,16678.8973120909,16680.2822856472,16684.3674045206,16687.5014811
"Total Mortality","Neonatal Male",8728.88717130678,4.21756807485821,8720.66509426885,8726.90696971254,8728.24228493674,8732.08248260166,8734.9751492411
"Total Mortality","Neonatal Combined",25409.8708202685,8.75868393141751,25392.7995371434,25405.8042818035,25408.5245705839,25416.4498871223,25422.4766303411
"Total Mortality","Juvenile Female",10315.0632554161,0.593108729098438,10313.9321961447,10314.8722960441,10314.9652101834,10315.395270219,10315.943968223
"Total Mortality","Juvenile Male",2196.30726037275,0.578225149411147,2195.20485808449,2196.12038231958,2196.21123107423,2196.63201806727,2197.16418726678
