"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",184391.85859443,18.1143007179235,184337.641332272,184379.382597714,184391.912639922,184404.604757808,184444.536704291
"Num Offtake","Neonatal Female",12733.7744413895,2.44549322924408,12726.4478224924,12732.1055141961,12733.7713420086,12735.5095359579,12740.903612355
"Num Offtake","Neonatal Male",39055.4214595347,13.4612528880477,39015.1892227442,39046.0995674164,39055.4068107181,39065.0429429776,39095.3955625936
"Num Offtake","Neonatal Combined",51789.1959009241,15.9045291370199,51741.6370452366,51778.2299181625,51789.126045412,51800.5837563705,51836.2991749487
"Num Offtake","Juvenile Female",44870.5457886386,1.9756126893552,44864.7403741907,44869.1228644598,44870.5428956791,44871.8908123157,44876.620585907
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",44870.5457886386,1.9756126893552,44864.7403741907,44869.1228644598,44870.5428956791,44871.8908123157,44876.620585907
"Num Offtake","Adult Female",84039.6499869041,0.224972301249596,84038.9163231449,84039.4922473614,84039.6549183928,84039.8051516598,84040.424431484
"Num Offtake","Adult Male",3692.46691796312,0.156609094122767,3691.9556924402,3692.35713577408,3692.47050269177,3692.57491234714,3693.006336355
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-17789.7033536937,92.636865300596,-18073.4730795987,-17849.9849211268,-17790.7427627847,-17727.876360751,-17478.9562226842
"Cml Pop Growth","Neonatal Female",-14021.4112237936,33.8608217205118,-14138.1555275299,-14043.7563333798,-14022.0051352234,-13997.9134598724,-13903.7888240005
"Cml Pop Growth","Neonatal Male",28855.6907765268,28.3586979066624,28752.8432898004,28836.9740895298,28855.18389934,28874.9566007591,28952.8736863895
"Cml Pop Growth","Neonatal Combined",14834.2795527332,62.0188023142639,14614.6877622705,14793.1331085283,14832.7691572705,14877.010464069,15049.084862389
"Cml Pop Growth","Juvenile Female",-9234.9345803941,17.0534009995479,-9285.72894701455,-9246.54795676397,-9234.93690481399,-9222.64328443164,-9183.48572730643
"Cml Pop Growth","Juvenile Male",37900.1703784095,15.8453852770263,37853.1397079147,37889.4533043602,37900.2293163317,37911.5221659852,37948.3068740893
"Cml Pop Growth","Juvenile Combined",28665.2357980154,32.8969435328683,28567.4107609002,28642.9052123482,28665.177986986,28688.9979310878,28764.8211467829
"Cml Pop Growth","Adult Female",-74704.2172665692,3.12467315663522,-74713.2845995063,-74706.4420512997,-74704.2188442172,-74702.0835765147,-74694.7962099052
"Cml Pop Growth","Adult Male",13414.9985621269,3.19048915801099,13405.7435994573,13412.7132413522,13415.0029528307,13417.1747182651,13424.6705815176
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",166602.155240736,108.485784262181,166285.664118503,166530.78706424,166601.075040854,166674.289383079,166956.145578589
"Total Number Increase","Neonatal Female",-1287.63678240411,35.6204947403961,-1408.29060629347,-1311.28131486106,-1288.1194549821,-1263.11718391808,-1164.16008422368
