"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",183177.139578198,18.9385050246829,183120.684604235,183163.990578789,183177.104716443,183190.455841194,183235.43066462
"Num Offtake","Neonatal Female",12729.5377586713,2.55993530427459,12721.9057282776,12727.7626145814,12729.5330715356,12731.3378139993,12737.4446196973
"Num Offtake","Neonatal Male",39030.1414785214,14.0892754790009,38987.7890482523,39020.7760721527,39030.2767882941,39039.9632203112,39074.0651334751
"Num Offtake","Neonatal Combined",51759.6792371927,16.6471665711301,51709.6947765298,51748.5512696288,51759.9054983673,51771.2807522101,51811.5097531724
"Num Offtake","Juvenile Female",43840.9816672668,2.03268760758067,43834.4761390393,43839.5431270815,43841.033329573,43842.3970297398,43847.3033089489
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",43840.9816672668,2.03268760758067,43834.4761390393,43839.5431270815,43841.033329573,43842.3970297398,43847.3033089489
"Num Offtake","Adult Female",83899.9738478674,0.231748837279532,83899.2038822121,83899.8176207119,83899.9860173133,83900.1314092806,83900.7029709339
"Num Offtake","Adult Male",3676.50482587067,0.161287590106276,3675.96895900451,3676.3960732451,3676.51342333863,3676.61430230861,3677.01179973998
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-28674.4001257585,96.9764235594528,-28980.6369379716,-28739.4816401829,-28675.8015542539,-28615.2015230701,-28327.8480406512
"Cml Pop Growth","Neonatal Female",-14193.6195890267,35.385331664842,-14303.8569000355,-14217.9375332723,-14193.1453553808,-14170.6972393974,-14056.1898352402
"Cml Pop Growth","Neonatal Male",28701.2115722489,29.4088935666018,28615.3077585188,28681.5105918,28700.9487319436,28721.5352937892,28817.2113484922
"Cml Pop Growth","Neonatal Combined",14507.5919832222,64.6054178122543,14311.4508584833,14463.9421542108,14507.6456678376,14551.024781176,14761.021513252
"Cml Pop Growth","Juvenile Female",-16113.0243374772,17.4824099342398,-16165.8770615775,-16124.6553083977,-16112.9090334912,-16100.7902940646,-16057.8951267835
"Cml Pop Growth","Juvenile Male",36125.9904339678,16.2171683185967,36076.8197645981,36115.3576263948,36126.0004621054,36137.4084789748,36177.199176193
"Cml Pop Growth","Juvenile Combined",20012.9660964905,33.6977450069401,19910.9427030206,19990.7140178413,20012.9769028778,20036.5904047126,20119.3040494095
"Cml Pop Growth","Adult Female",-76285.3927189874,3.21360491255023,-76295.5911898113,-76287.686791973,-76285.3482165686,-76283.1743634792,-76275.447370776
"Cml Pop Growth","Adult Male",13090.4345135162,3.27987314864032,13080.0017898704,13088.091063415,13090.4688892841,13092.6953407613,13100.594938034
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",154502.739452439,113.766925268127,154143.187740391,154427.601069209,154500.76728513,154573.71442402,154890.765962916
"Total Number Increase","Neonatal Female",-1464.08183035546,37.3036234171278,-1581.06897670077,-1489.01935350929,-1464.32713362356,-1440.42136750919,-1321.01334349214
"Total Number Increase","Neonatal Male",67731.3530507703,39.986786864699,67606.6757839915,67704.7105996189,67731.0456343455,67755.7414319818,67880.1668953123
"Total Number Increase","Neonatal Combined",66267.2712204149,77.2310197380616,66025.6068072907,66216.0260803809,66266.1901606123,66314.4567636738,66559.1535518201
"Total Number Increase","Juvenile Female",27727.9573297896,19.3857495050387,27669.6079029474,27715.1491444676,27728.2538754226,27741.5579557652,27788.6570587074
"Total Number Increase","Juvenile Male",36125.9904339678,16.2171683185967,36076.8197645981,36115.3576263948,36126.0004621054,36137.4084789748,36177.199176193
"Total Number Increase","Juvenile Combined",63853.9477637573,35.5874343813663,63746.4276675455,63830.2202436297,63854.2752377203,63878.7592310299,63965.8562349004
"Total Number Increase","Adult Female",7614.58112888,3.4391818337235,7603.61269240074,7612.12323792479,7614.64120369276,7616.96623457152,7625.25560015786
"Total Number Increase","Adult Male",16766.9393393868,3.43695856775344,16755.9707488749,16764.4908941881,16767.004845809,16769.322644383,16777.606737774
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",63380.1424558238,6.9035172827969,63359.6426963826,63375.359375611,63380.1058670115,63384.9038759061,63401.3165174344
"Total Mortality","Neonatal Female",16085.5068041391,3.23482733903782,16075.8626930053,16083.2636675165,16085.5008813041,16087.7814195083,16095.4982012538
"Total Mortality","Neonatal Male",7641.11220494996,2.75832294588891,7632.82067282685,7639.2786958158,7641.13869517308,7643.03505299051,7649.71134303245
"Total Mortality","Neonatal Combined",23726.6190090891,5.99174531424887,23708.6833658321,23722.5572774235,23726.6566293576,23730.7766702167,23745.2095442863
"Total Mortality","Juvenile Female",9707.64594060908,0.450095113107077,9706.20543078726,9707.32740671091,9707.65738011973,9707.95934229952,9709.04573269582
"Total Mortality","Juvenile Male",2079.10047808397,0.426182862401428,2077.74037286049,2078.79687087932,2079.10860088032,2079.39600790349,2080.42323548397
"Total Mortality","Juvenile Combined",11786.746418693,0.876268547019905,11783.9458036478,11786.1243835811,11786.7646330843,11787.3536697771,11789.4689681798
"Total Mortality","Adult Female",27866.7770280417,0.0769737209534504,27866.521289449,27866.7251383079,27866.7810700362,27866.8293609396,27867.0192010602
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1111336162.2301,79865.981321049,1111100569.2031,1111280410.12915,1111335922.77796,1111390492.57343,1111578858.32154
"Value of Total Mortality","Neonatal Female",178806493.634811,35958.3407007441,178699289.695447,178781558.928114,178806427.796576,178831778.259254,178917558.005138
"Value of Total Mortality","Neonatal Male",73209496.0356256,26427.4921445616,73130054.866354,73191929.1846112,73209749.8384533,73227918.842702,73291884.3775939
"Value of Total Mortality","Neonatal Combined",252015989.670436,62371.4582721404,251829344.561801,251973603.205136,252016273.100603,252059351.746424,252209442.382731
"Value of Total Mortality","Juvenile Female",164428106.942037,7623.71102580772,164403707.586675,164422711.614869,164428300.704468,164433415.339869,164451816.620402
"Value of Total Mortality","Juvenile Male",42920950.2695654,8798.11901141511,42892872.2573319,42914682.6024326,42921117.9565733,42927051.1871597,42948257.2733311
"Value of Total Mortality","Juvenile Combined",207349057.211602,16421.6541159363,207296579.844007,207337397.58802,207349390.834669,207360443.869104,207400073.893733
"Value of Total Mortality","Adult Female",651971115.348063,1800.87717542749,651965132.087949,651969901.335851,651971209.914567,651972339.728543,651976781.228004
"Value of Total Mortality","Adult Male",0,0,0,0,0,0,0
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",127489773.321117,45438334.5583151,28823466.5934008,91841054.2719074,127242369.065439,163138669.412587,233116229.277123
"Population Liveweight (kg)","Neonatal Female",8029270.99757488,4465712.97369399,106650.624453429,4267180.08992003,8109746.81305127,11661069.1091502,15689451.3717021
"Population Liveweight (kg)","Neonatal Male",4747138.94003453,2713417.50955158,63230.0591615291,2338456.53393237,4868885.95620723,7086746.38394769,9303077.66053265
"Population Liveweight (kg)","Juvenile Female",27337670.405641,16082397.1839982,147778.440859528,13300599.5532342,27042178.1413634,40825747.3020363,55427571.5329593
"Population Liveweight (kg)","Juvenile Male",10014594.527097,5792559.54159051,53784.1672432939,4571261.22589838,10111136.3813498,15030670.985746,20179056.6890209
"Population Liveweight (kg)","Juvenile Combined",37352264.932738,17107111.6406153,1316538.92610989,24128509.3714809,37067480.7756113,50369475.1856037,74943473.0549919
"Population Liveweight (kg)","Adult Female",69805058.7053787,41475568.9480607,260965.316427923,33338481.4813951,68765245.5458663,105430680.658622,143533031.330123
"Population Liveweight (kg)","Adult Male",7556039.7453908,4319816.23821684,27501.0066206141,3789066.92610578,7535055.53680617,11357738.8560373,15129742.6253203
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",32702371.6437367,14357611.135184,1858933.33670068,21149292.3816109,31998555.3979998,44780203.1894504,64271838.292465
"Offtake Liveweight (kg)","Juvenile Female",8326889.92422091,4658693.42656365,43841.6442941969,4461042.08035635,8242060.69295289,12275612.4333347,16440828.1709434
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",23344328.2975707,13376671.3748247,83899.8379104798,11976799.1084973,23743670.1210971,34734739.6198446,46145074.414039
"Offtake Liveweight (kg)","Adult Male",1031153.4219451,579214.23786912,3676.60855596222,528474.489642889,1036777.29678915,1522085.25132531,2022176.00277476
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",108292399.713471,15191881.9956415,57394696.5648367,98564353.4975926,108395135.506557,118706098.622165,153308492.507344
"Manure","Overall",334206058.47739,12072308.1928971,297573364.282263,326233113.647802,334412317.66491,342350557.906471,367922458.055049
"Manure","Neonatal Female",26774417.0652985,680910.151099449,24287738.3493409,26318313.0652106,26774873.7161438,27229764.5937024,28898029.5983766
"Manure","Neonatal Male",13410761.5867431,343433.997893297,12154462.310349,13195209.6679655,13400249.4554388,13634843.7216786,14671490.5564485
"Manure","Neonatal Combined",40185178.6520415,767423.788697809,37716323.7857662,39681383.6048622,40212314.7151438,40698050.9594671,42548781.1690191
"Manure","Juvenile Female",64392969.8519168,2120786.26654353,56912602.0204345,62898167.5277824,64353713.0192709,65827062.0468989,70668807.210265
"Manure","Juvenile Male",15138650.2336799,510467.589485616,13474397.9017183,14812747.4746067,15147445.9602783,15484036.0839754,16899810.9768041
"Manure","Juvenile Combined",79531620.0855967,2179192.9055557,71805774.4711853,78060489.5137782,79447648.8912745,81012103.1513042,86214101.9196777
"Manure","Adult Female",200716502.042082,11915548.4541746,164763736.67159,193316876.586324,200721232.594844,208138431.216417,235906808.811613
"Manure","Adult Male",13772757.6976695,855481.334181857,10883640.1106833,13192446.5069865,13758937.3793901,14357126.6245532,16329425.872745
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",19826.7617233674,0.475798152765329,19825.2335465484,19826.429859616,19826.7756277593,19827.0958820893,19828.24408462
"Hides","Juvenile Female",4853.82297030454,0.225047556553538,4853.10271539363,4853.66370335546,4853.82869005987,4853.97967114976,4854.52286634791
"Hides","Juvenile Male",1039.55023904198,0.213091431200714,1038.87018643024,1039.39843543966,1039.55430044016,1039.69800395175,1040.21161774199
"Hides","Juvenile Combined",5893.37320934652,0.438134273509952,5891.97290182388,5893.06219179054,5893.38231654217,5893.67683488857,5894.7344840899
"Hides","Adult Female",13933.3885140208,0.0384868604767252,13933.2606447245,13933.3625691539,13933.3905350181,13933.4146804698,13933.5096005301
"Hides","Adult Male",0,0,0,0,0,0,0
"Hides","Oxen",0,0,0,0,0,0,0
"Milk","Overall",906445832.547403,51049457.0341615,751216229.450393,871466354.91895,906131379.033181,940460878.401202,1070187137.88305
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",1308769322.45002,129468154.972573,928867511.179373,1222869001.45479,1312076615.9301,1400730330.23793,1705123838.11395
"Cml Dry Matter","Neonatal Female",82553683.1112982,9938228.3597289,54852908.0382664,75709065.5947867,82518226.9846868,89259992.80442,110014700.452365
"Cml Dry Matter","Neonatal Male",41231520.210437,5033362.45365878,27714280.641628,37675709.288645,41061877.3046063,44649262.8353533,58317620.4137595
"Cml Dry Matter","Neonatal Combined",123785203.321735,11326656.043382,89567491.1903146,116018130.599837,123549781.354801,131181038.554542,163185919.619606
"Cml Dry Matter","Juvenile Female",279278749.815535,41802242.2368316,148756506.448145,250989639.988983,279950247.474913,307956591.341225,401146753.82611
"Cml Dry Matter","Juvenile Male",66171388.3880047,10473573.7395746,35263542.8931773,59222237.0965031,66345001.8908509,73595447.8517333,98539209.173995
"Cml Dry Matter","Juvenile Combined",345450138.203539,43440960.6304361,191943221.565281,317167633.257458,347076794.579571,374339484.423526,479325102.244355
"Cml Dry Matter","Adult Female",785195123.221698,119810890.664276,458488765.333416,699990680.385669,790571563.296015,868792680.293637,1128514035.03506
"Cml Dry Matter","Adult Male",54338857.7030523,8629618.12415551,31416239.0591101,48469411.3680436,54212851.8514137,60047996.5378529,84110773.7043864
"Cml Dry Matter","Oxen",0,0,0,0,0,0,0
"Value of Offtake","Overall",2846400706.57154,45836.4117420225,2846251965.25617,2846369281.2609,2846402900.72411,2846432978.6029,2846544270.36818
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",742578547.480165,34429.6626972008,742468356.843047,742554181.486507,742579422.536307,742602520.889732,742685623.446976
"Value of Offtake","Juvenile Male",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Combined",742578547.480165,34429.6626972008,742468356.843047,742554181.486507,742579422.536307,742602520.889732,742685623.446976
