"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",129111.890260193,13.454876392675,129078.588501055,129104.18379246,129112.017660231,129120.656152636,129147.470053506
"Num Offtake","Neonatal Female",8686.5622760587,1.7414655699969,8682.20925615651,8685.56563964175,8686.61498242016,8687.74114270071,8691.15559204644
"Num Offtake","Neonatal Male",28328.5361410039,10.0989903884933,28302.9090513371,28322.8594255551,28329.0257157676,28335.594277548,28354.9516157562
"Num Offtake","Neonatal Combined",37015.0984170626,11.8396719012505,36985.1183074936,37008.4208188208,37015.6323452312,37023.3019770819,37046.1072078026
"Num Offtake","Juvenile Female",30384.1206746313,1.40669448125255,30381.3032328951,30383.2698546572,30384.0882928547,30384.9820340802,30387.9005136655
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",30384.1206746313,1.40669448125255,30381.3032328951,30383.2698546572,30384.0882928547,30384.9820340802,30387.9005136655
"Num Offtake","Adult Female",58313.207378949,0.163831497989001,58312.88874406,58313.0996827134,58313.2115051444,58313.2972428473,58313.6269170922
"Num Offtake","Adult Male",3399.46378955027,0.156426307198976,3399.15961247465,3399.3603665921,3399.46832346149,3399.54935292179,3399.8644083129
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",31965.1773455131,109.151235369908,31665.6915359991,31896.1310537178,31959.7898489832,32040.0652746618,32200.3687699101
"Cml Pop Growth","Neonatal Female",-7711.85067780581,39.9120207294532,-7815.25390559739,-7736.03186257058,-7713.76999205528,-7681.3951471901,-7634.69333492905
"Cml Pop Growth","Neonatal Male",39396.2475555755,35.563242889819,39308.1755243022,39372.3331079533,39395.9911233876,39424.1290735279,39466.8581704459
"Cml Pop Growth","Neonatal Combined",31684.3968777697,75.3850026191527,31492.9216187048,31635.7215662868,31682.6082947208,31744.2354984057,31832.1648355168
"Cml Pop Growth","Juvenile Female",-3408.90490235558,18.4596338304524,-3456.96431083782,-3418.6657272134,-3407.86011666989,-3396.35417917302,-3361.42862966249
"Cml Pop Growth","Juvenile Male",40335.1707174558,17.5411939133216,40289.2492370029,40326.1800936417,40335.7623984791,40346.9188169622,40380.0017567543
"Cml Pop Growth","Juvenile Combined",36926.2658151003,35.9996711663972,36832.2849261651,36907.5143664283,36927.7810321394,36950.5646377891,37018.5731270918
"Cml Pop Growth","Adult Female",-50607.0974463738,3.40720730900271,-50614.0597141903,-50609.0400034777,-50607.1560937262,-50604.9870329458,-50597.8896590984
"Cml Pop Growth","Adult Male",13961.612099017,3.47651422266264,13954.5447053195,13959.5929003709,13961.5459025128,13963.7556988184,13970.9913531263
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",161077.067605706,120.76381636844,160744.280037054,160994.392810906,161077.310318299,161161.251898587,161347.838823417
"Total Number Increase","Neonatal Female",974.711598252896,41.1600106485366,866.955350559116,949.889063193898,972.748777098099,1005.9999623653,1054.3692139381
"Total Number Increase","Neonatal Male",67724.7836965794,42.8406635814677,67611.0845756393,67698.6817360015,67722.0770337426,67755.894797376,67808.7426423726
"Total Number Increase","Neonatal Combined",68699.4952948323,83.9684491363241,68478.0399261984,68647.1894244665,68694.6832218639,68762.3851896292,68863.1118563107
"Total Number Increase","Juvenile Female",26975.2157722757,19.7596813394559,26924.3389220573,26964.2292543,26976.6685939309,26988.9840690459,27026.471884003
"Total Number Increase","Juvenile Male",40335.1707174558,17.5411939133216,40289.2492370029,40326.1800936417,40335.7623984791,40346.9188169622,40380.0017567543
"Total Number Increase","Juvenile Combined",67310.3864897316,37.2919018152229,67213.5881590602,67290.4093479417,67312.8015005113,67335.9977439052,67406.4736407574
"Total Number Increase","Adult Female",7706.10993257522,3.56631585392227,7698.88946027448,7704.01318668131,7706.03887554931,7708.30728994278,7715.72274450292
"Total Number Increase","Adult Male",17361.0758885672,3.62857356587771,17353.7624915212,17358.9089420737,17360.9977139385,17363.3020978742,17370.8412815632
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",66081.1127576218,7.21310758104341,66063.3648090334,66076.989341162,66081.1266001153,66085.6787302488,66100.2445440278
"Total Mortality","Neonatal Female",16464.9839505295,3.30086883040303,16456.7329991694,16463.0948715028,16465.0838530419,16467.2184386645,16473.6903721971
"Total Mortality","Neonatal Male",8319.01378225256,2.96568943098721,8311.48808056871,8317.34674680034,8319.15755174303,8321.08648854755,8326.77100265516
"Total Mortality","Neonatal Combined",24783.997732782,6.26573362519008,24768.2210797381,24780.4335694903,24784.2255721353,24788.2415372095,24800.4613748523
"Total Mortality","Juvenile Female",10091.8686526454,0.467223524130378,10090.9328594973,10091.5860588683,10091.8578972696,10092.1547470338,10093.1240991818
