"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",153574.040837024,16.4568597989648,153534.639382066,153564.244867931,153573.677487488,153584.58886644,153612.621886797
"Num Offtake","Neonatal Female",10828.8387979057,2.17977855702133,10823.6473239655,10827.5697480991,10828.7848635719,10830.223703435,10833.9386271595
"Num Offtake","Neonatal Male",34141.6799987427,12.4108447279363,34112.5395161527,34134.3037805503,34141.5370051424,34150.2018504723,34170.4315673437
"Num Offtake","Neonatal Combined",44970.5187966483,14.5893273043994,44936.1868401183,44961.9110249145,44970.2561936556,44980.4089861635,45004.3701945033
"Num Offtake","Juvenile Female",36233.8688449001,1.66138349291758,36229.6570761817,36232.7794368314,36233.7966700124,36235.0855827946,36237.8472595915
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",36233.8688449001,1.66138349291758,36229.6570761817,36232.7794368314,36233.7966700124,36235.0855827946,36237.8472595915
"Num Offtake","Adult Female",68848.5568592002,0.186200783393011,68848.0867032962,68848.4410602094,68848.5614956639,68848.684143198,68848.9827815827
"Num Offtake","Adult Male",3521.09633627493,0.153481679057016,3520.7087624702,3521.001474421,3521.0998314389,3521.20051611424,3521.44798105879
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",29162.6405223403,106.263893357446,28948.5445401812,29089.5420958719,29151.5661801185,29239.2885073607,29378.9872570204
"Cml Pop Growth","Neonatal Female",-175.138121654028,38.3487370997159,-268.410729931551,-201.230512572638,-177.239124272273,-147.780613065024,-81.5380873588292
"Cml Pop Growth","Neonatal Male",39458.4154702638,32.8152910407205,39371.2222479776,39437.9153965505,39457.4767417829,39482.1677353567,39543.3895696207
"Cml Pop Growth","Neonatal Combined",39283.2773486097,70.9943481195316,39102.8115180461,39242.4736738015,39281.360769418,39334.1665150262,39461.8514822618
"Cml Pop Growth","Juvenile Female",-4087.07130342865,19.2927334570458,-4131.28652988313,-4098.85907796817,-4086.52992707766,-4073.47565525634,-4043.07867125052
"Cml Pop Growth","Juvenile Male",40540.9161885723,18.1340200236225,40499.7058027337,40529.7694783651,40541.5805032384,40553.9022528521,40581.9803881033
"Cml Pop Growth","Juvenile Combined",36453.8448851437,37.4251369639152,36368.4192728506,36430.910400397,36455.1410139403,36480.5779226124,36538.9017168528
"Cml Pop Growth","Adult Female",-60462.3492172288,3.3400877955851,-60470.7852878023,-60464.5006245477,-60462.5270719199,-60459.8746106467,-60454.314916866
"Cml Pop Growth","Adult Male",13887.8675058157,3.39746353736859,13879.275292527,13885.6980548593,13887.6874346628,13890.384388403,13896.0290809274
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",182736.681359364,120.749492364818,182509.254083927,182649.6144516,182726.035866272,182822.116988526,182985.627738661
"Total Number Increase","Neonatal Female",10653.7006762516,39.9570556404096,10558.7736043877,10626.3658866105,10650.6585797554,10682.0438230849,10748.9694363134
"Total Number Increase","Neonatal Male",73600.0954690065,41.8828846929764,73503.2902333392,73571.8630819195,73597.0850069707,73631.4162938717,73695.6679316234
"Total Number Increase","Neonatal Combined",84253.7961452581,81.805873289053,84062.0638377269,84198.2289685299,84246.7369416366,84313.3763263809,84444.6373679368
"Total Number Increase","Juvenile Female",32146.7975414715,20.8342791869451,32098.3705462986,32134.230544544,32147.069379995,32161.4255594848,32194.768588341
"Total Number Increase","Juvenile Male",40540.9161885723,18.1340200236225,40499.7058027337,40529.7694783651,40541.5805032384,40553.9022528521,40581.9803881033
"Total Number Increase","Juvenile Combined",72687.7137300438,38.9565152562687,72598.0763490323,72664.0000229091,72688.6421351633,72714.9100738284,72776.7489764443
"Total Number Increase","Adult Female",8386.20764197138,3.51914726349338,8377.30141549383,8383.94442190152,8386.01982046935,8388.79256345283,8394.6540791627
"Total Number Increase","Adult Male",17408.9638420906,3.54518677703141,17399.9840549972,17406.6660065719,17408.7756517706,17411.553920648,17417.464517601
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",40772.1742677113,0.974329554026396,40769.699818042,40771.5213650947,40772.135362266,40772.8985203019,40774.5006302064
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",10029.0172695706,0.459847216789559,10027.8515121574,10028.7157369801,10028.9972925927,10029.3540452378,10030.1184379226
"Total Mortality","Juvenile Male",2158.71151641924,0.439603160351827,2157.59802281965,2158.42658481492,2158.68818081956,2159.03268616035,2159.76560018252
"Total Mortality","Juvenile Combined",12187.7287859898,0.899439609373912,12185.4495349771,12187.142321795,12187.6853623716,12188.3842492823,12189.8840381052
"Total Mortality","Adult Female",28584.4454817215,0.0773065752477124,28584.2502830649,28584.3974044619,28584.4474066819,28584.4983273099,28584.6223155678
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",141739481.044523,47716837.4901499,45399325.6027822,104860855.857344,139782160.843906,181527348.896193,253196054.412896
"Population Liveweight (kg)","Neonatal Female",8950688.29517173,4900325.92171021,844846.093137735,4920072.8053016,9235174.61135288,13155970.5949851,17625701.1350534
"Population Liveweight (kg)","Neonatal Male",5227440.99086642,3061488.69912454,73974.7864193501,2498211.0922073,4996468.7970933,8160955.16484236,10656231.4176175
"Population Liveweight (kg)","Juvenile Female",28570245.9845324,18589544.2625023,319588.85956634,10788038.1016534,28283951.6339963,44262890.3142105,58485928.4740393
"Population Liveweight (kg)","Juvenile Male",10542402.5626363,5800484.99486855,116379.766454655,5342038.3582349,10860232.4565862,14771824.1186185,21815472.458628
"Population Liveweight (kg)","Juvenile Combined",39112648.5471687,19280603.3423558,6047479.68870916,21695106.8290472,38657542.7264285,57050365.5454646,75945177.1826621
"Population Liveweight (kg)","Adult Female",79965220.5531868,40264348.0857708,2767862.70556982,47470139.6671748,83038306.6701929,112794251.488606,151684753.107631
"Population Liveweight (kg)","Adult Male",8483482.65812967,4384406.01192552,339638.608685446,4606311.29471485,9239334.09650752,11864809.1682282,15366681.793537
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",26355561.2891851,10710359.3812604,5808943.37877894,15391264.427011,26309537.5952059,35152480.6876297,45740193.1310214
"Offtake Liveweight (kg)","Juvenile Female",6537355.16201545,3819656.70196121,72464.3564371995,3469402.69637672,6576702.17411623,9991443.70273599,13587040.6926875
"Offtake Liveweight (kg)","Juvenile Male",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Adult Female",18803916.5763685,10766660.5628418,275394.458149917,9001952.24666205,20103796.4258601,27745976.6443098,37453481.1021157
"Offtake Liveweight (kg)","Adult Male",1014289.5508011,545619.679608657,7041.87724459994,592408.166380712,1066924.358957,1437582.59509501,1929536.08998992
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",88499923.5788399,10208785.6523911,59224313.1048651,83218671.8403288,88944611.2366765,95340307.9950449,111625836.05502
"Manure","Overall",345339965.232287,13066868.3990495,309914955.416291,336255789.324915,346821814.810563,355497252.946359,374799685.865941
"Manure","Neonatal Female",28806187.9098371,751379.166225452,27002117.2640303,28350491.8870971,28725601.4477062,29344014.5918119,30532648.2037669
"Manure","Neonatal Male",14788968.7662746,370666.190692849,13967683.3468304,14527805.1955622,14817068.8879821,15027909.420702,15695180.5510263
"Manure","Neonatal Combined",43595156.6761116,825528.569763908,41832290.1805639,43037676.5554021,43526502.907765,44187211.6759908,46131592.3578963
"Manure","Juvenile Female",66515112.3485745,1963046.86972402,62134170.4101699,65022049.8616747,66190527.5056359,68140764.1056476,71070734.7294668
"Manure","Juvenile Male",15815094.3409001,547391.645606086,14264431.0891901,15471309.6049495,15867578.1141706,16180741.5928103,17157633.2081176
"Manure","Juvenile Combined",82330206.6894746,2116633.47887747,77918207.927688,80743057.7020833,81941121.9559001,83935040.5681705,87223708.7956551
"Manure","Adult Female",205538367.296267,12789256.4892477,170791436.487139,198271823.47321,207021281.199917,214136854.647074,236140009.659137
"Manure","Adult Male",13876234.5704332,870893.198867455,11929947.7814863,13248302.1545544,13864942.437196,14404045.5644198,16171649.8263631
"Manure","Oxen",0,0,0,0,0,0,0
"Hides","Overall",20386.0871338557,0.487164777013198,20384.849909021,20385.7606825474,20386.067681133,20386.4492601509,20387.2503151032
"Hides","Juvenile Female",5014.50863478529,0.229923608394779,5013.92575607872,5014.35786849006,5014.49864629636,5014.6770226189,5015.05921896132
"Hides","Juvenile Male",1079.35575820962,0.219801580175914,1078.79901140983,1079.21329240746,1079.34409040978,1079.51634308017,1079.88280009126
