"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",183176.080150316,18.2067341847106,183125.460647613,183163.523269387,183175.74463446,183188.239732185,183235.557275787
"Num Offtake","Neonatal Female",12729.394955849,2.46113224433672,12722.5540801332,12727.7026885379,12729.3446897529,12731.0425060534,12737.4360028088
"Num Offtake","Neonatal Male",39029.3450737735,13.5218668045714,38991.2714197089,39020.0296051398,39029.2234877375,39038.4114747589,39073.5375015235
"Num Offtake","Neonatal Combined",51758.7400296225,15.9807759662561,51713.8254998421,51747.6244351213,51758.5585539364,51769.4378947888,51810.9735043323
"Num Offtake","Juvenile Female",43840.8806978785,1.98319220317809,43835.7754604779,43839.4571330947,43840.8179380587,43842.3611392151,43847.0297220371
"Num Offtake","Juvenile Male",0,0,0,0,0,0,0
"Num Offtake","Juvenile Combined",43840.8806978785,1.98319220317809,43835.7754604779,43839.4571330947,43840.8179380587,43842.3611392151,43847.0297220371
"Num Offtake","Adult Female",83899.9625023483,0.227307096808548,83899.2785370323,83899.7976283693,83899.9525883245,83900.1200815049,83900.6190526229
"Num Offtake","Adult Male",3676.49692046649,0.158196762221703,3676.02013454572,3676.38250084317,3676.48976527248,3676.60661990888,3676.95384127983
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-28681.6890514648,93.2107302728461,-28982.0569925505,-28742.6274498947,-28683.5048560395,-28618.1981124305,-28386.0545838694
"Cml Pop Growth","Neonatal Female",-14196.3670367284,34.4319772120665,-14303.4945644385,-14218.921259943,-14197.0002320288,-14173.6978320019,-14089.9247822247
"Cml Pop Growth","Neonatal Male",28698.9166808456,28.9380558161481,28613.2664940337,28678.9420578371,28698.9695365585,28717.7882057461,28789.9488484706
"Cml Pop Growth","Neonatal Combined",14502.5496441173,63.1744049792602,14309.7719295951,14461.0306733928,14501.4591098187,14544.2844205485,14700.0240662458
"Cml Pop Growth","Juvenile Female",-16114.0189155779,16.7558882671895,-16161.6536147134,-16125.4804704029,-16114.2376210379,-16103.1885128939,-16059.4094827474
"Cml Pop Growth","Juvenile Male",36125.0607509645,15.5307873764128,36080.6655061746,36114.5744125274,36124.7821636779,36134.944356332,36175.5893147923
"Cml Pop Growth","Juvenile Combined",20011.0418353866,32.2846535466724,19919.0118914611,19989.2228162751,20010.5564702572,20031.7072272245,20116.1798320449
"Cml Pop Growth","Adult Female",-76285.5521190841,3.13352476026053,-76293.6365080654,-76287.8213476614,-76285.6503525436,-76283.2337808325,-76275.7615580281
"Cml Pop Growth","Adult Male",13090.2715881154,3.19849282141654,13082.0230102861,13087.9428116752,13090.167152236,13092.6466387378,13100.2447576189
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",154494.391098851,109.033293681819,154143.403655062,154419.558190688,154492.062827892,154567.993300163,154849.502691917
"Total Number Increase","Neonatal Female",-1466.9720808794,36.190243674522,-1580.94048430539,-1490.66501024846,-1467.91319848058,-1442.90344570047,-1356.25983047286
"Total Number Increase","Neonatal Male",67728.2617546191,38.6346654627006,67604.5379137426,67702.7884486697,67726.6331122228,67754.1624171096,67845.9282488026
"Total Number Increase","Neonatal Combined",66261.2896737397,74.7608470398547,66023.5974294372,66213.1870852378,66257.5855550134,66311.8697104202,66487.5688154644
"Total Number Increase","Juvenile Female",27726.8617823007,18.6002468461081,27674.386914011,27714.0791703981,27726.81305648,27739.1934163803,27787.6202392897
"Total Number Increase","Juvenile Male",36125.0607509645,15.5307873764128,36080.6655061746,36114.5744125274,36124.7821636779,36134.944356332,36175.5893147923
"Total Number Increase","Juvenile Combined",63851.9225332652,34.1140834184339,63755.0524201855,63828.4918735114,63851.5650232741,63874.3219759982,63963.209554082
"Total Number Increase","Adult Female",7614.41038326422,3.35458871599339,7605.76578146123,7611.98097622718,7614.31104755805,7616.90089841591,7624.84677231395
"Total Number Increase","Adult Male",16766.7685085819,3.35244000791511,16758.1302986266,16764.3559283618,16766.6660371788,16769.2708886302,16777.1904766941
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",63379.7587802653,6.64192327054203,63361.4012324922,63375.16636182,63379.6192737819,63384.2594421482,63401.4398974236
"Total Mortality","Neonatal Female",16085.3263533001,3.10997619966188,16076.6819739864,16083.1879427888,16085.2628352332,16087.4082576492,16095.4873126402
"Total Mortality","Neonatal Male",7640.95628909086,2.64723871244429,7633.50243287259,7639.1325564992,7640.93248562748,7642.73126055139,7649.60804607292
"Total Mortality","Neonatal Combined",23726.2826423909,5.75568802334579,23710.184406859,23722.2872180059,23726.1949421404,23730.163532063,23745.0953587131
"Total Mortality","Juvenile Female",9707.62358310167,0.439135416417998,9706.49313767726,9707.30836518526,9707.60968628442,9707.95139511192,9708.98515273679
"Total Mortality","Juvenile Male",2079.07929506415,0.415702560981467,2078.0081570297,2078.78013511686,2079.06658861016,2079.38959019015,2080.37161911007
"Total Mortality","Juvenile Combined",11786.7028781658,0.854828382479554,11784.501294707,11786.0871982992,11786.6758803942,11787.3444336169,11789.3567718469
"Total Mortality","Adult Female",27866.7732597085,0.0754984285829244,27866.5460855143,27866.7184979941,27866.7699668364,27866.8255984998,27866.9913281926
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",1111331758.35108,76931.8426776129,1111121116.66355,1111277775.04476,1111330173.1809,1111384222.76856,1111582359.67224
"Value of Total Mortality","Neonatal Female",178804487.743284,34570.4954354418,178708396.822833,178780717.17204,178803781.676452,178827630.192029,178917436.967308
"Value of Total Mortality","Neonatal Male",73208002.2057796,25363.1941039285,73136586.8093523,73190529.0238188,73207774.1447969,73225008.2073429,73290894.6894246
"Value of Total Mortality","Neonatal Combined",252012489.949063,59918.0685977088,251844983.632186,251970831.580293,252011720.247066,252052854.848329,252208331.656733
