"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",297096.045971152,31602.0645123262,211952.71082941,273565.940785461,295115.972398435,317575.743812087,395054.874069658
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-15238.5567806464,2961.8352312118,-24221.5909037172,-17113.0507670125,-15102.7309794149,-13075.1200610484,-7102.72685323039
"Num Offtake","Juvenile Male",119563.239837751,24976.9434097055,51121.0639651894,101339.95641653,118425.851322727,135402.421041077,195630.645623528
"Num Offtake","Juvenile Combined",104324.683057105,22015.3294909964,44018.337111959,88279.7699438405,103299.768204803,118281.115477376,171409.05471981
"Num Offtake","Adult Female",-13977.9791704451,349.330001057175,-15077.4152325158,-14205.5973785725,-13947.0563525789,-13727.6417296475,-13087.6287905942
"Num Offtake","Adult Male",53916.0685478246,10025.8504567834,28387.6492052146,46720.6233350678,53030.9566481478,60457.2826812539,85619.8476357321
"Num Offtake","Oxen",152833.273536668,86.2500231900258,152634.35330283,152772.437868195,152824.215722049,152888.368540008,153103.386946631
"Cml Pop Growth","Overall",62707676.0461028,12862090.2289448,25488381.8436863,53768410.0031287,62264906.8703853,71354766.3305647,101177911.574841
"Cml Pop Growth","Neonatal Female",20722540.1564367,4647908.61560089,7894947.00059387,17341693.8835047,20727311.7324316,23777559.1750648,34788379.4401455
"Cml Pop Growth","Neonatal Male",20779087.750506,4648141.30618249,7903990.2491498,17443904.7977198,20817404.3728304,23897553.1599296,34863864.0892034
"Cml Pop Growth","Neonatal Combined",41501627.9069427,9295371.65744426,15798937.2497437,34821126.1334432,41576968.1470208,47651408.1262551,69652243.5293489
"Cml Pop Growth","Juvenile Female",9066994.94567145,1943589.07835072,4001741.98962367,7709341.05459068,8960061.1065812,10300468.8436165,14637297.4444714
"Cml Pop Growth","Juvenile Male",9052754.92757081,1921163.6492792,4040632.4376064,7715740.67435935,8947655.79798202,10279254.8839577,14580472.0035251
"Cml Pop Growth","Juvenile Combined",18119749.8732423,3864605.77710765,8042374.42723007,15422598.004972,17909846.1107025,20572792.9848291,29217769.4479965
"Cml Pop Growth","Adult Female",1557699.78151474,361783.435507397,562831.408354043,1293059.863739,1540924.96398027,1787244.07499335,2653276.3846905
"Cml Pop Growth","Adult Male",1665308.35467531,350480.282608184,702827.7868964,1409685.16686711,1648015.82656122,1889337.32915417,2729275.66963859
"Cml Pop Growth","Oxen",-136709.87027226,6313.3963229469,-152804.961292427,-141254.504729998,-137258.76879008,-132612.318719928,-116747.197590341
"Total Number Increase","Overall",63004772.092074,12883942.620233,25726265.42747,54044424.2340404,62547589.8282946,71676880.9942247,101547265.394165
"Total Number Increase","Neonatal Female",20722540.1564367,4647908.61560089,7894947.00059387,17341693.8835047,20727311.7324316,23777559.1750648,34788379.4401455
"Total Number Increase","Neonatal Male",20779087.750506,4648141.30618249,7903990.2491498,17443904.7977198,20817404.3728304,23897553.1599296,34863864.0892034
"Total Number Increase","Neonatal Combined",41501627.9069427,9295371.65744426,15798937.2497437,34821126.1334432,41576968.1470208,47651408.1262551,69652243.5293489
"Total Number Increase","Juvenile Female",9051756.38889081,1940851.16769957,3992418.74457192,7696111.74370663,8944772.92955587,10283497.5781934,14613593.3036346
"Total Number Increase","Juvenile Male",9172318.16740857,1944246.71588973,4110491.39666091,7814958.21440873,9070056.24101304,10410645.1326668,14771810.930609
"Total Number Increase","Juvenile Combined",18224074.5562994,3884962.02215256,8102910.14123282,15507100.404676,18009398.5572855,20687651.9387842,29385404.2342437
"Total Number Increase","Adult Female",1543721.8023443,361443.556655109,549743.779563449,1279306.84702237,1526870.48767645,1773088.02971404,2638198.96945799
"Total Number Increase","Adult Male",1719224.42322314,360233.370058321,731215.436101614,1457963.53166414,1702995.91590323,1948146.08552734,2814895.51727432
"Total Number Increase","Oxen",16123.4032644081,6398.37004575817,-170.607989597222,11529.8626137814,15560.3650035419,20295.5022709566,36356.1893562902
"Total Mortality","Overall",3520391.23434363,727158.97157995,1581689.62626205,2984732.9284843,3471211.94313873,4006960.54718631,5686948.19405796
"Total Mortality","Neonatal Female",1443507.70620146,317893.446209339,618586.490284562,1223270.56089566,1421177.13162685,1660955.47428585,2409156.01952679
"Total Mortality","Neonatal Male",1434703.0199182,318734.956379944,562482.116222617,1209044.85743521,1418913.56216987,1647247.21555623,2468221.91805241
"Total Mortality","Neonatal Combined",2878210.72611965,621494.158051879,1238934.30263194,2438476.0023603,2839254.28123952,3294587.915952,4766686.16999851
"Total Mortality","Juvenile Female",285561.763791168,55933.8093779098,132719.239745238,245033.756111101,283545.248840862,322074.293308484,471628.392603281
"Total Mortality","Juvenile Male",263793.736277677,55721.1625429654,113892.79027663,222489.099152305,261897.671834635,299885.152980888,429053.513052791
"Total Mortality","Juvenile Combined",549355.500068845,111155.502110934,246612.030021867,466581.49638904,545580.618060494,625014.233951923,900681.905656072
"Total Mortality","Adult Female",69889.8958522257,1746.65000528588,65438.1439529711,68638.2086482376,69735.2817628945,71027.9868928624,75387.0761625789
"Total Mortality","Adult Male",4595.11947850778,854.475891203135,2419.40192089897,3981.87130696601,4519.68380523987,5152.60931942505,7297.14610531808
"Total Mortality","Oxen",18339.9928244002,10.350002782803,18316.1223963396,18332.6925441835,18338.9058866459,18346.6042248009,18372.4064335957
"Value of Total Mortality","Overall",28638306166.4741,5776706047.92324,13163327332.4499,24413528400.4656,28261870934.236,32525250300.0209,45981338338.8798
"Value of Total Mortality","Neonatal Female",14394528434.6039,3170004725.97126,6168488595.80682,12198343518.624,14171849962.3697,16562897932.9342,24023886174.9698
"Value of Total Mortality","Neonatal Male",6287721411.3721,1396886032.83012,2465130968.97816,5298753213.63591,6218522622.36852,7219216411.53757,10817215539.869
"Value of Total Mortality","Neonatal Combined",20682249845.976,4474858335.00765,8887221440.19497,17518419731.5448,20354144855.8795,23664205441.4542,34304848655.02
"Value of Total Mortality","Juvenile Female",4038793770.7995,791090228.234457,1877091777.38624,3465592853.46357,4010273537.86672,4555202462.26043,6670395184.87954
