"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",237253.036648537,19226.9354558285,191204.730826957,225067.344491636,238401.172928523,248880.890783061,290818.483481167
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-15482.4097684352,3045.50488382027,-23743.8643669217,-17649.2298987284,-15393.9159190833,-13652.9690562439,-7947.28975797887
"Num Offtake","Juvenile Male",66371.789465895,14026.4953336216,31700.0016089809,57820.2193024545,65999.1305547048,76117.7745352504,104245.562186224
"Num Offtake","Juvenile Combined",50889.3796974598,10981.1792730107,23752.711851002,44174.5142621309,50605.2146356214,58468.544636522,80501.6978193024
"Num Offtake","Adult Female",-14001.5496472499,345.725417230369,-14994.5125049007,-14213.0850616966,-13989.4875872772,-13776.1931929612,-13221.5259339865
"Num Offtake","Adult Male",47524.4296440204,8642.4838536784,28009.8812086169,41861.180812816,47247.2989935209,52827.830529367,72233.4688379981
"Num Offtake","Oxen",152840.776954307,83.8287772600679,152656.037921555,152778.619460611,152831.689835296,152901.310075266,153077.829328767
"Cml Pop Growth","Overall",65483265.8975727,13652743.5219314,28096808.0848008,56470066.3093527,65451772.7007653,73703125.8694094,97977954.4020367
"Cml Pop Growth","Neonatal Female",21752450.7117916,4855926.7308692,9723887.25384508,18202342.5162875,22098000.1222774,24781413.6331085,32748761.2040232
"Cml Pop Growth","Neonatal Male",21795231.6199181,4867058.19371654,9830336.02030377,18166249.1183772,22059318.7005836,24679639.9176677,32898757.5808332
"Cml Pop Growth","Neonatal Combined",43547682.3317097,9722248.25342895,19554223.2741489,36336861.5278969,44149111.9030812,49481307.6691952,65647518.7848563
"Cml Pop Growth","Juvenile Female",9387025.52864368,2095706.56956768,3575323.10580571,8218132.94761918,9311818.03963396,10842670.5493726,14037147.3384658
"Cml Pop Growth","Juvenile Male",9394897.36650913,2077242.7399398,3649270.65819002,8266534.58662358,9311151.75914634,10832549.0842127,14082696.8568132
"Cml Pop Growth","Juvenile Combined",18781922.8951528,4172823.24739459,7224593.76399573,16484667.5342428,18622969.7987803,21653460.6136769,28119844.195279
"Cml Pop Growth","Adult Female",1587596.07148103,372348.052576976,665076.659053361,1361524.09703337,1575730.60818123,1852440.94601994,2595619.31866017
"Cml Pop Growth","Adult Male",1702260.26008747,362766.683078145,803277.686191842,1476876.62712813,1691031.07286654,1954089.86318675,2678042.47400501
"Cml Pop Growth","Oxen",-136195.66085838,6270.08669355204,-150363.298588992,-140288.783836937,-136387.833358414,-132353.806210931,-118271.132151596
"Total Number Increase","Overall",65720518.9342212,13667125.7259047,28288012.8156278,56718276.1566177,65686728.8028681,73954716.5641782,98237626.7384179
"Total Number Increase","Neonatal Female",21752450.7117916,4855926.7308692,9723887.25384508,18202342.5162875,22098000.1222774,24781413.6331085,32748761.2040232
"Total Number Increase","Neonatal Male",21795231.6199181,4867058.19371654,9830336.02030377,18166249.1183772,22059318.7005836,24679639.9176677,32898757.5808332
"Total Number Increase","Neonatal Combined",43547682.3317097,9722248.25342895,19554223.2741489,36336861.5278969,44149111.9030812,49481307.6691952,65647518.7848563
"Total Number Increase","Juvenile Female",9371543.11887525,2092840.42229781,3567375.81604773,8203986.39047539,9296679.20606348,10823708.9644477,14017405.6687079
"Total Number Increase","Juvenile Male",9461269.15597502,2090443.19301046,3680970.659799,8326864.53869955,9375913.6678371,10915633.938987,14169054.2622489
"Total Number Increase","Juvenile Combined",18832812.2748503,4183164.37566125,7248346.47584673,16530850.9291749,18672592.8739006,21716026.9699894,28186459.9309568
"Total Number Increase","Adult Female",1573594.52183378,372012.445225154,651855.133119375,1347627.57213415,1561752.03709005,1838197.47791305,2580624.80615527
"Total Number Increase","Adult Male",1749784.68973149,371156.652649343,831287.567400459,1521511.87769927,1738011.3196702,2007572.77861295,2750275.94284301
"Total Number Increase","Oxen",16645.1160959266,6352.44290801711,2300.36511233283,12484.1494116351,16442.3699538022,20542.6353845625,34806.6971771708
"Total Mortality","Overall",2983887.09304032,658331.801942906,1265855.62353045,2573624.43992596,2937684.44900518,3436096.72342496,4433576.97268993
"Total Mortality","Neonatal Female",1438757.43740171,328968.00877066,629984.158417952,1256232.22395547,1427036.82571794,1675186.70771312,2158067.16661218
"Total Mortality","Neonatal Male",1452116.21292378,343064.437940767,548694.861830869,1229231.19457202,1450581.17545403,1669399.28834051,2221060.95435446
"Total Mortality","Neonatal Combined",2890873.65032549,656112.017046362,1178679.02024882,2482004.25622251,2845296.41292673,3340888.91702723,4337064.23191417
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",70007.7482362495,1728.62708615185,66107.6296699325,68880.9659648058,69947.437936386,71065.4253084828,74972.5625245037
"Total Mortality","Adult Male",4664.80124405912,848.310431800676,2749.3339675323,4108.92018686177,4637.59924683578,5185.36111680283,7090.13822621635
"Total Mortality","Oxen",18340.8932345168,10.0594532712081,18318.7245505866,18333.4343352733,18339.8027802355,18348.1572090319,18369.339519452
"Value of Total Mortality","Overall",25780041084.8844,5500470013.8785,11393400821.561,22315589018.9903,25399357312.4776,29678277229.5746,37904508082.1703
"Value of Total Mortality","Neonatal Female",11085942659.0086,2534770898.18966,4854166570.92508,9679545724.06554,10995632766.8218,12907682213.8824,16628382409.3081
"Value of Total Mortality","Neonatal Male",12884959015.9091,3044089159.90437,4868694904.72505,10907249311.1602,12871338277.631,14812961400.7583,19707981437.0168
"Value of Total Mortality","Neonatal Combined",23970901674.9177,5447753425.58555,9722861475.65013,20570167624.8631,23607881862.457,27817023985.3369,36012252324.8633
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",1633153803.98985,40325734.9729611,1542171110.88712,1606868017.07,1631746874.06962,1657827491.93767,1748973917.40934
"Value of Total Mortality","Adult Male",115964169.152349,21088490.0042248,68346798.1992276,102145298.513966,115287943.769477,128904976.268977,176256596.060895
"Value of Total Mortality","Oxen",692952438.389835,380064.513980906,692114865.029101,692670627.555847,692911239.035827,693226884.611634,694027190.97996
"Population Liveweight (kg)","Overall",9683136435.78538,1831293040.21516,5252292965.69962,8543993813.89745,9616413169.39862,10677391856.6155,14783320064.4025
"Population Liveweight (kg)","Neonatal Female",1892469745.24888,582709105.817927,664899777.188728,1534336184.53539,1880455358.1037,2293707999.28778,3321422693.47113
"Population Liveweight (kg)","Neonatal Male",1919075818.20489,618431051.717203,596818843.45715,1508925885.65464,1849225867.64058,2297421989.27813,3585793937.84491
"Population Liveweight (kg)","Juvenile Female",1956222550.40564,600702865.274334,723050980.498467,1610735900.45354,1849721127.81047,2311902497.30038,3952634239.77822
"Population Liveweight (kg)","Juvenile Male",1844468967.75768,588573983.797978,862059434.893309,1388342157.60386,1776582567.87185,2283301087.56563,3187815418.17339
"Population Liveweight (kg)","Juvenile Combined",3800691518.16332,1059483694.02206,1886498528.2309,3102426505.43165,3603582295.02824,4450919580.86842,6436854406.97336
"Population Liveweight (kg)","Adult Female",1146002616.03524,202103492.713571,782281964.073408,975411560.368928,1163764691.0913,1290082510.03173,1628366489.60687
"Population Liveweight (kg)","Adult Male",459581721.920021,116585762.233817,239006024.577777,379134417.041204,450325528.636778,544254082.789706,849647762.105321
"Population Liveweight (kg)","Oxen",465315016.213032,76525219.2924808,305344077.524665,403200176.678668,459633871.22524,512509131.853956,668746443.214221
"Offtake Liveweight (kg)","Overall",60147572.168602,8666678.42198559,39658897.40863,54262723.7639725,59727809.5470426,66330888.6757819,84318513.8936675
"Offtake Liveweight (kg)","Juvenile Female",-2929615.99549551,955833.367293167,-5267988.71418191,-3548744.43515952,-2840120.93336721,-2172968.89580088,-1214686.31738701
"Offtake Liveweight (kg)","Juvenile Male",12383168.9314573,3643321.70689715,5063041.55865656,9590867.1424918,12039823.4585855,14453828.5637804,23279567.3896453
"Offtake Liveweight (kg)","Adult Female",-3496314.05288985,556758.519959427,-4759046.0691993,-3909392.89223687,-3583718.48008174,-3093338.49689642,-2237299.10831214
