"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",182820.896535382,32.3078734824009,182703.115119321,182799.282641761,182822.583468941,182844.390804238,182904.253889282
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-4110.16358405934,2.90962862476537,-4116.8396374418,-4112.21918251919,-4110.46221171201,-4108.34666225373,-4098.05519436725
"Num Offtake","Juvenile Male",25343.9879873187,22.8842063682987,25263.4277984736,25329.5672154986,25345.4076509698,25359.9842868467,25398.5787039876
"Num Offtake","Juvenile Combined",21233.8244032594,23.2405311014002,21148.0394483342,21218.1895632688,21234.7828529908,21250.2770832758,21294.9489083512
"Num Offtake","Adult Female",-12869.0014618528,0.343274329218748,-12869.7208368244,-12869.2457665808,-12869.0347904585,-12868.7930874823,-12867.6916849812
"Num Offtake","Adult Male",21861.2224784759,9.16263370421326,21827.8085368964,21855.4531339828,21861.8338175632,21868.1830509777,21882.3866189104
"Num Offtake","Oxen",152594.851115499,0.0780998320273911,152594.562991369,152594.802016226,152594.857489425,152594.911235119,152595.023453985
"Cml Pop Growth","Overall",829527.545673426,7170.97264341052,805599.094323477,824483.60053781,829832.410542211,834436.300007205,850440.481845532
"Cml Pop Growth","Neonatal Female",-42718.0829563671,3580.33083210864,-53930.9537849696,-45129.7270199546,-42534.5019109098,-40157.0639316121,-33202.2052698456
"Cml Pop Growth","Neonatal Male",11578.1888443297,3462.01096128718,509.442198334262,9432.22835268211,11629.0914747259,14009.9820745803,20816.4515444699
"Cml Pop Growth","Neonatal Combined",-31139.8941120375,4902.53756439397,-46230.3247107038,-34622.2488827631,-30853.7168587925,-27678.3382026698,-17265.7070577205
"Cml Pop Growth","Juvenile Female",212471.407122674,1842.36639747256,204321.999746169,211264.088767352,212675.673743529,213760.145986684,217058.316365978
"Cml Pop Growth","Juvenile Male",275930.710027012,1711.96945856043,270412.759322389,274778.62429493,276018.806878093,277079.10539786,280480.531086476
"Cml Pop Growth","Juvenile Combined",488402.117149686,2428.10198109985,480321.743200511,486768.018417869,488591.270858631,490074.549448243,495801.652185554
"Cml Pop Growth","Adult Female",194190.245038073,355.396285903452,192708.254580861,193969.977272618,194226.250699339,194441.485760742,195007.778557746
"Cml Pop Growth","Adult Male",335007.518069628,321.133612194537,333876.42980171,334800.864464512,335027.641625497,335232.333722516,335774.255580192
"Cml Pop Growth","Oxen",-156932.440471924,5.77054440780435,-156953.476116238,-156936.086144193,-156932.055822541,-156928.051854389,-156919.105276261
"Total Number Increase","Overall",1012348.44220881,7183.17117356441,988361.744161825,1007282.49897092,1012647.02847205,1017296.018656,1033314.14103327
"Total Number Increase","Neonatal Female",-42718.0829563671,3580.33083210864,-53930.9537849696,-45129.7270199546,-42534.5019109098,-40157.0639316121,-33202.2052698456
"Total Number Increase","Neonatal Male",11578.1888443297,3462.01096128718,509.442198334262,9432.22835268211,11629.0914747259,14009.9820745803,20816.4515444699
"Total Number Increase","Neonatal Combined",-31139.8941120375,4902.53756439397,-46230.3247107038,-34622.2488827631,-30853.7168587925,-27678.3382026698,-17265.7070577205
"Total Number Increase","Juvenile Female",208361.243538614,1839.6585398667,200223.944551802,207155.354984541,208564.970837898,209647.970637799,212941.476728536
"Total Number Increase","Juvenile Male",301274.698014331,1733.14924852335,295676.187120863,300113.123845336,301364.890274732,302426.635945932,305877.773682602
"Total Number Increase","Juvenile Combined",509635.941552946,2439.96009076915,501576.063653736,508002.821543096,509827.305359631,511320.586728402,517068.904694591
"Total Number Increase","Adult Female",181321.24357622,355.061979883127,179840.523921195,181101.182478092,181357.138625487,181572.208732717,182138.093613217
"Total Number Increase","Adult Male",356868.740548104,330.058791139788,355706.55775328,356658.902782165,356889.092739083,357099.792404592,357656.393438418
"Total Number Increase","Oxen",-4337.58935642507,5.84755401850433,-4358.91312486917,-4341.27205428963,-4337.19924156007,-4333.14871230171,-4324.08182227684
"Total Mortality","Overall",263851.208692664,7135.05420448761,242735.168984735,258900.170799957,263619.815622609,268669.860178591,287206.635283903
"Total Mortality","Neonatal Female",92738.3154220377,5326.55920381939,79209.1540127602,89066.9423687795,92503.0883566227,96242.3664527662,110593.08882488
"Total Mortality","Neonatal Male",86593.3314571777,5056.54812960099,72328.4280518245,83151.5939539526,86347.3741922186,89913.8825148898,103192.583564939
"Total Mortality","Neonatal Combined",179331.646879215,7136.12251441627,158211.949612391,174378.821213651,179101.037513208,184150.061486351,202690.235370975
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",64345.0073092638,1.7163716460941,64338.4584249061,64343.9654374116,64345.1739522927,64346.228832904,64348.6041841221
"Total Mortality","Adult Male",1863.17237032465,0.780906281609076,1860.32459121276,1862.68066482808,1863.22447308777,1863.7656009356,1864.9761322935
"Total Mortality","Oxen",18311.3821338599,0.00937197984332452,18311.3475589642,18311.3762419471,18311.382898731,18311.3893482143,18311.4028144782
"Value of Total Mortality","Overall",2719023234.18501,49782370.8812271,2577765165.80322,2683099664.14909,2716881485.64659,2752103450.54009,2879476734.52952
"Value of Total Mortality","Neonatal Female",699528023.602968,40178403.2359783,597477134.511787,671834741.444809,697753698.466493,725959190.494177,834207139.710796
"Value of Total Mortality","Neonatal Male",544091362.908129,31771778.694133,454460780.449137,522465914.188353,542545941.092652,564955361.557841,648389344.641671
"Value of Total Mortality","Neonatal Combined",1243619386.5111,49807376.9938014,1102276419.25136,1207698423.92036,1241529133.97757,1276737577.93008,1404148118.39486
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",1382420848.37566,36875.4010037983,1382280148.81483,1382398464.27113,1382424428.61921,1382447092.21054,1382498125.46367
"Value of Total Mortality","Adult Male",50163232.9533059,21024.777064631,50086560.6017487,50149994.4909061,50164635.7451708,50179204.8332059,50211796.6467552
"Value of Total Mortality","Oxen",493562037.238415,252.610831373187,493561105.31226,493561878.428749,493562057.854626,493562231.692959,493562594.66046
"Population Liveweight (kg)","Overall",1858077407.73865,152709537.331606,1435789998.78747,1756041591.24511,1863963431.15557,1959873816.93738,2273018106.022
"Population Liveweight (kg)","Neonatal Female",59052093.3509363,12702603.3007048,19653655.2116521,50972069.4192522,59789645.7146164,69144810.5763252,83832667.6904017
"Population Liveweight (kg)","Neonatal Male",61106761.603759,16660096.3068493,20947596.1883238,48373846.4395241,61462203.145527,74088328.7726864,100462212.835875
"Population Liveweight (kg)","Juvenile Female",191182323.704511,40128684.6136123,104184398.230002,161586020.309075,189237063.106607,218419977.04663,306974181.212107
"Population Liveweight (kg)","Juvenile Male",176090326.515658,39707075.602299,92261209.5329407,146095221.459731,171621560.184618,205508819.643906,303167769.467099
"Population Liveweight (kg)","Juvenile Combined",367272650.220169,55483849.2545681,202960087.239228,328141955.769639,365609310.430934,405342070.92611,562243494.565277
"Population Liveweight (kg)","Adult Female",806168260.114892,120225563.85273,513398165.22908,717887079.002882,807271327.084478,891382987.552561,1096115986.87668
"Population Liveweight (kg)","Adult Male",99045212.2177727,16163159.0760786,63793251.7337355,86997228.3093179,98283223.5568861,109636545.655679,143502209.841722
"Population Liveweight (kg)","Oxen",465432430.231125,78021276.8281163,303778606.413314,405452965.00867,463311923.261436,521106739.991149,671374644.556756
"Offtake Liveweight (kg)","Overall",47579032.4654005,6882799.37946322,31295592.0140804,42373706.7711798,47136271.6847564,52439116.1894478,70437000.4159762
"Offtake Liveweight (kg)","Juvenile Female",-691883.234835101,141983.193167374,-1065945.63729328,-787618.074457286,-685357.52252635,-587055.209965229,-402292.705864526
"Offtake Liveweight (kg)","Juvenile Male",5069151.49014392,1171086.76329652,2730428.26340698,4200901.66680807,4987394.35426025,5875873.51373883,8334207.24363479
"Offtake Liveweight (kg)","Adult Female",-3132272.52448337,460068.348693238,-4229739.04488913,-3460001.28131239,-3128037.43858662,-2799701.74390651,-2001634.20599499
"Offtake Liveweight (kg)","Adult Male",5827046.5314545,942302.712499372,3849417.56260377,5143962.94205811,5788644.452918,6528876.77030352,8216192.7367715
"Offtake Liveweight (kg)","Oxen",40506990.2031206,6633697.12611324,27169714.104971,35434382.6653217,40075276.7361651,45423483.6378548,59228997.7356092
"Meat (kg)","Overall",150288801.952457,7362681.89688566,123283161.323971,145188028.025044,150198048.377405,155369181.923908,172047689.057331
"Manure","Overall",4698229625.78525,153213360.01431,4232171782.29051,4583547229.85643,4701584939.50585,4802816205.48541,5191657285.5256
"Manure","Neonatal Female",168408992.179535,4114368.0243461,156060065.158354,165518047.309276,168345187.124459,171169850.416323,181399226.683472
"Manure","Neonatal Male",158316925.47111,4039304.83377913,144703404.545254,155599631.836232,158265651.955361,160954497.522797,171562445.025855
"Manure","Neonatal Combined",326725917.650645,5664883.27882374,309706935.775507,323001898.811775,326686219.774809,330450651.961578,342709992.23179
"Manure","Juvenile Female",433836576.988745,14484375.214163,395418061.974704,423821722.08002,434687310.513247,443527701.320893,476701528.36024
"Manure","Juvenile Male",319279244.385016,11036493.2980953,288128426.875635,311685234.571616,319525880.307291,326823184.981912,359307541.146659
"Manure","Juvenile Combined",753115821.373761,18489453.626239,699602351.716189,740551728.554595,753122654.761384,765477291.935295,809561316.924942
"Manure","Adult Female",2223220921.36945,130474152.728033,1897778665.93497,2134133752.99469,2213083121.21531,2291440804.36753,2599101359.58874
"Manure","Adult Male",146793676.662913,9714511.04722252,117195481.386449,140070883.12092,146622568.157342,153498995.795897,174505294.229753
"Manure","Oxen",1248373288.72849,74736841.5410719,1025503470.68567,1199181960.01866,1243725293.73872,1289152263.47194,1463369239.18682
"Hides","Overall",42259.7809067242,0.93058216884967,42256.0519574882,42259.2262635946,42259.8762670507,42260.4107193673,42262.1360457684
"Hides","Juvenile Female",0,0,0,0,0,0,0
"Hides","Juvenile Male",0,0,0,0,0,0,0
"Hides","Juvenile Combined",0,0,0,0,0,0,0
"Hides","Adult Female",32172.5036546319,0.858185823047049,32169.229212453,32171.9827187058,32172.5869761463,32173.114416452,32174.302092061
"Hides","Adult Male",931.586185162326,0.390453140804538,930.162295606382,931.340332414041,931.612236543887,931.882800467798,932.48806614675
"Hides","Oxen",9155.69106692997,0.00468598992166226,9155.67377948211,9155.68812097356,9155.69144936549,9155.69467410716,9155.70140723908
"Milk","Overall",225984689.793654,38002056.8119527,121754639.951823,200336340.217711,226312607.247863,251245589.383049,335488458.287863
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",16568360845.2143,404931689.721353,15426546166.0995,16285925684.2141,16565958586.0519,16843747797.7803,17697648618.7028
"Cml Dry Matter","Neonatal Female",562640315.443079,35205539.4800521,415411657.141748,538172977.981578,562961695.469081,585898833.483565,655373899.900532
"Cml Dry Matter","Neonatal Male",561429189.293767,43981521.512022,402941759.577595,529331460.495213,562022487.978827,591804272.175783,712418454.080385
"Cml Dry Matter","Neonatal Combined",1124069504.73685,56667191.121389,885475179.791193,1086133654.68546,1125628862.06803,1162193633.86308,1278191092.03074
"Cml Dry Matter","Juvenile Female",1649324047.42239,101255206.44503,1336900913.60376,1581749816.55614,1649902844.20403,1709665945.68977,1964794193.90731
"Cml Dry Matter","Juvenile Male",1445566140.42528,95593741.267547,1174921513.50682,1382395532.06693,1446232060.3703,1513865484.63031,1709738153.18962
"Cml Dry Matter","Juvenile Combined",3094890187.84767,142742215.705798,2587023042.22846,2997250386.74412,3089812133.3205,3197529047.4392,3483477905.32862
"Cml Dry Matter","Adult Female",7319510114.31972,314156419.144519,6292227109.34358,7110283115.26381,7325984516.60173,7530314376.80534,8275789859.28624
"Cml Dry Matter","Adult Male",531837173.996668,26530421.5585875,447324816.797144,513961385.271828,532436598.152714,549194939.747572,618427182.879698
"Cml Dry Matter","Oxen",4498053864.31339,214099227.88565,3941351525.63551,4353270420.02901,4491573035.84475,4641532334.23579,5178374356.36987
"Value of Offtake","Overall",5602442200.13091,961681447.584879,3128649592.33085,4896079065.01409,5622243935.7365,6345532142.50975,8053047260.883
"Value of Offtake","Neonatal Female",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Male",0,0,0,0,0,0,0
"Value of Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Value of Offtake","Juvenile Female",-53085470.2082178,18195177.6694291,-109220626.760017,-64572189.7502454,-50292607.5878862,-39729934.4207503,-18310384.8156195
"Value of Offtake","Juvenile Male",179851552.782494,59499696.752629,72704147.8143518,134321016.458598,175222516.133503,219479056.336802,364889814.007993
"Value of Offtake","Juvenile Combined",126766082.574276,62030571.9624946,-10597319.2429986,81699239.0018088,123691656.760649,172252297.890246,316211224.585444
"Value of Offtake","Adult Female",-219174398.374345,43562121.1740084,-370833065.228503,-248194321.426349,-213192465.937472,-184716367.753334,-143546934.060134
"Value of Offtake","Adult Male",682777833.309518,173130302.749257,159048990.245174,558949418.769329,699145101.40028,811382569.650228,1041308554.77332
"Value of Offtake","Oxen",5012072682.62146,938148190.799128,2694406747.73206,4331025194.44651,5022770752.13564,5733778568.7209,7215047515.15052
"Value of draught","Overall",19609949330.1427,15247.0748663671,19609893129.1226,19609940025.8969,19609950769.899,19609960974.3048,19609983622.9856
"Value of Herd Increase","Overall",13023915303.665,3063633951.37922,4273940994.4057,10706442075.0678,13034143088.5021,15426409972.3074,21527879853.186
"Value of Herd Increase","Neonatal Female",-285827301.145118,62587640.0144646,-473479395.265745,-327182303.173414,-281577172.212241,-238985007.869982,-146921505.554043
"Value of Herd Increase","Neonatal Male",133019893.305209,57806561.5017641,6774384.39049775,90151425.7412555,126675877.009621,169754407.991741,326637219.298308
"Value of Herd Increase","Neonatal Combined",-152807407.839909,84262770.3540356,-397448840.763683,-206516300.918699,-156198292.544416,-97768619.5196276,133175508.967204
"Value of Herd Increase","Juvenile Female",2744477150.46017,964677715.098908,981993979.685457,1978406342.10911,2604801045.46585,3414882342.44846,5563855977.61959
"Value of Herd Increase","Juvenile Male",1941669350.68859,622082423.250344,794236835.205655,1434334708.51724,1885320286.69693,2353966790.7275,3794410603.29229
"Value of Herd Increase","Juvenile Combined",4686146501.14875,1148593318.66885,2202408380.18485,3818766915.11551,4606021206.4759,5466017548.71428,8442965952.20629
"Value of Herd Increase","Adult Female",3360011767.48903,669401780.502671,2165113503.09439,2861192995.52787,3250798964.59957,3843053842.03354,5424725023.08633
"Value of Herd Increase","Adult Male",10327535510.3396,2648747058.62561,3363040964.32833,8400632828.64835,10462244373.6739,12365140197.4625,15989456717.2349
"Value of Herd Increase","Oxen",-5196971067.47243,1008579167.95023,-7509212514.35204,-5957351349.262,-5205789294.60291,-4467982649.83266,-2616730273.68109
"Value of Herd Increase plus Offtake","Overall",18626357503.7959,3218985890.70493,8673661660.34104,16254150166.2682,18671679784.5389,21017377990.0088,27296584999.7375
"Value of Herd Increase plus Offtake","Neonatal Female",-285827301.145118,62587640.0144646,-473479395.265745,-327182303.173414,-281577172.212241,-238985007.869982,-146921505.554043
"Value of Herd Increase plus Offtake","Neonatal Male",133019893.305209,57806561.5017641,6774384.39049775,90151425.7412555,126675877.009621,169754407.991741,326637219.298308
"Value of Herd Increase plus Offtake","Neonatal Combined",-152807407.839909,84262770.3540356,-397448840.763683,-206516300.918699,-156198292.544416,-97768619.5196276,133175508.967204
"Value of Herd Increase plus Offtake","Juvenile Female",2691391680.25195,966119069.842476,937267102.904322,1925585191.00342,2543208010.5709,3358720492.49837,5543594867.22978
"Value of Herd Increase plus Offtake","Juvenile Male",2121520903.47108,623940105.889637,902924688.351441,1621885973.71995,2064794622.93666,2524126686.27187,3981894323.36663
"Value of Herd Increase plus Offtake","Juvenile Combined",4812912583.72303,1151654478.46229,2327484097.61645,3949279467.9722,4730397534.83587,5592010730.67889,8554638797.20593
"Value of Herd Increase plus Offtake","Adult Female",3140837369.11468,671544048.958112,1893076111.26548,2652183238.00346,3015509059.3267,3634182915.17689,5234083719.49367
"Value of Herd Increase plus Offtake","Adult Male",11010313343.6491,2659242392.53618,3993833205.77875,9022528091.2526,11097990370.5616,13031004416.6754,16799092485.5451
"Value of Herd Increase plus Offtake","Oxen",-184898384.850965,1374930171.19688,-4474185190.01129,-1169046616.81202,-203381135.613614,823650191.491362,3761213718.5308
"Value of Manure","Overall",2349114812.89263,76606680.0071549,2116085891.14526,2291773614.92822,2350792469.75293,2401408102.7427,2595828642.7628
"Value of Manure","Neonatal Female",84204496.0897675,2057184.01217305,78030032.579177,82759023.654638,84172593.5622295,85584925.2081614,90699613.3417361
"Value of Manure","Neonatal Male",79158462.7355552,2019652.41688956,72351702.2726269,77799815.9181158,79132825.9776807,80477248.7613987,85781222.5129274
"Value of Manure","Neonatal Combined",163362958.825323,2832441.63941187,154853467.887754,161500949.405888,163343109.887404,165225325.980789,171354996.115895
"Value of Manure","Juvenile Female",216918288.494372,7242187.60708152,197709030.987352,211910861.04001,217343655.256624,221763850.660446,238350764.18012
"Value of Manure","Juvenile Male",159639622.192508,5518246.64904766,144064213.437817,155842617.285808,159762940.153645,163411592.490956,179653770.573329
"Value of Manure","Juvenile Combined",376557910.68688,9244726.8131195,349801175.858094,370275864.277298,376561327.380692,382738645.967647,404780658.462471
"Value of Manure","Adult Female",1111610460.68472,65237076.3640167,948889332.967484,1067066876.49735,1106541560.60765,1145720402.18376,1299550679.79437
"Value of Manure","Adult Male",73396838.3314564,4857255.52361126,58597740.6932243,70035441.5604601,73311284.0786711,76749497.8979485,87252647.1148766
"Value of Manure","Oxen",624186644.364243,37368420.7705359,512751735.342833,599590980.009331,621862646.869362,644576131.735969,731684619.593409
"Value of Hides","Overall",1921344.54508259,67.5151165562974,1921101.86506478,1921302.40684403,1921351.49213364,1921390.39170116,1921518.31420717
"Value of Hides","Juvenile Female",0,0,0,0,0,0,0
"Value of Hides","Juvenile Male",0,0,0,0,0,0,0
"Value of Hides","Juvenile Combined",0,0,0,0,0,0,0
"Value of Hides","Adult Female",1803737.45173458,48.1138156419077,1803553.87155522,1803708.24568802,1803742.12311912,1803771.6938309,1803838.28034837
"Value of Hides","Adult Male",46841.0748347311,19.6323701222494,46769.4802594694,46828.713115371,46842.3847239638,46855.9889456766,46886.4223026909
"Value of Hides","Oxen",70766.0185132776,29.6599655843185,70657.8556870339,70747.3428175515,70767.997452617,70788.5502817094,70834.5280376319
"Value of Milk","Overall",7005525383.60327,1178063761.17053,3774393838.50652,6210426546.74905,7015690824.68375,7788613270.87452,10400142206.9238
"Total Production Value","Overall",47592868374.9796,3432184367.12655,37093329659.8239,45239817153.0952,47573256505.7984,50100182179.9547,57452372247.2535
"Total Production Value","Neonatal Female",-201622805.05535,62640873.3899015,-390054084.682325,-242802319.739757,-197611433.726262,-154305749.692436,-59559750.6814151
"Total Production Value","Neonatal Male",212178356.040764,57923676.1679432,84086587.7215128,168834403.99764,205625687.448137,249343679.552161,405622763.295076
"Total Production Value","Neonatal Combined",10555550.9854137,84364888.8783966,-234467610.793457,-43475600.4801915,9096701.52638979,65914197.0755489,300734473.214967
"Total Production Value","Juvenile Female",2908309968.74632,966296585.557558,1157833593.71481,2144820144.40191,2760719482.47739,3574700943.10536,5763539485.5428
"Total Production Value","Juvenile Male",2281160525.66359,624146222.726709,1064827838.83156,1779842648.97144,2220637893.75451,2681947071.44106,4137371610.66893
"Total Production Value","Juvenile Combined",5189470494.40991,1151995886.82369,2703645441.18981,4325895993.04357,5108232835.61998,5969619926.23099,8928659028.48673
"Total Production Value","Adult Female",11259776950.8544,1355868102.13526,7727378176.00939,10324424224.2353,11210159570.6757,12238144490.779,15694444108.5474
"Total Production Value","Adult Male",11083757023.0554,2658922178.39597,4062353705.56079,9096542529.25522,11171159664.6724,13103948556.3811,16871758462.2909
"Total Production Value","Oxen",20049308355.6745,1375091692.73826,15758566748.2616,19071267185.8747,20048166502.5657,21057591669.8703,23971410967.0057
"Feed Cost","Overall",10479433285.3027,409966104.803602,9232489245.16456,10202910694.5046,10459459295.5661,10746472457.3277,11841896188.6632
"Feed Cost","Neonatal Female",356434895.528993,28805206.1212293,271612965.310505,336419296.427278,355426254.846893,376927049.551381,476774480.134295
"Feed Cost","Neonatal Male",355319694.509978,34019647.009725,261793440.484107,330954031.302669,353860929.317876,378298999.362087,444525852.21395
"Feed Cost","Neonatal Combined",711754590.038971,45049702.55669,587102236.266024,681059966.520377,711369988.540887,740958986.730738,848140144.01909
"Feed Cost","Juvenile Female",1043859329.57927,85724411.7890767,828108707.668096,985059525.578706,1039434243.21886,1100303825.7809,1341552621.37634
"Feed Cost","Juvenile Male",911437557.118901,80568505.7702181,686106950.272751,854830418.270614,912664234.479084,964282043.540101,1278813518.51937
"Feed Cost","Juvenile Combined",1955296886.69817,113861326.968205,1606813870.46798,1877083753.85151,1949845355.5035,2031898089.0166,2362051599.92806
"Feed Cost","Adult Female",4621712106.15981,339558039.704063,3645393394.00847,4376740657.27439,4610829454.9986,4860686529.37512,5741935019.63454
"Feed Cost","Adult Male",335035731.152147,27307811.7997555,261211279.8888,315846170.870206,335158505.209494,351712251.766477,458454903.596719
"Feed Cost","Oxen",2855633971.25358,212877048.531473,2323885801.19599,2706113425.60541,2844968876.06739,2991018687.66842,3604905743.32042
"Labour Cost","Overall",32161280270.5044,851053926.887009,29705314040.832,31569078675.917,32143260083.7098,32735591898.602,34641905832.1842
"Labour Cost","Neonatal Female",661459760.55837,2209195.02838888,651946112.772686,660038267.129744,661702863.02507,662991882.971551,666966625.368677
"Labour Cost","Neonatal Male",621300604.089557,2075619.349595,614598627.606872,619925604.880251,621449779.907041,622674049.523227,626929374.866177
"Labour Cost","Neonatal Combined",1282760364.64793,2928112.10018081,1273398582.05248,1280831455.35208,1282954579.30596,1284872205.63136,1291721259.96634
