"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",245577.436802884,20607.3240608071,191988.257957727,232133.796809419,244375.883821833,260068.102632297,301256.30514037
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-15565.0977811998,2956.99461244612,-23586.310108662,-17555.8667634329,-15354.3951263608,-13618.1306701243,-7710.4892179285
"Num Offtake","Juvenile Male",73597.8913358287,15000.8451917362,33720.8274069726,63757.781540144,72573.588724853,83715.7110882776,114320.786202774
"Num Offtake","Juvenile Combined",58032.7935546289,12043.8683142739,26010.3381890441,50139.6508700198,57219.1935984922,66159.8443248447,90734.4760941118
"Num Offtake","Adult Female",-14010.04263396,351.376384418311,-14939.5220134201,-14215.7389595053,-13974.7239289222,-13783.2707493443,-13138.5522442758
"Num Offtake","Adult Male",48710.3339366692,8952.84807099017,26474.8083006885,42905.9298436907,47828.9387763617,53973.5669863288,72396.1746443745
"Num Offtake","Oxen",152844.351945545,87.3113867531211,152641.66371227,152784.250329325,152835.319613263,152906.830979287,153065.176415304
"Cml Pop Growth","Overall",67848345.9645186,14003933.7784742,30846083.547857,59740538.2327623,68744879.9359044,76276955.0005672,99349787.4565578
"Cml Pop Growth","Neonatal Female",22801829.9356621,5091741.42021852,9645094.79527078,19384870.5169397,22999332.1591109,26096301.5824715,34263056.8603474
"Cml Pop Growth","Neonatal Male",22852514.8936257,5091741.42021852,9695779.7532344,19435555.4749033,23050017.1170745,26146986.5404351,34313741.818311
"Cml Pop Growth","Neonatal Combined",45654344.8292878,10183482.840437,19340874.5485052,38820425.991843,46049349.2761854,52243288.1229067,68576798.6786583
"Cml Pop Growth","Juvenile Female",9497032.91342878,1973653.72277685,3926434.00042415,8216730.2550697,9599216.61659611,10960244.4664582,14146127.2203462
"Cml Pop Growth","Juvenile Male",9519968.90660827,1956556.93076696,3996559.46119272,8241489.4999225,9630047.14270091,10953186.3443043,14129820.1260849
"Cml Pop Growth","Juvenile Combined",19017001.820037,3930195.89537103,7922993.46161687,16458219.7549922,19229263.759297,21913430.8107624,28275947.346431
"Cml Pop Growth","Adult Female",1597721.16390664,361117.514401101,637537.104841548,1360989.28989983,1573178.84892555,1841627.01868179,2577290.63358282
"Cml Pop Growth","Adult Male",1715245.87837185,351791.339097021,778322.370196329,1486768.86140891,1693432.09443623,1953979.63876553,2670261.82107296
"Cml Pop Growth","Oxen",-135967.727084697,6376.39883935109,-151817.172780445,-140115.382136831,-136584.517593482,-132228.924703467,-119090.004992003
"Total Number Increase","Overall",68093923.4013215,14018278.4589969,31038071.8058148,59970627.6914351,68967582.5340844,76541880.0238088,99618684.2718024
"Total Number Increase","Neonatal Female",22801829.9356621,5091741.42021852,9645094.79527078,19384870.5169397,22999332.1591109,26096301.5824715,34263056.8603474
"Total Number Increase","Neonatal Male",22852514.8936257,5091741.42021852,9695779.7532344,19435555.4749033,23050017.1170745,26146986.5404351,34313741.818311
"Total Number Increase","Neonatal Combined",45654344.8292878,10183482.840437,19340874.5485052,38820425.991843,46049349.2761854,52243288.1229067,68576798.6786583
"Total Number Increase","Juvenile Female",9481467.81564758,1970939.80201951,3918723.51120622,8201054.3130602,9583694.04967033,10941656.9973762,14122540.9102375
"Total Number Increase","Juvenile Male",9593566.7979441,1970323.73066645,4030280.28859969,8315896.9344697,9703483.13006078,11042081.9180357,14244140.9122876
"Total Number Increase","Juvenile Combined",19075034.6135917,3941250.47152381,7949003.79980591,16516898.6585609,19287177.1797311,21983738.915412,28366681.8225251
"Total Number Increase","Adult Female",1583711.12127268,360775.177340651,624398.552597272,1347246.59014685,1559241.10898449,1827418.03908123,2562351.1115694
"Total Number Increase","Adult Male",1763956.21230852,360512.935387581,804797.178497018,1528344.88916563,1740333.22951465,2007775.15100622,2742657.99571733
"Total Number Increase","Oxen",16876.6248608488,6462.628671945,824.490931825188,12685.2431380619,16241.5620400023,20674.8519779361,33975.1714233005
"Total Mortality","Overall",654041.041532214,113682.567777288,358092.607711056,582717.400604269,645431.045806454,731403.525111753,976003.583009769
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",290985.191570974,55156.637361168,148226.049517274,257376.789348467,288399.105583096,324722.861129283,450967.668257153
"Total Mortality","Juvenile Male",269968.588278733,56492.5405816787,123304.598583291,234867.771317562,265423.90857032,304431.98598652,424991.417836594
"Total Mortality","Juvenile Combined",560953.779849707,111120.184090772,271530.648100565,491795.898684187,552083.701648863,636574.834076905,875959.086093747
"Total Mortality","Adult Female",70050.2131698002,1756.88192209156,65692.7612213788,68916.3537467214,69873.6196446112,71078.6947975266,74697.6100671006
"Total Mortality","Adult Male",4695.72627924189,863.063760056893,2552.19874363964,4136.17575613984,4610.75887946932,5203.10735729391,6979.06567908494
"Total Mortality","Oxen",18341.3222334655,10.4773664103745,18316.9996454724,18334.110039519,18340.2383535915,18348.8197175144,18367.8211698365
"Value of Total Mortality","Overall",7543822706.60228,1198907411.0251,4425434001.54626,6788184818.20111,7463986911.32972,8350796806.99761,10945378341.2704
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",3331804703.68503,631548096.33866,1697200624.96667,2946985696.21683,3302193803.51507,3718103832.92552,5163617399.89978
"Value of Total Mortality","Juvenile Male",2449024978.98871,512473113.606168,1118559917.95192,2130607276.88158,2407797834.01466,2761660320.69761,3855317408.49436
"Value of Total Mortality","Juvenile Combined",5780829682.67373,1138658927.88912,2815760542.91859,5073289055.52618,5694882869.15154,6546894910.78341,9018934808.39414
"Value of Total Mortality","Adult Female",1597396882.008,40063228.610062,1498031300.64945,1571540807.84202,1593369914.29791,1620849963.31913,1703374251.34457
"Value of Total Mortality","Adult Male",118194488.318793,21723876.8702009,64240504.3764718,104110237.271426,116055803.535505,130965600.461359,175667627.929937
"Value of Total Mortality","Oxen",547269374.902305,312624.231396249,546543636.192876,547054177.065283,547237034.035408,547493085.240993,548060051.613544
"Population Liveweight (kg)","Overall",10298178501.5305,2032130833.05593,5591903446.44488,8961304643.8394,10232203604.9729,11921209834.9631,15158211280.4481
"Population Liveweight (kg)","Neonatal Female",2421368348.52123,768680880.525318,1092184182.90478,1833117128.73538,2356901481.60416,2996960244.45994,3989075021.52543
"Population Liveweight (kg)","Neonatal Male",2130934127.66985,781177850.159726,623453606.983661,1570227750.85583,2125872536.43619,2726490977.61973,4169278324.22573
