"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",182266.733231141,26.3800907696377,182180.585038608,182248.364908012,182267.340833012,182285.380018347,182350.675559553
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-4028.99276549717,2.82611167121097,-4038.09310618768,-4030.93920379705,-4028.89836661106,-4027.15861672176,-4019.92512468271
"Num Offtake","Juvenile Male",24926.8259892337,16.9380521575727,24874.8292234077,24915.0500946855,24927.1418969724,24938.4989771542,24982.5948234181
"Num Offtake","Juvenile Combined",20897.8332237365,17.1478436877274,20841.2315449435,20886.2229708767,20898.5929789817,20909.4225129331,20953.1203876019
"Num Offtake","Adult Female",-12856.2567985061,0.463762563802244,-12857.6233092256,-12856.5799572967,-12856.2324259601,-12855.9356537143,-12854.6819340284
"Num Offtake","Adult Male",21632.9880667496,9.53278476246781,21604.5062775967,21626.1724191286,21633.2157689717,21640.1410345725,21661.5437422692
"Num Offtake","Oxen",152592.168739161,0.112988637149357,152591.842826137,152592.086150615,152592.172381436,152592.250642245,152592.483950625
"Cml Pop Growth","Overall",877518.476170809,2101.37960981781,870350.057579096,876129.889783877,877506.69787459,878927.175851459,883797.462611046
"Cml Pop Growth","Neonatal Female",16444.2027023863,222.265649381968,15864.7158748633,16288.6742487884,16440.3051280713,16588.4949575995,17170.9715190643
"Cml Pop Growth","Neonatal Male",67129.1606660045,222.265649381961,66549.6738384815,66973.6322124066,67125.2630916895,67273.4529212177,67855.9294826824
"Cml Pop Growth","Neonatal Combined",83573.3633683908,444.531298763929,82414.3897133449,83262.306461195,83565.5682197608,83861.9478788172,85026.9010017466
"Cml Pop Growth","Juvenile Female",179704.609175916,1339.73686973367,174731.60755564,178816.254687947,179676.354596536,180624.387629246,185412.681018251
"Cml Pop Growth","Juvenile Male",257689.085634163,977.029831090894,254634.090184854,257038.567916879,257668.734609002,258345.766818555,260603.704163371
"Cml Pop Growth","Juvenile Combined",437393.694810079,1664.79855734144,431163.08442499,436309.474462637,437406.115566493,438454.559821889,442286.152729262
"Cml Pop Growth","Adult Female",184360.385190913,342.435172305138,183266.039223633,184135.601403838,184345.614219405,184595.480464476,185466.200088698
"Cml Pop Growth","Adult Male",329266.357485256,233.686861326728,328550.814067741,329104.325062234,329272.259849852,329427.657796164,330037.245084278
"Cml Pop Growth","Oxen",-157075.32468383,5.97020229122599,-157093.188908753,-157079.583589473,-157075.178245688,-157070.880450308,-157057.399321703
"Total Number Increase","Overall",1059785.20940195,2110.56831574275,1052616.4842385,1058386.84161922,1059778.8228972,1061205.06025361,1066071.37166697
"Total Number Increase","Neonatal Female",16444.2027023863,222.265649381968,15864.7158748633,16288.6742487884,16440.3051280713,16588.4949575995,17170.9715190643
"Total Number Increase","Neonatal Male",67129.1606660045,222.265649381961,66549.6738384815,66973.6322124066,67125.2630916895,67273.4529212177,67855.9294826824
"Total Number Increase","Neonatal Combined",83573.3633683908,444.531298763929,82414.3897133449,83262.306461195,83565.5682197608,83861.9478788172,85026.9010017466
"Total Number Increase","Juvenile Female",175675.616410419,1337.57602950865,170709.577777962,174789.975355575,175647.888773361,176595.091865607,181376.034892017
"Total Number Increase","Juvenile Male",282615.911623397,989.512355061078,279519.801123227,281955.005794683,282587.550586068,283283.134689703,285570.387247062
"Total Number Increase","Juvenile Combined",458291.528033816,1670.49201110347,452060.847986237,457207.341575549,458310.688422053,459364.2530643,463186.390147515
"Total Number Increase","Adult Female",171504.128392407,342.000055292874,170411.357289605,171279.465979046,171489.464549029,171738.893081517,172608.665665151
"Total Number Increase","Adult Male",350899.345552006,242.602010832537,350155.320345337,350729.69103552,350904.661666914,351065.969023698,351698.788826547
"Total Number Increase","Oxen",-4483.15594466909,6.08019308390956,-4501.32504831173,-4487.50136686423,-4483.01112855008,-4478.59395325602,-4464.93812230654
"Total Mortality","Overall",215168.482384434,2002.70576520747,208663.381863636,213876.37431053,215135.095637478,216526.839354101,222243.669432869
"Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Total Mortality","Juvenile Female",75652.2727443453,1619.6423583864,69040.6849538705,74550.3383144326,75757.3300623952,76784.2606516238,81426.5312119677
"Total Mortality","Juvenile Male",55080.1448249888,1184.75318334606,51506.9427710732,54223.3265875748,55067.9049752968,55867.0609615521,58723.2779042173
"Total Mortality","Juvenile Combined",130732.417569334,2004.25937185047,124220.398118113,129441.647694238,130699.481590151,132090.75280411,137812.585137941
"Total Mortality","Adult Female",64281.2839925303,2.31881281901122,64273.4096701421,64279.6782685718,64281.1621298007,64282.8997864834,64288.1165461282
"Total Mortality","Adult Male",1843.7205738707,0.812453246801221,1841.29314865881,1843.13969481209,1843.73998031008,1844.33020181016,1846.15429621612
"Total Mortality","Oxen",18311.0602486993,0.0135586364578474,18311.0211391364,18311.0503380738,18311.0606857724,18311.0700770694,18311.098074075
"Value of Total Mortality","Overall",3183458121.38605,28362729.334622,3100948837.03266,3164820105.60964,3183470475.1238,3202175286.4689,3274984087.23396
"Value of Total Mortality","Neonatal Female",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Male",0,0,0,0,0,0,0
"Value of Total Mortality","Neonatal Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Female",777722613.4127,16650292.7415664,709753983.407464,766394476.21929,778802626.596547,789359707.205973,837083307.058157
"Value of Total Mortality","Juvenile Male",1071170896.75258,23040482.806783,1001681064.06364,1054507927.49857,1070932862.32452,1086474445.17914,1142020712.77731
"Value of Total Mortality","Juvenile Combined",1848893510.16528,28392457.9303462,1766299256.88697,1830221191.03707,1848869144.81455,1867662788.86804,1940441782.06582
