"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",228743.924570195,17007.2251746581,194304.070725954,216095.573362997,229944.697974587,239055.574983008,269057.330751499
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-15818.1160253846,3035.70410564468,-22904.0085025173,-17949.9082241176,-16162.0846671769,-13461.2186302759,-9783.27887098195
"Num Offtake","Juvenile Male",57691.5105299957,11889.2564554732,34161.8091431918,48404.6700318051,59019.5126965158,66037.1039277196,85316.8896530543
"Num Offtake","Juvenile Combined",41873.3945046112,8853.8153457017,24378.5302722098,34950.219680006,42857.4280293389,48087.195703602,62412.881150537
"Num Offtake","Adult Female",-14041.7068070095,350.442696856601,-14881.48219552,-14234.2988330201,-14051.4995596431,-13775.8107619855,-13324.0852742746
"Num Offtake","Adult Male",47364.9908891334,8549.92532252691,29878.1480572832,40886.7837422213,47494.7928964544,52033.4003738418,67778.394143584
"Num Offtake","Oxen",153547.24598346,87.1484192083574,153371.477670735,153491.115143594,153546.359888887,153601.797500509,153760.241704567
"Cml Pop Growth","Overall",65760189.6751181,15950161.2995841,22756466.6527295,54792171.0791256,64999639.5766213,77078694.6997625,101052030.131857
"Cml Pop Growth","Neonatal Female",21709591.8318384,5832081.59075647,5795804.39215561,17589968.4845516,21509901.6867368,25817633.9829021,35111352.685144
"Cml Pop Growth","Neonatal Male",21769372.6769855,5838943.32653828,5872302.63863686,17584503.4895961,21614469.4103401,25983365.9174333,35198257.939311
"Cml Pop Growth","Neonatal Combined",43478964.5088239,11670578.5268654,11668107.0307925,35174471.9741476,43124371.0970769,51760313.3662157,70309610.624455
"Cml Pop Growth","Juvenile Female",9488566.11044638,2195157.63526073,4446405.80803155,7874786.12918991,9605686.04985411,11156233.1151112,13444634.7170542
"Cml Pop Growth","Juvenile Male",9531582.38460556,2190767.33697865,4509934.41956824,7890868.61263167,9654370.09091036,11173828.9207532,13507823.3068861
"Cml Pop Growth","Juvenile Combined",19020148.4950519,4385797.92787073,8956340.22759979,15765654.7418216,19262607.4465786,22330062.0358644,26952458.0239402
"Cml Pop Growth","Adult Female",1628562.11746567,371033.498291819,892028.407894925,1339418.70538377,1668821.58096871,1893977.15208692,2493444.25495925
"Cml Pop Growth","Adult Male",1750188.52209281,363435.855057337,1032964.55575909,1464344.09541012,1787540.37412143,2014164.34924546,2592473.4109471
