"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",258816.361492366,22144.1796054493,203259.186344348,246353.46825037,260628.250294005,273555.492411011,312531.572922235
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-15442.2890909067,2817.26817208625,-22256.9272542082,-17383.258317238,-15812.3689175832,-13989.3451027418,-8206.02415210907
"Num Offtake","Juvenile Male",85782.484288939,16781.5906567336,42569.244917106,76967.3703338795,88027.7653773119,97238.1872097784,127084.363722507
"Num Offtake","Juvenile Combined",70340.1951980324,13964.5901114922,34363.220764997,62978.0252311377,72210.3645594392,79854.9288925403,104827.436468298
"Num Offtake","Adult Female",-14104.7895101859,326.406534608976,-14851.3982963938,-14341.5515120937,-14134.5014027145,-13878.4262978456,-13338.2310262108
"Num Offtake","Adult Male",49744.445356897,8562.76807392138,29567.5811252284,43803.6910079509,50589.4950435459,55913.3556134286,69546.6181585178
"Num Offtake","Oxen",152836.510447623,80.0036092163203,152666.615480334,152775.762184285,152837.026663499,152896.9592726,153008.916591813
"Cml Pop Growth","Overall",65243684.7105811,12830348.7694463,35134220.2111773,57230657.3075835,64076898.7338594,74129347.6427536,98786536.78975
"Cml Pop Growth","Neonatal Female",21594192.3000359,4718671.41549565,12140465.9326247,17788982.8887457,20737298.0884039,24875977.3976441,34692151.2421171
"Cml Pop Growth","Neonatal Male",21630123.2029141,4729802.49725208,12170832.7681671,17817393.3877912,20785755.129999,24971117.9922212,34807346.3270251
"Cml Pop Growth","Neonatal Combined",43224315.50295,9447894.10382533,24311298.7007918,35606376.2765369,41517029.3192412,49847095.3898653,69499497.5691422
"Cml Pop Growth","Juvenile Female",9397887.28990308,1888208.47859293,4109128.49442897,8374688.00956738,9432157.06717473,10781491.2054609,13849749.4713209
"Cml Pop Growth","Juvenile Male",9409361.59667651,1871402.99048349,4162313.52485826,8399773.70969852,9430667.92632003,10793385.4677545,13927599.5121312
"Cml Pop Growth","Juvenile Combined",18807248.8865796,3759463.08125039,8271442.01928723,16774461.7192659,18883953.130752,21576185.7763743,27777348.9834521
"Cml Pop Growth","Adult Female",1650541.14441131,345856.063397626,761211.436993785,1472972.07459092,1696516.34815702,1887351.23116947,2487563.17389755
"Cml Pop Growth","Adult Male",1697996.75093386,334681.596573228,833876.367524833,1523692.29785721,1743847.20093758,1921859.16935029,2522968.55474436
"Cml Pop Growth","Oxen",-136417.574293568,5895.2698270769,-150326.032464755,-140506.466185756,-135813.935179182,-132181.276062064,-122773.747186351
"Total Number Increase","Overall",65502501.0720735,12845792.8247865,35337479.3975217,57492702.1756361,64345812.4836639,74385362.1658976,99071693.3316308
"Total Number Increase","Neonatal Female",21594192.3000359,4718671.41549565,12140465.9326247,17788982.8887457,20737298.0884039,24875977.3976441,34692151.2421171
"Total Number Increase","Neonatal Male",21630123.2029141,4729802.49725208,12170832.7681671,17817393.3877912,20785755.129999,24971117.9922212,34807346.3270251
"Total Number Increase","Neonatal Combined",43224315.50295,9447894.10382533,24311298.7007918,35606376.2765369,41517029.3192412,49847095.3898653,69499497.5691422
"Total Number Increase","Juvenile Female",9382445.00081217,1885570.36105851,4100922.47027686,8361090.2080232,9416369.90591649,10764527.6644919,13827492.5440667
"Total Number Increase","Juvenile Male",9495144.08096545,1887111.23348173,4204882.76977536,8474534.43481502,9522743.87282712,10887012.5872757,14054683.8758537
"Total Number Increase","Juvenile Combined",18877589.0817776,3772544.04144185,8305805.24005222,16835624.6428382,18956219.4554242,21654252.4622053,27882176.4199204
"Total Number Increase","Adult Female",1636436.35490113,345538.460098144,747873.205967574,1459071.43274629,1682397.2002642,1872953.44670802,2472711.77560115
"Total Number Increase","Adult Male",1747741.19629076,343011.68539137,863443.948650061,1568377.99189372,1794108.54242383,1980302.18152273,2592515.17290288
"Total Number Increase","Oxen",16418.9361540547,5973.86655890636,2340.58301557804,12274.4582502532,17010.8305497843,20721.5519797668,30235.1694054618
"Total Mortality","Overall",3536219.91685608,686122.507828246,1540922.89641909,3151305.59790954,3559458.01034514,4056985.16665749,5095306.5650835
"Total Mortality","Neonatal Female",1470059.58514699,294326.023166749,619633.714155721,1296816.40571908,1476917.11034104,1697911.2452227,2171861.83146381
"Total Mortality","Neonatal Male",1486389.10009984,304792.066885901,609634.317590033,1325205.36028469,1499991.9942412,1687594.84831825,2247925.06187669
"Total Mortality","Neonatal Combined",2956448.68524684,584778.811936909,1229268.03174575,2623823.08220621,2988478.79862265,3423254.56729168,4315746.17950204
"Total Mortality","Juvenile Female",289302.362837521,54797.5746930826,156352.719584647,255548.071338293,297146.45833178,324671.419718849,436965.022307764
"Total Mortality","Juvenile Male",267493.911863635,53532.5512316361,134227.407647949,237351.172743998,273697.935341562,303059.971984507,409271.272862042
"Total Mortality","Juvenile Combined",556796.274701156,107714.039718064,290580.127232596,493475.907357927,570989.674433762,628174.232874917,846236.295169806
"Total Mortality","Adult Female",0,0,0,0,0,0,0
"Total Mortality","Adult Male",4634.57565436929,797.773423036154,2754.74358309582,4081.08922434326,4713.30699163471,5209.31884597161,6479.49858619732
"Total Mortality","Oxen",18340.3812537147,9.60043310595829,18319.99385764,18333.0914621141,18340.4431996199,18347.6351127121,18361.0699910175
"Value of Total Mortality","Overall",43760269180.806,8584295671.72145,19107395080.4252,38943164373.0271,44224936620.4616,49906592718.1271,64006829677.8795
"Value of Total Mortality","Neonatal Female",8354975333.3824,1672780265.76374,3521642557.76443,7370360488.22819,8393949572.53789,9649953454.56678,12343616689.2381
"Value of Total Mortality","Neonatal Male",25974236455.2126,5326156666.80789,10653190281.8932,23157595395.067,26211943250.0748,29490250990.0486,39281865755.6501
"Value of Total Mortality","Neonatal Combined",34329211788.595,6877434275.64612,14174832839.6577,30710805707.8857,34767190648.3959,39444203042.6335,50926987296.4871
"Value of Total Mortality","Juvenile Female",4503502050.99242,853020997.129933,2433906126.52257,3978056909.42632,4625609246.38515,5054083866.65559,6802132049.22964
"Value of Total Mortality","Juvenile Male",4812848291.18757,963177239.897085,2415068608.58314,4270509105.02465,4924473350.56256,5452765852.24321,7363758421.65109
"Value of Total Mortality","Juvenile Combined",9316350342.17998,1805906000.97573,4848974735.10571,8257653593.38738,9552673396.00214,10506873686.1245,14165890470.8807
"Value of Total Mortality","Adult Female",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Male",76722748.2244893,13206682.5617763,45603203.855273,67560097.0599702,78026100.4657452,86237292.9145674,107264391.763911
"Value of Total Mortality","Oxen",438520805.760843,229547.554275906,438033340.575122,438346505.933468,438522286.895171,438694246.435188,439015476.052954
"Population Liveweight (kg)","Overall",9468124529.22644,1683491750.86962,4617769513.10677,8304716355.26556,9358020521.62589,10474311568.557,13778155665.7549
"Population Liveweight (kg)","Neonatal Female",1823470233.41458,554210869.927439,738782236.453961,1353446179.30955,1790893839.24833,2189274196.15746,3431098543.99988
"Population Liveweight (kg)","Neonatal Male",1955350934.07216,707000697.397773,489609148.032495,1413627454.26761,1837762192.75293,2354304489.19736,3854275371.68496
"Population Liveweight (kg)","Juvenile Female",1740660877.00776,478240150.759819,582931711.523417,1364208807.17384,1674135062.07804,2050893441.55806,3111206137.72034
"Population Liveweight (kg)","Juvenile Male",1877183757.19038,557321055.986135,681411504.837126,1477243248.39017,1774903385.02342,2113741457.03139,3408488899.79821
"Population Liveweight (kg)","Juvenile Combined",3617844634.19814,876838200.085399,1264343216.36054,3034130325.3328,3485975830.87217,4159643850.77424,5932322126.2748
"Population Liveweight (kg)","Adult Female",1137157432.91658,210103141.854188,670097862.117631,975566064.909821,1142766169.34587,1281964417.98381,1707248502.28878
"Population Liveweight (kg)","Adult Male",463824829.56827,108883832.056112,218400686.273801,388960383.878293,471067112.701968,533045285.892558,707278869.859823
"Population Liveweight (kg)","Oxen",470476465.056702,80608775.5546663,349751014.188346,402807196.436694,450938070.017468,533714765.047647,688941571.434159
"Offtake Liveweight (kg)","Overall",64081039.6669717,8518373.74679901,43116873.3455413,58482287.3915686,65762031.0827071,69398627.9819359,83505560.4720685
"Offtake Liveweight (kg)","Juvenile Female",-2548709.54636372,745936.104858611,-4630807.98541411,-2994353.08051084,-2481253.39669448,-2052772.45226545,-1018916.39548505
"Offtake Liveweight (kg)","Juvenile Male",15662883.8138772,4463185.32720691,6603054.18446013,12445165.0446153,15379469.819708,18037505.0879464,27808746.0415477
"Offtake Liveweight (kg)","Adult Female",-3333715.23528145,497646.236773844,-4324486.29972953,-3645162.48954268,-3347280.79925234,-2904257.67358988,-2411897.29667291
"Offtake Liveweight (kg)","Adult Male",13127580.7226221,3382039.14183911,6327659.71521637,11087525.6954778,12954651.2186949,14536730.001849,22897690.4693231
"Offtake Liveweight (kg)","Oxen",41172999.9121176,6481387.96689668,27253354.5570833,36438616.2451391,39961226.2262,46342439.4757964,54915410.2905805
"Meat (kg)","Overall",172032339.086821,11800042.880434,139374945.772554,165302166.412499,172026519.877489,181192494.503752,196119619.699107
"Manure","Overall",14164150695.1759,2038738019.46102,8817026559.25593,12948527008.1952,14331779498.9793,15571127173.2499,19357736745.5307
"Manure","Neonatal Female",3120360277.17389,592730078.675895,1562439480.50583,2809797796.28144,3108737207.32655,3474457059.06306,4341595589.94006
"Manure","Neonatal Male",3130595651.82993,616529020.676306,1495148602.79082,2738735791.82968,3107344916.4984,3534216249.38616,4687957970.10851
"Manure","Neonatal Combined",6250955929.00382,1202576787.19119,3057588083.29665,5561792998.24137,6247022082.20131,7055005273.97739,9029553560.04857
"Manure","Juvenile Female",1929055199.53122,363799021.829295,1057434591.18797,1731175255.04218,1962798939.58807,2181742355.76767,2817570396.87343
"Manure","Juvenile Male",1808814818.89115,356721574.385209,896005719.991666,1590125298.80046,1819400437.2203,2046285167.83289,2786585853.6362
"Manure","Juvenile Combined",3737870018.42237,713417969.083143,1953440311.17963,3335686164.97916,3842090658.46044,4177529790.68398,5604156250.50963
"Manure","Adult Female",2512679796.28844,180382546.415149,2038666200.89547,2390903624.21583,2509866329.81802,2623214524.19923,2950408224.55189
"Manure","Adult Male",413770920.688255,81512821.3372507,226626852.868737,363249855.304059,410026488.204776,474715074.669637,609924784.32894
"Manure","Oxen",1248874030.77306,77369423.5247006,1110983396.9658,1201588448.33929,1247384525.3627,1291980318.35219,1424970295.01637
"Hides","Overall",289885.61580462,54248.0547284633,155827.432336666,258104.350887338,297163.210750086,325894.68390448,435538.43187351
"Hides","Juvenile Female",144651.18141876,27398.7873465413,78176.3597923233,127774.035669146,148573.22916589,162335.709859425,218482.511153882
"Hides","Juvenile Male",133746.955931818,26766.275615818,67113.7038239747,118675.586371999,136848.967670781,151529.985992253,204635.636431021
"Hides","Juvenile Combined",278398.137350578,53857.0198590322,145290.063616298,246737.953678963,285494.837216881,314087.116437458,423118.147584903
"Hides","Adult Female",0,0,0,0,0,0,0
"Hides","Adult Male",2317.28782718464,398.886711518077,1377.37179154791,2040.54461217163,2356.65349581735,2604.6594229858,3239.74929309866
"Hides","Oxen",9170.19062685736,4.80021655297914,9159.99692882001,9166.54573105707,9170.22159980996,9173.81755635603,9180.53499550877
"Milk","Overall",10348286615.5653,2758130424.17446,3792365963.18909,8308711521.08571,10136697097.4878,12381354098.8436,16727014977.7209
"Wool","Overall",0,0,0,0,0,0,0
"Cml Dry Matter","Overall",50695432727.9752,7663949802.81917,29455954128.1142,45852321360.8957,51357422416.6624,55972626270.1349,70876587589.4151
"Cml Dry Matter","Neonatal Female",10480081756.4935,2042982040.97613,4847321538.7354,9171787979.77068,10630510600.6794,11974331667.3115,16103953076.6608
"Cml Dry Matter","Neonatal Male",10971244850.1848,2323435478.86816,5100489743.41607,9394638071.20245,11234059730.557,12473584734.1458,18159331278.5823
"Cml Dry Matter","Neonatal Combined",21451326606.6783,4264919866.84744,9947811282.15146,18894270317.1341,21816207946.069,24557937635.226,34263284355.2431
"Cml Dry Matter","Juvenile Female",7463740096.5404,1572349700.27847,3763532650.41885,6643498625.96264,7575350943.75537,8467182846.90761,11111934717.1806
"Cml Dry Matter","Juvenile Male",7499318680.54206,1627329517.90554,3418643998.2727,6556196870.63629,7688113765.58181,8518930097.58361,11639610875.9103
"Cml Dry Matter","Juvenile Combined",14963058777.0825,3109289008.82257,7182176648.69155,13366341003.7803,15192565702.5452,17040232896.0159,21021935266.8364
"Cml Dry Matter","Adult Female",8290304982.69261,454740654.201379,7186210524.54579,7957712702.1745,8260342585.64091,8608734575.53637,9693367777.96216
"Cml Dry Matter","Adult Male",1490550889.41347,279922097.86788,788362554.057518,1310767850.31294,1511774120.91566,1662550877.77262,2242713823.54243
