"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",182002.57481734,51.1037225640913,181895.61076465,181973.389711919,182014.676356315,182027.0511408,182064.041021457
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-3991.57706235092,4.46466462200189,-3999.18480684875,-3992.48816188181,-3992.14671022024,-3991.09616130916,-3981.04650703485
"Num Offtake","Juvenile Male",24651.3256261795,34.1075022932379,24578.6177524385,24634.4022895236,24660.7328516162,24669.1416605445,24693.9028368694
"Num Offtake","Juvenile Combined",20659.7485638286,35.5768554487261,20586.0382702371,20641.0707090478,20669.3043212505,20674.117790361,20706.2150748245
"Num Offtake","Adult Female",-12852.4631834084,0.614191520638168,-12853.6293288319,-12852.629899291,-12852.4831518812,-12852.2945092186,-12851.133624921
"Num Offtake","Adult Male",21603.3271692746,15.5862374928551,21570.5863246728,21594.3935145893,21605.2011478868,21615.6294618922,21622.2639409613
"Num Offtake","Oxen",152591.962267646,0.157242455919266,152591.635188119,152591.906613607,152591.957622125,152592.049920881,152592.156437023
"Cml Pop Growth","Overall",701178.632580571,6905.34562809875,688878.787966713,696683.25896856,701311.380729456,707265.101424288,709564.330737622
"Cml Pop Growth","Neonatal Female",-42503.9520634632,2604.55859547225,-47284.6201084928,-43215.8004430198,-42186.4508990318,-40377.1491350881,-39614.1735913821
"Cml Pop Growth","Neonatal Male",10068.2529855265,3550.68259811185,5089.53048768523,7573.47086506768,9473.8733897786,12544.8457619351,15358.3231818673
"Cml Pop Growth","Neonatal Combined",-32435.6990779367,4170.26069568236,-38479.4893383663,-35382.5233157894,-33045.925955618,-30619.3948593523,-24569.2902115331
"Cml Pop Growth","Juvenile Female",151413.022704527,2412.88584060089,145731.029993473,150812.148466163,151291.289760889,152930.584372141,154714.260195986
"Cml Pop Growth","Juvenile Male",232410.508954489,2265.04715283139,227542.768625138,231593.42828367,232535.670955411,233979.176998732,235169.15106049
"Cml Pop Growth","Juvenile Combined",383823.531659017,3010.19610826783,378482.915989741,381726.627030895,383918.338054683,386191.840248198,388166.015630145
"Cml Pop Growth","Adult Female",179777.63040589,543.126551933132,178494.328360485,179718.117606988,179850.246317631,179888.233766027,180699.639190102
"Cml Pop Growth","Adult Male",327107.222409823,476.51099160965,326091.657913749,326874.950281868,327242.492126103,327348.143756833,327702.316618921
"Cml Pop Growth","Oxen",-157094.052816221,9.78990188940884,-157114.614583843,-157099.70091638,-157092.84975759,-157086.287288082,-157082.165815385
"Total Number Increase","Overall",883181.207397911,6931.38482796169,870774.398731365,878737.850252122,883312.991008215,889284.51656504,891531.967768342
"Total Number Increase","Neonatal Female",-42503.9520634632,2604.55859547225,-47284.6201084928,-43215.8004430198,-42186.4508990318,-40377.1491350881,-39614.1735913821
"Total Number Increase","Neonatal Male",10068.2529855265,3550.68259811185,5089.53048768523,7573.47086506768,9473.8733897786,12544.8457619351,15358.3231818673
"Total Number Increase","Neonatal Combined",-32435.6990779367,4170.26069568236,-38479.4893383663,-35382.5233157894,-33045.925955618,-30619.3948593523,-24569.2902115331
"Total Number Increase","Juvenile Female",147421.445642176,2408.76395782936,141749.983486438,146819.842944921,147300.32969723,148938.083136608,150715.075389137
"Total Number Increase","Juvenile Male",257061.834580669,2297.33435895987,252121.386377577,256233.344737911,257203.625763639,258640.502370693,259856.41264235
"Total Number Increase","Juvenile Combined",404483.280222845,3031.74864498592,399068.954259978,402361.455443371,404574.685170691,406860.452733175,408867.707921013
"Total Number Increase","Adult Female",166925.167222481,542.524620819564,165643.194735564,166865.67857786,166997.830711223,167035.64293705,167846.00986127
"Total Number Increase","Adult Male",348710.549579097,491.799083580729,347662.244238421,348468.150301378,348847.69327399,348964.330308676,349324.580559882
"Total Number Increase","Oxen",-4502.09054857537,9.94426430856259,-4522.97939572416,-4507.79430277348,-4500.89213546562,-4494.23738363115,-4490.00937836239
"Total Mortality","Overall",391432.504538941,6999.05497959154,383526.456162441,385212.081561897,391100.152480686,395970.514381407,403958.952485451
"Total Mortality","Neonatal Female",91687.2525362458,4406.74952088673,85942.9423240819,90002.1057667933,90647.4053970588,91711.0419046883,101802.278252082
"Total Mortality","Neonatal Male",87354.7891420097,5264.55374440615,80316.9772365221,82243.7967748439,88041.4531437904,92441.7775014439,92666.8897797928
"Total Mortality","Neonatal Combined",179042.041678255,6208.3864679748,169889.239755979,175483.561942664,179581.967571889,183251.165105174,188444.358704065
"Total Mortality","Juvenile Female",75634.8018867734,1123.88302040885,73769.7115055396,74713.9977388639,75763.1537806793,76684.4695671791,76825.0038110068
"Total Mortality","Juvenile Male",54182.3095847524,1269.18530040472,52961.1787885004,53231.8041497485,53866.2878523089,54452.5803145442,56685.817067613
"Total Mortality","Juvenile Combined",129817.111471526,1754.06746051749,126868.27579026,129115.372599652,130024.315862138,130609.673879429,132940.352466916
"Total Mortality","Adult Female",64262.3159170419,3.07095760318767,64255.668124605,64261.4725460931,64262.415759406,64263.1494964551,64268.1466441596
"Total Mortality","Adult Male",0,0,0,0,0,0,0
"Total Mortality","Oxen",18311.0354721175,0.0188690947111235,18310.9962225743,18311.0287936328,18311.034914655,18311.0459905057,18311.0587724427
