"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",182604.897152155,46.3293286597721,182550.019938201,182568.508971463,182599.525750593,182623.062890592,182693.442461617
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",-3994.30510458174,2.35657477832144,-3997.72521147528,-3996.0207074882,-3994.28532874784,-3992.45491588387,-3991.19976685281
"Num Offtake","Juvenile Male",24635.2126258259,32.5859692784972,24598.5684769219,24610.4059198328,24630.692753631,24647.5140165653,24700.4198822457
"Num Offtake","Juvenile Combined",20640.9075212442,31.0931177107752,20607.3687100691,20616.6473261209,20634.1148350948,20652.1035942405,20703.1102758221
"Num Offtake","Adult Female",-12852.7142840265,0.352767315817714,-12853.3720644701,-12852.9209997791,-12852.6544985924,-12852.5047788227,-12852.2460155103
"Num Offtake","Adult Male",21531.4629697806,15.6891123092794,21509.8891897092,21518.725540536,21531.8040483597,21538.9837086793,21558.2215809091
"Num Offtake","Oxen",153285.240945156,0.163573322265335,153285.008053933,153285.110413086,153285.261565849,153285.327651079,153285.482669356
"Cml Pop Growth","Overall",716330.501390724,6828.56109273637,706522.611358464,712056.256899407,715160.784461475,721788.802391391,726747.099946277
"Cml Pop Growth","Neonatal Female",-42069.840030169,2830.54692412249,-45790.6499721529,-44804.7541895641,-41378.628362604,-39675.4342466033,-38841.5348798942
"Cml Pop Growth","Neonatal Male",8379.25788354154,4229.65882937445,2013.91408250586,4487.3502964041,10192.4520752124,11181.0318325578,14025.5146032637
"Cml Pop Growth","Neonatal Combined",-33690.5821466274,4294.85509309353,-41182.7468875824,-36903.5087162169,-33790.472020487,-29846.1280865474,-28838.9987080438
"Cml Pop Growth","Juvenile Female",153064.805704187,1313.17449751487,151075.938352013,152154.064971791,152789.170947219,153979.080130783,155051.892952486
"Cml Pop Growth","Juvenile Male",231213.110980366,1986.73279446138,229151.851337551,230068.264569862,230428.699144201,231603.278209312,235602.902685956
"Cml Pop Growth","Juvenile Combined",384277.916684552,2589.02283396909,380937.924794628,382646.566841461,383891.506239887,385615.695546802,389516.236472959
"Cml Pop Growth","Adult Female",180112.400019391,286.686615612582,179735.861471429,179886.04932467,180108.501415504,180325.255822225,180530.222319404
"Cml Pop Growth","Adult Male",325152.998777994,452.792350093753,324651.316748081,324811.127698723,325083.784522236,325322.01127166,326065.785619021
"Cml Pop Growth","Oxen",-139522.231944586,9.86679054911618,-139535.789111647,-139530.212405543,-139522.034546301,-139517.51136002,-139505.369442923
"Total Number Increase","Overall",898935.398542878,6864.87134441872,889099.629672227,894630.234072529,897762.551738099,904429.822249088,909440.542407895
"Total Number Increase","Neonatal Female",-42069.840030169,2830.54692412249,-45790.6499721529,-44804.7541895641,-41378.628362604,-39675.4342466033,-38841.5348798942
"Total Number Increase","Neonatal Male",8379.25788354154,4229.65882937445,2013.91408250586,4487.3502964041,10192.4520752124,11181.0318325578,14025.5146032637
"Total Number Increase","Neonatal Combined",-33690.5821466274,4294.85509309353,-41182.7468875824,-36903.5087162169,-33790.472020487,-29846.1280865474,-28838.9987080438
"Total Number Increase","Juvenile Female",149070.500599605,1311.14704989511,147084.73858516,148160.493499487,148794.960891948,149984.063317015,151054.16774101
"Total Number Increase","Juvenile Male",255848.323606191,2017.92699507375,253756.719932735,254693.30625648,255053.113193935,256250.792225877,260303.322568201
"Total Number Increase","Juvenile Combined",404918.824205796,2616.70460101111,401545.293504697,403274.824908402,404518.011476948,406285.122082322,410219.346748781
"Total Number Increase","Adult Female",167259.685735365,286.370154969903,166883.615455918,167033.533277926,167255.729683505,167472.477327709,167677.117791283
"Total Number Increase","Adult Male",346684.461747774,468.100397520435,346161.20593779,346329.291551434,346616.839637894,346860.36944669,347624.00719993
"Total Number Increase","Oxen",13763.00900057,10.0285519020605,13749.2189422863,13754.867177899,13763.2270195482,13767.816291059,13780.113226433
"Total Mortality","Overall",375624.232368642,6657.20637492439,365285.687333617,371125.039916329,376090.642518612,379550.542754587,385924.761393731
"Total Mortality","Neonatal Female",90424.4128996175,4390.10661567566,84895.3289781419,85862.9849610114,91455.1593623048,94003.1998422998,95538.3496852263
"Total Mortality","Neonatal Male",90029.8398186815,5303.11334369292,80365.2928874973,87393.0440577679,89008.9495112475,94560.1279980851,96522.8649832568
"Total Mortality","Neonatal Combined",180454.252718299,5822.61277095807,173311.156785387,176363.414253491,179557.444766749,184229.319098932,189200.600354847
"Total Mortality","Juvenile Female",74449.0443725992,1601.9721761606,72075.5594081242,73497.2489852733,74508.5855272863,74762.0907810456,76967.5173897339
"Total Mortality","Juvenile Male",54622.2959908686,1253.22017470205,52821.6140484271,53458.6455388378,54934.9496438348,55570.5132663789,56323.8912323132
"Total Mortality","Juvenile Combined",129071.340363468,2025.95068419482,125392.367701593,128070.728846941,129400.790551024,130417.973566318,131834.818555338
"Total Mortality","Adult Female",64263.5714201326,1.76383657908768,64261.2300775516,64262.5238941133,64263.272492962,64264.6049988957,64266.8603223504
"Total Mortality","Adult Male",1835.06786674266,1.33714025363172,1833.22919230477,1833.98229038659,1835.09693593974,1835.70883880789,1837.34843019112
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",4580004560.6804,74683876.467327,4440344188.34333,4528243433.03193,4592166939.13486,4627842292.63156,4681174793.35633
