"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",547499.916656984,8.72823396645169,547474.532840124,547493.66254036,547500.054625691,547506.325873003,547525.231193712
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",3099.67030437852,0.465883374357587,3098.10966090805,3099.36263150802,3099.67579214745,3100.00684393304,3101.07611832501
"Num Offtake","Juvenile Male",17871.470963431,2.69369198084855,17863.4191074204,17869.6177939994,17871.5287974677,17873.3912700837,17879.1041786156
"Num Offtake","Juvenile Combined",20971.1412678095,2.74862488193058,20963.2241420746,20969.2424929456,20971.2578977757,20973.1004818038,20979.0474571047
"Num Offtake","Adult Female",7090.19258552104,0.0550602611954558,7090.01457839961,7090.15563301925,7090.1933279671,7090.22944307023,7090.35610539791
"Num Offtake","Adult Male",519438.582803653,6.04234136429923,519421.098138293,519434.375345872,519438.640324785,519442.846258909,519456.249684364
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-358400.092199465,699.739668356942,-360593.298498546,-358877.755236507,-358377.584291957,-357927.031467662,-355865.53955803
"Cml Pop Growth","Neonatal Female",-18571.0589416156,341.96927280691,-19568.7976973614,-18803.9630290234,-18563.1694355247,-18331.7968414221,-17495.0156414051
"Cml Pop Growth","Neonatal Male",-12022.6380525929,327.45407255054,-13044.8925053534,-12245.0524682665,-12023.2447087837,-11799.5929610364,-10882.6516194769
"Cml Pop Growth","Neonatal Combined",-30593.6969942084,478.848054752478,-31987.9117640467,-30925.5067113561,-30577.1624723215,-30270.0260712412,-28873.9345401036
"Cml Pop Growth","Juvenile Female",7095.2304814314,168.794234277781,6506.45820052858,6976.479400854,7097.62396119465,7215.56508184274,7569.42834802321
"Cml Pop Growth","Juvenile Male",-4860.01812576263,163.148405778659,-5312.27198061656,-4966.55299931171,-4858.2918943518,-4744.30820934927,-4348.14162685518
"Cml Pop Growth","Juvenile Combined",2235.21235566877,238.686436102287,1472.90619326412,2087.09632700142,2241.14031058297,2398.81304942135,2986.93705563055
"Cml Pop Growth","Adult Female",38748.1556095662,31.8977617741821,38640.648339267,38726.9776457159,38748.5805947682,38770.884801541,38844.4071920146
"Cml Pop Growth","Adult Male",-368789.763170492,25.4875914477057,-368866.043376014,-368807.193808831,-368789.057351408,-368771.671019523,-368718.358447918
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",189099.824457518,703.973236758911,186893.107223793,188625.835582233,189121.311122583,189578.041607932,191646.30848738
"Total Number Increase","Neonatal Female",-18571.0589416156,341.96927280691,-19568.7976973614,-18803.9630290234,-18563.1694355247,-18331.7968414221,-17495.0156414051
"Total Number Increase","Neonatal Male",-12022.6380525929,327.45407255054,-13044.8925053534,-12245.0524682665,-12023.2447087837,-11799.5929610364,-10882.6516194769
"Total Number Increase","Neonatal Combined",-30593.6969942084,478.848054752478,-31987.9117640467,-30925.5067113561,-30577.1624723215,-30270.0260712412,-28873.9345401036
"Total Number Increase","Juvenile Female",10194.9007858099,169.225866802346,9604.56786143662,10075.6029105695,10197.1955538637,10315.5494667241,10670.0506257228
"Total Number Increase","Juvenile Male",13011.4528376683,165.64203484899,12552.1842741472,12902.7830644395,13012.6637108115,13129.7624813549,13529.601628037
"Total Number Increase","Juvenile Combined",23206.3536234782,240.767661968106,22438.041803325,23056.3943069373,23211.9115021626,23371.4420180497,23963.8731687547
"Total Number Increase","Adult Female",45838.3481950873,31.9512511286828,45730.6869275063,45817.1206954786,45838.7752789004,45861.114323503,45934.7613998801
"Total Number Increase","Adult Male",150648.819633161,31.3612782175279,150555.054762279,150627.155723201,150649.571558924,150671.284217879,150737.612254595
"Total Number Increase","Oxen",0,0,0,0,0,0,0
"Total Mortality","Overall",212700.983119179,684.606221426338,210365.612287903,212209.844008836,212663.567503665,213168.739011436,214712.220900228
"Total Mortality","Neonatal Female",30075.0674976001,491.102990579483,28463.7144276488,29747.0210581974,30044.6779619587,30422.1875016176,31561.4550475808
"Total Mortality","Neonatal Male",29359.5095905302,478.359823156033,27696.2969773941,29037.6226348416,29363.0045607395,29660.4202031187,30918.8091663205
"Total Mortality","Neonatal Combined",59434.5770881303,685.225802479097,57097.3314883936,58942.4738429638,59397.4115067854,59903.0097626983,61448.4512827532
"Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Total Mortality","Adult Female",91159.6189566991,0.707917643942031,91157.3302937093,91159.1438531047,91159.6285024342,91160.0928394743,91161.721355116
"Total Mortality","Adult Male",62106.7870743498,0.722453858774719,62104.696516535,62106.2840087455,62106.7939518765,62107.2968353043,62108.8994187826
"Total Mortality","Oxen",0,0,0,0,0,0,0
"Value of Total Mortality","Overall",3468666155.16168,5595814.13365446,3449334163.43902,3464575463.64568,3468358787.99794,3472541512.08183,3484989834.50685
"Value of Total Mortality","Neonatal Female",239082809.485285,3904040.53935166,226273301.441207,236474992.748705,238841226.800203,241842252.196284,250898899.722213
"Value of Total Mortality","Neonatal Male",247404924.543227,4031013.37873174,233389465.947659,244692467.179523,247434375.745,249940619.738413,260544735.094188
"Value of Total Mortality","Neonatal Combined",486487734.028513,5608807.68743811,467114026.440316,482387945.867514,486184081.33292,490366675.125672,502861632.121427
"Value of Total Mortality","Juvenile Female",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Male",0,0,0,0,0,0,0
"Value of Total Mortality","Juvenile Combined",0,0,0,0,0,0,0
"Value of Total Mortality","Adult Female",1215208176.66813,9436.9340193768,1215177667.52373,1215201843.27425,1215208303.91806,1215214493.78782,1215236202.80269
"Value of Total Mortality","Adult Male",1766970244.46504,20554.1862908751,1766910767.01294,1766955931.98816,1766970440.13423,1766984747.4281,1767030341.7577
"Value of Total Mortality","Oxen",0,0,0,0,0,0,0
"Population Liveweight (kg)","Overall",323959883.195817,83423407.2324902,127162431.993759,259237133.799135,325139633.344622,389345411.926684,538841455.026951
"Population Liveweight (kg)","Neonatal Female",11317574.7736499,6435120.01553245,223701.866347376,5816205.68473095,10996386.8297111,17058867.3468416,22495853.8618425
"Population Liveweight (kg)","Neonatal Male",11190513.7511948,6444023.09326764,220750.905391633,5684537.00671717,11273219.0080041,16810868.7885159,22167350.3590484
"Population Liveweight (kg)","Juvenile Female",94770745.5701524,16357264.8659437,47030602.2298374,83098357.283346,95688491.2716152,107162473.35252,127930145.151853
"Population Liveweight (kg)","Juvenile Male",37156928.5016967,21895741.2581494,421978.241210522,18577925.631506,36719476.0004774,56137577.3578974,76023583.0891351
"Population Liveweight (kg)","Juvenile Combined",131927674.071849,27372145.5157354,49140341.3294234,112983122.427492,132012527.209739,151972449.723864,197602375.179707
"Population Liveweight (kg)","Adult Female",123052343.098085,71384967.4075164,1033623.71449966,62016589.9872946,120932796.138221,186053202.372399,248076254.407031
"Population Liveweight (kg)","Adult Male",46471777.5010383,27940224.4645376,396847.871186718,21728056.2979829,46236207.914407,70644455.3971252,95252900.2482995
"Population Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Offtake Liveweight (kg)","Overall",65140853.0882528,37115632.9707163,2276950.20328547,32553285.7218461,66017508.4037941,98322185.5603225,128329748.909615
"Offtake Liveweight (kg)","Juvenile Female",663951.105616362,115905.768982852,344677.488259887,579535.719579414,669762.264324626,752841.17858191,914587.430080789
"Offtake Liveweight (kg)","Juvenile Male",1579235.62123695,941985.748754848,17865.4558132379,781832.200409195,1554878.06821278,2394606.22917087,3217523.86990888
"Offtake Liveweight (kg)","Adult Female",836685.163262505,479670.864093977,7090.12379580453,411233.81350031,843729.653784369,1226599.64044143,1701658.20442319
"Offtake Liveweight (kg)","Adult Male",62060981.198137,37128927.7329719,519428.588328262,29477921.1700482,62333135.1911081,95576883.7752917,124667764.720793
"Offtake Liveweight (kg)","Oxen",0,0,0,0,0,0,0
"Meat (kg)","Overall",223391967.062627,38292414.2035823,112856127.017701,197442043.226601,222347233.212664,250731397.365146,340185202.139801
"Manure","Overall",1527134005.46517,46658420.3748692,1377033789.35713,1493907637.43878,1526772316.96222,1558820073.36139,1659438698.80457
"Manure","Neonatal Female",53801613.1932052,1381739.58468475,49844201.7144088,52796843.4049959,53860344.0264409,54724062.5249211,58570667.1805606
"Manure","Neonatal Male",52544922.068075,1331372.15299013,48760226.062228,51693863.4477902,52509299.2280161,53432374.8325331,56207014.0005153
"Manure","Neonatal Combined",106346535.26128,1919870.96404935,100384612.908693,105071836.201631,106384083.801783,107653617.633346,111836139.789196
"Manure","Juvenile Female",183579441.454322,6362052.29647778,164201421.033177,179527094.639843,183564186.141305,187730558.981889,203341437.690061
"Manure","Juvenile Male",176132112.419299,5866215.92723474,157880250.921435,171934803.052693,176186170.076748,179925771.143459,196996879.457621
"Manure","Juvenile Combined",359711553.873621,8692050.01691594,329561395.33102,353830989.950342,359289042.743262,365871627.364675,386984077.719678
