"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",544432.457768361,23776.7296634609,496265.269090162,528522.03078959,544376.017297744,561008.80175627,615330.023190223
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",5195.5965315861,940.39709484356,3108.09166319433,4557.57958538947,5198.31073520721,5836.53850792842,8078.8669417081
"Num Offtake","Juvenile Male",30756.7300062092,5620.82431330037,18284.769125322,26944.5975482096,30767.3734137093,34584.3062817642,47993.7277136895
"Num Offtake","Juvenile Combined",35952.3265377953,6561.22053495448,21392.8607885163,31502.8793514476,35965.6841489165,40420.8447896926,56072.5946553976
"Num Offtake","Adult Female",4386.41145689371,103.248237562652,4188.66665136553,4310.02622598608,4385.18766793349,4457.03777901392,4686.02733673229
"Num Offtake","Adult Male",504093.719773672,17222.714423993,470683.74165028,491757.006972515,503914.358339677,515774.535364432,554571.401198093
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",19720302.8830305,4499964.24482056,7180589.27110684,17002585.3025313,19270982.0858126,22493086.2247216,32098046.4124643
"Cml Pop Growth","Neonatal Female",6786294.82841577,1583274.75742231,2533932.76967429,5816822.2610111,6637802.49229292,7823089.68701895,11268778.1471945
"Cml Pop Growth","Neonatal Male",6792437.9098622,1583274.75742231,2540075.85112072,5822965.34245753,6643945.57373934,7829232.76846538,11274921.2286409
"Cml Pop Growth","Neonatal Combined",13578732.738278,3166549.51484462,5074008.62079501,11639787.6034686,13281748.0660323,15652322.4554843,22543699.3758354
"Cml Pop Growth","Juvenile Female",2822944.22960744,674201.219277822,1037351.14710581,2450550.53115354,2783828.64273798,3238265.21400129,4619087.62302584
"Cml Pop Growth","Juvenile Male",2801901.95150002,670268.836902892,1026133.15386055,2432188.9364809,2762760.22910977,3215040.19967396,4585670.71095405
"Cml Pop Growth","Juvenile Combined",5624846.18110746,1344469.06652085,2063484.30096636,4882552.47100963,5546588.87184775,6453305.41367524,9204758.3339799
