"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",544705.557487243,20.1164525468423,544633.451107224,544691.866658686,544706.11902042,544718.861999525,544766.261796898
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",2973.4052706587,0.883703914293534,2970.36779714711,2972.80316356081,2973.42410488353,2973.98423343757,2976.2684394277
"Num Offtake","Juvenile Male",17146.8010116759,5.16749902691024,17128.4749813082,17143.3061781459,17146.8848581263,17150.1894187296,17162.6076064544
"Num Offtake","Juvenile Combined",20120.2062823346,5.2804029900785,20102.1935466774,20116.4950597673,20120.2282322271,20123.6319344586,20136.4030585313
"Num Offtake","Adult Female",7072.38291087739,0.138725609889833,7071.93691956192,7072.29089083374,7072.38639043243,7072.47129722711,7072.84419598106
"Num Offtake","Adult Male",517512.968294031,15.0413462136639,517458.837237902,517502.830196828,517513.556246488,517522.886729794,517557.985635865
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",-443627.297512155,762.292573917189,-446630.905268976,-444170.157808117,-443611.030854407,-443089.77666528,-441143.553321753
"Cml Pop Growth","Neonatal Female",-19105.7675464877,324.985156172742,-20357.0958255677,-19320.5604557439,-19095.7997801308,-18883.197251584,-18126.6745269762
"Cml Pop Growth","Neonatal Male",-12505.9526427379,334.838058493136,-13585.9476933985,-12731.9663401584,-12505.0229064064,-12275.4390304641,-11365.6986230352
"Cml Pop Growth","Neonatal Combined",-31611.7201892256,468.766332443812,-33409.889009254,-31905.2549234405,-31595.911849778,-31290.9552791478,-30049.7724816331
"Cml Pop Growth","Juvenile Female",-28472.8434872548,242.221938040309,-29287.5333326777,-28637.6767663786,-28479.7201916999,-28291.7853266969,-27862.4494673744
"Cml Pop Growth","Juvenile Male",-38469.8342286705,234.147137722007,-39216.1096726564,-38620.4733202022,-38473.6950512105,-38312.1118033093,-37709.1469680928
"Cml Pop Growth","Juvenile Combined",-66942.6777159254,345.983099390108,-68144.49236217,-67183.6244101946,-66939.6599865924,-66709.09752757,-65891.5302298616
"Cml Pop Growth","Adult Female",30188.0357715895,59.7419623820063,29982.5629636981,30147.4035293707,30189.8441438379,30227.3948260396,30380.6642436093
"Cml Pop Growth","Adult Male",-375260.935378593,45.635113299882,-375418.499159159,-375290.218664325,-375260.42209095,-375232.194684161,-375123.161481327
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",101078.259975088,771.049388594303,98020.7476575746,100526.973472795,101091.342098614,101621.89561505,103598.903908713
