"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",675758.436975817,35950.0202286934,587977.027135096,648794.883898,675664.93400047,701661.801017377,763534.785373345
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",9092.52523562238,1713.3980527988,4772.82076316799,7917.02312042245,9053.95006097807,10169.054963622,13451.940246463
"Num Offtake","Juvenile Male",53673.1360444316,10209.9837460418,27925.4913859085,46658.8876702776,53425.5277703368,60085.7138910469,79659.8407788243
"Num Offtake","Juvenile Combined",62765.661280054,11923.3805829782,32698.3121490765,54575.9107907001,62479.4778313149,70254.7688546689,93111.7810252873
"Num Offtake","Adult Female",7425.82225729471,198.134620165333,6955.97809627679,7269.43495596437,7416.61996786483,7566.11629361379,7893.61511134405
"Num Offtake","Adult Male",605566.953438468,23955.4646910383,548322.736889742,586089.678078086,604822.084787656,622904.08777729,662529.389236714
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",21791285.3234001,4637128.09203469,11526895.3402641,18552728.6448913,21714601.5100136,25519788.8242222,35281545.9704146
"Cml Pop Growth","Neonatal Female",7402994.19787979,1661708.208938,3482497.59899193,6257748.34528764,7430283.36420205,8756855.31508123,11719521.9843767
"Cml Pop Growth","Neonatal Male",7409137.27932622,1661708.208938,3488640.68043836,6263891.42673407,7436426.44564848,8762998.39652766,11725665.0658231
"Cml Pop Growth","Neonatal Combined",14812131.477206,3323416.41787601,6971138.27943029,12521639.7720217,14866709.8098505,17519853.7116089,23445187.0501998
"Cml Pop Growth","Juvenile Female",3165731.66133232,723770.159533578,1329783.21490146,2613064.0217809,3217366.85526408,3651722.96119561,5299543.79354822
"Cml Pop Growth","Juvenile Male",3126383.1672923,716580.420828131,1309662.6925052,2581008.13887656,3175517.19892019,3609712.45584715,5240757.701549
"Cml Pop Growth","Juvenile Combined",6292114.82862463,1440348.5232426,2639445.90740666,5194072.16065746,6392884.05418427,7261435.41704276,10540301.4950972
"Cml Pop Growth","Adult Female",600392.906942818,129883.396568278,272659.403129423,510906.841368848,596731.245839608,681917.287358178,931227.756690879
"Cml Pop Growth","Adult Male",86646.1106266218,108184.970208359,-188172.550365129,11369.6960564069,79649.4421497746,153680.437977224,364829.668426694
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",22467043.7603759,4662176.49714012,12114872.3673992,19197237.8982371,22385656.5947873,26210454.1495702,36045080.7557879
"Total Number Increase","Neonatal Female",7402994.19787979,1661708.208938,3482497.59899193,6257748.34528764,7430283.36420205,8756855.31508123,11719521.9843767
"Total Number Increase","Neonatal Male",7409137.27932622,1661708.208938,3488640.68043836,6263891.42673407,7436426.44564848,8762998.39652766,11725665.0658231
"Total Number Increase","Neonatal Combined",14812131.477206,3323416.41787601,6971138.27943029,12521639.7720217,14866709.8098505,17519853.7116089,23445187.0501998
"Total Number Increase","Juvenile Female",3174824.18656795,725384.219240961,1334556.03566463,2620493.30184424,3227020.29462957,3661415.32968247,5312995.73379469
"Total Number Increase","Juvenile Male",3180056.30333673,726197.026477351,1337588.18389111,2624775.46205711,3232533.98681892,3666960.38650846,5320417.54232782
"Total Number Increase","Juvenile Combined",6354880.48990468,1451581.17933015,2672144.21955574,5245268.76390135,6459554.28144849,7328375.71619093,10633413.2761225
"Total Number Increase","Adult Female",607818.729200113,130077.682359985,279615.3812257,518226.494944887,604205.761041632,689471.089578728,939121.371802223
"Total Number Increase","Adult Male",692213.06406509,131676.377677127,360150.186524614,601751.527493659,689019.70338728,774914.960896438,1027359.05766341
