"Item","Group","Mean","StDev","Min","Q1","Median","Q3","Max"
"Num Offtake","Overall",586842.661772791,27085.9901609394,521755.980563722,569622.075105014,587624.190607143,606090.857997151,648757.512341376
"Num Offtake","Neonatal Female",0,0,0,0,0,0,0
"Num Offtake","Neonatal Male",0,0,0,0,0,0,0
"Num Offtake","Neonatal Combined",0,0,0,0,0,0,0
"Num Offtake","Juvenile Female",6631.37404878071,1160.04483161725,3755.5120827854,5847.31071556848,6667.20309492568,7397.57162406128,9277.61610546114
"Num Offtake","Juvenile Male",39225.77076728,6926.73501316953,22042.2411965988,34541.1858057449,39439.7870166919,43843.834543193,55055.4352938483
"Num Offtake","Juvenile Combined",45857.1448160607,8086.77427682015,25797.7532793842,40388.4965213134,46106.9901116176,51241.4061672543,64333.0513993094
"Num Offtake","Adult Female",5649.4152145804,134.015017626423,5336.0967797117,5567.6778550598,5648.27582541627,5737.72722852,5952.49017877422
"Num Offtake","Adult Male",535336.10174215,18999.5827415196,490622.130504626,523712.076407801,535355.673884527,548629.894714862,578471.970763293
"Num Offtake","Oxen",0,0,0,0,0,0,0
"Cml Pop Growth","Overall",20039806.4617986,4626939.10134364,8489827.28985848,16778581.8934609,20140116.2792525,22962736.5192695,32545182.7287249
"Cml Pop Growth","Neonatal Female",6832459.1521697,1717103.78586215,2913117.98967878,5626276.58098869,6823384.85356726,8076481.98792858,11516304.8525678
"Cml Pop Growth","Neonatal Male",6839391.11581944,1716664.28898799,2916714.65723001,5630560.70775356,6824029.80753071,8101699.61693116,11507890.7902564
"Cml Pop Growth","Neonatal Combined",13671850.2679891,3433750.98071689,5829832.6469088,11256837.2887423,13647414.661098,16178181.6048597,23024195.6428243
"Cml Pop Growth","Juvenile Female",2886066.97477609,643882.877867355,1267280.1688074,2399418.81337543,2898231.62047531,3322611.71049961,4268428.30989061
"Cml Pop Growth","Juvenile Male",2859509.83437066,639323.701367507,1252629.78834203,2375371.13589548,2870554.24281575,3291897.64115001,4230045.73993693
"Cml Pop Growth","Juvenile Combined",5745576.80914675,1283201.91653494,2519909.95714943,4774789.94927091,5768785.86329106,6614509.35164962,8498474.04982754
"Cml Pop Growth","Adult Female",570104.64661852,115060.828513834,284692.263526848,492514.125402713,574257.612658649,647131.784036757,832464.682160386
"Cml Pop Growth","Adult Male",52274.7380441843,95819.8096288112,-186637.465174598,-12871.1113911187,56307.1572374301,120008.651192582,270149.952662303
"Cml Pop Growth","Oxen",0,0,0,0,0,0,0
"Total Number Increase","Overall",20626649.1235714,4644583.86351775,9011583.2704222,17340557.9415079,20722801.1922715,23589313.3530511,33180954.9856743
"Total Number Increase","Neonatal Female",6832459.1521697,1717103.78586215,2913117.98967878,5626276.58098869,6823384.85356726,8076481.98792858,11516304.8525678
"Total Number Increase","Neonatal Male",6839391.11581944,1716664.28898799,2916714.65723001,5630560.70775356,6824029.80753071,8101699.61693116,11507890.7902564
"Total Number Increase","Neonatal Combined",13671850.2679891,3433750.98071689,5829832.6469088,11256837.2887423,13647414.661098,16178181.6048597,23024195.6428243
"Total Number Increase","Juvenile Female",2892698.34882487,644960.076650323,1271035.68089018,2405473.28408034,2905437.51927951,3329558.84292238,4277250.39516686
